the	det.定冠词;表示特指
opinion	n.评价;意见
window	n.窗;窗框
faith	n.信任;信条
ago	adv.以前
agreement	n.达成协议;协定
charge	n.价钱;应付v.要;冲锋
beauty	n.美;美人
lip	n.唇状物;嘴唇
remain	v.留下;剩余
arm	n.臂;军种v.提供;武装起来
latter	adj.后者的;较后的
duty	n.责任;职责
send	v.发送;派遣
distance	n.进展;远v.使远离;远远超过
silence	n.寂静;静默v.使安静;压制
foot	n.脚;最下部v.步行;结算
wild	adj.野生的;原始的adv.狂暴地n.野生动物
object	n.对象;物体v.提出;反对
die	n.板牙;模具v.遭受;死
save	prep.除...外v.储蓄;救助
gentleman	n.先生
tree	n.木制用具;树v.在...上植树;爬上树
green	adj.绿色的n.绿色;绿色物v.欺骗;成为绿色
trouble	n.烦恼;困难v.麻烦;折磨
smile	n.欢快;微笑v.露出;惠及
book	n.卷;书v.预订;预订
wrong	adj.不道德的;错误的adv.不适当地;错误地n.错误;坏事v.使丢脸
various	adj.不同的;各个的
sleep	n.昏睡;睡眠v.供...睡觉;睡
person	n.家伙;人
happen	v.发生;碰巧
particular	adj.特定的;特殊的n.详情;一项
minute	adj.快熟的;微小的n.分
hardly	adv.不十分;几乎不
walk	n.行走路程;走v.走遍;走
chief	adj.为首的;主要的n.酋长;首领
chance	adj.偶然的n.机会;机缘v.冒...的险;碰巧
accord	n.谅解;谐和v.授予;相符合
action	n.行动;行为
deal	n.待遇;交易v.发;分配
visit	n.参观;视察v.访问;视察
think	v.想;想像
follow	v.跟随;伴随
stand	n.停住;站立v.经受;容忍
know	v.记住;确知
try	n.尝试v.试;试图
presence	n.出席;进见
heavy	adj.太贵的;重的n.肥畜;重的人
sweet	adj.甜的;悦耳的n.甜食;甜味
plain	adj.单色的;朴素的n.平原;平针
donation	n.捐赠;捐赠物
immediate	adj.立即的;直接的
mouth	n.口;人v.说;做鬼脸
rich	adj.富的;富饶的
month	n.月
afraid	adj.恐惧的;遗憾的
single	adj.单程的;单人的n.单曲唱片;一个v.选出
joy	n.成功;欢欣v.享受;高兴
enemy	n.敌国;敌军
unless	conj.除非
state	n.心情;形态v.陈述;确定
ship	n.船;飞船v.用船运;上船
condition	n.健康状况;状况v.使健康;训练
carry	n.射程;运载v.提;携带
exclaim	v.大声说出;呼喊
fill	n.充分;装填物v.挤满;装满
see	v.察看;看
influence	n.势力;影响v.影响
write	v.记述;写
boy	n.男孩;男子
appear	v.出现;露面
outside	n.外表;外面prep.除了;在...的外面
secret	adj.秘密的;能保密的n.奥秘;秘密
part	n.一部分;组成部分v.放弃;分开
please	adv.请;行v.乐于;敬请
appearance	n.出版;出现
evil	adj.讨厌的;邪恶的n.坏事;祸害
march	n.3月n.行军;边界v.进展;前进
whatever	pron.不管什么;诸如此类
slow	adj.耗时的;慢的adv.慢慢地v.放慢;放慢速度
tear	n.悲痛;撕v.流泪;撕
horse	n.马;骑兵v.发情;上马
place	n.场所;地方v.放置;得名次
stay	n.逗留;停止v.停止;延迟
instead	adv.反而;作为替代
blue	adj.悲伤的;蓝色的n.蓝色;蓝颜料
impossible	adj.不可能的
period	n.纪;时间
sister	n.姐妹
battle	n.格斗;竞赛v.搏斗;作战
school	n.上学;学校v.教育;控制
occasion	n.时机;时刻v.引起
former	adj.前任的;以前的
food	n.食物;养料
youth	n.青年时期;青年人
learn	v.发现;学
merely	adv.纯粹地;仅仅
reach	n.地带;伸出v.到达;伸出
system	n.系统;制度
twenty	n.第二十;二十
dinner	n.客饭;宴会
quiet	adj.安静的;寂静的n.安静;安宁v.确认;使安静
easily	adv.容易地;无疑
afterwards	adv.以后
walk	n.行走路程;走v.走遍;走
laugh	n.笑;笑柄v.开颜;笑
language	n.全部词汇;语言
expression	n.表达;表示
week	n.工作周;星期
hall	n.会堂;酒
danger	n.危险;危险示意
property	n.财产;地产
wonder	n.惊奇;奇迹v.感到惊讶;感到疑惑
usual	adj.通常的
figure	n.价格;数字v.计算;出现
court	n.法庭;球场v.招致;求爱
general	adj.笼统的;全体的n.将军;上将
show	n.演出;展览v.陈列;给...看
ancient	adj.古代的;古老的n.古钱;旗帜
respect	n.敬意;尊敬v.关于;敬意
third	n.第三;三分之一
worth	adj.值钱的n.价值;经济价值prep.具有...价值;拥有...财产
simple	adj.纯朴的;简单的
tree	n.木制用具;树v.在...上植树;爬上树
remain	v.留下;剩余
society	n.阶层;社会
fight	n.战斗;争吵v.打;奋斗
wall	n.壁;墙v.给...建墙;转动
result	n.获胜;结果v.发生;结果
heaven	n.上天;天
start	n.惊跳;开始v.出现;惊动
command	n.命令;指挥v.俯临;命令
tone	n.音;语气v.增强;调和
regard	n.关系;敬爱v.敬爱;看待
expect	v.等待;预计
mere	adj.纯粹的;只不过的
month	n.月
beside	prep.和...相比;在...旁边
silent	adj.安静的;不作声的
perfect	adj.完好的;完美的v.使精通;使完美
experience	n.经历;经验v.经历
street	n.街;街区
entire	adj.单一的;全部的
fresh	adj.另外的;新的
duke	n.公爵;双手
cover	n.书壳;掩蔽v.盖;代替
east	adj.东部的;在东方的adv.向东方n.东;东部;东方
wood	n.木;木材
stone	n.界石;磨石v.向...扔石块;用石铺
quick	adj.聪敏的;快的adv.紧身地;快n.活肉
notice	n.警告;关注;征象v.警告;提到
bright	adj.聪明的;明亮的adv.光亮地
Christ	n.基督;弥赛亚
boat	n.船v.用船装运;乘船
noble	adj.高尚的;光辉的n.工贼头目;贵族
somewhat	adv.有点
sudden	adj.突然的;迅速的
value	n.价格;价值v.夸耀;尊重
direction	n.管理;指示
chair	n.椅子;主席v.使入座
due	adj.欠款的;应给的adv.正对着n.应缴款;责任
support	n.帮助;支撑v.帮助;支持
date	n.日期;时期v.过期;注有日期
wait	n.等待;幕间时间v.等待;等
Christian	adj.基督的n.基督徒;人
village	n.居民村;乡村
live	adj.活的;真的adv.在现场v.过;活
agree	v.承认;表示同意
line	n.纹路;线v.出局;填
consider	v.考虑;认为
field	n.场地;田v.接;派...上场
scarcely	adv.刚刚;决不
wish	n.请求;希望v.但愿;祝
wait	n.等待;幕间时间v.等待;等
permission	n.允许
success	n.成功;发迹
piece	n.件;片v.接;拼合
form	n.模型;形体v.构成;形成
speaking	n.说话adj.说话的
try	n.尝试v.试;试图
proper	adj.本来的;适宜的
hill	n.小山;斜坡
music	n.音乐;音乐伴奏
German	adj.德国的;德国人的n.德国人;德语
afternoon	n.后期;下午
cry	n.叫喊;哭v.哭;鸣
cost	n.代价;价钱v.价钱为;使付出
allow	v.允给;允许
girl	n.女孩子;女仆
broke	adj.不名一文的
seven	n.第七;七
private	adj.私立的;私人的n.平民;士兵
sit	v.骑;坐
news	n.消息;新闻
top	adj.顶的;最高的n.顶;盖v.盖;结束
scene	n.地点;一场
discover	v.发现;显露
marriage	n.结婚;结婚仪式
step	n.步;步态v.跨;踩
garden	n.公园;花园v.用花园点缀
race	n.比赛;族v.疾走;猛转
begin	v.开始
per	prep.按照;每
individual	adj.独特的;个别的n.个人;人
learn	v.发现;学
political	adj.国家的;政党的
difficult	adj.困难的;难懂的
speech	n.说话;说话方式
lie	n.谎言;躺v.说谎;平卧
cast	n.撒网;投v.投
eat	v.吃;咬
authority	n.当局;权
floor	n.层;底v.击败
ill	adj.不利的;坏的n.病;坏
way	n.方法;方面
officer	n.船长;法警
offer	n.发价;给予v.给予;提出
original	adj.起初的n.原型;原作
happiness	n.恰当;幸福
flower	n.花;精华v.发育;开花
summer	n.夏;大梁v.夏季放牧;过夏天
provide	v.供给;规定
study	n.学科;学习;研究v.记住;学习;研究
religion	n.宗教;宗教教育
picture	n.画v.绘;映出
wall	n.壁;墙v.给...建墙;转动
personal	adj.个人的;亲自的
America	n.美洲
watch	n.手表;守卫v.保卫;等待
leave	n.告别;许可v.丢弃;经过
hot	adj.辣的;热的
effort	n.努力;全部努力
escape	n.逃路;逃跑v.逃脱;漏出
attempt	n.攻击;企图v.企图;引诱
kill	n.击落;杀死v.冻死;杀死
fast	adj.快的adv.快n.禁食;禁食期v.节制饮食;禁食
author	n.发起人;著作者v.发起;著作
brown	adj.肤色深的;棕色的n.棕色v.呈现棕色
pain	n.痛;痛苦
spring	n.弹性;反弹;春天v.惊起;跳
take	n.捕猎;拿v.拿;执住
soldier	n.军事家;士兵
house	n.房屋;棚v.覆盖;住
beneath	adv.在较低处;在下prep.在...底下;在...下方
talk	n.讲话;闲话v.讲;谈论
turning	n.旋转;转弯处
century	n.一百分;百人
step	n.步;步态v.跨;踩
intend	v.想要;意指
soft	adj.轻的;柔滑的adv.柔软地;嘘
straight	adj.整齐的;直的adv.立即;直
matter	n.实体;事情v.化脓;要紧
likely	adj.合适的;可信的adv.很可能
corner	n.包角;角v.垄断;转弯
trademark	n.标记;商标v.用商标标明
justice	n.公正;正确
simply	adv.简单地;仅仅
produce	n.产品;成果v.生;生产
trust	n.信任;信心v.想;信任
appear	v.出现;露面
laugh	n.笑;笑柄v.开颜;笑
forget	v.忘;健忘
Europe	n.欧罗巴洲
passage	n.经过;迁移;通道;走廊
eight	n.八;第八
ourselves	pron.我们亲自;我们自己
give	v.给予;交给
dress	n.衣服;装饰v.布置;穿衣
pass	n.境况;通过v.超过;经过
terrible	adj.可怕的;困难的
medium	adj.中间的n.媒质;手段;巫师
effort	n.努力;全部努力
sake	n.理由;目的
breath	n.呼吸;气息
wise	adj.聪明的;了解的v.教导;知道
possession	n.拥有;有
pleasant	adj.活泼的
perfect	adj.完好的;完美的v.使精通;使完美
memory	n.回忆;记忆
usual	adj.通常的
grave	adj.暗淡的;低沉的n.墓碑;墓穴
fix	n.方位;困境v.定居;固定
modern	adj.近代的;现代化的n.近代
spot	n.疤点;点子v.使有污渍;玷污
troop	n.军队;一群v.成群结队;作伴
rise	n.岗;上涨v.登上;离席
break	n.破裂;破晓v.打破;破坏
fifty	n.第五十;五十
island	n.岛;岛状物
meet	n.集合;集会v.接;遇见
camp	n.兵营;拘留所v.临时安顿;搞同性恋
nation	n.国家;国民
existence	n.存在;发生
reply	n.驳复;回答v.回答;反响
sky	n.苍天;天
touch	n.触;触觉v.触摸;触摸
equal	adj.平等的;平均的n.匹敌者;同等的人v.比得上;相等
fortune	n.富有;好运
shore	n.滨;陆地
domain	n.产业;领土
situation	n.情况;位置
look	n.察看;看v.看
promise	n.可能;允诺v.向...保证;允诺
order	n.次序;整齐v.命令;整理
degree	n.程度;度
middle	adj.中部的;中等的n.中部;中等货
winter	n.冬;寒冷天气v.过冬
plan	n.方法;计划v.计划;设计
allow	v.允给;允许
pale	adj.苍白的;浅的n.尖板条;界限v.使苍白;包围
conduct	n.处理;举止v.表现;处理
religious	adj.宗教的
surprise	n.惊奇;突然袭击v.撞见;惊奇
minute	adj.快熟的;微小的n.分
case	n.框;箱v.探察
lead	n.指引;铅v.牵;致使
move	n.搬家;动v.动;调动
name	n.名字;外号v.把...叫作;给...取名字
stop	n.停止;阻塞v.停止;阻塞
worse	adv.更坏;更猛烈地bad的比较级
glass	n.玻璃;镜子v.反射;给...装玻璃
board	n.板;纸板v.使搭伙;搭伙
vain	adj.徒劳的;自负的
affair	n.事;事情
instance	n.例子;情况v.举...为例;举例
