#word,meaning,option1,option2,option3
luminosity,亮度,周长,面积,标高
meridian,子午线,北纬,大陆,荒野
solar,太阳,灯光,烟火,光明
novelty,新颖,崭新,新鲜,现有
semimolten,半熔化的,天资,专一,居后
equestrian,(古罗马)市民特权阶层成员的,搭乘,航行,行驶
period,时代,学期,半衰期,假期
distribute,分发,发出,发放,接收
scapegoat,替罪羊,被害人,当事人,逃亡者
sting,刺,采伐,倾倒,雕刻
spanking,强烈,隐约,暧昧,非官方
wane,减少,补票,补发,裁员
tub,桶,便盆,臼,钵盂
despoiler,掠夺者,障碍,频繁,陈述
accomplishment,成就,定稿,履行,促成
painstaking,辛苦,请教,打扰,久违
weariness,疲倦,喘气,懒洋洋,屏气
breakdown,故障,讹误,长短,误会
millennia,一千年,选拔,人多,维修
girder,钢结构大梁,口,拖,(纸牌、国际象棋中的)王后
varied,杂色,国立,国有,民用
ornamentation,装饰品,胭脂,香水,花边
sparingly,节俭,懒惰,奢侈,用功
clay,粘土,冻土,板岩,土堆
terminate,停止,关门,停火,截至
foresight,远见,眼光,想法,呼吁
mistrust,不相信,迷信,可以,半信半疑
surpass,超越,支配,有利,抑制
affluent,富有,在于,共有,正值
intensify,扩大,延伸,变调,切换
graze,放牧,饲养,捕鱼,打猎
distant,远离,逝去,引渡,回家
harmonize,（使）协调,收买,沮丧,视为
asymmetrical,不均匀的,使人头痛的事,纠正,使(心情等)沉重
billion,十亿（的）,排队等候,在...后面,大学毕业生
fungi,真菌,麦子,小麦,大麦
loom,隐约闪现,相差,临近,相隔
cannibalism,同类相食,了解,弯弯曲曲行进,千克
illusion,错觉,公认,主持,臆测
consortium,联盟,断交,拜把子,搭伴
foray,袭击,阻击,埋伏,爆破
appoint,任命,委任,备取,聘请
notably,特别,擅自,有意识,无人
shocked,震惊,惊恐,兴奋,退避
kennel,狗舍,插话,缔造者,小路
twig,细枝,对话,继续,给…发电子信函
disaster,灾难,桃花运,灾害,幸福
deliberate,故意,痛快,特别,努力
laboriously,费力,高级,顶尖,微妙
ablaze,着火,暖和,加热,燃放
retract,缩回,挺,伸缩,掉落
gaseous,气体,阿摩尼亚,氮气,氢气
authorities,当局,痞,政权,单位
turquoise,绿宝石,文物,财宝,宝库
wrestling,摔跤,斗鸡,半决赛,对抗赛
parachute,降落伞,雨伞,扇子,阳伞
urgent,紧急,熟知,震惊,必要
cautious,小心,顾虑,关切,衡量
foghorn,雾号（浓雾信号）,分布广的,吉利,阻止
fuse,熔合,拍手,困难,士兵
politics,政治,民主党,社会主义,执政党
enterprise,事业,男爵,本行,伯爵
perform,履行,大功告成,定稿,奉行
acupuncture,针刺,打针,按摩,开刀
jurisdiction,权限,司法权,表现,兵权
compressed,被压缩的,友善,不和,不即不离
temper,脾气,本性,身体,同辈
invader,侵略者,阿飞,黑客,窃贼
approximately,近似,俨然,例如,不等式
magnify,放大,延长,改装,蔓延
axis,轴,绺,堆,抱
dieter,节食者,供职,担忧,手段
naturalist,自然主义者,割,局,学时
swell,（使）肿胀、膨胀,自立,速溶,埋葬
curiosity,好奇心,良心,存心,哀思
legislation,立法,定都,指定,建立
sequence,顺序,独自,独家,迎风
resemblance,相似,不等式,相近,不啻
endowment,捐款,定金,发行额,奖学金
confess,坦白承认,存在,稳定,用法说明
overwhelm,泛滥,喷射,淹没,陷落
negotiation,商议,谈判,让路,会谈
prehistoric,史前,今世,同时代,年代
submarine,潜水艇,战斗机,主机,军舰
notation,符号,编码,标号,例题
multi-faceted,多才多艺,无所不知,能干,半瓶醋
indifference,冷漠,热情,大方,索然
advanced,高级,上流,顶尖,低等
unimaginable,不可想象,为…辩解,开始,运动会
abstract,抽象,深奥,流利,不足为训
trim,修剪,雕刻,割,裁剪
silicate,硅酸盐,泻盐,弱碱,硫磺
pivot,枢轴,治愈,相对论,流传
spaceship,宇宙飞船,滑翔机,飞机,螺旋桨
nourishing,有营养的,酗酒者,(英、德)百亿,亲属
depress,压下,长条,身高,短短的
predatory,食肉,吞食,吮吸,喝
advance,预先,日渐,立即,临时
bundle,捆,将军,产生于,(使)联合
interference,干涉,肯定,公认,介入
diagonally,成对角线,有关系的,飞驰,(大量)财产
shift,移动,对流,外流,奔流
mobile,易变,平常,鼻状物,秒
prosecute,告发,上诉,弹劾,保佑
devastating,破坏性的,颜料,极其,进来
rare,稀有,多数,对偶,个别
ailment,疾病（尤指轻病、小病）,山坡,多得不计其数的,学科
discharge,释放,捕捉,复审,捕获
bowlegged,弯脚,掐得,分,后母
sapphire,蓝宝石,宝贝,废气,煤渣
tempting,诱惑人的,统一,行为,混乱
display,陈列,壁挂,排列,开列
ignorance,无知,懂行,不可救药,差劲
drudgery,苦工,行动,生活,家务
subsistence,存活,便于,存在,保温
excursion,远足,跋涉,对开,远征
quest,寻找,避难,找到,寻的
dwarf,侏儒,稻草人,彪形大汉,顽童
dilution,稀释,攀升,淘汰,裁军
indefinitely,不确定地,疼痛,天花板,自由
imagery,（艺术、文学）肖像,合影,病痛,暴病
inclination,嗜好,风味,兴致,集邮
dignity,尊严,大喜,污染,白热化
spot,发觉,难忘,洞察,识破
shipload,船货,当间谍,屡次,发烧
solely,独自,从中,亲手,互动
prototype,原型,护理,自然(界),生动
coherent,粘在一起,意外地碰上,连接处,生活常规
utter,发表,持有,在外,位于
vitality,活力,畜力,力量,兵力
rhetoric,修辞学,医学,课程,高科技
atmosphere,（某地的）空气,蹬,搓,乘(公共汽车)
divergent,有分歧的,将会,赔偿金,乖
warrior,战士,伪军,军士,元帅
plasma,血浆,波峰,水泡,波谷
rudimentary,初步,出发,着手,拔锚
profoundly,深深,隆重,尖锐,有意思
differentiate,区分,对立统一,识货,比拟
adjacent,毗连,阻隔,接近,逼近
locomote,移动,外流,奔泻,潮流
weave,迂回行进,满意,(降)雨量,步行
hide,隐藏,盯住,躲闪,避暑
crumple,把…弄皱,人类(单数,第一名,疾驰而过
unfortunately,不幸,尴尬,胜利,发迹
cell,单人牢房,神经,韧带,骨髓
monarch,君主,董事,承包人,暴君
gorilla,大猩猩,猴子,白狐,麋鹿
horned,有角,专心,可可粉,很难满足
accumulate,积累,耗费,记帐,报销
haunt,（思想、回忆等）萦绕心头,通俗,(代人临时)照看婴儿者,视力
peer,凝视,东张西望,皱眉头,眺望
soldier,军人,总参谋长,美军,伪军
pestilential,引起瘟疫,灯,手势,表明是
destructive,破坏,撕毁,打破,剥落
optimal,最佳,高级,一般性,可以
regimentation,团队精神,懒散,提议,建设性的
reap,收割,打猎,施肥,捕鱼
symmetrical,对称,适应,投机,不切实际
photosynthesis,光合作用,速效,名望,反射
marine,航海,宇航,巡弋,航行
possession,拥有,在前,陷于,共有
perspire,出汗,人道,哈欠,梦遗
electron,电子,生物,中子,变温动物
fascinate,使着迷,咖啡,固定装置,焦虑
congressman,国会议员,把…捏成球状,叶卷烟,肚子痛
angular,有角,砂糖结晶,转向,以后
collaborate,协作,大显身手,面临,抱佛脚
confederate,同盟者,同年,游伴,同学
vaccinate,进行预防接种,通行证,制度,妒忌
boredom,烦恼,发怒,得意,愤怒
crosscut,横切,余地,自主,在向
stumble,绊倒,颤抖,失足,栽跟头
primary,第一位的,无价,高昂,骨干
fraction,分数,零头,函数,因子
sustained,持续不变,油炸,周,成功
accomplished,精通,明了,熟悉,认识
fender,防卫物,投稿,经受,手艺
utilization,利用,挪用,判明,用以
inert,不活泼的,套,流动,(装饰用的)瓶
fault,（地质学）断层,(使)变老,莫明其妙,听力
eliminate,排除,解渴,克服,洗刷
squeeze,挤进,机器人,在周围,放(枪)
scholarship,奖学金,借款,价款,捐款
rugged,崎岖,圆周,扁圆,舌尖
telecommuter,（通过在线方式）远距离工作者,(非法)交易,方向,十四个
perch,栖木,明白,开始变得,震动
practically,几乎,幸好,甚至于,不巧
sophisticated,(事物)复杂的,孵,责备,恢复
clarify,澄清,渎职,失误,本末倒置
taint,玷污,冒险,拼命,效忠
plank,厚木板,观光业,难题,给予
three-dimensional,三维,四方,泊位,吨位
strings,弦乐器,竖琴,板胡,风琴
ceremony,典礼,洗礼,婚礼,天主教
tribal,部落,常委,同盟,委员会
complementary,补充,补发,淘汰,增添
shock,震动,无关,影响,轰动
concentric,同心,互联,三位一体,未婚
maverick,特立独行,热情,尊敬,不耐烦
conscience,良心,隐私,存心,哀思
altitude,高度,轻微,温和,尖锐
craftspeople,手工艺人,匀称,农耕,消灭
blaze,燃烧,燎,咆哮,叮当
assessment,估价,推论,预料,猜度
mighty,强大,光辉,牢固,雄伟
endeavor,努力,从来不,不够,约莫
aggregation,集合,汇集,纠集,握别
ore,矿石,伟晶岩,鹅卵石,页岩
interactive,交互式的,污染,…的理由,延迟
reverse,背面,正面,犄角,表层
mannerism,特殊习惯,奇特,明白,正常化
contrast,对比,区别,可比,识货
applicant,申请人,上司,师傅,委员
investigation,调查,侦查,追查,禁止
negate,否定,承认,驳斥,介入
postmaster,邮局局长,宣判,特性,跟踪
overburden,负担过多,塞子,改革,大写
subduct,减去,补给,淘汰,补发
audible,听得见的,页,在的上方,收集
calculator,计算器,警报器,轨枕,卫生设备
intricately,杂乱,失调,神经过敏,整洁
woolly,多毛,连续不断的一段时间,被想到,宽阔
nowadays,现今,今晨,当前,事先
hypothesize,假设,不然,只有,不单
burdensome,繁重,困难,微妙,深奥
adapt,改编,改口,推广,蔓延
customs,进口税,薪水,租税,税收
subsequently,随后,即将,正值,终于
emphasize,强调,吐露,禀告,誓死
granite,花岗岩,板岩,鹅卵石,页岩
saline,含盐,珍贵,嫁,节
recoil,弹回,圆盘,领域,努力
conviction,深信,半信半疑,同意,信奉
thorny,有刺,布告,正式宣布,配备
compress,压缩,补发,裁员,补票
adventurer,冒险家,鲁迅,郭沫若,把式
fracture,使破裂,厝,断头,皴裂
diffuse,扩散,为首,分散,抢先
readjust,重新调整,汗,固定装置,图案
admiration,钦佩,抱屈,确信,向往
ripen,（使）成熟,(美)英式足球,加强,(大中学校的)学生
breathing,呼吸,发音,叮,呻吟
crossing,横越,缺口,渡口,进口
fertilizer,肥料,塑胶,油饼,搪瓷
jog,慢跑,蹦蹦跳跳,奔腾,跳跃
urbanize,使都市化,倒出,需要,寓所
arthritis,关节炎,肺炎,多发病,禽流感
sluggish,行动迟缓,假设,出乎意料,女神
sap,使衰竭,明星,爱,误解
bowl,碗,拨号盘,铁饭碗,高脚杯
wit,智力,哲,天赋,度量
ironic,讽刺,争论,笔战,拍案叫绝
flea,跳蚤,白蚁,壁虱,细菌
hostility,敌意,本意,意思,民意
persuade,劝说,让步,驯服,巴结
endow,捐赠,拜托,转送,委托
amateur,业余爱好者,日常文书工作,逃避,频繁
insufficient,不足,不够,亏损,动态平衡
undergraduate,(尚未取得学位的)大学生,进一步地,火灾,照顾
stocky,(人或动物)矮而结实的,动听,细嫩,高昂
prestige,威望,众望,名望,名气
distill,蒸馏,镀金,拔丝,镀银
casting,铸件,货物,备品,构件
jewel,宝石,秕糠,文物,寿礼
threaten,预示…的凶兆,飞行,大量,家伙
touching,动人,富于,讨厌,可怕
acumen,敏锐,糊涂,卑怯,睿智
spine,脊骨,颈椎,龙骨,骨头
disintegrate,（使）分解,谋划,目的,宁愿(选择)
organically,有机,练习,必修课,功课
lethargic,懒洋洋的,疲劳,喘息,喘气
perseverance,坚定不移,骄横,不修边幅,明白
slight,轻微,强有力,深刻,粗劣
immune,（对…）免疫的,(报刊上的)漫画,不服从,技能
conversation,会话,直言不讳,多嘴,诉说
exacting,苛求,出乎预料,巴不得,向往
galvanize,刺激,限制,加以,杜绝
eventful,意义重大,欢迎,髭,损失
sidestep,横跨一步躲闪,有趣味的,远离中心,一会儿
consciously,有意识地,愿意,不甘,能够
commonsense,具有常识,确切,无论如何,安顿
orchid,兰花,莲花,牡丹,花儿
preceding,在前,在于,沐浴,支持
transplant,移植,栽植,播种,培植
newsstand,报摊,平庸,喜欢,(大)团
congregate,聚集,握别,久违,不辞而别
silly,愚蠢,笨口拙舌,智慧,机械
cancellation,取消,免费,解除,接收
blanket,毯子,褥子,棉被,壁毯
feasible,切实可行,粗浅,正确,百思不解
auditorium,大礼堂,阅览室,冰窖,浴室
specification,规格,格言,成份,氨基
intoxication,陶醉,专心,松弛,入迷
retail,零售,变卖,转让,批发
moderate,使缓和,(降)雨量,思考,完全
dentist,牙科医生,村庄,产生,碟
carnivorous,食肉,吸吮,喝,咀嚼
ritual,典礼,拜物教,伊斯兰教,洗礼
statistics,统计学,科技,医学,科目
fused,熔合在一起的,道歉,掩护物,胸腔
implement,实行,吸毒,建设,奉行
attachment,依恋,醒来,吃不来,习惯
brighten,使愉快,打断,监视,(食物等)精华
turbulent,狂暴,文明,把稳,客气
dilemma,困境,地狱,案情,股市
erode,腐蚀,搬弄是非,侵害,剥蚀
obsession,固执的念头,导游小册子,甘蓝,特别
locality,位置,前程,空缺,文职
significance,重要性,昂贵,无价,珍贵
genre,文学上的流派和体裁,鼻子,做礼拜,需要的东西
candidate,候选人,示威者,奴隶,选民
melodic,有旋律的,美式足球,成功者,狗
delay,推迟,安定,起伏,贬值
spectacular,引人入胜,富于,可怕,讨厌
carve,雕刻,雕塑,测绘,按脉
horn,（牛羊等的）角,影响,阶级,坏地
questionnaire,调查表,创作,视图,报表
animated,活生生的,延缓,高尚,推
coax,哄诱,工厂,做游戏,向…行贿
checkup,身体检查,监视,俘虏,另外
interdependent,相互依赖,资助,帮忙,慰问
multicellular,多细胞的,目的,公开,消磨
affective,感情,滋味,酸痛,遥感
nutritional,营养,毒素,氨基,补语
ration,定量,交易额,度数,贸易额
acronym,首字母缩写词,不飞,守卫,成功者
unify,统一,团圆,并肩,分别
incorporation,结合,通航,隔离,并联
mallet,槌棒,戴,弄错,晚的
celebrity,名人,奠基人,要人,赫兹
alignment,排列,陈列,散布,吊装
attainment,成就,吸毒,定稿,召开
unquestioning,不加疑问,吉利,一点,(镶有宝石的)装饰品
trustworthy,可信赖的,急剧,邮递员,蜜蜂
spacious,广大,无限,丰富,省略
acquaintance,相识,恋爱,百听不厌,认识
bloom,花,口吃,成熟,跛足
functional,功能,用处,证验,副作用
outfit,配备,安顿,调拨,调度
exchange,兑换,分配,按需分配,兑现
steadfast,坚定,笨拙,聪明,不敢越雷池一步
definitive,决定性的,阅世,病历,结果
sustain,维持,在于,支持,遗留
exploration,勘察,勘探,监测,测量
onset,开始,动手,启动,启程
accomplish,达到,得分,夺取,扭转
intact,尚未被人碰到的,碎片,饱和,破烂
sue,向…请求,南面,罢教,罢市
sect,宗派,北约,盖世太保,右翼
march,前进,昂首阔步,渐进,建设
approval,赞成,不予,信奉,疑心
predominant,支配,不可逾越,限于,超过
methodology,方法论,民族主义,马克思主义,辩证唯物主义
interrupt,打断,毗连,附着,通风
fanaticism,狂热,溃烂,堵塞,流血
sentence,宣判,定案,逼供,判处
needy,贫穷,毒打,不名一文,艰难
vastness,巨大,龙飞凤舞,兵不血刃,刚健
rigidity,刚性,地区性,针对性,安全性
detect,察觉,熟悉,得知,知悉
register,登记,制定,测定,原定
scarce,稀有,微不足道,各种各样,些许
facility,设施,香料,加速器,扩音器
bond,公债,货币,钞票,花边
warehouse,仓库,资料库,谷仓,车库
iceberg,冰山,雹子,暴风雪,台风
desolate,荒凉,繁华,勃然,拥挤
frightening,令人恐惧,尝试,政治,安祥
imitate,仿效,预习,镀金,阅读
unanimous,全体意见一致的,长久,红色,爆炸
defrost,解冻,腐败,褪色,变质
juxtaposition,并置,靠近,堵车,渗漏
narcotic,麻醉剂,药膏,药剂,药丸
preach,鼓吹,自夸,应对,夸耀
anomaly,异常的人或物,考虑,狂热,赦免
cater,满足需要,趋奉,媾和,放任
supervision,监督,蹲点,点名,督促
linger,逗留,风俗,迁徙,住院
cone,圆锥,三角形,队形,球状
compact,使密集,不可能的,享受…的乐趣,包装
blossom,花,成熟,跛足,吐穗
authority,权力,罪行,政权,夫权
freight,货物,软硬件,百货,硬件
excessive,过分,最少,一定,多多
dreadful,可怕,动人,可恨,丰富
catalyze,促使,发汗,授予,致死
consequence,结果,成熟,衰败,发芽
hasten,加速,安定,起伏,延迟
leak,泄露,盈利,败露,经济
eye-catching,引人注目,合法,暧昧,可行
precipitation,仓促,治安,饱经风霜,荒凉
keen,（感觉、观察、理解等）敏锐的,初,半夜三更,高效率
patronizing,俨然以恩人态度的,平稳,十分糟糕,祝贺
civilian,平民,每人,人群,东西
protein,蛋白质,烃,水晶,白磷
packaging,包装,投射,卷曲,装入
global,全球性的,餐室,接见,现实
boost,提高,巩固,衰弱,加紧
tap,开发,补税,缴纳,付款
gush,喷涌,堆放,淹没,溢出
bankrupt,（使）破产,膳食,作品,跃
merchandise,商品,硬件,软硬件,软件
elbow,肘,心(脏),疾病,能手
confuse,搞乱,训练,熨斗,外表
anthology,诗集,词典,碑帖,汇编
entity,存在物,跨国公司,花店,中央银行
affirm,断言,用…制的,数额,齿状物
immense,巨大,雄伟,稳健,强大
aggressive,好斗,行动,动作,毛病
fusion,联合,不得不,无意识,各自
horizontal,水平,表率,品质,典范
brochure,小册子,百科全书,伪书,词典
tropical,热带,大陆,北极,西半球
graft,嫁接,施肥,补苗,培土
fanciful,爱空想的,航行图,无数,集市
overhaul,彻底检查,修理,采制,定做
sheltered,遮蔽,赤裸裸,覆盖,凹陷
avoidance,避免,以免,消防,防水
unanimity,全体一致,［单复同形］鹿,十字路口,大衣
uncharted,地图上没标明的,烟草,很可能,工具(常用作单数)
prodigy,非凡之人,度量,智慧,斗志
forestall,预防,无害,侵害,防水
reformer,改革家,研究员,学者,文盲
precious,宝贵,无价,关键,敝
flavoring,调味品,豆腐,淀粉,芥末
curious,（令人）好奇的,心情,通知,不久
photosensitive,感光性的,律师业,一种大的坚固的木箱,自然
infancy,幼年,青年,少年,年长
ranch,农场,殡仪馆,股市,磁场
shy,胆小,睿智,脆弱,无所谓
dispute,争论,辩白,辩解,污蔑
domain,领域,两手,多边,政界
practicable,行得通的,表演,电影,荒谬的念头(或建议)
thoughtful,有思想性,控制,想象,卖
routine,常规,乏味,莫名其妙,神奇
stylized,风格化的,时代,成为(表示变化),难得
vibrant,活泼,开阔,不甘心,听说
relieve,减轻,减刑,高涨,升起
plow,犁,蠕(虫),缔结,部分时间的(地)
undo,取消,罢免,免费,命名
intentionally,有意,专程,任意,无意
spinach,菠菜,盖菜,蔬菜,白菜
genial,和蔼可亲,忠诚,伪善,驯服
pestilence,瘟疫,影像,病痛,暴病
fatal,致命,急剧,机动,锐利
surcharge,增付的费用,零钱,文明,小费
oversecretion,分泌过多,佃农,专门,修补
constituent,选民,监护人,众议员,纳税人
prone,倾向于…,激发,苦力,主席
chill,寒意,灵感,直觉,情感
odds,成败的可能性,百分比,死亡率,效率
tariff,关税,薪水,租金,工资
rental,租金额,(煮饭取暖用之)火炉,小河,指导
absolutely,完全,多于,不怎么,根本
clarification,澄清,违章,改正,本末倒置
conduct,传导,传说,扩散,混杂
draw,吸引,免疫,驱动,感染
subtractive,减法,魔法,做法,指法
