#word,meaning,option1,option2,option3
使喝醉,intoxicate,intoxicant,intricate,wither
属,appertain,pertain,ascertain,turmoil
阻碍,clog,flog,clod,crow
排泄物,excrement,excitement,increment,treasure
颤动,palsy,play,balmy,parley
现笑靥,dimple,dime,imply,pimple
无强制实施手段的,toothless,worthless,don,pagoda
联结,solder,order,yonder,wonder
容器,container,contain,appliance,pottery
同源学,etymology,picture,odds,divisor
铃碗,gong,gold,long,don
狭隘,parochial,tempting,hideous,symmetry
航空,aviation,agitation,radiation,animation
耙,harrow,marrow,narrow,sparrow
剪,shear,seat,shed,swear
第五十,fiftieth,sixtieth,fifteenth,fortieth
暴徒,desperado,desperate,Xiang4Yu3  the Conqueror,Taishan 
沉重,onerous,wondrous,nervous,generous
快跑,scamper,scupper,scatter,pamper
鱼的,fishy,fish,pithy,ashy
海岸,coastal,casual,coaxial,coast
和服,kimono,cheongsam,armor,burial clothes
明确地讲,specify,pacify,special,species
长寿,longevity,to blush ,male,flexible
加班费,overtime,overtake,override,overture
手铐,handcuff,desk lamp,cangue,fetter
施堆肥于,compost,comport,compass,composer
大草原,steppe,steep,stripe,staple
支架,trestle,wrestle,wrestler,trustee
可量,measurable,christen,eraser,terylene
俗丽而不值钱的服饰,tawdry,tawny,awry,tarry
利口酒,liqueur,liquefy,liquor,upstream
替罪羊,scapegoat,party ,runaway,refugee
家具装饰用品业,upholstery,upholster,burp,mackintosh
针织套衫,sweater,water,sweeten,swelter
氧化镁,magnesia,magnesium,magnetic,amnesia
产生,accrue,accede,acre,accuse
富裕的人,affluent,effluent,affluence,fluent
加强,intensify,intensive,intensify,grasp
初步尝试,foray,forty,form,noway
沟渠,kennel,kernel,funnel,tunnel
转让,devolve,revolve,resolve,involve
撤回,retract,refract,retreat,retrace
花生米,peanut,pedant,planet,pant
过热,gaseous,nauseous,greasy,explosive
急流,chute,cute,choke,flute
劈,hack,sack,buck,dark
卵巢,ovary,every,chary,oval
蛛丝,gossamer,kilocycle,glorious,annex
使沮丧,dishearten,wreathe,duplicate,foundry
棱柱,prism,press,praise,rise
转动,goggle,wiggle,waggle,gouge
情势,regimen,region,regiment,regime
无生气的,uninformed,repudiate,merciless,asset
完全失败,fiasco,fiance,fresco,disco
伏特加,vodka,soda,white spirit,beer
查讯,examine,famine,ermine,example
性情,temper,taper,reaper,member
小雕像,statuette,statute,ignorance,commerce
混乱状态,muddle,module,cuddle,curdle
母体,matrix,matron,metric,head
门特,mentor,meter,censor,senator
放火,arson,arrow,croon,iron
使成为神圣,hallow,hallo,callow,wallow
永不再,nevermore,evermore,gulf,patronage
干草叉,pitchfork,vivacious,sheer,moist
记法,notation,ovation,quotation,rotation
社会学,sociology,theological,dynamics,virology 
不可知论者,agnostic,noon,patentee,stigma
打,buffet,buffer,suffer,bucket
酒吧间女招待,barmaid,barman,braid,mermaid
按下,depress,cypress,duress,egress
挖苦,dig,nip,jib,vie
鲁莽的人,madcap,madman,madam,predicate
熟化,slake,slate,lame,share
亚麻籽,linseed,indeed,quake,horseman
用管道输送,duct,abduct,duck,dolt
司法权,judicature,power,a right,property right
壁炉边,hearth,heat,heath,health
缆索,hawser,lawyer,laser,hanker
酿造,brew,fret,break,brawn
肺,lung,blunt,lynx,lute
杏黄色的,apricot,haricot,grey,hangman
诽谤,slanderous,defame,dispute,dispute
执照,diploma,diplomacy,evidence,check
大猩猩,gorilla,corolla,grill,grille
堆积,accumulate,distributed,be decorated with lanterns and colored banners,to extend 
行为,comport,contort,comfort,compost
翼,vane,bane,male,vine
虐待,maltreat,entertain,treat,adoption
淫秽,obscenity,miserly,literal: to like the new, and hate the old,dainty
营养品,nutriment,nutrient,detriment,poison bait
有吸引力,fascinate,quay,whirlpool,hygiene
菌褶,gill,ill,grill,trill
啁啾声,chirp,chap,chirpy,chip
不傲慢的,unassuming,allegedly,domination,van
向...扔雪球,snowball,pilfer,alight,endemic
挡泥板,fender,reader,fetter,sender
路缘,curb,cure,cute,curt
契约,pact,pant,tact,part
攀缘植物,climber,clamber,glimmer,plumber
公驴,jackass,jackal,bull,steed
卑怯,dastardly,dastard,sensible,clear
异教,heterodox,heterodoxy,New Delhi ,Nanjing 
油的,unctuous,shaky,elongate,bobby
同心圆,concentric,invisible,polyhedron,tetrahedron
嗜血成性,cannibal,carnival,savoury,plough
渴望,yen,keg,ten,fee
群的,gregarious,precarious,testator,viewpoint
碘酊,iodine,dine,cosine,imitative
窃笑,titter,tether,litter,twitter
装饰,blazon,blaze,bacon,baron
乞丐,derelict,a person who always gets good breaks,rich man,debtor
阐明,elucidate,make known one's position,vindicate,to point out
盐泉,saline,sling,ravine,slink
槽,bosh,bus,bash,boat
笨拙的人,lout,pour,gout,loft
敷布,compress,oppress,empress,compass
导管,aqueduct,backboard,slate,optical fiber
秘窖,cache,cliche,yacht,face
翻领,lapel,libel,tape,lane
古文物收藏家,antiquary,antiquity,motor,rank
断言,aver,raven,amber,peer
肥料,fertilizer,fertilize,enamel,sponge
马球,polo,pull,sole,poly
轻摇,jog,joy,bog,john
副标题,subheading,accusation,trademark,trademark
泡菜,mango,mangle,gang,tango
状语词组,adverb,advent,adverse,aver
浅蓝,beryl,bevel,bevy,bury
得...分,bowl,bow,scowl,body
毛,hair,chair,hag,fairy
大锅,cauldron,flier,noes,bough
用反语的,ironic,tropic,iron,tonic
赤褐色的,auburn,burn,sunburn,augur
棉绒,lint,last,lift,hint
翻腾,welter,heater,waiter,filter
敏锐,acumen,acme,acute,inflexible
割让,cede,eve,cage,cease
丰富,bumper,butter,jumper,dumper
看轻,slight,alight,blight,might
充足,amplitude,aptitude,wide range,awful
免疫者,immune,immense,impure,commune
顽童,brat,great,brag,rat
完全,plenary,penury,plenty,bleary
抓住,captivate,castigate,captive,cultivate
扣除,deduct,depict,deduce,seduce
扭动,writhe,write,wrath,with
移植器官,transplant,applique,youngster,hanker
灰色,ashy,ash,away,shy
集合,congregate,to shake hands,leave without saying good-bye,to muster
吸烟室,smoker,stoke,smoke,stoker
会堂,auditorium,reading room,lobby,cloakroom
分娩,childbirth,to produce,twins,fade
极大,whooping,shooting,dumpy,height
胃,maw,nab,haw,now
着魔,obsession,possession,session,hate to leave a place where one has lived long
光环,aura,bra,aural,mural
胡萝卜,carrot,carton,parrot,marrow
潮湿,sloppy,snappy,floppy,soapy
无性,neuter,fetter,never,meter
奴隶,chattel,chaste,cartel,chatter
避风港,harbour,arbour,parlour,ardour
血管,vascular,muscular,acupuncture point,pubic region
大头锤,mallet,ballet,pallet,wallet
海事法庭,admiralty,admiral,philtre,intellect
精子,sperm,seam,spew,specs
不难,downhill,downfall,subtle,low level
面甲,visor,vista,vapor,divisor
烧焦,sear,fear,slam,steal
官能,functional,fractional,function,kinetic energy
决定性的,definitive,infinitive,definite,definition
苦恼,repine,recite,retire,refine
弄乱,squabble,stubble,equable,quibble
奶奶,granny,grain,granary,grand
枸橼,citron,matron,patron,micron
漂亮,cute,brute,care,cause
最近,proximate,proximity,primate,one after another
爱开玩笑,jocose,morose,goose,loose
进行诈骗,defraud,defray,fraud,overload
律师,jurist,wrist,Christ,just
憎恶,abhorrent,absorbent,abhorrence,have a gnawing regret
坚果外壳,nutshell,outsell,abseil,stocky
冰山,iceberg,ice floe,snowstorm,gale
光明,roseate,rotate,honor,arduous
海洋,salty,halt,waltz,faulty
麻醉剂,narcotic,arctic,medicine,ointment
逡巡不前,jib,jam,jug,nib
不足乏额,shortage,hostage,shortwave,storage
翼,van,pal,vat,ray
有健康美,buxom,boom,bloom,bum
同盟,federation,moderation,generation,accompany another
漏,leak,wean,gear,lark
道具,prop,trot,iron,grip
有策略的,tactical,tactics,tactician,nautical
不知感恩,thankless,trackless,jailbreak,battery
被风吹落的果实,windfall,windmill,propagate,civilian
蛋白质,protein,protege,protest,protect
全球,global,loyal,globule,floral
渴望,hanker,sinker,hammer,dancer
用刺,lunge,tinge,lounge,range
套筒,thimble,humble,tremble,shamble
强的,tenacious,mendacious,veracious,better
收集,garner,garden,tanner,garnet
分散,disband,distant,distend,husband
一箱的量,crate,create,crane,prate
狙击,snipe,slime,swipe,snip
选集,anthology,astrology,mythology,pathology
句法,syntax,surtax,a behavior,enchantment
赌赢的钱,winnings,inning,have,apiary
谨慎,chary,hay,canary,charity
草草,cursory,cursor,curry,bursary
宽恕,condone,condole,connote,console
侵犯,aggressive,aggression,be more of a hindrance than a help,to injure
把...登记入册,accession,succession,recession,ascension
将...嫁接,graft,raft,grace,graph
易受惊的,squeamish,pale,monastery,shear
鸡尾酒,cocktail,wine,cider,maotai or maitai 
彻底革新,overhaul,overhang,overall,moonstone
旅行,jaunt,haunt,taunt,gaunt
预先阻止,forestall,foretell,gabble,legal
非官方的,unofficial,official,prosody,dozen
裁判员,umpire,empire,vampire,ampere
斜倚,recline,receive,feline,decline
过失,demerit,temerity,deceit,merit
震动,vibrant,vibrate,vagrant,migrant
向外弯的,bandy,brandy,handy,bad
菠菜叶,spinach,pinch,spinal,fascist
宏伟,grandiose,great person,firm,untrammeled
书虱,louse,loess,lousy,lore
军舰,warship,hardship,worship,airship
水路,lode,elide,robe,ode
使受病痛,ail,tit,wail,dip
守财奴,miser,bier,miner,liver
施魔力于,bewitch,twitch,switch,bitch
好斗,combative,shortcomings,atrocity,movement
观察孔,loophole,drench,babyhood,gifted
无轨,trackless,thankless,reckless,graceless
充满活力,spry,shy,pry,spy
攫,cop,go,cos,coy
薄荷,peppermint,herb,moss,poisonous weeds
假名,pseudonym,carry on a pole,a vowel followed by a nasal consonant,press down firmly
薄层,film,firm,jilt,fill
拨款,allotment,to settle accounts,charge,wipe out
矿泉,spa,seam,say,via
回复,revert,reverse,never,retort
干线,arterial,aerial,material,sartorial
模仿,simulate,stimulate,emulate,stipulate
恫吓,intimidate,intimate,force,press for payment of debts
十足,congenital,congenial,extant,to squander
俭省,parsimony,obscurity,in charge of,cautious
臀部,buttock,mattock,button,bullock
凝乳,curd,care,lurk,cure
阻塞,glut,glue,lout,rout
长肥,fatten,pattern,flatten,tatter
把...分类,classify,classy,classic,clarify
环路,loop,loot,load,gloom
赞歌,laud,lamb,loud,laird
冰冻,frost,frisk,frosty,roast
感冒,cold,pole,crowd,road
钢琴家,pianist,papist,biologist,creator
环绕,circumvent,to blend,close in on,encircle
性爱,venereal,general,funereal,ventral
决口,crevasse,crease,to be injured,catch fire
爆破工,fireman,foreman,lineman,unearthly
日射病,sunstroke,feather screen,malaria,influenza
谆谆教诲,inculcate,incubate,insulate,instruct
戒绝,abstain,stain,attain,sustain
发生,incidence,accidence,incident,outburst
打,sock,sow,slack,son
生锈,rust,gusto,out,aunt
修剪,pare,cane,farm,hate
偷,rat,pant,pat,pate
小气,niggardly,niggard,using strong words,extend 
适应,orient,portent,print,torrent
使劲关,slam,sham,slay,stab
异读,variant,valiant,variance,warrant
不纯,impurity,impunity,purity,immunity
玄妙,recondite,reconcile,fluent,easy
嘲讽,gibe,gore,jibe,dine
衰落,dwindle,swindle,spindle,twinkle
用污言秽语谩骂的,scurrilous,cur,mould,ethereal
使白,whiten,whither,writer,white
小玩具,bauble,babble,bangle,gabble
避免,eschew,screw,chew,get out of the way
治疗法,curative,lucrative,purgative,furtive
集会,conclave,enclave,conceive,concave
狠揍,baste,haste,caste,castle
旅行,locomotion,locomotive,expedition,trek
卑鄙,squalor,squalid,equator,squall
盗窃,rob,mob,sob,rub
石蜡,paraffin,white phosphorus,crystal,mercury
避难人,refugee,refuge,refute,refuel
木排路,corduroy,delectable,vaudeville,spare
惹人讨厌,stink,stick,stank,tin
惨白,cadaverous,brown,gray,tan
痛心,heartache,headache,miserable,sullen
寄生于,infest,incest,intent,indent
间接,vicarious,vivacious,various,victorious
眼镜蛇,cobra,comma,cocoa,bra
及物,transitive,transition,mayor,downfall
溶剂,solvent,solve,silent,convent
生荚果,pod,kid,peg,cos
不平稳的,jerky,very,jerk,murky
猛击,clout,coup,bout,flout
直线区间,tangent,talent,cotangent,pungent
努力工作,beaver,reaper,breaker,bravery
借口,alibi,alias,align,glib
强加,obtrude,obtuse,intrude,to restrict
音乐,tuneful,useful,antithetical couplet  ,a pair of antithetical phrases, etc.
猛地一拉,yank,hark,rink,man
专题描述,tirade,trader,dirage,tire
门房,janitor,junior,monitor,kitchen
辛辣,racy,rock,ranch,race
女管家,stewardess,marginal,union,sup
揉,knead,bread,dead,stead
线构,linear,liner,lineal,linen
地形,topography,typography,form,triangle
猫咪,puss,push,piss,put
处女膜,hymen,yen,hymn,semen
暗箱,camera,camel,cater,camber
军士,brigadier,brigade,foot,new  recruit
蛇的,serpentine,turpentine,puberty,collateral
模仿者,imitator,agitator,imitate,imitation
提交,remit,emit,remiss,omit
合成物,synthetic,synthesis,item,adulteress
母虎,tigress,digress,tress,regress
掩饰,belie,belief,believe,blue
呼,exhale,exalt,exhume,inhale
轻击,dab,lab,do,dad
大型锯机,sawmill,swill,congress,enemy
唾沫,spittle,epistle,brittle,whittle
给...装软木,cork,card,pork,nark
用碳制的,carbolic,catholic,carbonic,monopsony
誊写,exemplify,exemplary,padding,to portray
煎蛋饼,omelette,hysterical,lookout,disco
粘的,adhesive,fidget,ocular,classical
猎枪,shotgun,revolver,rifle,chemical weapon
腱,tendon,kendo,vendor,tension
糊弄人的,captious,cautious,copious,caption
体外,extraneous,outdoor,external,outskirts
保姆,nanny,nasty,uncanny,dandy
提高,uplift,split,lift,splint
惠顾,patronize,patronage,to arrive,go on 
原籍,domicile,homicide,docile,distinguishing between the sexes
手工业,handicraft,project,industry and commerce,electrical power
混乱,huddle,cuddle,fuddle,handle
试金石,touchstone,source of revenue,foundation,perjury
以私刑处死,lynch,bunch,winch,punch
杰出典范,paragon,pardon,jargon,paradox
乏味的话,humdrum,father,fictitious,swoon
哗哗声,brawl,trawl,brow,bawl
喷嚏,sneeze,sneer,sleeve,squeeze
充当...的通报者,harbinger,set,remove,role
焊接,weld,geld,wily,wield
年幼,callow,pallor,gallows,hallow
钝的,obtuse,obese,obtrude,contuse
颜色粉笔,crayon,craven,rayon,croon
叶,lobe,lose,job,loaf
肉峰,hunch,bunch,pinch,winch
抵偿,expiate,excite,expatiate,expire
掼奶油,snowstorm,bravado,homework,cymbal
内脏,gut,sue,gag,mum
喉,larynx,lynx,altitude,vim
滑稽模仿,travesty,prodigal,gainsay,tincture
尺寸,dimension,diversion,dissension,measurement
指控,accuse,access,accost,excuse
宫殿,palatial,partial,inscribed motto,the east section of the palace
移居外国,emigrate,migrate,immigrate,emigrant
感情,emotional,emotion,inspiration,ill
泄漏,divulge,diverge,to lose,reveal
老年,senile,exile,gentle,defile
诙谐,jocular,ocular,popular,secular
捏,twinge,tinge,twine,twig
字幕,caption,ration,nation,faction
泡,infuse,infest,incise,inure
无机,inorganic,organic,regular college course,homework
一队,bevy,berry,bead,heavy
赠送人,donor,honor,door,color
藏牌,revoke,revolt,revolve,remote
敬重,venerate,penetrate,generate,venerable
些微,molecule,purely,more than,more and more
红玄武土,bole,bone,mule,bowel
垩,whiting,whiten,wetting,Korea
擦掉,erase,eraser,terse,easel
插曲,interlude,intercede,intrude,a mournful song
俗丽,garish,gash,parish,famish
不活动的,immobile,mobile,broth,frowzy
发射,throw,throb,throne,throng
光学,optics,option,optical,antics
斑马,zebra,era,zero,umbra
堕落者,decadent,decadence,decant,decent
牛臀肉,rump,lump,rumpus,dump
穹顶,cupola,cola,copula,dutiable
起端,origin,organ,ordain,original
闪光,flashlight,refraction,shiny,diffraction
会变,mutable,notable,movable,unable
在脚下,underfoot,cathode,salient,lifeboat
海绵肿,fungus,consult,fantastic,tuition
女低音,contralto,contract,contractor,contrast
礼拜仪式,liturgy,ignoramus,automation,recant
一块钱,cucumber,encumber,lint,cubic
难以捉摸,tricky,sticky,trick,truck
小招牌,shingle,jingle,single,swindle
大气,meteoric,metric,meteorite,meteor
声音颤抖,quaver,quiver,queer,quake
使表现,demean,dean,defeat,demon
小市民,cad,cod,dad,ham
中音部的,alto,also,atom,alas
彻底,arrant,warrant,warranty,arrange
发泄,release,decease,relapse,relate
尖叫,screech,breech,screed,scratch
告密者,weasel,easel,cease,weaken
开始,inaugurate,inaccurate,inaugural,school opens
扭动,wriggle,wrangle,wiggle,waggle
釉,glaze,laze,haze,lane
互搭,overlap,overload,overtax,overpay
咖喱菜肴,curry,chary,curly,carry
陡峭,craggy,scraggy,cranky,groggy
原因,causal,aural,carnal,canal
生境,habitat,habitual,habit,habituate
鼓动者,agitator,agitation,agitate,imitator
驾快艇,yacht,pact,cache,tact
易适应的,pliable,viable,reliable,liable
纨绔子弟,fop,sip,tow,food
过分瘦长,lanky,narky,flank,rank
小罐,canister,canter,sinister,minister
震颤,tingle,tinkle,jingle,wangle
用烟熏,smudge,surge,trudge,midge
轻歌舞剧,vaudeville,moist,softness,absurd
娘们,heifer,defer,heater,header
砰地一声,flop,sop,flap,felon
格言,aphorism,model,complement,adverbial adjunct
无主失物,waif,maim,war,want
分等,gradation,graduation,radiation,tradition
余弦符号,cos,sow,cog,moss
污染,pollute,polite,collate,to lead to
发出,emission,mission,remission,omission
代表团,legation,relation,negation,delegation
抢救,salvage,ravage,salve,savage
简洁,laconic,lactic,tight ,riddled with gaping wounds
社论,editorial,A Dream of Red Mansions,An Outline Treatise of Medical Herbs, compiled by Li3 Shi2 Zhen1 李时珍,lament
籽生植物,seedling,sterling,euthanasia,robin
夏尔马,shire,share,slice,shore
使面对,confront,impulse,petulant,coke
炙叉,broach,breath,reach,brash
技工,artificer,artifice,planing machine operator,miner
齿,dent,cent,deny,dot
袋狼,hyena,hymn,yen,hymen
胭脂红色,carmine,ermine,marine,sardine
木薯,tapioca,potato,soy bean,Chinese celery
有称号的,titular,tabular,tubular,destiny
工匠,craftsman,draftsman,carpenter,guide
催促,hustle,rustle,hurtle,subtle
违犯,infraction,inflation,inaction,fraction
枝条,tress,dress,chess,press
黑板,blackboard,blackguard,the shaft of a pen or writing brush,pen-holder
使变紧,tighten,lighten,tight,lighter
季风,monsoon,pontoon,mansion,gust
赭色,ochre,ache,cure,chore
串珠,chaplet,chalet,chapter,hamlet
枯萎,sicken,ticker,sticker,thicken
代言人,mouthpiece,assistant director,testimony,eyewitness
第三十日,thirtieth,thirteenth,postage,cop
黄蜂,wasp,base,grasp,wisp
馅饼,pasty,hasty,pate,pant
烟,fume,fuss,fur,bump
气旋,cyclone,cycle,hue,natural gas
打鼾,snore,snout,snort,snare
象征,emblematic,mark,so-called,to give expression to
剥夺,oust,guest,must,fuss
原形,infinitive,infinite,definitive,basic
引用,citation,dictation,station,rotation
洗涤室,scullery,cutlery,nurseryman,husk
反复做,reiterate,literate,iterate,freely
准确性,certitude,fortitude,servitude,rectitude
麻烦,importune,importance,opportune,important
仿犊皮纸,vellum,helium,velour,charlatan
航海技能,seamanship,prosody,nebula,quorum
茂盛,palmy,pale,dally,palsy
烙铁,brand,brink,bran,grand
加拉巴木,calabash,kerchief,channel,fervent
联合,coalesce,oneself,unconsciously,even
向日葵黄,sunflower,thresh,camber,controller
颤动,aspen,astern,assent,aspect
书面协定,cartel,cater,parcel,caries
装饰,ornate,urinate,grate,rate
版权,copyright,jurisdiction,copyright,burden
键盘,keyboard,seaboard,keyboard,round basket of bamboo
皮包骨的,skinny,stingy,sunny,whinny
离子,ion,on,go,foe
包,wind,bind,wend,wile
结籽,seedy,secede,weedy,needy
分泌,secretive,secretion,secrete,sparerib
蹒跚,totter,potter,loiter,jitter
附带,apropos,propose,special-purpose trip,do one's best
围裙,pinafore,petticoat,pocket,apron
服装,garnish,varnish,garish,banish
腐蚀剂,corrosive,corrosion,toxicant,opium
马蹄铁,horseshoe,nuclear weapon,conventional weapon,whip
变态,abnormal,normal,geography,style
严厉,dour,four,tour,your
订阅者,subscriber,subscribe,physics,company
使目眩,daze,haze,save,dad
打,bray,brow,beam,brassy
女傧相,bridesmaid,complete,cage,crony
挂名,dummy,mommy,mummy,dumpy
把...围住,bracket,jacket,bucket,basket
吃,partake,portage,parade,pancake
深仇,rancour,candour,market,gaseous
膂力,brawn,brown,brace,awn
嘲笑,flout,spout,flour,slut
铁,iron,upon,trot,roan
粗暴,truculent,patient ,to value,enthusiastic
证人,testator,testate,spokesperson,eyewitness
羚羊皮,chamois,chassis,chaos,profitable
变黑,blacken,slacken,blackleg,backer
乱伦,incest,invest,inlet,infest
集会,convene,converge,convent,converse
棱堡,bastion,action,bassoon,basin
男中音,baritone,soprano,modern  pronunciation of a Chinese character,pronunciation
湖,loch,botch,sock,dock
小贩,vendor,censor,tenor,sensor
分水桩,starling,darling,sterling,sapling
发呜咽声,whimper,whisper,wiper,shimmer
自负,immodest,modest,burden,fixing of farm output quotas for each household
信异教的,miscreant,guesthouse,abase,darling
多产,copious,captious,curious,impious
腰部,loin,noun,foil,lose
平静,halcyon,falcon,be worthy of,thirsting or hungering for sth.
沙丘,dune,bane,sane,funk
不诚恳的,insincere,sincere,enjoin,oppression
制动用的,snub,knob,snug,snap
使得零分,whitewash,only,enthrone,bar
抽运,pump,hump,pop,jump
浸,swim,stem,win,sham
排气管,stack,stick,stank,sack
反射,bounce,pounce,ounce,nonce
闪避,parry,parity,harry,park
掠夺,loot,volt,soot,lop
跨越,trans,crane,trait,tram
投票人,voter,mother,lower,foyer
女侍者,waitress,actress,witness,mattress
弄乱,entangle,rectangle,tangle,laze
相咬,tooth,sloth,loath,mouth
使无资格,disable,likable,sable,viable
项,nape,naive,rare,care
玩笑,jig,hip,nip,din
隐藏,cryptic,crypt,critic,slip
共鸣音,resonant,resonance,proclaim,hay
继父,stepfather,stepmother,maternal grandfather,maternal grandmother
侮辱行为,contumely,salesman,realm,ardour
橘子酱,marmalade,discourage,magnet,duet
腹的,ventral,central,eventual,venal
用棍子打,truncheon,luncheon,episode,guttural
累赘,cumbersome,minute,omission,endless
颠覆性的,subversive,foul,debilitate,loathe
西洋骨牌,domino,domain,dominion,respire
江湖骗子,mountebank,wastrel,swindler,drunkard
头号,flagship,upper class,very difficult ,to pass a test
高利贷者,usurer,super,usury,insurer
连根拔起,eradicate,predicate,radiate,chimpanzee
慢吞吞地说话,drawl,draw,raw,brawn
发红,hectic,hepatic,arctic,heretic
傻笑,smirk,quirk,shire,smack
流行性的,epidemic,endemic,afghani,maelstrom
大干草堆,haystack,mongrel,reconcile,effrontery
剪,stow,straw,tot,tow
洗烫衣物的女工,laundress,undress,physique,domestic
零钱,shrapnel,grapnel,travel expenses,postage
登记,catalogue,analogue,enter oneself for an examination,apply
趸船,pontoon,platoon,potion,monsoon
捕鲸人,whaler,whale,whole,wader
品红色,magenta,agenda,agent,dainty
膈,diaphragm,sociology,crypt,chick
发怒,irate,pirate,raze,migrate
极洪亮的,stentorian,furnish,payable,abate
变简单,simplify,simply,amplify,misty
未切,uncut,undue,nut,input
大酒杯,tankard,tanker,standard,contend
流浪,nomadic,nomad,vegetarian food,to depend on
加热至接近沸腾的,scald,scud,scamp,cad
蒸馏,distil,instil,pistol,dismal
铸造,foundry,sundry,boundary,laundry
狂暴,tumultuous,be concerned about face-saving,hasty,stately
圆脸,chubby,tubby,hubby,stubby
土匪,brigand,brand,brigade,political prisoner
占卜,augury,augur,luxury,angry
轻浮,flighty,lightly,flight,light
固定,fixture,fissure,mixture,texture
卫生,hygiene,hygienic,be dazzled,sternly
炭渣,cinder,binder,miner,cider
管的,tubular,tabular,jugular,titular
美人鱼,mermaid,barmaid,goldfish,sardine
协奏曲,concerto,concert,concept,conceit
激怒,choleric,cholera,cleric,offend
给...钉板条,lath,loath,lawn,lush
副官,aide,glide,hie,airy
压碎,mash,most,mesh,cash
使分离的,separable,reparable,repairable,parable
狂热,fad,yard,bat,mead
走入,pervade,parade,evade,persuade
大桶,vat,via,mot,bat
对...发伪誓,forswear,forbear,hydrant,trapeze
扮演,enact,fact,exact,snack
诽谤,blaspheme,to quibble,satire,refute
腿肉,shank,thank,whack,shark
邮资机,meter,metro,deer,meteor
温室,greenery,reentry,vegetable field,Taoyuan 
恐吓,affray,astray,defray,foray
鼠海豚,porpoise,tortoise,purpose,dyspepsia
抗辩,demur,debar,demon,demure
优于,surmount,surround,not good enough,be worth reading a hundred times
锯床,saw,sew,pew,sad
窗头线,eyebrow,curve,penicillin,loud
腐化,venal,venial,penal,metal
领事任期,consulate,copulate,insulate,conjugate
马虎,slipshod,haul,careful,idleness
秩序,cosmos,common,cosmic,offensive
通知,apprise,appraise,approve,arise
回避,abhor,actor,labor,anchor
经过,outstrip,according to reason,because,rely on
士气,morale,moral,mural,moralize
共有,joint,point,join,mount
向...喝彩,bravo,brave,bran,bra
流动,itinerant,itinerary,convection,slump
垄断,monopolize,monopolist,to make public,congregation
体操,gymnastics,test,gymnastic,to do physical training
生育,engender,gender,engineer,thaw
衣冠楚楚,dapper,supper,danger,draper
发电机,dynamo,dynamic,engine ,motor
通心面,macaroni,tempo,nausea,abort
组合,resultant,reluctant,resistant,to worry
奇才,portent,porter,potent,portend
盗窃,larceny,broken circuit,robbery,pirated  copy
重音,accent,ascent,accept,decent
公共卫生,sanitation,salutation,habitation,agitation
英里数,mileage,village,silage,pillage
闪闪发光,glint,paint,faint,glide
探询,quizzical,overthrow,intervene,to participate 
脐,navel,naked,enamel,aver
漠不关心,nonchalant,ignore,discrimination ,loathe
体弱,debility,nobility,ability,senility
营房,barrack,barrage,store of arms,barn
钱财,swag,sway,scan,stag
肥胖,corpulent,opulent,deep,perpendicular
花瓣,petal,peal,pedal,regal
饵,bait,bat,bank,bet
