#word,meaning,option1,option2,option3
低估,underestimate,reasoning,to estimate,unexpectedly
肿胀,swelling,digestion,analgesic,to cough
挨饿,starve,stare,scare,stave
容器,container,contain,lightning arrester,reactor
榨出物,extract,entrant,extra,extinct
关联,association,interrelated,love my dog,chain reaction
线状,threadlike,loss,emit,chemistry
航空,aviation,navigation,deviation,ovation
欺骗,deception,reception,exception,perception
合并,incorpoarate,to split,to have a reunion,trinity
使变化,transmute,misdeal,contiguous,chronology
能繁殖的,fertile,futile,fertilize,infertile
传播,broadcast,transmission,hereditary,rumor
疑心,doubtful,conviction,confident,believe
折衷主义,eclecticism,nationalism,middle school,agnosticism
枕头,pillow,billow,fallow,willow
修剪,shear,shed,smear,she
爆发,explode,explore,exploit,expose
引起注意,attract,abstract,attack,detract
城堡,chateau,decrepit house,loft,former residence
生产量,output,outwit,outpost,outfit
胡说,nonsense,condense,speak out of turn,to say more than is necessary
记忆,memory,emery,melody,memo
炼金术,alchemy,resent,branch,eyesight
远征,expedition,exposition,innate,courageous
爬行,creep,sheep,creed,crap
存款人,depositor,depository,repository,deposit
立法机关,legislature,communion,bomber,glazier
鱼的,fishy,fussy,misty,fiery
扩展,sprawl,scrawl,sprat,spray
造船工人,shipwright,loaves,squeal,machine
折扣,discount,dismount,around,rate of exchange
涂掉,obliterate,literate,illiterate,consultant
全体工作人员,crew,chew,cram,creep
明确说明,specify,specific,specie,pacify
背叛,treacherous,to arm,to betray,restoration of reactionary rule
长寿,longevity,aged,delicate,youthful
形成中的,formative,scabbard,acuity,smoker
鬼魂出没,haunted,blessings,create out of the imagination,provoke
肮脏,messy,espy,hussy,misty
部分,partial,particle,partially,martial
不断,endlessly,take the lead ,from the beginning of ... up to ...,of course
超时,overtime,override,overcome,overture
最小,minimal,menial,mineral,animal
有益健康,healthful,theism,integrity,hug
草图,draft,raft,craft,trait
亮度,luminosity,point of view,hardness,length of 2 outstretched arms
子午线,meridian,latitude,the Earth,tropical
太阳,solar,molar,solo,sonar
新颖,novelty,lovely,poverty,novel
半熔化的,semimolten,hotchpotch,misread,cosmonaut
(古罗马)市民特权阶层成员的,equestrian,drive,travel along a route,ride on horseback
时代,period,peril,periodic,person
分发,distribute,to receive,provide,to send out
替罪羊,scapegoat,refugee,rover,victim
刺,sting,slang,stag,string
强烈,spanking,unofficial,shady,state in writing
减少,wane,win,anew,waif
桶,tub,cub,mob,buy
掠夺者,despoiler,martyrdom,America,loyal
成就,accomplishment,convene,final version or text,to take a wrong step in life
辛苦,painstaking,for a long time,consult,be unworthy of
疲倦,weariness,to pant,lazily,to gasp for breath
故障,breakdown,duration,knowledge gained,tail
一千年,millennia,straw,hear,nipper
钢结构大梁,girder,gird,garner,border
杂色,varied,extra,more or less open,made in one's own country
装饰品,ornamentation,rouge,lace,cologne
节俭,sparingly,intermittently,industrious ,lazy
粘土,clay,gay,claw,chap
停止,terminate,germinate,terminal,termite
远见,foresight,freight,fortnight,appeal
不相信,mistrust,mistress,distrust,confident
超越,surpass,surplus,limit to,advantageous
富有,affluent,effluent,fluent,affluence
扩大,intensify,intensive,to extend,rise suddenly and sharply
放牧,graze,gaze,grape,glaze
远离,distant,disband,disputant,distance
（使）协调,harmonize,carbonize,leech,joinery
不均匀的,asymmetrical,overtake,brother,illumine
十亿（的）,billion,zillion,bullion,balloon
真菌,fungi,barley,edible tree fungus,mushroom
隐约闪现,loom,room,cool,worm
同类相食,cannibalism,salt,music,meaningful
错觉,illusion,allusion,illusive,collusion
联盟,consortium,become sworn brothers,accompany another,settle down and get on with one's pursuit
袭击,foray,forum,forty,focal
任命,appoint,point,to assign,engage
特别,notably,notary,notable,inadequate
震惊,shocked,appall,terror,withdraw
狗舍,kennel,kernel,kneel,runnel
细枝,twig,wig,thug,pig
灾难,disaster,distaste,scourge,luck with the opposite sex
深思熟虑,deliberate,delineate,liberate,measure
费力,laboriously,medium,simple,superficial
着火,ablaze,blazer,glaze,able
缩回,retract,refract,retrace,restrict
气体,gaseous,nauseous,atmosphere,nitrogen
当局,authorities,swelling of the liver,political power,freckle
绿宝石,turquoise,rubbish,waste  gas,treasure-house
摔跤,wrestling,cock fighting,boxing,semifinals
降落伞,parachute,necklace,bracelet,parasol
紧急,urgent,orient,ardent,pungent
小心,cautious,captious,caution,curious
雾号（浓雾信号）,foghorn,forlorn,expiate,resurrect
熔合,fuse,rose,fuss,muse
政治,politics,politick,politic,political
事业,enterprise,marquis,great undertaking,general manager
履行,perform,reform,deform,perforce
针灸,acupuncture,massage,vaccine,to give or have an injection
管辖范围,jurisdiction,elephant,derivation,mince
被压缩的,compressed,as incompatible or irreconcilable as ice and hot coals,sole,friendly
缓和,temper,dumper,keeper,teller
侵略者,invader,soldier of fortune,cheater,hoodlum
近似,approximately,inequality,just like,ordinary
放大,magnify,dignify,signify,remodel
轴心,axis,this,maxim,basis
节食者,dieter,retreat,angelic,underdone
自然主义者,naturalist,naturalize,Gents,mischance
（使）肿胀、膨胀,swell,well,spell,dell
好奇心,curiosity,curiosity,loyalty,deliberately
立法,legislation,appoint,set up,choose a site for the capital
序列,sequence,sentence,troposphere,party
相似,resemblance,be just like,as good as,act in a way that defeats one's purpose
禀赋,endowment,ability,knowledge,imaginative power
坦白承认,confess,confuse,confer,contest
使沉浸,overwhelm,month,emphasize,vocalist
商议,negotiation,negotiation,discussions,to adapt to
史前,prehistoric,age,9-11 a.m.,this life
潜水艇,submarine,summarize,military naval vessel,battleship
符号,notation,notion,ovation,nutation
多才多艺,multi-faceted,answer fluently,incapable,stiff
冷漠,indifference,generous,respectfully,passionate
先进,advanced,not amenable to reason,lag ,revolutionary
不可想象,unimaginable,pigment,suite,turning
摘要,abstract,distract,attract,obstruct
修剪,trim,tramp,brim,rim
硅酸盐,silicate,sulfur,white phosphorus,mercury
中心点,pivot,pilot,pint,pot
宇宙飞船,spaceship,glider,propeller,sleigh
有营养的,nourishing,restart,confound,English
压下,depress,repress,redress,dress
食肉,predatory,drink,to devour,chew
前进,advance,advice,askance,dance
捆,bundle,candle,bungle,burgle
冲突,interference,greet,kneel,to bow
成对角线,diagonally,asthma,physicist,July
改变,shift,shifty,shit,shoot
易变,mobile,movie,mole,docile
告发,prosecute,persecute,prosecutor,accuse
破坏性的,devastating,frequency,rotary,moth
稀有,rare,bore,warp,rake
疾病（尤指轻病、小病）,ailment,unerring,tattoo,murderer
流出,discharge,to go into,sunrise,flow into
弯脚,bowlegged,mini,quoit,fighter
蓝宝石,sapphire,steam,ruby,precious  deposits
诱惑人的,tempting,flesh,avocation,bawl
显示,display,splay,dismay,mislay
无知,ignorance,ignorant,to know the ropes,poor
苦工,drudgery,dredger,drudge,household duties
存活,subsistence,hand down ,support,easy to
远足,excursion,exclusion,expulsion,incursion
寻找,quest,nest,guest,oust
侏儒,dwarf,war,dare,warn
稀释,dilution,rise,disarmament,to weaken
不确定地,indefinitely,bum,suture,bank
形象化的比喻,imagery,image,sash,tuna
嗜好,inclination,significance,objective,philately
尊严,dignity,indignity,dignify,signify
地点,spot,swop,shoot,sloth
船货,shipload,prop,asperity,cursor
独自,solely,interactive,if,personal
原型,prototype,jot,ski,southeast
粘在一起,coherent,adherent,incoherent,cohere
发表,utter,upper,duster,jotter
活力,vitality,finality,totality,vitalize
修辞学,rhetoric,geology,research,virology 
大气,atmosphere,let bygones be bygones,not stint,neither supercilious nor obsequious
有分歧的,divergent,suckle,sheet,broke
战士,warrior,barrier,carrier,puppet army
血浆,plasma,blister,bubble,broth
基本,rudimentary,urgent,serious,negligible
深深,profoundly,considerable,flat,penetrating
区分,differentiate,distinguish,to know what's what,to ascertain
毗连,adjacent,close to,leakage,press on towards
移动,locomote,to flow out,convection,current
迂回行进,weave,leave,behave,heave
兽皮,hide,hare,chide,rite
起皱,crumple,scruple,crumble,rumple
不幸,unfortunately,dodge a pit only to fall into a well,to rise to power and position,break out
单人牢房,cell,yell,dwell,fell
君主,monarch,march,monarchy,director
大猩猩,gorilla,corolla,grill,grille
有角,horned,film,hawthorn,salon
堆积,accumulate,to extend ,array,disseminate
常去的地方,haunt,daunt,hunt,gaunt
凝视,peer,pier,beer,peep
军人,soldier,solder,collier,holder
引起瘟疫,pestilential,university,policy,limelight
毁灭性的,destructive,agape,sorry,elevator
最佳,optimal,first-class,can,in the center
系统化,regimentation,to legalize,promote younger staff,to become
收割,reap,wear,clap,deaf
对称,symmetrical,coincidence,act in concert with,be suitable
光合作用,photosynthesis,reputation,reflex,quick results
航海,marine,mariner,saline,famine
拥有,possession,possessive,obsession,upright
出汗,perspire,respire,humanity,retention of urine
电子,electron,election,electronic,electric
使着迷,fascinate,teach,urbane,donor
国会议员,congressman,middleman,text,bracelet
有角,angular,insular,annular,jugular
协作,collaborate,make a hasty last-minute effort,to get sth done,grope
同盟者,confederate,the same year,classmate,co-worker
进行预防接种,vaccinate,posterior,next,charm
烦恼,boredom,extremely angry,mad,miserable
横切,crosscut,navigable,pat,he
绊倒,stumble,shamble,stubble,tumble
第一位的,primary,primacy,primarily,privacy
分数,fraction,friction,faction,function
持续不变,sustained,foliage,scowl,arithmetic
精通,accomplished,chew,to know well,conscious
防卫物,fender,fever,tender,sender
利用,utilization,usage,to distinguish,to embezzle
惰性,inert,inure,inlet,inept
过错,fault,faulty,fruit,aunt
排除,eliminate,cause to perish,brush,put an end to
榨,squeeze,sneeze,volcano,river
奖学金,scholarship,home-use,credit,pay
崎岖,rugged,nugget,precipitous,hollow
（通过在线方式）远距离工作者,telecommuter,cedar,retirement,cone
（使）栖息,perch,peck,beach,berth
实际上,practically,although,about,unavoidable
(事物)复杂的,sophisticated,pinafore,hymen,coerce
澄清,clarify,classify,clarity,charity
污点,taint,paint,faint,saint
厚木板,plank,clank,plan,crank
三维,three-dimensional,four-way,north,to the east of
弦乐器,strings,organ ,flute,chord
典礼,ceremony,hegemony,Catholic church,protestant
部落,tribal,organization,fleet ,board of trustees
补充,complementary,widen,to cheer sb. on,appreciation
震惊,shock,flock,stocky,slack
同心,concentric,interconnected,to divide,to integrate
持异议者,maverick,whimsical,cyclist,dubiety
良心,conscience,real situation,privacy,curiosity
高度,altitude,attitude,aptitude,latitude
手工艺人,craftspeople,swank,pane,flimsy
火焰,blaze,brazen,blazer,lake
估价,assessment,assumption,surmise,anticipate
强大,mighty,eighty,night,sight
尝试,endeavor,slippery,light refreshments,roast
集合,aggregation,to have a reunion,to collect,leave
矿石,ore,granite,slate,fossil
交互式的,interactive,tractor,repay,bushy
背面,reverse,reverie,revert,revere
特殊习惯,mannerism,magnetism,laughable,tedious
对比,contrast,contract,contrary,contralto
申请人,applicant,supplicant,excess personnel,committee
调查,investigation,investigate,investigate,to prohibit
否定,negate,negative,legate,sedate
邮局局长,postmaster,posthaste,tarnish,meanwhile
负担过多,overburden,sensation,desk,invoke
减去,subduct,supply,widen,pay retroactively
听得见的,audible,laudable,edible,auricle
计算器,calculator,calculate,server ,accelerator 
杂乱,intricately,pollution,out of tune,fluffy
多毛,woolly,wholly,woody,dolly
现今,nowadays,this morning,tonight,since 
假设,hypothesize,from this, it can be seen that...,anyway,in addition to
繁重,burdensome,commonplace,mid,inferior
（使）适应,adapt,adopt,adaptor,adept
进口税,customs,taxation,tariff,land tax
随后,subsequently,once more,to be on the verge of,all along
强调,emphasize,emphasis,report ,to reveal
花岗岩,granite,gravity,graphite,granule
含盐,saline,canine,saliva,alive
弹回,recoil,coil,recoup,retail
深信,conviction,convection,condition,convention
多刺,thorny,thorn,horsy,horn
压缩,compress,impress,empress,compass
冒险家,adventurer,adventure,analyst,astronomer
破裂,fracture,feature,rapture,destruction
扩散,diffuse,infuse,disuse,suffuse
重新调整,readjust,readout,adjust,gangway
钦佩,admiration,aspiration,adoration,self pride
（使）成熟,ripen,ripe,rile,repel
呼吸,breathing,smoke ,to cry,hold in the mouth
横越,crossing,window,import,pass
肥料,fertilizer,fertilize,sponge,enamel
慢跑,jog,dot,jot,cod
使都市化,urbanize,assistant,compliment,gramme
关节炎,arthritis,albinism,measles,gastritis
行动迟缓,sluggish,mainstay,seniority,endanger
树液,sap,snap,same,safe
碗,bowl,wool,bow,howl
智力,wit,vet,wise,wait
讽刺,ironic,tonic,chronic,iron
跳蚤,flea,plea,flaw,glen
敌意,hostility,real intention,public opinion,idea
劝说,persuade,pervade,tame,concession
捐赠,endow,kendo,vendor,widow
业余爱好者,amateur,atrocity,starter,duty
不足,insufficient,dynamic equilibrium,extant,deficit
(尚未取得学位的)大学生,undergraduate,fit,unworthy,tramway
(人或动物)矮而结实的,stocky,stock,stony,storey
威望,prestige,presage,preside,vestige
蒸馏,distill,distill,to refine,silver-plating
铸件,casting,object,spare parts,machine parts or tools kept in reserve
宝石,jewel,rebel,revel,peel
预示…的凶兆,threaten,threat,tattle,cranberry
动人,touching,pitiful,not enjoy popular support,troublesome
敏锐,acumen,acme,acute,nimble
书脊,spine,shine,shrine,spite
（使）分解,disintegrate,slop,imbibe,prevail
有机,organically,geography,homework,difficult problem
懒洋洋的,lethargic,to take a breather,lazily,to pant
坚定不移,perseverance,categorically,overbearing,be slovenly
微小,slight,fight,light,alight
（对…）免疫的,immune,imbue,immense,impute
会话,conversation,speak out of turn,tell ,a long talk
苛求,exacting,earnestly wish for,to seek,woo
通电流于,galvanize,galvanic,galvanism,gate
多事,eventful,eventual,resentful,decay
回避(困难),sidestep,invoice,transform,womanly
有意识地,consciously,expert in,shut oneself up and ponder over one's mistakes,ready
具有常识,commonsense,sweetheart,foray,abstemious
兰花,orchid,Lotus ,Peony ,flower
在前,preceding,precedent,be situated ,timely
移植,transplant,sow seeds,sow,to train
报摊,newsstand,page,lunatic,dark
聚集,congregate,to collect,split up,to muster
糊涂,silly,sickly,filmy,sill
取消,cancellation,name,degradation,dissolve
毯子,blanket,blank,banker,blacken
切实可行,feasible,sensible,wide of the mark,superficial
大礼堂,auditorium,office,editorial office,carriage
规格,specification,maxim,adverbial adjunct,looks
陶醉,intoxication,return of the prodigal son,sag,good-looking
零售,retail,retard,regal,retain
使缓和,moderate,immoderate,tolerate,moderately
牙科医生,dentist,demist,detest,desist
食肉,carnivorous,my goodness,drinking or drinkable ,to devour
典礼,ritual,actual,mutual,virtual
统计学,statistics,statistic,military science,philosophy
熔合在一起的,fused,framework,farmyard,capture
工具,implement,complement,inclement,LP
依恋,attachment,detachment,attainment,fascinate
点亮,brighten,frighten,bright,heighten
吵闹,turbulent,purulent,come to blows,curse
困境,dilemma,underworld,level,plight
腐蚀,erode,rude,pride,decode
固执的念头,obsession,possession,session,instruct
位置,locality,morality,totality,legality
意义,significance,take down,concept,derogatory sense
文学上的流派和体裁,genre,cabbage,pith,calculator
候选人,candidate,demonstrator,voter,supporter 
有旋律的,melodic,move,cholera,mat
推迟,delay,lay,decay,relay
引人入胜,spectacular,hideous,extensive,troublesome
雕刻,carve,cache,carpet,care
（牛羊等的）角,horn,thorn,dorm,roan
调查表,questionnaire,masterpiece,to produce,flow chart
活生生的,animated,pliers,unhinge,token
哄诱,coax,vox,clam,goat
身体检查,checkup,check,checkout,wheedle
相互依赖,interdependent,express sympathy, greetings, consolation, etc.,placate,give  a hand
多细胞的,multicellular,excitation,jockstrap,detachment
感情,affective,remote sensing,real intention,opinion
营养,nutritional,poison,predicative,predicate
定量,ration,action,oration,nation
首字母缩写词,acronym,crony,antonym,neutron
统一,unify,unity,purify,union
结合,incorporation,intertwine,to take effect,to separate
槌棒,mallet,ballet,wallet,malt
名人,celebrity,celerity,celebrate,Douglas
联合,alignment,precisely,exist side by side,personally
成就,attainment,attachment,issue for enforcement,finalize a manuscript, text, etc.
不加疑问,unquestioning,tactics,advertise,rein
可信赖的,trustworthy,box,limbo,fly
广大,spacious,rapacious,specious,spurious
相识,acquaintance,misunderstanding,love,worth hearing a hundred times
花,bloom,loom,buxom,floor
有用,functional,fractional,function,obscurity
服装,outfit,outwit,outfight,outbid
兑换,exchange,change,to borrow money for a short time,to allocate
坚定,steadfast,reckless,dare not go one step beyond the prescribed limit,clumsy
决定性的,definitive,definite,definition,infinitive
维持,sustain,stain,curtain,abstain
勘察,exploration,to be published,publish,probe
开始,onset,upset,asset,unseat
达到,accomplish,accomplice,as many as,take a beating
尚未被人碰到的,intact,tact,inapt,contact
提出诉讼,sue,up,June,sum
宗派,sect,yet,seat,salt
前进,march,match,marry,each
赞成,approval,approve,to endorse,to tolerate
支配,predominant,insurmountable,blockade,restrict at
方法论,methodology,atheism,agnosticism,Marxism
打断,interrupt,intercept,attachment,traffic
狂热,fanaticism,shed blood,craze,crazy
宣判,sentence,sequence,penitence,subpoena
贫穷,needy,weedy,nervy,seedy
巨大,vastness,insignificant,grand,weak
僵化,rigidity,soften,to change into,liquefy
察觉,detect,direct,eject,detest
登记,register,registrar,registry,to formulate
稀有,scarce,scar,scarlet,space
设施,facility,faculty,acidity,fatality
粘连,bond,round,cold,lend
仓库,warehouse,database,nuclear power plant,knowledge base
冰山,iceberg,typhoon,snowstorm,ice floe
荒凉,desolate,resolute,detonate,decorate
令人恐惧,frightening,outwit,spiteful,ninetieth
仿效,imitate,agitate,initiate,imitative
全体意见一致的,unanimous,embroil,dislodge,appoint
解冻,defrost,frost,to produce,twins
并置,juxtaposition,block the traffic,be impassable,near
麻醉剂,narcotic,arctic,medicine,pill
鼓吹,preach,peach,wrench,bleach
异常的人或物,anomaly,animal,snowdrop,isthmus
满足需要,cater,case,patter,caper
监督,supervision,supervise and urge,for future reference,to inspect 
逗留,linger,singer,liner,ginger
圆锥,cone,zone,come,cope
使密集,compact,company,impact,combat
花,blossom,bosom,bloom,outcome
权力,authority,authorize,monarchial power,sovereignty
装货,freight,fright,fraught,eight
过分,excessive,exclusive,expressive,extensive
可怕,dreadful,be unpopular,moving,hateful
激励,catalyze,obstruct,exert ,to place
结果,consequence,to have the ears of grain come up,to lift a ban,stammer
加速,hasten,chasten,haven,listen
泄露,leak,cloak,bleak,weak
引人注目,eye-catching,hidden,legitimate,publically
仓促,precipitation,lone,leisurely,lonesome
锋利,keen,when,lee,even
俨然以恩人态度的,patronizing,theorist,cannabis,erratum
平民,civilian,civility,civilize,labor force
蛋白质,protein,proton,protect,protege
包装,packaging,projection,curl,stroke 
全球性的,global,loyal,goal,gloat
提高,boost,boss,moose,boast
开发,tap,rap,yap,tan
喷涌,gush,musk,ash,gust
破产了的,bankrupt,bankruptcy,envelop,hoe
商品,merchandise,software and hardware,object,element
肘,elbow,mellow,flow,glow
搞乱,confuse,contuse,confute,convulse
诗集,anthology,astrology,pathology,mythology
存在物,entity,unity,enmity,equity
证实,affirm,firm,affix,affair
无边,immense,intense,immerse,immune
强有力的,aggressive,aggression,outward,fear
熔化,fusion,effusion,cushion,union
水平,horizontal,quality,foundation,Normal 
小册子,brochure,procure,almanac,drill book
热带,tropical,topical,tropic,typical
嫁接,graft,draft,grasp,craft
爱空想的,fanciful,wile,foxhound,livid
彻底检查,overhaul,overhang,overall,inhibit
遮蔽,sheltered,to cover,extension,rather 
避免,avoidance,fire-fighting,scruple,contraception
全体一致,unanimity,stigmatize,lyrical,enormity
地图上没标明的,uncharted,tenacious,voltage,tapioca
非凡之人,prodigy,probity,prodigal,podgy
预防,forestall,foretell,harmless,to prevent
改革家,reformer,geologist,critic,chemist
宝贵,precious,precocious,previous,precarious
调味品,flavoring,bean curd,octagonal,pepper
（令人）好奇的,curious,furious,spurious,serious
感光性的,photosensitive,trident,measure,redden
幼年,infancy,infamy,infant,fancy
农场,ranch,branch,launch,France
胆小,shy,fry,ashy,sky
争论,dispute,impute,despite,dispose
领域,domain,drain,remain,domino
行得通的,practicable,romantic,sucker,frigid
有思想性,thoughtful,singular,overdraw,lawn
常规,routine,route,outline,laughable
风格化的,stylized,measure,bored,asperity
生气勃勃,vibrant,migrant,vibrate,vagrant
减轻,relieve,believe,revive,relief
耕作,plow,to develop,to till,winter irrigation
解开,undo,fund,ufo,no
有意,intentionally,inadvertent,jolly,special-purpose trip
菠菜,spinach,pinch,spinal,oat
和蔼可亲,genial,venial,menial,denial
瘟疫,pestilence,sexually transmitted disease,sudden attack of a serious illness,incurable disease
致命,fatal,foal,natal,vital
增付的费用,surcharge,expenditure,tip,due
分泌过多,oversecretion,goatherd,murderous,tubular
成分,constituent,object,toxin,nourish
易于…的,prone,pose,propel,pine
寒意,chill,chime,twill,hill
成败的可能性,odds,odd,ours,add
关税,tariff,thrift,tiff,wage
租赁,rental,dental,venal,real
完全,absolutely,not particularly,on the whole,more than
澄清,clarification,wrongdoing,to falsify,miss
传导,conduct,concoct,conduit,convict
吸引,draw,raw,drab,rat
负的,subtractive,abundant,ad,common
证据,proof,croon,pro,rook
香味,perfume,peruse,permute,perfumer
阻碍,hinder,gander,gender,rider
入口,access,accuse,accede,accept
大而重的,massive,passive,massage,missive
鼓动,prompt,preempt,promote,romp
意识形态,ideological,ember,consensus,wart
