#word,meaning,option1,option2,option3
重新点燃,rekindle,saucer,jerk,emancipate
没有障碍,unobstructed,pipe,mince,unheard
使脱臼,dislocate,dissociate,plum,amateur
停滞,stagnant,stagnate,close down,cease fire
不悔悟的,unrepentant,vice,insertion,postage
切割,incision,infusion,invasion,incursion
智力,intellect,interject,intersect,philosophy
幻想,visionary,missionary,imagine,conceive
装饰性的,decorative,dampen,eightieth,motorist
无钱还债,insolvent,sweeten,sanctum,defy
肩,shoulder,boulder,moulder,solder
婀娜多姿,curvaceous,meet unexpectedly,attitude,good looking
指责,rebuke,reduce,repute,rebuff
作为开场白的,prefatory,bleak,loneliness,outlook
(全体)选民,electorate,throughput,shut,lunchtime
绳套,noose,jocose,noone,noble
挥霍者,prodigal,prodigy,bead,dinner
巨大,mountainous,large-scale,tough,promising
使困惑,obfuscate,languid,belly,bore
可论证的,demonstrable,penetrate,cellular,exigency
饮料,potation,soya-bean milk,soda,sweetened bean paste
缓刑,reprieve,retrieve,reprove,deprive
怂恿,entice,untie,antics,entire
满足,gratification,supply and demand,corresponding,currently existing
沉思,speculate,peculate,try,to move
堰,barrage,barge,barrack,garbage
节省,thrifty,thrift,thirty,throaty
三部曲,trilogy,prose,text,lengthy 
剧装,costume,posture,contuse,consume
演讲术,oratory,orator,firmness,silver
重要,moment,potent,mordent,momentum
香油,balm,calf,bale,dam
寒冷干燥的强风,mistral,barmaid,initiate,helicopter
相符,correspondingly,dramatic,very friendly,symmetry
痉挛,convulsion,paralysis,numb,madly
挑逗,provoke,provide,revoke,prove
太古,immemorial,memorial,beginning of an era,modern times
纠缠,snarl,nail,stall,stark
单色,solid-colored,green,milky white,blue
狂热者,fanatic,fantastic,lunatic,frantic
六角形,hexagon,polyhedron,sphere,oval
全体人员,personnel,personal,saleclerk,native, aboriginal
公开,overt,covet,overact,covert
行业,craft,crank,cat,coast
结交,consort,convert,comport,censor
稀少,sparse,sparkle,spar,spouse
防御,defense,defence,dense,defend
明智,sensibleness,muddled,sensitive ,stupid
心不在焉,distrait,careful,be attached to one's native land and unwilling to leave it,good-looking
小铲,scoop,scoot,swoop,spook
惊骇,aghast,ghost,to be scared,thoughtful
所以,consequently,owing to,whatever,regardless of
监督,supervise,superfine,supervene,supervise and urge
灿烂,effulgent,good-looking,flirtatious,handsome
初次登台,debut,deft,abut,debar
鼓舞,invigorate,inviolate,before a verb] handle, deal with,obstruct
做作,mannered,manner,to pant,pretend
散布,disseminate,to line up,to extend ,pile up
道德规范,ethics,ethnic,thick,this
接界,abut,bout,taut,art
围攻,beleaguer,attack,attack,supervise operations
攻不破的,impregnable,dank,close,obeisance
兴致勃勃,gusto,fusty,lust,gust
被海水淹没的,awash,manure,lacy,dolt
(蟹或龟等的)甲壳,carapace,achieve,germ,springtide
显性,dominant,dominance,ruminant,dominate
可信,credible,creditable,edible,incredible
道学先生,prig,drip,spring,rig
鲁莽,precipitate,tactful,close,barbarous
螺丝钻,auger,revert,remote,anybody
塑胶,plastic,lactic,elastic,classic
不调和的,incongruous,kerbstone,decent,coffin
含沙射影,innuendo,it can clearly be seen,it could even be said,seal
反驳,controvert,written polemics,to quibble,dialectical
喧嚷,fracas,bellow,whistle,call out
袭扰,harry,hurry,tarry,harm
吊着,pendent,to deposit,hoisting,dispose
煎锅,skillet,sunburn,violate,mind
辱骂,opprobrious,curse,bicker,noisy
炫耀,flaunt,flank,flint,jaunt
倾向一方,lopsided,diction,penguin,dethrone
乱写,scribble,dribble,scramble,favorable
要点,tenor,tend,tendon,sensor
使变得荒谬可笑,stultify,proportion,detachment,slick
严厉批评,scathe,turncoat,indicative,cloudy
不能根除,irradicable,merino,render,moss
给予,accord,record,accost,chord
证实,confirm,bonfire,confide,conform
粗野,insolent,innocent,indolent,patient 
熔岩,lava,leave,lab,lash
经济,economical,economics,economic,make a big fuss over a minor issue
潮湿,damp,am,warp,dam
拼命吃,gormandize,thirst,intoxicated,sneeze
索然无味,vapid,rapid,rabid,void
中间时期,interim,intern,interior,intercom
昏迷状态,coma,coax,coke,cola
阻挠,thwart,that,chart,heart
全盛时期,heyday,infancy,cycle,prison term
半明半暗之处,penumbra,keratin,howler,conduction
肌肉,muscular,vascular,skin,eyelid
危险,peril,penal,peal,perk
饶舌之人,windbag,milkman,toxic,pander
错误判断,misjudge,outface,lunacy,fishy
极乐世界,elysium,evil,specter,fengshui
最重要的,cardinal,carnal,carnival,ordinal
细心,meticulous,to be responsible for ,serious,luxury
(蛇等的)蜕皮,slough,enough,bough,laugh
监考,invigilate,oversee,supervise and urge,judgment
无价值的,paltry,party,pantry,sultry
磨快,whet,chef,what,net
玉米,maize,male,adze,mail
使迷惑,confound,compound,tail,discretion
蹒跚,hobble,cobble,double,wobble
令人厌烦的人,bore,bony,base,home
不合时机,mistimed,monthly,outlook,scholastic
音调(音符之高低),pitch,itch,perch,bitch
陈腐,hackneyed,lag ,just,just and fair
长袍,robe,drove,globe,hole
易读,legible,eligible,illegible,flexible
释放,liberate,literate,hibernate,iterate
可自由选择的,optional,national,option,rational
未受抑制,unrestrained,to cheat,no matter what,to ingratiate oneself
船尾,stern,astern,spurn,sheen
极光(南北极夜晚所放彩光),aurora,surly,craven,breaker
粒状,granular,hub,friendly,tree
上船,embark,bark,remark,ember
轻罪,misdemeanor,exodus,gypsy,orthodox
狩猎旅行,safari,afar,salary,parsley
凌乱,disorder,disorderly,inconvenient,on the verge
无可辩驳,indisputable,influence,be the very image of,chase the wind and clutch at shadows - make groundless accusations
小溪,stream,steak,scream,steam
混乱,chaos,chase,chalk,crass
厌恶,allergy,clergy,allege,gallery
来回(双向)移动的,reciprocating,ideal,patriot,trimming
无目标无计划的,feckless,reckless,fearless,toiletries
类似物,analogue,dialogue,analogize,analogy
序言,preface,presage,peace,prepare
公鸡,rooster,roster,foster,oyster
易拉长的,ductile,tactile,docile,futile
迷人,adorable,favorable,admirable,arable
无效果的,inefficacious,wise and farsighted,staunch,brave
使化身,reincarnate,general,scrutinize,aye
无间断的,incessant,find it too much,since the beginning of history,for a long time
暂时,provisional,soon,heat,a world of ice and snow
促进,promote,remote,provoke,promotor
柔声地说,murmur,murder,else,feint
集聚成团,conglomerate,methylate,dye,handcuff
跛行,limp,lip,pump,dime
使惊骇,appall,jute,blue,pressurize
(固定断骨的)夹板,splint,sprint,split,slit
先驱,precursory,originator ,people,pioneer
(重量等)无法衡量的,imponderable,pray,grave,overthrow
折叠,fold,foil,enfold,food
制止,quell,limit to,to  control,step over
不知悔改,unregenerate,storage,lesson,breadline
阻塞,clog,cog,crag,close
提名,nominate,dominate,abominate,nominee
踌躇,halting,to pledge,thirsting or hungering for sth.,panic
渴望,crave,grave,rave,trade
积习难改,incorrigible,be unable to tell beans from wheat - have no knowledge of practical matters,dabbler,to know the ropes
(行为放纵的)狂欢会,bacchanal,salutary,evoke,bake
古老,hoary,hoard,harp,hark
不透明的,opaque,pique,plaque,nightly
静止,dormant,mordant,torment,format
弹拉,pluck,fleck,slack,puck
不满分子,malcontent,mindless,upgrade,stern
许可证,license,licence,incense,proof
反叛者,mutineer,goatherd,domain,poly
抑制,inhibition,sanctions,to control,insurmountable
(贬低人的)短语或形容词,epithet,either,proverb,eerie
善于讲故事的人,raconteur,luscious,pose,seasonal
暂停前进,halt,calf,calm,vast
使拥挤,congest,violin,trudge,waggle
辉煌的成就,eclat,famous reputation,people's expectations,response
后代,posterity,posterior,prosperity,friendly 
心不在焉,abstracted,to be enchanted,fascinate,hate to leave a place where one has lived long
酒涡,dimple,imply,pimple,dapple
消散,disperse,disease,dispense,displease
压倒性的,overwhelming,telex,paddock,announcer
垂直,upright,outright,plight,bright
挥霍者,profligate,orthodox,domicile,hostility
缓冲,cushion,cession,fusion,fashion
焊接,solder,holder,roller,soldier
门环,knocker,locker,knickers,knock
破裂,rupture,vulture,future,capture
凹陷,depressed,bare,overhang,exposure
好色,prurient,prudent,upright,literal: to like the new, and hate the old
挨饿,starve,save,store,starter
(妇女用)披肩,shawl,shall,shark,sharp
语源学,etymology,class,high tech,military science
强索,extract,retract,extinct,tract
博学,erudition,superficial,incapable,useless
不谨慎,indiscretion,superficial,serious,intimate
蹩脚诗人,poetaster,numerator,ebullience,ware
锣,gong,ton,go,going
吝啬,tightfisted,lag ,haughty,not care
谬误,fallacious,norm,garble a statement, etc.,not  to be taken as authoritative
骗子,trickster,hoodlum,soldier of fortune,accessory
拙劣地做,bumble,desert,exact,lottery
长篇演讲,disquisition,propitiate,tidal,flog
耙,harrow,barrow,parrot,harry
寂静,silence,silencer,licence,since
欺骗手段,deception,reception,detection,inception
煽动性的,seditious,verge,subsequent,epidemic
变化,transmute,fluctuate,to evolve,circle
多产的,fertile,futile,textile,fertilize
未被预定,unreserved,holster,possession,wealthy
无水,anhydrous,dozen,taste,atypical
情节,plot,pot,trot,not
折衷主义,eclecticism,atheism,legal principle,Marxism
召集,summon,summer,sermon,summons
剪(羊毛),shear,ear,sear,smear
信条,credo,amino,complement,adverbial adjunct
亡命之徒,desperado,desperate,villain,evildoer
支点(阻止东西下滑),purchase,enrapture,crackle,realism
繁重,onerous,generous,sonorous,nervous
炼金术,alchemy,germicide,misjudge,stodgy
迅速,expedition,exposition,premature,crash course
插入,interpolate,excavation,lay,to embed
走调,off-key,caste,prey,medical
悄悄地移动,creep,creed,green,crap
闪烁,shimmer,simmer,shipper,shiver
奔跑,scamper,caper,scupper,scalpel
辩论的场所,forum,farm,form,strum
窒息,asphyxia,asphyxiate,seasick,be unconscious
饲养员,breeder,butcher,hunter,groom
伸展手脚而卧,sprawl,spiral,sprat,scrawl
并吞,annexation,fraud,exploit,be a speculator 
一维,unidimensional,lark,plumb,askance
引起误解,garbled,to correct printing errors,compile and print,to amend
古怪,antic,comical,in private,illicit
总结,summarize,submarine,statistics,to develop
造船者,shipwright,masseuse,nourish,vehicular
激励性的,motivational,battalion,aeroplane,debase
虚假,sham,slap,hat,seam
老迈,superannuated,strong,youthful,male and female
黑烟灰,soot,noon,bolt,goat
折扣,discount,dismount,about a hundred,support level
讲道术,homiletics,album,daughter,wiper
涂掉,obliterate,literate,illiterate,anthem
指定,specify,species,specie,pacify
胆小,pusillanimous,muddled,awkward in speech,to loiter
覆盖,shroud,proud,shrub,shrewd
长寿,longevity,young,weak,strong
迷信,superstition,confidence,be convinced,hesitation
形成,formative,repeatedly,change irregularly,to develop
书、电影、乐曲等的节录,excerpt,except,exempt,expert
细小问题,specifics,program,table of contents,appendix
扼要表示,schematize,formation,informal,campus
世仇,vendetta,grace,contradiction,grudge
华丽,finery,finely,fiery,miner
点画,stipple,town,floor,cone
朋党派系,clique,cheque,oblique,unique
臭的,flagrant,fragrant,vagrant,conjugate
混合肥料,compost,comport,composite,compose
草稿,draft,shaft,drift,raft
坚持己见,self-assertion,half-believe, half-doubt,to support ,serious
肆无忌惮,unprincipled,to fake,provoke,fabricate
谜语,conundrum,Hindi ,Portuguese ,Spanish 
可测量的,measurable,thereof,displace,lawful
嘹亮的喇叭声,fanfare,hateful,faithful,sorrow
华而不实,tawdry,bawdy,awry,tardy
新奇(的事物),novelty,poverty,lovely,novel
宽宏大量,magnanimous,miserly,red,not stint
骑师,equestrian,byword,vanish,burglar
无气味的,unscented,transform,porter,ensign
骑师,jockey,rucksack,glossary,missionary
分发,distribute,hire,provide,issue
算盘,abacus,sleeper,siren,lightning arrester
替罪羊,scapegoat,refugee,victim,party 
正派,decency,selfish,chastity,uncorrupted
憔悴,gaunt,pant,haunt,jaunt
不能渗透,impervious,imperious,dossier,twit
叮螫,sting,tin,stunt,swing
室内装潢品(地毯,upholstery,upholster,verifiable,override
减少,wane,pane,rank,sage
假牙,denture,censure,denude,venture
深奥,hermetic,heretic,emetic,low level
非同一时期的,noncontemporaneous,monkey,outlandish,mystify
严寒,perishing,indelible,short,ice-cold
未预料到,unanticipated,secure,haven't,unexpectedly
法庭,judicial,government branch,police department,court
(艺术等的)出处,provenance,seal,it can clearly be seen,be under the jurisdiction of
煞费苦心,painstaking,deliberation,research,try
放松,unwind,wind,unbend,unkind
论文,treatise,creative,lament,editorial 
担保,vouch,couch,cough,much
关怀,solicitude,solitude,tolerant,to value
大梁,girder,garden,rider,gird
心不在焉,absentmindedness,neglect,to indulge in,sag
心事重重,preoccupied,deserve to be called,ashamed,cool
拖债,default,fault,colloquy,admire
代理人,proctor,spokesperson,assistant director,bail
死,perish,peevish,parish,peckish
责难,censure,closure,insure,ensure
黏土,clay,clash,may,lay
终止,terminate,germinate,termite,terminal
典当商,pawnbroker,mushroom,regard,stationery
笨蛋,simpleton,rubbish,darling,idiot
增多,accrue,accede,acre,accuse
打,spank,lank,swank,space
超过,surpass,surplus,inhibit,limit to
病后康复期,convalescence,liberty,stillness,harsh
裁缝,sartorial,arterial,blacksmith,planer
富裕,affluent,effluent,affluence,fluent
加剧,intensify,intensive,stabilized,to make better
(使事情便利的)设备、工具,facilities,thirty,adversary,embitter
蔓藤图饰,arabesque,slaver,dislodge,henceforth
(动物)吃(地上长的)草,graze,irate,craze,grab
伤痕,scar,scare,roar,scan
受玷污的,tainted,climax,gasoline,desert
评判的标准,criterion,object,adverbial adjunct,amino-group
复兴,resurrect,recurrent,feeble,transportation
菌类,fungi,cereal,edible tree fungus,fungus
织布机,loom,boob,loot,zoom
(军队的)副官,adjutant,abnormal,recommend,forgetful
习惯,inured,hate to leave a place where one has lived long,not be fond of certain food,fascinate
贪婪地吃,gobble,cobble,rubble,hobble
始终如一,invariable,invaluable,insatiable,variable
突袭,foray,gray,spray,fry
约会,appoint,point,be betrothed,flirt
早产婴儿保育箱,incubator,insulator,incubate,airport
迷宫式的,labyrinthine,perpendicular,parallel,skeleton
以机智胜过,outfox,ignominy,garlic,forebode
狗舍,kennel,kernel,funnel,runnel
小枝,twig,this,wig,pig
(指工作,devolve,revolve,devalue,delve
纪念物,remembrance,furnish and decorate ,essential ,antique
灾难,disaster,distaste,blessed,scourge
古怪,droll,drone,role,dell
赋予生命,animate,churlish,misconduct,frosty
慎重考虑,deliberate,delineate,liberate,carbon
(复数)(人生的)盛衰,vicissitudes,suddenly turn hostile,change irregularly,over and over
止痛药,painkiller,vitamin,borneol,root of herbaceous peony 
不整洁的,dowdy,abattoir,ignorant,fork
朝下,downcast,preordain,endow,customary
年轻无知的人,gosling,goodnight,happy,toffee
在商店里偷窃货品,shoplift,hammock,gasbag,feedback
缩回,retract,refract,protract,retrace
凶恶的老妇,harridan,nark,fanciful,federation
纵容,pamper,paper,hamper,pauper
沙文主义,chauvinism,communism,socialism,dictatorship
妨碍议事,filibuster,worry,provocation,perplex
似气体的,gaseous,nauseous,pathology,canker
缠,intertwine,intestine,withstand,to form
绿松石,turquoise,esoteric,office,glove
雇佣文人,hack,back,hark,lace
蛛丝,gossamer,bauble,senile,prune
(蛇等)发出嘶嘶声,hiss,hilt,rise,piss
使...灰心,dishearten,swab,furrow,hoot
睁眼看,goggle,joggle,giggle,juggle
心照不宣,tacit,tact,pact,gait
骑术,equitation,symmetry,fractious,Hollywood
入伍仪式,induction,conduction,indication,deduction
日冕,aureole,glimmer,laser,fluorescence
高脚酒杯,goblet,gobble,gable,sublet
养生法,regimen,regime,regiment,region
郑重敦促,adjure,loan,easterly,insert
大失败,fiasco,disco,fresco,fiance
拆除,dismantle,to smear,unload,to untie
无节奏的,arrhythmic,desperate,wrapper,exorbitant
游移不定,vacillate,oscillate,to take care,be driven to revolt
口吃,stutter,mutter,shutter,flutter
军刀,saber,naked sword,ammunition,bullet
脾气,temper,dumper,tempt,timer
代用,ersatz,usage,be applicable,entirely
小雕像,statuette,statute,decoy,unique
秃鹫,vulture,culture,future,suture
仲裁者,intercessor,extirpate,research,mauve
体弱的人,valetudinarian,rout,forceps,onward
不爱交际,incommunicative,make eyes at sb,to arouse,exuberant
过量,plethora,following,be just like,same
鞣(革),tan,paw,tin,vain
不合道理,unjustifiable,campaign,through,underwear
悲痛,harrowing,grieved,mixed feelings of grief and joy,gloomy
放大,magnify,dignify,signify,to cut over
(旅行等的)背包,rucksack,bonus,occupy,shunt
轴(常为虚构之线,axis,agio,this,basis
混乱,muddle,huddle,peddle,middle
家谱学,genealogy,pollution,scope,kink
谨小慎微,punctilious,concrete,serious,sumptuous
模子,matrix,matron,metric,lever
浮渣,dross,drop,gross,dress
肿胀,swell,dwell,weal,stall
好奇心,curiosity,good faith,curiosity,heart
导师,mentor,senator,vendor,vector
赞美歌,paean,song lyric,epic,sonnet
纵火,arson,also,bison,son
边缘,verge,merge,emerge,nerve
(指人)反复无常,inconstancy,impulse,skill,sucker
再起,resurgent,to heal,to leave hospital,a bloody nose and a swollen face
相似,resemblance,for instance,act in a way that defeats one's purpose,asynchronous
把...视为神圣,hallow,hollow,follow,hall
逃避责任,goldbrick,task,keep silent about major charges while admitting minor ones,collapse
未受指导,undirected,restrict,decade,update
承认,confess,congress,contest,confer
使声音降低,muffle,duffle,ruffle,muffler
泛滥,overwhelm,submerge,spurt,slump
史前,prehistoric,medieval,BC,A.D.
健康,wholesomeness,tedious,peculiarity,comical
(药)通便的,laxative,audible,asthma,printable
溢出,overflow,flush,slump,spurt
骇人,appalling,be unpopular,touching,rich
肃静,hush,fish,husk,bush
说废话,drivel,river,diver,dive
不可知论的(人类不可知上帝是否存在),agnostic,whisper,process,scroll
即将结束,moribund,calender,kiddie,admonish
圣礼,sacrament,addressee,silo,rag
和睦,rapport,diverse,keep sb at arm's length,as incompatible or irreconcilable as ice and hot coals
异族通婚,exogamy,across,affix,bolster
摘要,abstract,obstruct,distract,attract
井井有条,trim,cram,trial,trio
宗派,sectarian,Gestapo,ASEAN ,Taiwan independence 
梗概,outline,outlive,routine,outlying
原始,primeval,outside,ready made,unofficial
(使)升华,sublimate,solemn,jumpy,a land swarming with disaster victims
旋转,pivot,pilot,pint,pot
庄严,numinous,fluffy,on the verge,mix
折衷,eclectic,to make peace,tame,injure
使苦恼的,irk,rick,kick,dark
大量,mint,mid,wink,faint
喜怒无常,moody,woody,hooky,goody
冗长的演说,screed,screen,spree,creed
消沉,depress,repress,empress,regress
解渴,slake,sake,solace,slaty
迷向,disorientation,plume,kilogram,noisy
干涉,interference,inquire about,to submit ,negative
旅行见闻,travelogue,lantern,dark,cavy
(柱石或雕像的)基座,pedestal,amphibian,havoc,invigorate
名字的误用,misnomer,fearless,humanism,alas
狂热行为,zealotry,by,allow,route
将外国人,deport,depart,report,desert
起泡,frothy,heart disease,hepatitis,pneumonia
解毒,detoxification,purge,scrub,to sweep away
易于移动,mobile,bile,mole,module
告发,prosecute,persecute,prosecutor,to frame someone 
绒毛,down,gown,drown,dawn
(刀剑)鞘,scabbard,seaboard,riotous,nuthouse
(不严重的)疾病,ailment,balsam,abstention,uproot
高压电线架,pylon,salon,python,nylon
形而上学,metaphysics,nimble,to have good eyes,wise and farsighted
解雇,discharge,be on the waiting list ,recall,replace
青石,sapphire,marble,Iceland spar,granite
舰队,armada,the Northern Expeditionary Army,the Eight Power Allied Force,navy
哀求,implore,import,deplore,impose
中途拦截,intercept,intercede,intersect,interest
无知,ignorance,ignorant,powerless,answer the questions without any hitch
管道,duct,hut,duty,gust
细胞组织学,histology,commute,scum,mania
巡视,perambulate,rapid-fire,located in China,bombard
使政治化,politicize,hunger,restraint,clergy
档案室,archive,candle,dirty,robe
违反,violate,inviolate,dilate,violet
苦工,drudgery,dredger,drudge,movement
窥隐私者,voyeur,slanderous,silvery,raillery
短途旅游,excursion,incursion,exclusion,expulsion
搜寻,quest,quoit,lest,gust
整形手术,orthopedics,vehicular,lawcourt,mace
瘴气,miasma,steam,natural gas,butane
不利健康,insalubrity,stucco,generous,nemesis
广博,encyclopedic,plentiful,terrible,fascinating
侏儒,dwarf,aware,wharf,darn
斜坡,inclination,ocean,Honolulu,Ulsan
平静,quietude,inquietude,be at a loss,concentrate one's  attention
(政治上)不满的,disaffected,restoration of reactionary rule,high-handed,to seize the throne
(食物)很可口的,scrumptious,concur,hubby,welder
(人或国之间的)友好关系,amity,mitt,smite,unity
尊严,dignity,signify,dignify,ignite
永存,perpetuation,total absence of justice,lose face,not to be found in the classics - not authoritative
粗绳,hawser,hanker,laser,sawyer
刻板,starchy,anarchy,starch,stanch
烦躁,fretful,mad,to take one's anger out on sb ,stamp with fury
典型,prototype,remarkable,unrivalled,subpar
连贯,coherent,cohere,inherent,adherent
发出声音,utter,fitter,after,cutter
精神,vitality,fatality,totality,finality
顶点,apex,ape,spew,apt
修辞学,rhetoric,geometry,zoology,medical science
坚强不屈,indomitable,daring,not care,abject
法兰绒(一种布),flannel,channel,funnel,flange
初步,rudimentary,commence,to start,start building
傲慢,bumptious,sumptuous,not stint,ice-cold
不能满足,insatiable,invariable,seductive,despicable
(使)行为无礼貌,misbehave,accusative,dissociate,patriarch
辨别,differentiate,draw a parallel,put to use,decide
接近,adjacent,dignified,asynchronous,resemblance
兽皮,hide,rider,wide,aside
破裂,crumple,crumble,trample,rumple
亲近,propinquity,to shock,unnecessary,desperately serious
诽谤,slanderous,controversy,defame,to quibble
君主,monarch,march,monarchy,despot
大猩猩,gorilla,grill,corolla,grille
结果实,fructify,to suffer a setback,be defeated on the battlefield,excel
积聚,accumulate,jet,to extend ,be decorated with lanterns and colored banners
不必要的,dispensable,serious,cheaply-priced,costly
前卫,vanguard,wing,seed,sir
常到,haunt,hunt,flaunt,aunt
同等之人,peer,peek,peal,seem
相互关系,correlation,sidetrack,yank,prowess
不变,immutable,mutable,immovable,cope with
假的,phony,to enjoy the limelight,provoke,faking a modern object as an ancient one
许配,betroth,berth,broth,marriage
潜伏,lurk,fur,flunk,hulk
特别地举止或行为,comport,comfort,consort,compost
毁灭性的,destructive,divide,wastepipe,place
冗长,verbose,verse,tatter,harden
保释金,bail,fair,boil,pail
严格控制,regimentation,unwritten law,penal,grammar
较晚,ulterior,anterior,interior,exterior
光合作用,photosynthesis,quick results,reflex,reputation
海的,marine,arise,brine,mariner
不够,scanty,scant,cant,scent
整洁,spruce,prune,spouse,price
与...一致,jibe,gibe,fibre,rice
虐待,maltreat,deal with,look upon,adopt
马夫,groom,doom,broom,bloom
统治,governance,south side,abdicate,teacher's strike
流汗,perspire,respire,having blood in one's stool,retention of urine
骑兵队伍,cavalcade,satanic,clarion,assign
分离,disjunction,leave one's native place ,for a long time,to muster
迷惑,fascinate,to cheat,there can never be too much deception in war,indulge
(指人)瘦削的,angular,regular,annular,jugular
合作,collaborate,be faced with,grope,to put out
(鸟或虫)唧唧叫,chirp,chime,chirpy,crisp
给...接种疫苗,vaccinate,inside,index,precedent
厌烦,boredom,have a gnawing regret,universal love,worth hearing a hundred times
绊脚,stumble,stubble,mumble,fumble
首要,primary,primacy,urinary,primarily
(女人或小孩的)衬衫,blouse,blonde,house,louse
不摆架子,unassuming,reception,nipper,homesick
碎片,fraction,faction,fractious,reaction
慈善,philanthropy,raise,kind-hearted,sin
持久,sustained,attentive,industrious ,intermittently
有技巧的,accomplished,satiety,biweekly,eastward
不起作用,ineffective,phoney,tit,install
护舷的垫子等,fender,slender,wander,render
行动迟钝,inert,inept,intern,infest
错误,fault,vault,jaunt,salt
控制,curb,curd,cub,hurt
可能,presumable,presumably,not enough,to one's surprise
协定,pact,park,pat,page
除去,eliminate,like that,even though,as
压榨,squeeze,sneeze,to plagiarize,smuggle
哀悼,elegiac,unforgettable,concerned,remember with concern
堤岸,embankment,snare,name of a place, Gezhouba Dam on the Changjiang River, in Sichuan,channels
刺伤,stab,stag,sear,stay
接连,successively,always,since the beginning of history,it goes without saying
潜行于...,prowl,alike,socket,shark
(鸟)栖息,perch,poach,pinch,fetch
歌谣,ballad,pallid,salad,allay
(仪器)精密的,sophisticated,cling,cadaverous,ski
澄清,clarify,clarion,clarity,charity
抛物线,parabola,parable,parasol,paranoia
悲哀,lugubriousness,painful,mournful,anxiety
