#word,meaning,option1,option2,option3
rekindle,重新点燃,春天,集会场所,社团
sky-rocket,陡升,改组,延伸,转向
duet,二重唱,合唱,对歌,舞蹈
ecosystem,生态系统,崇拜,发行,杰出
migrant,移民,职工,书记,土著
blush,因某事物脸红,相对性,真的,干脆
cereal,谷类,菌类,冬麦,白木耳
misdirect,写错地址,发火焰,生活(动)的,刽子手
effluvia,废料,资源,文物,红宝石
foul,弄脏,化合,看护人,大量
pilfer,偷窃,盗版,断路,抢劫
sheathe,将(刀,值得花时间(或精力)的,(坛子、壶等)盖子,富于幽默感的
referee,仲裁者,穿针线等,坐,虫
prolixity,罗嗦,各自,攻击,加强
chicanery,诡计,毒计,战略,五年计划
sly,狡猾,热切,诚实,忠于
enzyme,酵素,到...里面,联盟,市长
malnutrition,营养不良,知道,出乎意料,只...)
conjure,变魔术,跑龙套,表演,武打
hilarious,引起大笑,途径,羡慕,大概
metaphor,隐喻,叫做,比方,当作
unseemly,不适当的,不违农时,就绪,可身
counterbalance,起平衡作用,内服药,研究,公园
auricular,耳的,欠…的钱,逗留,电报机
tare,莠草,草,草丛,刨花
disposable,一次性使用的,他的,系,只...)
unobstructed,没有障碍,亲戚,煤块,价格
dislocate,使脱臼,驱,礼堂,非常
stagnant,停滞,截至,收盘,熄灭
unrepentant,不悔悟的,(旅游的)接待处,牢固,今
incision,切口,梦话,口号,脏话
intellect,智力,才智,天赋,度量
visionary,有远见的,啼,笼子,使坚强
decorative,装饰性的,地位,强制,黄的
insolvent,无钱还债,帮助,肺脏,善良
shoulder,路肩,渐渐远去,弄脏,人间
curvaceous,婀娜多姿,步伐,病容,架势
rebuke,指责,谴责,驳倒,保密
prefatory,作为开场白的,会议,煤油,(报纸
electorate,(全体)选民,腰带,发生,重要
noose,绳套,状况,钟,使落空
prodigal,挥霍,浪费,抽出,节省
mountainous,巨大,不在话下,薄弱,细小
obfuscate,使困惑,报告,纠正,更坏(差)的
demonstrable,可论证的,突发,保卫,飞机
potation,畅饮,喝,咀嚼,叼
reprieve,缓刑,上市,黥,财经
entice,怂恿,迫使,玩儿,播弄
gratification,满足,供应,对应,供给
speculate,投机,不切实际,巧合,符合
barrage,弹幕,除此以外,教科书,种类
thrifty,节省,浪费,平衡,抽出
trilogy,三部曲,草稿,补白,短文
costume,服装,大衣,长袍,哔叽
oratory,演讲术,浅滩,外孙子,途径
moment,重要,主干,便宜,严重
balm,香油,豆油,动物油,芥末
mistral,寒冷干燥的强风,像这样,(男式)衬衫,共和国
correspondingly,相符,戏剧性,不切实际,相当
convulsion,骚动,零落,扰乱,按兵不动
provoke,激怒,缠绕,冲撞,兵不厌诈
immemorial,太古,公元前,同时代,纪元
snarl,纠缠,隔离,生效,构成
solid-colored,单色,粉红色,黑色,补色
fanatic,狂热者,叹气,植物,日落
hexagon,六角形,球状,多面体,新型
personnel,全体人员,职员,移民,殖民
overt,公开,合法,不三不四,暗地里
craft,行业,银行业,生意,男爵
consort,结交,滑雪,酬酢,胜利
sparse,稀少,多数,一切,多糖
defense,防御,固守,边防,保卫
sensibleness,明智,敏感,愚笨,胆小
distrait,心不在焉,不经意,小心,着迷
scoop,(用勺子)取出,关键,亲爱的,问题
aghast,惊骇,激动,好奇,懂事
consequently,所以,出于,尽管,不拘
supervise,监督,监视,督促,备查
effulgent,灿烂,破旧,美貌,娇媚
debut,初次登台,便帽,干蠢事,把…说成
invigorate,鼓舞,有助于,加以,杜绝
mannered,做作,屏气,喘息,喘气
disseminate,散布,罗列,开列,遍及
ethics,伦理学,科技,医学,科研
abut,接界,临近,渗透,堵车
beleaguer,围攻,冲击,攻打,督战
impregnable,攻不破的,较大者,仅仅,开始
gusto,爱好,百听不厌,爱慕,体会
awash,被海水淹没的,(使)变薄,损害,公开
carapace,(蟹或龟等的)甲壳,工作台,仔细,脆的
dominant,显性,拨云见日,合法,可行
credible,可信,信赖,信奉,相信
prig,道学先生,一场(戏),做苦工,调配
precipitate,加速,提前,延迟,巩固
auger,螺丝钻,断言,交流(思想等),久远
plastic,塑胶,琥珀,油饼,钻石
incongruous,不调和的,环境,无忧无虑的,以
innuendo,含沙射影,叫做,可见,表明
controvert,反驳,辩解,狡辩,非议
fracas,喧嚷,怒吼,发声,叫醒
harry,袭扰,性骚扰,打破,打败
pendent,吊着,厝,放置,断裂
skillet,煎锅,月台,独立派人士,蜿蜒
opprobrious,辱骂,骂,拌嘴,顶撞
flaunt,张扬,不在乎,不修边幅,坚决
lopsided,倾向一方,搜寻,荫,相像
scribble,乱写,卫生间,妥协,一套
tenor,要点,大纲,摘要,骨头
stultify,使变得荒谬可笑,纺织工,举动,极其
scathe,严厉批评,障碍,抢劫,使高兴
irradicable,不能根除,惩罚,(装饰用的)瓶,许多人或物
accord,同意,答应,不容,协定
confirm,证实,可见,可谓,百川归海
insolent,粗野,操切,冰冷,毕恭毕敬
lava,熔岩,暗礁,白云石,冰洲石
economical,经济,泄露,损失,小题大做
damp,减弱,缓和,赶紧,安定
gormandize,拼命吃,嗷嗷待哺,冬眠,打喷嚏
vapid,索然无味,正常化,好奇,特别
interim,暂时,冰天雪地,瞬间,冰冷
coma,昏迷状态,设计,为什么,便条
thwart,阻挠,麻烦,缠绕,搅和
heyday,全盛时期,时代,北朝,唐代
penumbra,边缘部分,影印机,无能,法国(语)的
muscular,强健,年老,瘫软,纤弱
peril,危险,轻松,凄惨,艰苦
windbag,饶舌之人,醒着,凶恶,淘汰
misjudge,错误判断,证明,使自由,摇动
elysium,极乐世界,灵魂,妖怪,幽灵
cardinal,最重要的,描绘,富有色彩,不
meticulous,细心,奢侈,安稳,识相
slough,(蛇等的)蜕皮,到极大程度,负担,元件
invigilate,监考,监控,监视,备查
paltry,无价值的,必需,重大,不要紧
whet,磨快,因特网,作出反应,邮票
maize,玉米,大麦,冬麦,麦子
confound,使迷惑,传说,宽厚,庇护
hobble,跛行,(飞机)航线,公务员,便条
bore,钻孔,举止文雅的女子,视力,友好
mistimed,不合时机,少量,复述,厨师
pitch,音调(音符之高低),(正式)会议,害虫,自动售货商店
hackneyed,陈腐,跋扈,独断专行,不平
robe,长袍,罩衫,斗篷,西装
legible,易读,健身房,作为,在一定程度上
liberate,释放,捕捉,捕获,复审
optional,可自由选择的,狂热,相信,中间物
unrestrained,未受抑制,任凭,庇护,迷惑
stern,船尾,班轮,驳船,飞机
aurora,极光(南北极夜晚所放彩光),引导,害怕,熟练
granular,粒状,记录,(中小学)教师,(道路上的)交通安全岛
embark,上船,动工,启动,拔锚
misdemeanor,轻罪,使摇摆,人口,解说
safari,狩猎旅行,含盐,第六,有道理
disorder,凌乱,严肃,俨然,丰衣足食
indisputable,无可辩驳,名义,渺茫,影响
stream,倾注,对流,陷落,降下
chaos,混乱,蓬松,神经过敏,富有
allergy,过敏症,暗疾,肺炎,多发病
reciprocating,来回(双向)移动的,天鹅,催逼,共用
feckless,无目标无计划的,有关系的,遥远,空中加油飞机
analogue,类似物,产品,惩罚,试穿
preface,序言,缘起,周刊,题跋
rooster,公鸡,鹤,白鹤,锦鸡
ductile,易拉长的,活动,立方形的,向...致词
adorable,迷人,狭窄,可恨,动人
inefficacious,无效果的,卑怯,明白,板板六十四
reincarnate,使化身,拴,靠近,心(脏)
incessant,无间断的,一直,刚才,按时
provisional,暂时,实时,不久,瞬间
promote,提升,当选,免职,得意
murmur,柔声地说,在这时代,寒冷入骨,各人
conglomerate,集聚成团,他,智慧,蜂房
limp,跛行,生意(不可数),有关系的人,军衔
appall,使惊骇,标签,宴会,栅栏
splint,(固定断骨的)夹板,沮丧,金属,促成作用
precursory,先驱,继承者,开拓者,鼻祖
imponderable,(重量等)无法衡量的,确实,船身,先驱
fold,折叠,铺平,衬里,竖起
quell,制止,约束,控制,制约
unregenerate,不知悔改,只...),用药麻醉,虚弱
clog,障碍,束缚,余烬,赘疣
nominate,任命,备取,招聘,委任
halting,踌躇,发誓,尴尬,警惕
crave,渴望,出乎预料,预期,寻求
incorrigible,积习难改,大器晚成,饱学,半吊子
bacchanal,(行为放纵的)狂欢会,迅速,利息,把…插入
hoary,(头发)灰白的,一瞥,向东,小径
opaque,不透明的,关闭,旅行,展览
dormant,冬眠,睡着,口渴,醉
pluck,弹拉,中等(级)的,不同,住房
malcontent,不满分子,伸,严厉,炉火
license,自由,尽可能,痛快,不够
mutineer,反叛者,减少,滴,任何..的事物
inhibition,抑制,封锁,方便,制裁
epithet,(贬低人的)短语或形容词,改正,富于幽默感的,(十三至十九岁的)青少年
raconteur,善于讲故事的人,文本,技艺,女装
halt,暂停前进,关门,停火,停滞
congest,充血,包含,出现,层出不穷
eclat,辉煌的成就,反应,名望,盛名
posterity,后代,同辈,大爷,友好
abstracted,心不在焉,习惯,忽视,一心一意
dimple,酒涡,脸颊,下巴,额角
disperse,消散,衍生,失去,灭绝
overwhelming,压倒性的,油漆业,学科,懂
upright,正直,淫猥,妖艳,色情
profligate,挥金如土,郑重,拖拉,不辞辛苦
cushion,坐垫,垫子,警钟,丧钟
solder,焊接,锻压,保修,培修
knocker,敲击的人,一大阵,血统,到国外
rupture,破裂,打破,放置,厝
depressed,凹陷,笼罩,翘,掩盖
prurient,好色,太平,多情,贪心
starve,挨饿,醉,口渴,冬眠
shawl,(妇女用)披肩,演说,钢,野外
etymology,语源学,科技,科研,医学
extract,拔出,摘除,挽,搂抱
erudition,博学,鄙陋,孩子气,眼尖
indiscretion,不谨慎,耐心,疏忽,字斟句酌
poetaster,蹩脚诗人,决定,停顿,仪表
gong,锣,手袋,独有,报到
tightfisted,吝啬,白色,不在乎,先进
fallacious,谬误,断章取义,不足为训,笔误
trickster,骗子,阿飞,黑客,征服者
bumble,拙劣地做,相遇,现实,到一起
disquisition,长篇演讲,黎明,旅游,译
harrow,使痛苦,反向,花样,梦想
silence,寂静,寂寞,繁华,无声
deception,欺骗手段,促进,起源,亲切
seditious,煽动性的,丝织品,蜂箱,轮椅
transmute,变化,多变,重复,变幻
fertile,肥沃的,虚伪,表达法,模仿
unreserved,未被预定,低,影子,猛烈
anhydrous,无水,蜂箱,被视为有意义的事物,以动作示意
plot,阴谋,计划,企图,打算
eclecticism,折衷主义,不可知论,中学,墨水
summon,召见,敦请,探亲,探视
shear,剪(羊毛),偷偷告诉,(头发的)一缕,群
credo,信条,营养,尺度,补语
desperado,亡命之徒,恶棍,妖孽,歹徒
purchase,支点(阻止东西下滑),家庭主妇,拖,意见
onerous,繁重,当中,低级,容易
alchemy,炼金术,一样,根本,全体
expedition,远征,失灵,平均数,旅馆
interpolate,窜改,修饰,修正,删除
off-key,走调,语态,辩解,收获　
creep,悄悄地移动,糖果,深(色)的,坏地
shimmer,闪烁,咆哮,衍射,散射
scamper,奔跑,蹦蹦跳跳,涉,奔驰
forum,辩论的场所,舞台,坛,站台
asphyxia,窒息,疯狂,不省人事,头晕
breeder,饲养员,半自耕农,樵夫,商人
sprawl,伸展手脚而卧,截面,提高,领袖
annexation,并吞,抄袭,诱拐,压迫
unidimensional,一维,(常兼汽车修理、销售业务的)加油站,时代,把…搬上舞台
garbled,引起误解,校订,删除,补遗
antic,古怪,暧昧,天晓得,特别
summarize,总结,著作,分类,推理
shipwright,造船者,救护,敏锐,管辖范围
motivational,激励性的,盘旋,使用者,语法树
sham,虚假,实际,名副其实,实弹
superannuated,老迈,年青,纤弱,健全
soot,黑烟灰,露水,烟雾,薄雾
discount,折扣,发病率,兑换率,增长率
homiletics,讲道术,想法,安乐椅,当时
obliterate,涂掉,适当,亲属,年龄
specify,指定,建立,立法,分发
pusillanimous,胆小,愚蠢,强悍,脆弱
shroud,寿衣,中山装,旗袍,上身
longevity,长寿,年轻,雌雄,雌
superstition,迷信,认真,确信,相信
formative,形成,演变,渐变,变化
excerpt,书、电影、乐曲等的节录,措施,制图表,大量
specifics,细小问题,含意,故事,口气
schematize,扼要表示,完整,水道,处理
vendetta,世仇,矛盾,恩怨,恩典
finery,华丽,文雅,鄙陋,光滑
stipple,点画,码头,拐弯,城市
clique,朋党派系,协会,公会,商队
flagrant,臭的,路线,伤口,利益
compost,混合肥料,同事,画家,放(枪)
draft,草稿,定稿,图书,手稿
self-assertion,坚持己见,半信半疑,确信,可以
unprincipled,肆无忌惮,祝福,挑衅,伪造
conundrum,谜语,议题,本题,瑞典语
measurable,可测量的,遥远,插入物,辞典
fanfare,嘹亮的喇叭声,试验,花费,占用
tawdry,华而不实,断章取义,初步,严密
novelty,新奇(的事物),完全,有些,有趣的人或事物
magnanimous,宽宏大量,鄙吝,落后,严格
equestrian,骑师,大量,递,招待
unscented,无气味的,直升(飞)机,激动,短讯
jockey,骑师,人,使沸腾,苦力
distribute,分发,颁发,发放,吸收
abacus,算盘,变压器,探测器,消防栓
scapegoat,替罪羊,难民,瘪三,当事人
decency,正派,粗俗,清廉,贞洁
gaunt,憔悴,细小,短粗,曲折
impervious,不为所动,沉思,感激,联想
sting,叮螫,产物,难对付的人(事),大量
upholstery,室内装潢品(地毯,表语,裁判,商店
wane,减少,加宽,淘汰,补发
denture,假牙,板牙,肩膀,板牙
hermetic,深奥,初步,百思不解,艰巨
noncontemporaneous,非同一时期的,使挨饿,核心,尝试
perishing,严寒,半天,临时,冰冷
unanticipated,未预料到,陡然,莫不,大致
judicial,法庭,政府部门,厂矿,班房
provenance,(艺术等的)出处,取决,可见,归属
painstaking,煞费苦心,考虑,构想,熟思
unwind,松开,拆散,上身,糊
treatise,论文,成文,本草,本草纲目
vouch,担保,重复,毫无疑问,约莫
solicitude,关怀,可惜,放心,爱怜
girder,大梁,地面,柱子,地板
absentmindedness,心不在焉,松弛,警觉,好看
preoccupied,心事重重,羞愧,抱不平,坦然
default,拖债,贡献,把…对准,幸运
proctor,代理人,目击者,发言人,专员
perish,死,生活,不讳,授命
censure,责难,保密,揭发,谴责
clay,黏土,冻土,板岩,土堆
terminate,终止,收盘,下课,停滞
pawnbroker,典当商,增加,他们,旁白
simpleton,笨蛋,废物,白痴,半吊子
accrue,增多,干,浸透,增长
spank,打,所有权,左方,几分
surpass,超过,不可逾越,控制,利于
convalescence,病后康复期,进入,野的,针
sartorial,裁缝,铁匠,矿工,刨工
affluent,富裕,艰难,糊涂,俨然
intensify,加剧,安定,弱化,缓和
facilities,(使事情便利的)设备、工具,结果是,显示,相同
arabesque,蔓藤图饰,目的,红的,滴
graze,(动物)吃(地上长的)草,茂密,平静,花费(钱、时间等)
scar,伤痕,裂纹,瘢痕,斑点
tainted,受玷污的,被听到机会,非常,捕获
criterion,评判的标准,表语,谓语,格言
resurrect,使复活,纠正,呼出,乐趣
fungi,菌类,麦子,白木耳,谷类
loom,织布机,电脑,电梯,吊车
adjutant,(军队的)副官,令人感动,文库,会见
inured,习惯,惊愕,着迷,懂事
gobble,贪婪地吃,贪污,抄袭,压迫
invariable,始终如一,掉以轻心,负责,积极
foray,突袭,断后,包抄,爆破
appoint,任命,招募,委任,备取
incubator,孵卵器,警报器,卫生设备,雷达
labyrinthine,迷宫式的,笔挺,骨头架子,倾斜
outfox,以机智胜过,伤口,淡,正是
kennel,狗舍,法院,餐馆,八(个
twig,小枝,使高兴,调查,无论何处
devolve,(指工作,冲出,谎话,泉
remembrance,记忆,忘记,记住,挂念
disaster,灾难,薄命,幸福,灾害
droll,古怪,正常,莫名其妙,暧昧
animate,赋予生命,行为,外表,错误
deliberate,慎重考虑,工作时间,对抗,咽喉
vicissitudes,(复数)(人生的)盛衰,多变,反复,变幻
painkiller,止痛药,软膏,白芍,冰片
dowdy,不整洁的,强令,在的对面,十足
downcast,意志消沉,纸板,倒退,直达
gosling,年轻无知的人,物理,效果,团体
shoplift,在商店里偷窃货品,旅行,激发,笼子
retract,缩回,伸出,陨落,掉落
harridan,凶恶的老妇,居住,使困惑,(用于否定、疑问等)任何地方
pamper,纵容,欺诈,任凭,庇荫
chauvinism,沙文主义,独裁,社会主义,共产主义
filibuster,妨碍议事,扰乱,触怒,困扰
gaseous,似气体的,(军事)行动,咽口水,用竹子制
intertwine,缠,构成,通航,互通
turquoise,碧绿,碧蓝,紫色,黄褐色
hack,雇佣文人,引起,延迟,混合物
gossamer,轻而薄的,洗衣服用,精神,不吵闹的
hiss,作嘘声,连接处,扇子,重要
dishearten,使...灰心,概括性的,有希望的,除...之外
goggle,睁眼看,丝织品,那个,主要部分
tacit,心照不宣,精通,喜爱,咀嚼
equitation,骑术,爆炸,甚至,集中
induction,入伍仪式,罢黜,接替,办事
aureole,日冕,光束,背影,激光
goblet,高脚酒杯,安排,担忧,页
regimen,养生法,冷淡,狮子,块
adjure,郑重敦促,惊动,错误,想让…做
fiasco,大失败,胜过,百战百胜,败阵
dismantle,拆除,披,戴,糊
arrhythmic,无节奏的,使人厌烦,足,交叉
vacillate,游移不定,如饥似渴,惊慌,坦然
stutter,口吃,溃烂,结果,开放
saber,军刀,子弹,手枪,礼炮
temper,锤炼,研究,析出,研制
ersatz,代用,照搬,罄,比量
statuette,小雕像,短距离,打断,农田
vulture,秃鹫,野禽,知更鸟,百灵
intercessor,仲裁者,铺开,卷轴(筒,乐事
valetudinarian,体弱的人,练习,大声,矮的
incommunicative,不爱交际,不赞一词,激发,旺盛
plethora,过量,正如,比如,不如
tan,鞣(革),楼梯,并且,呼吸
unjustifiable,不合道理,争论点,(个人的)事,在..之上
harrowing,悲痛,痛苦,哀伤,担忧
magnify,放大,转向,压缩,膨胀
rucksack,(旅行等的)背包,才干,咖啡馆,拉
axis,轴(常为虚构之线,在...上面,最多,前进
muddle,混乱,俨然,神经过敏,缓解
genealogy,家谱学,公平,卷,沉重
punctilious,谨小慎微,断断续续,孟浪,负责
matrix,矩阵,外部,编队,排队
dross,糟粕,赘疣,鹅毛,遗产
swell,肿胀,泻肚,镇痛,咳嗽
curiosity,好奇心,中心,诚意,良心
mentor,导师,助教,法官,教练
paean,赞美歌,歌谣,口号,十四行诗
arson,纵火,断路,绑架,开刀
verge,边缘,兼容性,历史性,酸性
inconstancy,(指人)反复无常,广阔,酱油,同样
resurgent,再起,出院,痒痒,愈合
resemblance,相似,大同小异,例如,接近
hallow,把...视为神圣,可敬,引咎,抱怨
goldbrick,逃避责任,振兴,工作,承受
undirected,未受指导,飓风,(代人临时)照看婴儿者,看
confess,承认,公认,驳斥,抨击
muffle,使声音降低,在...的背后,平静,美
overwhelm,压倒,比如,胜过,如同
prehistoric,史前,公元前,今世,中世纪
wholesomeness,健康,滑稽,神奇,奇怪
laxative,(药)通便的,长处,起立,抄本
overflow,溢出,漂浮,喷射,淹没
appalling,骇人,动人,不得人心,丰富
hush,肃静,繁忙,单枪匹马,热闹
drivel,说废话,外表,战场,收(税等)
agnostic,不可知论的(人类不可知上帝是否存在),伤风,工作日(指除周六、日以外的日子),孔
moribund,即将结束,刺痛,上演,长官
sacrament,圣礼,扫除,顺序,敲
rapport,和睦,严密,不即不离,重叠
exogamy,异族通婚,天空,回答,蛙
abstract,摘要,记录,键入,手写
trim,井井有条,神经过敏,缓解,一触即发
sectarian,宗派,右翼,帮会,东盟
outline,梗概,摘要,骨头,大纲
primeval,原始,现成,国产,正统
sublimate,(使)升华,缓和,蓬松,俨然
pivot,枢轴,不要紧,不痛不痒,要紧
numinous,庄严,神经过敏,清爽,哀鸿遍野
eclectic,折衷,媾和,奉承,驯服
irk,使苦恼的,恋爱,抱恨,爱憎
mint,巨额,弧形,广大,芸芸
moody,喜怒无常,僵化,年轻化,软化
screed,冗长的演说,履行,在...的背后,苍白
depress,消沉,大煞风景,大失所望,懊丧
slake,解渴,速决,洗刷,摧毁
disorientation,迷向,直接,公安部门,喷嚏
interference,干涉,打听,参与,试探
travelogue,旅行见闻,(英)小麦,打印机,倒退
pedestal,(柱石或雕像的)基座,烧煮,伤风,主编
misnomer,名字的误用,太空人,终于,于是
zealotry,狂热行为,假期,词,收藏品
deport,将外国人,在左方的,戏剧,有音乐才能的
frothy,起泡,流行病,麻疹,喉炎
detoxification,解毒,肃清,抛弃,洗刷
mobile,易于移动,舞会,煤气,仅仅
prosecute,告发,占卜,弹劾,控告
down,绒毛,树皮,毛,头发
scabbard,(刀剑)鞘,绞死,保护,钢板
ailment,(不严重的)疾病,正午,摆弄,只...)
pylon,高压电线架,逃跑,住址,议题
metaphysics,形而上学,灵活性,灵活,板板六十四
discharge,履行义务,筹集,给予帮助,电脑程序
sapphire,青石,冰洲石,蛋白石,矿石
armada,舰队,步兵,日军,先锋
implore,哀求,恳求,不情之请,试探
intercept,中途拦截,得分,荣获,遂
ignorance,无知,半瓶醋,成熟,对答如流
duct,管道,网路,无线,电话线
histology,细胞组织学,能量,补钉,主管
perambulate,巡视,空防,防空,驻扎
politicize,使政治化,灵敏,控制,英雄行为
archive,档案室,编辑,放,平局
violate,违反,抵制,违心,触犯
drudgery,苦工,动作,家务,毛病
voyeur,窥淫狂者,粗,农艺,目录
excursion,短途旅游,前苏联人造地球卫星,鸟,木柴
quest,探求,寻求,回忆,要求
orthopedics,整形手术,看,金属制品,不同意
miasma,瘴气,色调,丁烷,蒸汽
insalubrity,不利健康,中心,直到…为止,瞎的
encyclopedic,广博,狭窄,匀净,丰富
dwarf,侏儒,美人,骨头架子,巨人
inclination,斜坡,香山,火山,矿山
quietude,平静,从容不迫,不知所措,落实
disaffected,(政治上)不满的,叛卖,变天,篡位
scrumptious,(食物)很可口的,产生,对抗,在前
amity,(人或国之间的)友好关系,(大)猫熊,以,宣称
dignity,尊严,污秽,神经过敏,大喜
perpetuation,永存,胜利者,丢人,暗无天日
hawser,粗绳,专家,离题的话,公园
starchy,刻板,机械,眼尖,灵巧
fretful,烦躁,凄惨,阴郁,发怒
prototype,原型,不充分的,楼下,一次
coherent,连贯,对应,满足,容易
utter,发出声音,油煎,用墙隔开,石油
vitality,精神,感叹,目瞪口呆,疲惫
apex,顶点,极了,八度,限度
rhetoric,修辞学,科研,科目,医学
indomitable,坚强不屈,脆弱,卑怯,胆大
flannel,法兰绒(一种布),工友,不停,通情达理
rudimentary,初步,开车,动工,着手
bumptious,傲慢,大量,恭顺,不吝
insatiable,不能满足,百无聊赖,大公无私,正面
misbehave,(使)行为无礼貌,除…外,想知道,主要
differentiate,辨别,识货,挪用,分别
adjacent,接近,如同,例如,相似
hide,兽皮,鳔胶,橡胶,毛皮
crumple,弄皱,追踪,活动(范围),建筑工人
propinquity,邻近,相差,逼近,交界
slanderous,诽谤,争议,嘲笑,笔战
monarch,君主,女皇,喾,董事
gorilla,大猩猩,白狐,麋鹿,猿猴
fructify,结果实,陷落,败阵,不力
accumulate,积聚,喷射,列为,排队
dispensable,不必要的,辅助,紧迫,不痛不痒
vanguard,前卫,大学生,投手,种子
haunt,常去的地方,飞机,拉,受惊
peer,同等之人,不比,相当,同步
correlation,相互关系,理由,愉快,啤酒
immutable,不变,活泼,对付,站住
phony,假的,伪托,挑衅,出风头
betroth,许配,结婚,婚嫁,定婚
lurk,潜伏,盯住,避嫌,避难
comport,特别地举止或行为,犯愁,粘住,把…搬上舞台
destructive,毁灭性的,局部,不真实的,复习
verbose,冗长,半半拉拉,僵硬,柔软
bail,保释金,捐款,拨款,分期付款
regimentation,严格控制,罪名,司法,卞
ulterior,不可告人,天晓得,官方,非法
photosynthesis,光合作用,反射,发酵,声价
marine,海的,更远,座右铭,使震动
scanty,不够,不择手段,无人,莫非
spruce,整洁,混杂,白热化,整齐
jibe,与...一致,不切实际,对头,戏剧性
maltreat,虐待,应付,待遇,驱逐
groom,新郎,男朋友,朋友,媒介
governance,统治,摄政,游行,抗议
perspire,流汗,便血,大便,便秘
cavalcade,骑兵队伍,不幸运的,不常,多得不计其数的
disjunction,分离,集聚,背井离乡,三位一体
fascinate,迷惑,欺诈,骗取,欺瞒
angular,有角,观察者,残酷,(法、美)十亿
collaborate,通敌,配备,颠覆,出卖
chirp,(鸟或虫)唧唧叫,数字,多采多姿,献身
vaccinate,给...接种疫苗,白天,会,气氛
boredom,厌烦,博爱,爱国,憎恶
stumble,打结巴,订(货),在内部,引起痛苦
primary,首要,开玩笑,难得,低廉
blouse,(女人或小孩的)衬衫,市,自豪,普通
unassuming,不摆架子,光滑,发送的货物,章节
fraction,碎片,光秃秃,简单,蓬松
philanthropy,慈善,恶狠狠,异,之一
sustained,持久,小心,浪费,拖拉
accomplished,有技巧的,闻,钞票,精通
ineffective,不起作用,顽皮,嵌板,粉
fender,护舷的垫子等,朗诵,鼻子,在这时代
inert,惰性,重要性,地区性,实质性
fault,错误,勉强,确切,严密
curb,马勒,在…之中,难对付的,谁
presumable,可能,约莫,无人,有时候
pact,协定,会谈,承诺,谈判
eliminate,除去,除非,不但,凡是
squeeze,压榨,投机,剥削,侵吞
elegiac,挽歌,悲歌,伴唱,歌曲
embankment,堤岸,鸟笼,陷阱,驳岸
stab,刺伤,鼻青脸肿,起死回生,伤亡
successively,接连,有史以来,不迭,一直
prowl,潜行于...,原型,盆,薄片
