#word,meaning,option1,option2,option3
underestimate,低估,预测,猜测,出乎预料
starve,使饿死,努力,争论,把钱存入银行
lexicography,辞典编纂,介绍,没有东西,调羹
extract,取出,转送,退还,预付
deviation,背离,赞扬,违宪,抵制
aviation,航空,对开,搭乘,巡航
fertile,能繁殖的,标签,祝贺,小包
manufacture,)制品,岩石,专门,态度
doubtful,难料,(乡间)小道,同事,书评作者
plot,密谋,擘画,打算,罢论
stationer,文具商,停车处,奋斗,欢乐
pillow,枕头,壁毯,毛毯,地毯
summon,召唤,责成,提倡,响应
shear,剪,阴霾,使焦灼不安,型
explode,使爆炸,传送,盛时,下降
purchase,购买,函购,订阅,定购
festivity,欢宴,人大,宴会,电话会议
output,产量,比分,一度,指数
alchemy,炼金术,重…,以便,推理
expedition,探险(队),报告,欢乐,检查
creep,爬,滑翔,倚靠,倾斜
shimmer,闪烁,呜咽,折射,发光
forum,讨论会,分会,联席会议,全会
sprawl,伸展手足而卧,问题,客人们,放
ashamed,惭愧,从容不迫,紧张,安详
coastal,海崖,旁边,城郊,左右
sham,假货,纪念,禁品,证物
soot,黑烟灰,烟雾,霜,薄雾
discount,认为…不足轻重,另外,系统,荒唐
crew,机组人员,秘书,先生,理发师
itemize,分条缕述,乐意,儿子,家乡
superstition,迷信,自信,半信半疑,不服
excerpt,摘录,编辑,编译,修改
messy,污秽,轻松,严肃,整齐
partial,有偏心的,东方,记号,完全
printout,打印输出,总计,毛状物,密切
minimal,极微,身高,广大,中等
all,完全,有些,根本,一定
draft,起草,统计,推理,著作
wisdom,智慧,胆小,糊涂,脆弱
solar,太阳,灯光,白炽,焰火
glycerin,甘油,淀粉酶,量子,离子
novelty,新颖,不透气,古老,不兴
magnanimous,高尚,百无聊赖,卑鄙,清廉
liqueur,利口酒,痕迹,互换,生的
distribute,分布,开列,列为,堆积
scapegoat,替人顶罪者,难民,受害者,瘪三
gaunt,憔悴,骨头架子,弯曲,纤小
sting,刺痛,呼吸,呼,吐
wane,减少,补票,加长,裁员
loyal,忠诚,缓和,诚挚,转弯
valuation,估价,评估,督促,点名
judicial,审判,复审,传讯,定案
accomplishment,成就,定稿,颁行,召开
painstaking,刻苦,用功,不辞辛苦,巴结
parliament,议会,运动会,例会,分会
breakdown,损坏,陨落,剥落,断开
treatise,论文,篇章,八股,社论
sweater,毛衣,中山装,旗袍,盔甲
varied,杂色,本职,半公开,课外
default,缺席,退学,脱氧,到场
perish,死亡,活着,饿死,不讳
malaria,疟疾,流行性感冒,霍乱,翳
clay,粘土,冻土,表土,伟晶岩
terminate,结束,下班,开拍,罢休
surpass,超越,限于,制裁,不可逾越
affluent,富足,失调,不方便,捣碎
intensify,加强,强化,加快,软化
once,一…就…,稀奇,相等,淌
graze,在…吃草,戒指,装备,地面
scar,使留下伤疤,浅的,陈列,触到
purity,纯净,重叠,紧紧,冰炭不相容
criterion,标准,国产,国立,原本
council,委员会,电信局,众议院,国务院
loom,笼罩,遮掩,陷落,掩盖
illusion,错觉,酸痛,反感,感性
notably,格外,过度,多多,至少
gender,性,欲望,咽喉,沙滩
twig,小枝,没有希望,一边,联系
disaster,灾难,灾害,幸福,桃花运
deliberate,仔细考虑,一幕,癖好,竞争者
pamper,纵容,任凭,趋奉,庇护
parachute,降落伞,手镯,扇子,阳伞
tacit,心照不宣,喜爱,误会,相识
cautious,小心谨慎,仔细,识相,孟浪
fuse,熔合,镀金,镀,镀锌
enterprise,进取心,哀思,存心,信心
engage,从事,变节,拼命,挣扎
perform,演出,跑龙套,配药,人工流产
temper,使缓和,提高,上涨,衰减
plethora,过量,比如,超龄,一般来说
shape,使成形,体操,期考,锻锤
magnify,放大,蔓延,暴涨,转向
uprising,起义,不能不,是否,暴动
axis,轴,叠,绞,种种
muddle,混乱,蓬松,失调,神经过敏
megaton,兆吨,煤气,布告,主要部分
swell,涨大,收缩,改组,壮大
legislation,法规,不平等条约,宪法,法令
snag,残干,流泪,所有权,公开
sequence,连续,老是,时刻,按期
verge,接近,一般来说,相反,不等式
resemblance,相似,俨然,正如,南辕北辙
confess,供认,证词,申诉,劳教
overwhelm,(洪水)淹没,(一)杯,以后,投掷
prehistoric,史前,纪元,同时代,公元
submarine,水底,屋顶,终端,尖顶
overflow,过剩,崎岖,不乏,不可估量
notation,表示法,说明,参考,简介
cultural,人文,下落,病征,意思
sociology,社会学,高科技,科研,课程
abstract,摘要,附笔,键入,说明
trim,修剪,切片,采伐,雕刻
outline,轮廓,情形,境遇,背景
buffet,碗橱,壁橱,架,吊床
pivot,枢轴,微不足道,难得,主要
spin,编织,印刷,漂白,打印
mint,造币厂,成叉状,命运,磅
set,放,一口,空白支票,用…(表示)
depress,使沮丧,立刻,(船、飞机等的)全体人员,使
bundle,包裹,装入,卷曲,捋
pedestal,（柱石或雕像的）基座,展览会,整洁,蜂窝状物
shift,变(速),矫正,使焦灼不安,个别
rumour,谣言,事态,年夜饭,野餐
mobile,活动,奔泻,对流,外流
prosecute,对…起诉,庇佑,弹劾,上诉
devastating,破坏性的,无光,矿石,分类
overhear,偶然听到,领导,矿山,服从
discharge,放电,半工半读,读书,不求甚解
display,显示,预兆,可见,所谓
ignorance,无知,无能,大器晚成,孩子气
distraction,分心的事物,展览,鉴赏,画展
violate,亵渎,补救,挣扎,变节
drudgery,苦差事,毛病,家务,动作
excursion,远足,远征,对开,跋涉
quest,寻找,保藏,找到,避嫌
dwarf,矮子,胖子,美人,男孩儿
inclination,倾向,信奉,同意,半信半疑
dignity,威严,洁净,凄惨,幸福
brew,酿造物,论证,匹敌,最近
solely,仅仅,临时,彻底,通通
prototype,原型,野生植物,救,铸造
coherent,紧凑,冰炭不相容,大概,自己
rhetoric,华丽的文辞,赘述,多嘴,乱说
warrior,勇士,令人,懦夫,烈士
plasma,血浆,波涛,涟漪,泡沫
differentiate,区别,识货,可比,对立统一
adjacent,邻近,渗漏,堵车,毗连
weave,织,方向,看守,相反(事物)
crumple,弄皱,垂死,整理,(嘲笑等的)对象
cell,细胞,神经,白细胞,核子
diploma,文凭,多数票,本票,执照
accumulate,积累,记帐,转帐,结帐
haunt,常到,失误,上车,输入
peer,同辈,莫衷一是,步调一致,对等
correlation,相互关系,全国性,兼容性,相似性
phony,假的,摆摊子,寻衅,伪托
lurk,潜伏,避难,躲避,避嫌
destructive,破坏性的,死因,少数派,数量
reap,获得,应得,荣获,防水
marine,航海,宇航,航行,对开
possession,(,回,有天赋的,眼(睛)
affirmative,赞成,打结,拥护,不依
maltreat,虐待,招待,收养,应付
perspire,出汗,大肚子,便秘,便血
fascinate,使着迷,红色颜料,舒服,西红柿
collaborate,协作,大显身手,办到,面临
whatever,无论什么,剔除,(功)课,调查
stumble,绊(摔)倒,分,实现,惭愧
faith,忠实,和蔼,诚恳,听说
primary,基本,关键,不痛不痒,低廉
fraction,微量,纷纷,比比皆是,层出不穷
inert,惰性,综合性,独立性,全国性
fault,过失,伟绩,大功,业绩
latter,后者,先驱,猿人,开拓者
curb,控制,制裁,封锁,抑制
eliminate,除去,以便,凡是,假定
squeeze,挤压,支撑,把握,液压
scholarship,学问,算术,对数,变数
cut,切,切片,劈开,割
embankment,堤岸,驳岸,窝巢,渠道
increase,增大,增长,增加,干
practically,实际上,不如,果真,左右
tease,嘲弄,诱惑,逼迫,寻开心
sophisticated,复杂,紧密,简单,鞭辟入里
clarify,澄清,纠正,违章,补偏救弊
tear,狂奔,跳跃,奔驰,跑马
plank,板条,修水利,怀有,每隔…的
banquet,宴会,博览会,国会,展览会
multifarious,多种,比值,若干,第四
ceremony,典礼,洗礼,基督教,婚礼
shock,使震惊,谷粒,应用,(心中的)不安
concentric,同中心的,参加,工具(常用作单数),速度快的
conscience,良心,哀思,好奇心,存心
nicety,纤细,狭窄,肥硕,骨头架子
altitude,高度,温柔,平板,细小
neurosis,精神病,瘟疫,暗伤,不治之症
utmost,极度,采纳,尽量,多多
hither,这边,别处,手里,那里
blaze,火焰,火,波谷,漩涡
allege,断言,考试及格,广泛,安慰
mighty,巨大,薄弱,轰轰烈烈,险峻
endeavor,试图,图谋,筹措,舒适
ore,矿石,岩石,板岩,鹅卵石
reverse,颠倒,陈列,排列,开列
perplexity,困惑,好奇,吃不服,懂事
contrast,对立面,新闻界,对方,工商界
oppress,压迫,剥削,抄袭,侵吞
applicant,申请者,会员,爪子,冗员
audible,听得见的,欺骗,指挥,傻的
calculator,计算器,水槽,轨枕,食槽
spicy,香的,深深,无情,浴血
iodine,碘,白芍,泻药,维他命
derelict,荒废,垮,下工夫,振兴
adapt,改写,扩充,暴涨,推广
emphasize,强调,透露,传达,誓死
granite,花岗岩,化石,板岩,伟晶岩
saline,苦涩,痛苦,悲痛,凄惨
pilgrim,香客,长老,尼姑,达赖喇嘛
conviction,坚信,相信,爱慕,自信
bibliography,文献学,(使)厌倦,会,吊
chant,吟唱,书写,填充,浏览
compress,压缩,补发,加宽,裁员
fracture,裂痕,矛盾,恩怨,荣耀
ponder,沉思,绞尽脑汁,想象,感动
diffuse,散布,摆布,排列,遍及
adjudicate,充当裁判,定罪,开庭,惩戒
opinion,(专家)鉴定,向东方的,预防,企图
intervene,插话,吞吐,乱说,对话
ripen,成熟,吐穗,微笑,开放
languid,没精打采,激发,喘息,屏气
ubiquitous,无所不在,你们亲自,流量,通行证
jog,慢跑,奔命,奔腾,跑步
arthritis,关节炎,暗疾,肺炎,肝炎
sluggish,行动迟钝,急剧,频率,长久
wit,(,渐渐,舌状物（火舌）,稳的
ironic,冷嘲,丑化,争论,诽谤
enforce,加强,削弱,安定,放松
lint,保护伤口的软布,例证,荫凉,使中圈套
persuade,说服,调停,打伤,妥协
endow,赋予,发汗,敦促,致死
amateur,业余爱好者,雨,秘密,把钱存入银行
phobia,恐惧症,渐渐,通告,一定会…
undergraduate,大学生,毕业生,新生,选手
isle,岛,想法,领导,公司
prestige,声望,盛名,反射,众望
distill,蒸馏,纺织,提炼,镀
casting,铸成品,包装,卷曲,捋
awesome,令人敬畏,可怜,狭窄,讨厌
bumper,丰硕,狭窄,详细,广博
criminal,罪犯,淹没,识别力,汗水
challenge,挑战,应战,短兵相接,出兵
slight,纤细,骨头架子,笔直,肥胖
immune,免疫,致死,感染,污染
shovel,铲,正午,熟悉,可可粉
preceding,在前,保温,陷于,正当
deduct,扣除,减去,淘汰,补发
enquiry,询问,狡赖,公认,推翻
crisis,危机(关头),见识,掌握,隐瞒
anguish,极大痛苦,焦急,食物,胶鞋
transplant,移居,逗留,迁移,迁都
random,随意,痛快,故意,拼命
retrial,复试,传讯,审讯,逼供
congregate,聚集,纠集,握别,久违
bacon,熏猪肉,轻声说,正确,在头顶上
amber,琥珀色,翡翠,碧玉,肥料
feasible,可行,不法,含糊,合法
parody,嘲弄文章,(正式的)晚宴,带电,冲锋
auditorium,礼堂,工作室,休息室,实验室
specification,)说明书,国有,本职,原始
retail,零售,发行,经销,转让
moderate,温和,不甘心,暴烈,悲观
dentist,牙科医生,泥浆,快的,农舍
ritual,例行公事,吸毒,堕落,定稿
statistics,统计(数字、资料),衣料(不可数),想象,卡路里(食物所产生的热量或能量单位)
implement,贯彻,完成,迟误,耽搁
turbulent,混乱,蓬松,俨然,失调
ingenuous,纯朴,罪恶,坦率,苛刻
plough,犁,经常,孔,进一步说/写
dilemma,困境,地狱,处境,程度
feast,筵席,嘉年华会,讨论会,规章
erode,腐蚀,报仇,以牙还牙,败坏
obsession,迷住,大意,好看,吃不服
beach,海滨,海岸,高山,山峰
locality,地点,日本,澳洲,空白点
candidate,候选人,支持者,选民,仆人
enable,使能够用,十八个,前面,实在
almond,杏仁,家畜,槟子,秕子
carrot,胡萝卜,南瓜,芜菁,黄瓜
spectacular,壮观,美貌,外貌,幻影
carve,把(肉)切成片,法令,侥幸,导管
bilingual,（能说）两种语言的,不耐烦地,激烈,不完善的
questionnaire,调查表,著作,名著,课表
lax,懒散,喘气,激发,屏息
coax,哄诱,本人,在..以内,计划
mode,时尚,习惯,世界,妖风
checkup,鉴定,核准,追查,侦探
interdependent,相互依赖,慰藉,资助,辅助
antarctic,南极(区)的,多半,拉手,协定
penury,贫穷（,叉,种族,令人厌倦
unify,统一,分裂,未婚,三位一体
harbour,港口,中转站,城乡,管理站
celebrity,著名人士,哥伦布,奠基人,道格拉斯
provided,以…为条件,由此可见,出于,因为
handsome,慷慨,自豪,客气,大方
trustworthy,可信赖的,直播,浪费,有偏见的
spacious,广阔,对称性,无限,详细
acquaintance,相识的人,雾气,阴暗,余额
bloom,花,冰期,同期,婴儿期
outfit,(为特殊用途的)全套装备,捐献物,定价(或标价),给…洗澡
exchange,调换,改口,变速,变形
hoist,升起,攀升,上涨,减刑
steadfast,坚定,无所谓,猖獗,脆弱
definitive,限定词,发表,布景,公职
dilapidated,破旧,堂皇,浮华,文明
sustain,经受,不外,多么,秉承
exploration,探究,析出,定量分析,科研
onset,开始,启动,小题大做,着手
accomplish,实现,大功告成,举行,定稿
pester,纠缠,联网,生效,通航
regarding,关于,倚靠,把,以
intact,未受损的,饱满,碎片,破烂
deviance,逸出正轨,误会,故障,过失
sue,控告,弹劾,揭发,栽赃
loll,懒洋洋地坐或卧,道路,允许,干劲
march,三月,六月,二月,月份
auction,拍卖,零售,推销,发行
approval,赞成,确信,爱戴,自信
predominant,占优势的,此外,金的,厚
methodology,方法学,辩证唯物主义,才学,浪漫主义
interrupt,打断,磨光,堵车,通风
cute,逗人喜爱,百读不厌,龙飞凤舞,优于
antenna,天线,录音机,电缆,传真机
defraud,欺骗,趋奉,任凭,欺瞒
intercontinental,大陆间的,民间,里面,当心
strew,散播,谣传,遗传,传说
detect,侦察,断后,犄角,侵略
register,登记,备案,定时,报失
facility,(,排球,纸烟,十三(个
bond,联系,并联,联网,流行
warehouse,仓库,兵站,车库,资料库
gist,要点,意思,诗意,骨头
cashier,出纳员,店员,职工,理发师
desolate,荒芜,饱满,多数,繁荣
meadow,草地,动物园,园艺,葡萄园
imitate,仿造,特制,研制,装饰
unanimous,(全体)一致的,已经,通向,失灵
narcotic,催眠药,布告,喷嚏,发作
preach,传教,期,褐色,服务
freak,怪物,灵魂,鬼魂,西方
towel,毛巾,肥皂,手帕,板刷
cater,迎合,任凭,媾和,趋附
apparatus,器具,探测器,名产,瓷器
separate,分离,集聚,三位一体,久违
linger,逗留,住院,迁移,迁都
compact,协定,允许,将就,谈判
blossom,开花,结果,口吃,跛足
ammunition,军火,鞭子,细菌武器,笪
virile,有男子气,险峻,腐败,龙飞凤舞
authority,)官方,政权,机构,痞
freight,装货于,逆,尽管,改正
berth,(船)停泊,不礼貌的,激怒,执行者
dreadful,可怕,丰富,可恨,缺乏
consequence,结果,口吃,凋零,吐穗
sterilize,使不育,修补,治病救人,确诊
pharmaceutical,制药,采制,培修,研制
federation,联合会,人事部门,新闻处,政府部门
leak,泄露出去,你们亲自,万物,渐衰期
dome,圆屋顶,比较,触觉,行骗
worthwhile,值得干的,注意到,意义,最差
fellowship,(常指学术团体的)会员资格,一致,摘,发…的音
keen,理解力强,精明,愚笨,勇敢
most,最,擦净,核弹,领会
civilian,市民,定居者,华侨,华裔
protein,蛋白质,烃,丁烷,水银
global,球,风水,中华,社会
badge,标识,或许,中央,雨伞
boost,提高,削弱,改进,安定
tap,塞子,骨架,吊杆,吊架
downsize,使<汽车>小型化,危(损)害,炉火,航海技术
tenacious,坚忍不拔,勇敢,百炼成钢,不在乎
gush,涌出,显现,重现,涌现
bankrupt,破产,崩溃,覆没,倒闭
congruent,全等,无畏,不吵闹的,引起
elbow,用肘推,决心,允许,工作
determination,诉讼的终止,圆珠笔,武力,用栅栏…围起来
confuse,使混乱,分享,收成,寓意
anthology,诗集,年鉴,操典,字典
backward,倒,粗略,出现,同事
entity,实体,夫妻店,财团,中国银行
affirm,断言,垫,(自然)科学家,故障
macabre,骇人,睡着(用作表语),事情,(群众性)运动
immense,巨大,美好,微不足道,奔放
manila,马尼拉,天津,武汉,梅县
aggressive,爱寻衅的,利益,手势,考虑
aisle,走廊,渗沟,门廊,阳台
fusion,结合,并联,缠绕,对垒
ballot,(无记名投票)选举,证明,本票,保单
brochure,小册子,参考书,剪报,操典
tropical,热带,南极,大陆,北半球
overhaul,彻底检查,定制,修复,研制
climax,(使)达到高潮或顶点,审判,多种,给…取名
glutinous,粘的,惊恐,编辑,表示亲昵
interrogate,审问,公审,宣判,复审
precious,珍贵,便宜,昂贵,权威
unofficial,非公认的,主管,把…装入袋中,屹立
recline,使斜靠,她,.接见,无线电话
jeopardise,使受危险,安康,凄惨,甜美
mediocre,平庸,不可救药,对答如流,博雅
dispute,争论,论争,笔战,丑化
domain,领土,封地,边疆,界限
practicable,能实行的,妙的,推迟,无数
balcony,阳台,画廊,渗沟,门廊
thoughtful,沉思,深思,研究,构想
routine,平淡,滑稽,可笑,怪僻
relieve,救济,援助,补助,慰问
thunder,打雷,照射,闪电,放射
undo,解开,糊,安全带,卸下
righteous,正义,蛮干,清廉,自私
genial,愉快,悲喜交集,下跪,狂喜
spatial,空间,对门,太空,地皮
fatal,致命,锐利,静止,机动
surcharge,装载过多,混杂,交叉,谣传
zinc,锌,修理,花(菜)园,轮廓
constituent,(一个选区中的)选民,富流动性,帮助(手),(美)部长
centrifugal,离心,叛变,叛卖,武装
amends,赔偿,索赔,抵押,赎回
prone,俯卧,依偎,倚靠,弯腰
peroxide,『化学』过氧化物,欢乐或赞美之歌,蜂拥,热心
chill,寒气,阿摩尼亚,氢气,气体
odds,不平等,与此同时,照常,为时
tariff,价目表,选票,本票,多数票
conduct,传导,混合,传播,交叉
slit,切开,裁剪,切,过滤
cuisine,烹饪,氽,暖和,加热
perfume,香(气)味,区,向北方,巨大
hinder,阻碍,麻烦,缠绕,扰乱
recover,恢复,毁灭,灭绝,速决
access,进入,出来,投入,跳进
massive,大量,自豪,不在乎,严厉
technician,技术员,钢琴家,栋梁,观察家
prompt,迅速,速成,半夜三更,暮
testimony,见证,目击者,保证人,喉舌
mythology,神话,本子,小说,传记
pseudonym,假名,捺,一直,挑
lay,世俗,贞洁,妖媚,卑鄙
hormone,荷尔蒙,生长激素,白血球,胆汁
pellet,小子弹,立方体,圆锥体,断面
rear,后部,中心,左边,陉
priority,优先(权),划(船等),懒惰,无优无虑
digest,文摘,课文,作文,补白
agitation,鼓动,召回,提倡,响应
best,最好,不外,忍受,多多
inept,无能,高明,半吊子,短小精悍
transmission,传动装置,救护,(感情等的)爆发,要紧
wrinkle,皱纹,污点,煤灰,波纹
circulate,(使)传播,承受,做苦工,那
vineyard,葡萄园,草地,金字塔,尖塔
precipice,悬崖,矿山,巫山,香山
panel,面,便士,杀死,感到
repel,拒绝,承诺,回绝,同意
liquor,酒,掠过,但愿,有关系
bacterium,细菌,壁虱,抗体,兵蚁
corrode,侵蚀,不可逾越,有益,不利
audience,听众,使用者,成员,队伍
magnetic,磁性,中性,非盈利,建设性
simulate,假装,喘气,屏气,翘
intimidate,恐吓,欺侮,胁迫,强制
fermentation,发酵,副作用,用途,速效
multiply,增加,加上,增值,附加
nursery,托儿所,小学,初中,师范
seductive,诱人的、有魅力的,类似,油煎,友好
acute,成锐角的,不过,奉献,发烧
pharmacist,药剂师,艺术家,制作者,银行家
profit,从…得益,成为,同样,(滑)冰鞋
gross,总的,尺寸,比例尺,厚度
faculty,学科,物理学,生物学,植物学
fraud,假货,备品,古物,样品
condemn,判刑,开庭,裁决,传讯
fist,拳,手指,两手,手掌
luminous,发光,叮当,散射,爆裂
rug,毛毯,毯子,枕头,被子
hound,猎狗,兔子,狗,警犬
classify,分类,研制,综合,科研
tube,管,公地,黎明,剑
hysterical,歇斯底里,乏味,神奇,特别
patriotism,爱国主义,策略,社会主义,种族主义
catastrophe,大灾难,灾害,桃花运,不幸
loop,环,主要部分,服务,表情
ingenuity,设计新颖,军服,突然,绊
obese,极肥胖的,键,［常,担忧
frost,(使)结霜,演奏会,都市,认为
concession,让步,巴结,驯服,说服
figure,人物,个人,劳动力,老百姓
anyhow,不管怎样说,竞走,油煎,大声叫
enrolment,注册,额定,制定,报到
come,来,贲临,登月,来自
flush,奔流,潮流,漂浮,陷落
tongue,舌头,喉咙,喉结,嘴巴
matrimony,婚姻生活,同性恋,调情,求婚
fickle,（爱情或友谊上）易变的,剧本,表皮,在南方
detergent,净化,哀鸿遍野,松弛,严肃
log,航海(飞行)日志,主要,彻底,寂静
dole,失业救济金,狂喜,悲喜交集,欢腾
initial,最初,后期,年初,长期以来
modest,适度,义务,徒劳,难以
yarn,纱线,顶针,毛线,线
mercantile,商业,银行业,中保,工商
assess,估价,展望,臆测,揣测
boutique,专卖流行衣服的小商店,乐器,核对,武器
expel,驱逐,看待,有待,款待
choke,阻塞,磨光,通风,附上
plural,复数,消耗量,流量,一度
wrestle,斗争,操劳,奔忙,垮
platypus,鸭嘴兽,海豹,蝙蝠,黄鼠狼
throat,咽喉,捷径,半途,出路
constant,固定不变,武力,(坐姿时)腿部,等级
trek,作长途艰辛的旅行,中止,感觉,相对
expose,揭露,非难,引咎,保密
sterling,英国货币,使…堕落,(色彩)浓淡,逃掉
incidence,发生(率),乐器,(常用复数)面条,褪色
digestion,消化,镇痛,泻肚,咳嗽
rust,生锈,腐败,速冻,冰冻
statue,塑像,雕刻,石刻,肖像
media,媒体,记者,编者,主角
petty,不重要的,推论,摇(动),打
agency,力量,核技术,手艺,眼光
resilient,有弹力的,悲喜交集,拜倒,大快人心
