#word,meaning,option1,option2,option3
contact,熟人,教友,盟友,对头
instant,时刻,一直,老是,刚刚
received,被普遍接受的,九,金黄色的,习性
manner,态度,扮相,脸色,眼光
each,对各个,劈开,能手,隐瞒
slow,慢的,电影,产生,今
during,在...期间的某一时候,宣布,用开水煮,迟钝
hill,小山,山顶,狭谷,悬崖
once,一旦...,接到,行为,有价值的
distant,远的,一段,本国,过去
laugh,笑,钉状物,钵,自然(界)
camp,兵营,核武库,武库,核电站
but,但是,而且,加以,尽管
provide,供给,便于,相应,并行不悖
appoint,下令,集合,责成,大吹大擂
abroad,出国,跋涉,长征,向导
matter,事情,后勤,核工程,工作
moon,懒散度日,(与基数词连用)百分之...的,那些,碰
help,补救办法,卵形物,漂流物,钦佩
perform,履行,腐败,颁行,例行
temper,缓和,改良,衰弱,增高
both,两者,领域,一面,政界
shape,体形,多角形,形状,三角形
curiosity,奇物,必须,相当,完全
herself,她亲自,开设,标准,校订者
confess,忏悔,闭门思过,不理,不顾
stop,阻塞,附上,通行,堵车
usual,通常,合格,无比,上流
poor,贫乏,剩余,现存,缺乏
important,重要,无价,廉价,微不足道
set,集子,字帖,经典,兵书
start,惊跳,脱掉,安静,（突然感到病痛时发出的声音）哎哟
advance,促进,妨碍,施加,激励
certain,可靠,大材小用,可身,原始
down,往...的下端,(代人临时)照看婴儿者,地位(现在很少用),被发现的事物
rare,渴望,出乎预料,期待,追逐
upper,上铺,岗位,穴位,议席
display,展览,画展,罚酒,欣赏
ignorance,无知,对答如流,不识大体,饱经风霜
speech,说话方式,种类,有效的手段,蜜蜂
ordinary,平庸,无所不能,对答如流,起死回生
six,六,七,廿,八
pardon,免除,杜绝,洗刷,消灭
dignity,庄严,悲惨,肮脏,缓解
spot,疤点,但愿,退出,成本
utter,发出,层出不穷,突发,重现
atmosphere,大气层,队列,高层,版次
concerning,关于,截至,把,比较
hide,皮肤,尾巴,不随意肌,肌肉
soldier,士兵,骑兵,军士,政委
yesterday,昨日,后天,这天,明天
law,法律,条款,不平等条约,和约
branch,分支,半公开,国有,同胞
body,肉体,上身,酵母,下半身
high,高地,基础,要素,卖点
Europe,欧罗巴洲,台湾,本州,湖南
possession,拥有,在前,共有,陷落
thirty,第三十,引发,寂静,预料
whatever,不管什么,招待会,便条,女仆
faith,信任,信仰,妒忌,可以
fault,犯错误,归并,通道,感到饿的
latter,较后,请求,躲藏,圈
cut,凿,计算者,选举,地方性的
existence,发生,散发,辈出,层出不穷
succeed,成功,败退,关闭,败北
increase,放,失火,缩短,衣服(虽为复数
master,主人,师傅,房东,支柱
tear,撕,不足道的,“鹰派”人物,军医
anything,任何事物,有害,记录,冲锋
conscience,意识,忘记,记得,熟悉
utmost,极度,尽管,最少,熬煎
mighty,强大,虚弱,微不足道,粗劣
happen,发生,出现,重现,散发
instead,反而,那样,还,这么
welcome,欢迎,违约,实践,随同
woman,成年女子,(使)担心,答案,销数
whisper,低声说出,只...),付出代价,在信封上写姓名
behold,看,拔,差不多,受宠的人
opinion,评价,督促,蹲点,鉴定
admiration,钦佩,不服,吃醋,敬重
hair,毛,腱子,树皮,金发
wonderful,精彩,高明,龙飞凤舞,百读不厌
wit,智力,才思,先见之明,勇气
dream,梦,机灵,安顿,射击
smith,工匠,雇员,监督者,制片人
success,发迹,不好,避坑落井,碰巧
street,街,希望,包围,干酪
ad,作广告,(英)飞机,罐或桶,时运
be,表示,表明,预兆,反映
press,按,胆小,隔开,(因恐惧、痛苦等而)尖声喊叫
terrible,困难,毒打,动手,失调
slight,少量,难得,整整,微不足道
reader,读者,听众,购买者,观众
bell,鸣钟,使成形,无言,前不久
engaged,被占用的,出现于,放置,梳妆
false,不诚实的,(外、阀)壳,这(样),亲切
don,披上,平均,全部,舌头
knee,膝关节,指甲,龙骨,关节
private,平民,个人,每人,劳动力
delay,延迟,巩固,起伏,贬值
snow,用雪困住,十二分之一,云,所有物
fill,装满,放置,埋葬,钳
ready,快要...的,扶手椅,器械,欢乐或赞美之歌
future,将来,上星期,近年来,前夕
or,或者,针对性,加以,依据
handsome,慷慨,傲视,革命,谦逊
august,威严,白热化,整齐,神经过敏
danger,危险,安闲,无助,舒适
probably,很可能,北方的地区,给予帮助,抽烟
accomplish,实现,耽搁,定稿,到期
march,进展,断电,连续,并举
gray,戈瑞,对外,流汗,作业
interrupt,隔阂,渗漏,通风,毗连
sentence,使遭受,内心,柔软(和)的,结实
art,美术,漫画,剑术,太极拳
these,这些,师,异,各个
mother,母,悬挂,由于,循环
season,变干燥,鹦鹉学舌般地复述,流量,体验
receive,收到,招收,发放,散发
nobody,没有人,占有,潮的,故事
another,又一个,参观者,捏造,愿望
green,绿色,黑色,蓝色,白色
separate,不同,半斤八两,接近,异步
loss,损失,经济,盈利,泄露
authority,权,蹩脚,盗洗室,对不起
dreadful,廉价刺激性小说,时常发生,进餐时间,往楼下
early,从前,现在,上星期,由来
color,颜色,染料,靛青,酒精
keen,刺人,巢,未爆炸的,衍条
most,极其,采纳,至少,接受
disappear,消失,衍生,失去,灭绝
meal,进餐,素食,点心,滑溜
uncle,伯父,同辈,猿人,友好
immense,广大,和谐,对称性,平衡
appearance,出版,勘察,发行,打印
precious,极其,比较,秉承,多么
dead,直接,碰巧,几乎,间接
sorrow,悔憾,四(个,上学,表现
sand,沙,太太,野餐,运输系统
curious,好奇,顿悟,余悸,惊骇
remove,脱下,推,乞丐,气息
beg,恳求,哀告,干涉,打听
wise,了解,狡赖,干预,参与
form,形体,上身,躯干,下半身
domain,产业,动产,盘子,高价
fatal,致命,活泼,锐利,入木三分
conduct,表现,洋溢,包含,辈出
draw,拔出,摘除,采摘,掰
proof,检验,巡查,查询,备查
access,接近,俨然,一般,比如
trade,贸易,流通,对外贸易,外贸
unit,单位,平方,度数,次数
lay,产卵,生长,生活,野生
rear,抚养,保育,服务,收养
hands,控制,抑制,超过,制裁
hour,时间,几年,冬闲,一向
suggestion,暗示,志,描摹,发挥
audience,读者,购买者,听众,使用者
bosom,知心,必需,不即不离,画蛇添足
sister,姐妹,妹妹,表妹,姐姐
reason,理智,性行,虐,操守
profit,利,顺利,(钟表等的)针盘,在今天
learn,发现,忘记,精通,知道
science,科学事物,削,文章,辅助物
there,那里,事宜,手里,别处
literary,文学,圣经,卷,童话
serious,严肃,一触即发,悲惨,污染
what,什么,呸,唉,喂
bone,苦学,半路出家,节约,谙练
figure,价格,产业,售价,股价
cold,感冒,发烧,咳嗽,泻肚
come,来,屠杀,一组,变强
tongue,语言,例句,白话,陈述句
fair,公正,自私,封建,先进
captain,率领,督导,执掌,控制
shame,羞辱,纠纷,成就,骄傲
total,总数,波长,远程,短程
likely,很可能,给…注明日期,这种,手枪
family,家,丘,张,层
level,基准面,辩护,到商业区,油
suggest,建议,呼唤,审议,响应
throat,咽,训斥,样式,启航
kitchen,厨师,服务员,宇航员,驾驶员
constant,不断,屡次,一直,按时
morning,初期,长期以来,年初,后期
egg,向...扔蛋,失去,可笑,繁忙
bad,坏的,拯救,水平,察觉
marry,结婚,调情,追求,同性恋
path,路,门廊,跑道,过道
chief,主要,上流,宝贵,不痛不痒
stone,向...扔石块,权衡,妥协,妄自尊大
obtain,达到,遂,多达,扭转
either,任何一个,鼓励,医院,培养
theory,学说,办学,保健,体育
power,促进,限制,加以,杜绝
north,向北方,纽带,棕色,(绘画)艺术
deliver,投递,寄送,邮递,打电话
in,在...里面,图样,给…注明日期,埋葬
require,需要,抵触,提供,供给
may,五月,新月,三月,十月
virtue,贞操,胆量,民族主义,伦理
task,任务,义务,知识产权,人权
gaze,盯着看,时代,一周,兴高采烈
possibly,也许,不料,奇迹,不够
scheme,计划,规划,轻松,打算
outside,外表,排队,伪装,江面
grave,低沉,筹措,败兴,懊丧
seat,使坐下,(政党的)核心机构,公园,获得
music,音乐,民乐,对联,对子
pull,采,帮(援)助,唾沫,责备
turning,转弯处,围绕,大量,吵嚷
attach,系,一队,运动场,批示
warm,同情,舍得,不由自主,谅解
bold,黑体,单字,用语,短语
familiar,熟悉,发现,明了,精通
guard,警卫员,步哨,陆军,退伍军人
view,视力,精力,兵力,鼎立
through,遍及,遍布,摆设,堆积
forward,促进,限制,强加,拔苗助长
winter,寒冷天气,十八个,获胜者,终生
chair,主席,户主,物主,厂主
stretch,拉直,糟透,有害生物,使沸腾
patient,有耐心的,不热闹的,蛋糕,宽恕
pieces,身心崩溃,精神上,手足情谊,舅父
altogether,完全,统统,多于,光是
rock,轻摇使,拒受…的影响,抵(反)抗,广泛
keep,保持,在前,支持,在内
indeed,确实,宁愿,实际,究竟
minister,敷,指挥,哪个人,肉体
mean,低劣,前所未有,奇特,独一无二
confusion,骚乱,薄情,和平,混乱
letter,信,以…自豪,修面,多采多姿
heart,内心,隐私,灵魂,好奇心
fool,弄臣,收集,那些(人)的,(正式)会议
same,同样,取决,同屋,如出一辙
possess,拥有,共有,有价值,投稿
tale,故事,细节,意味,意思
with,在...一边,荒谬,褐色,埋藏
space,留间隔,同样,眼窝,向外
four,匍匐,升起,足,麻烦
German,德国,祖国,我国,发达国家
feel,触,温度,表现,无能
although,尽管,是否,不堪,只是
simply,仅仅,纯粹,不光,通通
respect,尊敬,抱恨,自尊,引咎
because,因为,看来,于是,要是
agreeable,适合,配合,不合,对称
themselves,他们亲自,又,捐款,列举出
one,一,把…比作,通道,醋
buy,买,节目,宁静,长官
late,迟的,耳语,严重,小队
party,政党,独立党,户头,客户
throw,冒险,补救,变节,投入
length,长段,防止,仪态,确定
often,常常,原来,迭起,历来
board,使搭伙,厨师,破坏,不过
active,活跃的人,中止,宽容,情结
origin,出身,学籍,身体,纳税人
wet,变湿,震动,否则,对抗
fee,采邑,作为,进展,特别
own,有,相同,秤,联系
question,难题,练习,答案,课题
message,启示,函授,引导,传授
bill,接吻,皱眉头,细看,看到
release,发泄,含水,包藏,充满
murder,谋杀,暗杀,毒杀,杀戮
anger,痛苦,欢腾,悲喜交集,哀伤
additional,添加,加密,增多,干
speed,速率,百分数,比率,百分点
meet,接,许多人或物,确切,大写
machine,使定型,心烦,寻找,向…传来
take,捕猎,捕鱼,收割,钓鱼
continue,延伸,干,收缩,扩充
wish,请求,询问,干涉,狡赖
fellow,男人,泰山,夫子,婆婆
nature,大自然,星体,星座,火星
mouth,人,铅,压制某人,过节
heavy,重的人,拉紧,盆,一边
back,使后退,接来,阳光充足,天
where,在那里,启航,首要,创始人
prepare,准备,筹措,改装,军备
small,狭窄部分,日报,倒立,各(每)个
place,放置,存放,撕毁,断开
height,高,苦恼,通常,作出反应
material,身体上的,装备,锁上,在流传
happiness,幸福,不济事,大敌当前,一触即发
third,第三,第十九,一半,首先
forever,永远,通宵,半天,整天
awful,使人畏惧,薄片,爽身粉,在外面
lonely,孤独,寂寞,匆促,甜美
use,用,不变,区,理解
terms,细则,押韵,厂规,保证
church,礼拜,祝福,朝圣,追逐
that,那个,忍受,挨打,过于
listen,听,铁饭碗,茶碗,碗
become,适合,配合,适应,不切实际
growth,生长,诞生,成长,产卵
old,...岁,民族,剖面,压迫
such,那么,否则,除非,因为
poem,诗,心不在焉,观光客,农村
painful,困难,失调,不名一文,动手
opposite,对边,英寸,失误,监督
splendid,壮丽,娇媚,过时,妖艳
yes,是,不失为,衰败,安步当车
occasion,引起,驱动,引人注意,诱惑
royal,王裁,集会,监视人,开始
nation,国家,国际,全国,中国
artist,艺术家,制作者,把式,创造者
site,地方,苏里南,田纳西,达喀尔
also,而且,加以,尽管,以及
copyright,版权,夫权,权利,产权
portion,一份,美丽,科,家乡
prayer,祷告,祝福,追逐,后退
unhappy,不幸,糟糕,胜利,暴发
wind,风,冰晶,冰山,冰排
between,在中间,真实,大致,摩天大楼
near,近似,比如,俨然,超过
sake,目的,逻辑,古典,理由
single,选出,展望,透视,着眼
variety,变化,形成,渐变,变幻
dim,使减光,(指希望或目的的)实现,用步子测量,猛增
evening,后期,目前,早期,年底
its,它的,许多人或物,阅读,大减价
pay,付,除去..污垢,制服,火箭
without,外表上,传导,荒凉,吐唾沫(或痰)
iron,铁,金的,团体,补助金
general,全体,对偶,个别,微不足道
go,忍受,最少,无限,采纳
excitement,激动,动摇,轰动,带动
accept,承认,公认,反驳,攻击
check,制服,毛衣,浴衣,上衣
throne,登上王位,向内,纯净,给…洗澡
twice,两次,损害,口语,地理
pride,自豪,不自量,大方,热忱
have,拿取,经过,雇用,参加比赛
capital,资本,财帛,不变资本,不义之财
still,渗出,渗透,交通,阻塞
search,细察,财富,需要,创立
host,招待,收养,对待,虐待
fifty,五十,用法,丛书,正规
palace,王宫,纪念碑,东宫,铭
error,错误,不着边际,两手,严密
train,连串,圈,敏感,斗争
they,他们,何人,本身,人家
attack,攻击,批评,否定,公认
lie,谎言,不经之谈,笑话,颂词
energy,活力,畜力,力气,视力
ruin,毁灭,复苏,过来,速决
seldom,不常,答复,积极,棕色
society,阶层,等级,队长,总经理
war,斗争,劳累,垮,振兴
yet,尽管,是不是,看来,由此可见
smile,惠及,伤害,控制,不可逾越
daughter,女儿,独生子,孩子,宝贝
represent,使有代表,无资格,首领,(铁路上的)敞篷货车
cook,厨子,生火,服务员,飞行员
citizen,平民,畜生,人群,分子
presently,不久,日渐,按时,乃至
enemy,敌国,祖国,越南,尼加拉瓜
send,派遣,改编,分配,解调
approach,进路,怕羞,妄自尊大,有利条件
corn,谷粒,安全门,有学位者,一桶之量
education,教育学,课程,科技,科研
why,为什么,怎样,也,相反
glad,高兴,不亦乐乎,叩头,悲痛
vision,视觉,遥感,灵感,恶意
wine,喝酒,饮用,喝,舔
natural,有关自然,转移呼叫,讲习班,西方(部)的
longer,较长,处理,缺少空气,自从
white,白色,先进,大方,民主
hop,毒品,有毒,阿片,白面儿
cause,理由,古典,伪证,把柄
begin,开始,开车,拔锚,启程
deck,击倒,败阵,覆没,征服
for,为了,本着,由,以
affair,事情,后勤,核工程,工作
storm,暴怒,氧,另一个人(或事),复合
leader,领先者,赏识,(尤指动植物的)系,垫
golden,含金,极大,(旅游的)接待处,女职员
ago,以前,前面,有生以来,将来
position,驻扎,警卫,固守,防空
prince,王子,公主,王后,殿下
price,定金,借款,开支,捐款
study,记住,挂念,洞察,记忆
walk,走,所有权,氏族,纺织工
impression,压印,白昼,削减,抱怨
catholic,罗马天主教的,一段,推进,给…发电子信函
mental,精神,激发,不赞一词,沉默
must,务必,不兴,不要,是否
front,前面,笔下,右边,陉
clean,完全,比较,基本上,进一步
public,公众,大家,家伙,分子
least,最少,些许,尽管,过度
throughout,到处,正午,黄的,孔
midst,中部,末端,民间,眼前
fancy,想象,熟思,白日做梦,感激
rise,登上,来自,下去,任意
book,预订,订阅,购买,抢购
surprise,突然袭击,有(能力、时间、知识等)做某事,奶奶,专门
plan,计划,计算,擘画,合意
character,品德,质地,性行,道德
allow,允给,完全,军人,祷告
cool,冷静,甜美,安闲,荒凉
stair,楼梯,长廊,扶手,庭院
number,计数,预算,笔算,演算
finger,伸出,拓展,挺,伸缩
exclaim,呼喊,呼唤,怒吼,发音
inform,通知,报晓,报数,报时
bridge,架桥于,的确,意见分歧,包装材料
England,英格兰,本国,发达国家,祖国
ill,坏,装作,交往,武力
direct,笔直,曲折,肥胖,憔悴
cabin,房舱,冰橇,龙头,轮子
community,团体,新闻处,常委,政府部门
saw,锯床,刨刀,齿轮,唱片
discover,显露,填满,包藏,呈现
soft,轻的,(复数)神气,健全,字典
earth,地球,西半球,本初子午线,北极
unknown,不知道的,通讯员,激动,协议
January,一月,四月,月份,八月
honor,名誉,盛名,名望,威望
parent,祖先,大娘,老人,同辈
attitude,姿势,觏,样子,退步
lady,贵妇人,长老,小姐,少女
marriage,结婚仪式,检查,切口,消耗
plenty,充分,一定,越来越,过度
connect,联系,遗传,联网,接合
hate,仇恨,爱憎,哀怨,抱屈
join,并,分娩,他本人,控制
air,晾,鼻子,招致,(使)破产
example,范例,案子,先例,热潮
experience,经历,度假,熬夜,度过
drive,赶,薄的,有求知欲,医生
horror,恐怖性,缺少空气,拼写法,辅助物
wall,墙,金,话务员,全国性的
plain,平原,田野,北美洲,南沙
bow,弓,屠夫,社,结果
cry,叫喊,狂吠,呼唤,叫醒
mention,传令嘉奖,无论如何,背叛,重压
opposition,敌对,亲善,不和,单一
agreement,协定,谈判,将就,商讨
open,开着,观点,打包,吸烟车(厢)
dangerous,引起危险,绝望,庭院,受伤
doctrine,教诲,(坐立时)大腿的前部,圆(周),曲奇饼
equivalent,等价,同步,同年,同性
confidence,信心,笔触,精神,传统
arise,起立,骑车,站住,直立
reply,回答,质问,自夸,质疑
thank,感谢,答谢,催促,报国
desire,要求,追逐,展望,求爱
word,词,一小撮,对照物在对照实验中被用作对照标准的物体,隼
queen,王后,喾,王子,殿下
interest,使感兴趣,未知,由…产生,宽阔
extent,广度,频道,周长,赫兹
pale,尖板条,无论什么,发现,具有
commercial,商业,本行,伯爵,电力
volunteer,志愿,不甘,能够,爱理不理
from,从,接连,废弃,随便
wild,野生动物,痕迹,义务,精通
please,敬请,预定,探视,探亲
sharp,锋利,温和,沉重,入木三分
wing,飞过,摆渡,转道,远离
advantage,有利于,制约,操纵,超过
within,内心,隐私,好奇心,哀思
do,做,便宜货,实用主义,(主格)她
quantity,大量,客气,恭顺,不亢不卑
friendly,友善,交流,社交,接触
gate,给...装门,意见不一,古怪,棉制品
hard,坚硬,柔软,确实,松弛
john,厕所,厨房,包厢,餐厅
it,它,靠,受雇,一副
visit,访问,上门,回访,外交
city,城市,码头,圆锥体,层
author,著作者,伟大,喂奶,信封
prison,监禁,捕获,不打自招,拘留
court,球场,图书馆,操场,电台
clothe,赋予,发汗,致死,寄予
dry,变干,延缓,借,制定
duke,公爵,伯爵,侯爵,男爵
worthy,知名人士,要人,哥伦布,道格拉斯
mere,只不过的,马上,用指触摸,加强语气)自己的
box,巴掌,食指,两手,手腕
land,靠岸,教导,停泊,劳教
common,共用牧地,高兴,国家,选举
various,各个,轮流,步步,亲自
similar,相像,例如,俨然,相仿
bottom,枯谷,用法说明,场面,有条理的
kingdom,王国,人间,大国,我国
sum,总结,类推,分类,研制
demand,要求,追逐,惦记,渴望
universal,宇宙,星球,翅膀,星座
truth,实情,暗流,大概,境况
plant,植物,必需品,哺乳动物,宠物
sudden,突然,八成,不至于,莫非
ice,使凉,气球,能源,能
run,跑,感情,那些,领袖
know,确知,(似)魔术的,轻拍,方法
enjoy,享有,共有,占据,陷入
haste,草率,仔细,奢侈,节俭
name,给...取名字,拖,理智上,焦急
huge,庞大,矮胖,矮小,大型
solid,肯定,保管,自然而然,进而
force,逼叫,想家,口袋,新闻媒介
official,正式,本职,现成,国产
lift,提,身体残障,性别,首次
reference,引文出处,订(货),所得,游行示威
command,俯临,围栏,说服,承担
local,局部,一切,少数,纷纷
tax,对...征税,别的,发号施令,海湾
really,说真,丧失,单位,筹备
meat,肉,说,(指连续)疼痛、酸痛,讲话
say,说,听见,偷听,听说
kindness,仁慈,善良,这个,其余
floor,击败,兼并,占据,性骚扰
marked,明显,含糊,神秘,非法
pleasant,活泼,不羁,调皮,悲观
rank,行列,高层,断层,对流层
capable,有能力的,伤风,会见,加入
term,词,膝盖,以动作示意,卓越
fate,命运,幸运,境遇,悲欢离合
deal,发,屡次,旅行,使成冰
scene,地点,东南亚,南亚,北海
village,居民村,走,治理,荒唐
talk,谈论,辩证,竞争,狡辩
extreme,极度,格外,承受,过度
resolution,决心,不得已,惊慌,好看
exactly,精确,实际,严密,隐晦
careful,关切,注意,谅解,包涵
live,过,呗,得,所
effort,努力,从来不,痛快,可能
just,只是,尽管,不顾,于是
deep,海,(坐姿时)腿部,发烧,书桌
grand,一千英镑,重要,配备,不确知的
anxiety,渴望,谋求,出乎预料,向往
subject,学科,神学,建筑学,数学
judgment,判断,挪用,识货,鉴别
mission,传教团,电子学,磁极,大量
paper,贴糊墙纸,行为,报务员,破裂
my,我的,阅读,将,先进
comfort,安慰,慰问,激励,鼓励
boy,男孩,资格,户籍,老家
despair,绝望,只有,眼看,全然
any,多少,至少,比较,一定
peter,逐渐减少,武器,困难,约会
hurry,急忙,渐渐,不啻,光是
river,河,错误,大约,哨兵
vast,高大,雄伟,有力,薄弱
sun,日光,热线,白炽,月光
two,第二,秭,第十五,第十
free,自由,毫不,无人,不够
million,百万,第十五,第九,第十三
remain,剩余,足够,平衡,短缺
fact,事实,境遇,洪流,暗流
pound,捣碎,动手,贫穷,敲打
spoke,辐条,电子元件,锻件,暗锁
intend,意指,压缩,具有,国民
never,从不,痛快,大体,莫非
everywhere,每一处,意外的相见,爱尔兰岛,把…藏起来
quarter,四分之一,我们<主格>,你亲自,象…一样
agree,表示同意,把…的插头插上,午餐,触动
step,步,了解,治理,广告
degree,度,(影视等的)播音室,判决,无论哪个
companion,同伴,一起,同学,陌生人
shall,将要,重新,必将,时刻
female,女子,姑娘,小姐,何人
our,我们的,不相似的,黄色,迟
estate,地产,不动产,比价,财帛
self,本性,人性,身体,前辈
him,他,礼拜仪式,(测验中)成绩,多灰尘的
only,独生,只...),命令,领域
glorious,壮丽,菲菲,古老,新鲜
intention,意图,五年计划,希望,有利可图
raise,竖起,悬挂,内置,镶嵌
those,那些,异,什么,另外
seven,七,比分,三,五
perfect,使完美,四(个,唤醒,仅仅
much,常常,连忙,根本,一再
ought,欠,崇高,(一行),大厦
enthusiasm,热心,不耻下问,可敬,不耐烦
an,一,言语,干脆,非常
hot,辣的,慰问,采用,宽容
temple,圣堂,许多人或物,渴望,完整
breast,胸,收取,出席,竟然会
chapter,重要章节,置,岛,使人满意的原因
shore,滨,迟于,一阵,未婚
crowd,群众,每人,分子,人群
division,分配,佃,按需分配,兑现
tall,长的,邮政,轮椅,彻底
surface,变得清醒,广播联播公司,大群,歼击机
alive,存在,遗留,供需,便于
military,军人,元帅,少将,警官
cruel,残忍,苛刻,不人道,人道
liability,责任,继承权,民权,人权
text,课文,短文,散文,补白
human,人的,细看,获胜,小圆点
empty,空瓶,姿势,思索,混合
frame,构筑,奠基,改造,开会
wrong,使丢脸,刷子,物理,年龄最小的人
around,环绕,相隔,包围,距离
south,南,击败,准许,带子
quick,活肉,吓唬,震动,军队
forget,忘,手足情谊,使有条理,在远处
spring,跳,支票,跑,演奏会
delicate,鲜美,诚实,十分,甜美
account,记述,记载,叙述,详述
progress,改进,缓和,弱化,放松
shade,荫,烟草制品,急速,低劣
clear,纯色,电极,费神,铸件
sympathy,吊慰,充溢,忙乱,贵重
mountain,山脉,山脚,高山,南沙
great,大人物,赫兹,爱因斯坦,多普勒
remember,牢记,忘记,记得,深思
knight,授...以爵士品位,轮胎,每周,滑倒
print,印刷,编织,打印,漂白
wood,木材,木制,铁锈,石头
mark,马可福音,地理书,东道主,急(匆)忙
darkness,无知,不可救药,起死回生,饱经风霜
attempt,企图,合意,舒适,心寒
time,为...定时,授予,抽烟,报告人
suit,合适,可身,便当,徒劳
silver,变成银色,粮食,热量,决定
rage,狂怒,学派,天,好奇
population,全部人,碎块,他们,就
social,社会保险,工业,工商,航运
about,在...前后,宽厚,货单,(餐厅、旅馆的)女服务员
safe,谨慎,含糊,识相,认真
regret,痛惜,珍爱,不禁,容忍
pleasure,娱乐,鉴赏,打牌,猜谜儿
wealth,财富,遗产,房地产,资产
cost,使付出,获悉,品尝,平的
nothing,没有东西,不利,汉堡包(即面包夹煎牛肉饼),支配
principal,主震,内忧外患,病害,雹灾
innocent,率真,缓和,狡猾,忠诚
foot,脚,黑板,贪婪,大众
worth,值钱,贵重,重大,敝
proceed,进而做,内海,大减价,无论哪个
well,流出,注入,进入,跳进
valuable,有价值的,表现,恶劣)的,在的对面
thing,物,目录,抹布,无可非议
forty,第四十,有碍健康,液态,爬
fresh,新的,消瘦,正是,彻底
fleet,浅的,沉重,出席,敬礼
however,不管怎样,因为,尽管,鉴于
paragraph,写短文,电钮,丘陵起伏,广播
actual,实际,怪不得,确实,情愿
round,丰满,缺乏,广博,对称性
anybody,任何人,某人,自身,女人
equipment,配备,调遣,调度,安排
true,真实,可口,名副其实,实弹
pipe,烟斗,赌注,骰子,脚镣
smooth,磨平,电学,树枝,爱好和平
make,做,等同,郊游,安排节目
hear,听见,偷听,听取,看得见
America,美洲,约会,能,第九十
leg,腿,为...伤心,展览馆,赤黄色的
almost,几乎,依然,简直,不巧
hundred,一百,街区(四条街中间的区域),(女用)手提包,应归入
peace,和平,稳定性,妖冶,按兵不动
build,建设,败坏,提高,渐进
earnest,重要,其次,高贵,难得
we,人们,每人,人家,角色
frequent,经常,有史以来,原来,多次
piece,接,梦想,喊,粮食
away,走开,逝去,回去,背井离乡
instantly,立即,连忙,光是,预先
order,整齐,失调,污染,混乱
out,出,插入,奇特,磁带
passage,走廊,阶梯,渗沟,画廊
apply,应用,用法,用以,挪用
wretched,极坏,手段,精神,弯曲
sense,了解,恳求,狡赖,试探
door,门状物,使…免去,植物,不喜欢
date,日期,几年,冬闲,一向
table,一桌酒菜,却,环绕,十
mankind,男子,任何人,何人,自己
ease,容易,供应,存在,供给
