#word,meaning,option1,option2,option3
intoxicate,使喝醉,安全场所,有求知欲,钟
accrue,获得,避讳,避孕,以免
affluent,充裕,广博,平衡,不足
intensify,加强,衰弱,加快,加剧
foray,进行突袭,想法,少有,区
kennel,狗窝,凶恶,口袋,几个
devolve,被移交,注意力,(音乐等)作品,管理部门
retract,缩回,伸出,滑落,伸缩
peanut,渺小,顶天立地,龙飞凤舞,险峻
gaseous,过热,可允许的,拼合,很难对付
chute,陡坡,太平洋,釜山,峨眉山
hack,劈,腐败,气概,由大到小
ovary,卵巢,大肠,阴户,睾丸
gossamer,薄弱,不顾一切,明白,坚定
dishearten,使沮丧,更坏(差)地,无畏,禁止
prism,三棱镜,墨镜,镜子,眼镜
goggle,瞪视,长时间的,(一)大批,赞同
regimen,情势,现状,危亡,攻势
uninformed,无生气的,处理,借入,拼法
fiasco,长颈瓶,包含,信仰,博物馆
vodka,伏特加,奶油,鸡尾酒,甜酒
examine,检查,竞选,警告,选举
temper,缓和,增高,复兴,赶紧
statuette,小雕像,迅速扩大,工作情况,内心
muddle,糊涂状态,由…引起,物理学家,警卫
matrix,基质,世纪,(使)腐烂,牛排
mentor,门特,(遗留)在..后面,讲课,乐意
arson,放火,断路,掠夺,违法
hallow,使成为神圣,死气沉沉,指责,论述
nevermore,永不再,筑巢,官方,重播
pitchfork,强行把...推入,拿来,(大学)四年级学生,触
notation,记法,大师,拥挤喧闹的地方,中秋
sociology,社会学,科技,科目,高科技
agnostic,不可知论者,动物园,迅速,向坡下(的)
buffet,抖振,空闲,无可非议,懂
barmaid,酒吧间女招待,耙,耻辱,妙的
depress,使抑郁,到达,低,用法说明
dig,挖成,最,广大,富庶
madcap,鲁莽的人,天,把…说成,未肯定
slake,消解,失去,衍生,发出
linseed,亚麻籽,亲近,实力,不适宜的
duct,管,阴影,(机构的)分部,夏季
judicature,司法,不成文法,文法,执法
hearth,炉缸,通告,重要,不热闹的
hawser,缆索,扣子,项链,摁扣儿
brew,酿造量,喊,排球运动,毒害
lung,呼吸器官,小偷,细微的迹象,管理人员
apricot,杏黄色的,宏伟,冠词,其次
slanderous,诽谤,辩解,丑化,辩驳
diploma,公文,案卷,档案,检查
gorilla,暴徒,妖孽,霸王,歹徒
accumulate,堆积,开列,分布,列为
comport,举动,毛病,动作,表现
vane,舵,桨,螺旋桨,冰橇
maltreat,误用,用于,照搬,罄
obscenity,淫秽,多情,太平,贞洁
nutriment,营养品,毒饵,维他命,白面儿
fascinate,有吸引力,多么,年长,几个
gill,菌褶,日光,孔眼,位置
chirp,啁啾声,南方,陶器厂,总裁
unassuming,不傲慢的,放,卷,编(织)
snowball,雪球,暴风雪,暴风,冰雹
fender,挡泥板,避雷器,服务器,水槽
curb,路缘,那时,小径,［常
pact,契约,押韵,条款,契据
climber,攀缘者,有些,损害,无力
jackass,傻瓜,废物,宝贝,笨蛋
dastardly,卑怯,灵活,迟钝,明智
heterodox,异教,天津,太原,长沙
unctuous,油的,被允许,伟大,圆珠笔
concentric,同心圆,新型,长方形,小型
cannibal,嗜血成性,裂开,厌烦,轻(快)
yen,渴望,预测,向往,要求
gregarious,群的,旅游者,家乡,令人愉快
iodine,碘,(两者中)任一的,开始,站
titter,窃笑,吐穗,发芽,成熟
blazon,描绘,上述,表示,志
derelict,荒废,怠惰,振兴,斗争
elucidate,提供说明,架空,沉淀,通告
saline,盐泉,水池,遗迹,泳池
bosh,槽,搞乱,壮丽,而且
lout,笨拙的人,田野,每件事,扫除
compress,镇压,斩首,流放,赦免
aqueduct,导管,甲板,篮板,光纤
cache,秘藏起来,公开,灰色,说明
lapel,翻领,衬裙,口袋,裙子
antiquary,古文物收藏家,困难,在(两者)之间,采掘
aver,证明...属实,方法,有条理的,一些
fertilizer,肥料,琥珀,油饼,塑胶
polo,马球,篮板球,球拍,擦边球
jog,慢跑,蹦蹦跳跳,跑步,踊跃
subheading,副标题,八卦,名义,牌子
mango,芒果,寿桃,哈密瓜,蜜桃
adverb,状语词组,态度,分,在任何时候
beryl,绿柱石,意识,纠正,敌人
bowl,木球,(使)变脏,优势,批示
hair,头发,羊毛,羽毛,鬓角
cauldron,大锅,职位,低劣,背诵
ironic,用反语的,拨(电话号码),刀,月台
auburn,赤褐色的,买得起,带来,自从
lint,皮棉,丛林,摇晃,表皮
welter,浸泡,流动,溢出,降下
acumen,渐尖头,手段,乡村的居民,说
cede,割让,投降,俘虏,治理
bumper,反弹球,严肃,干劲,筹集
slight,少量,荒无人烟,丰富多彩,多糖
amplitude,幅度,尺寸,厚度,深度
immune,免疫者,前面,不常,只...)
brat,围裙,裙子,内裤,棉袄
plenary,完全,差不多,一定,纯粹
captivate,使入迷,画,找到,烘干(砖块、陶器等)
deduct,扣除,补票,削减,补发
writhe,扭曲,转身,冲击,滚动
transplant,移植器官,在下面,湿的,关入笼中
ashy,灰色,斑白,黄褐色,花哨
congregate,集合,汇集,告别,密集
smoker,吸烟者,花瓶,暗娼,酒鬼
auditorium,会堂,实验室,洞房,办公室
childbirth,分娩,生产,腐败,双生
whooping,极大,中等,细小,矮小
maw,咽喉,半途,捷径,小路
obsession,着迷,安土重迁,疑惑,一心一意
aura,光环,荧光,激光,阴影
carrot,胡萝卜,南瓜,黄瓜,西红柿
sloppy,潮湿,不透气,独创性,破旧
neuter,无性植物,收音机,长官,形容
chattel,奴隶,社会主义者,改革者,候选人
harbour,心怀,主张,公认,感到
vascular,维管,相等,创造,假日
mallet,木槌,板斧,凿子,刀叉
admiralty,海事法庭,作用,试图,手柄
sperm,精液,头皮,鸡蛋,大便
downhill,向山下,目的在于,文学家,误解
visor,遮阳,堵住,扰乱,刁难
sear,烙印,松树,疤痕,瘢痕
functional,职务上的,下雨,主题,淡薄
definitive,决定性的,鞭打,支配者,一批
repine,苦恼,大发雷霆,迁怒,凄惨
squabble,争吵,顶撞,动武,吵闹
granny,奶奶,家人,姥姥,爷爷
citron,香橼色,建立,泄气,使中圈套
cute,漂亮,确实,渺茫,捕风捉影
proximate,最近,事先,前夕,将来
jocose,爱开玩笑,边缘,不存在,集市
defraud,进行诈骗,标准,消灭,酒店
jurist,律师,教练,先生,班主任
abhorrent,憎恶,抱恨,不共戴天,哀怨
nutshell,坚果外壳,可可粉,家伙,国际互联网
iceberg,冰山,雹子,冰柱,风
roseate,光明,稳健,丢人,排山倒海
salty,海洋,安第斯山,檀香山,火焰山
narcotic,催眠,扎针,治病救人,补液
jib,艏三角帆,大衣箱,时机,向…道喜
shortage,不足乏额,装备,受宠的人,导演
van,前卫,选手,种子,留学生
buxom,丰满,可怕,对称性,协调
federation,同盟,拜把子,搭伴,报应
leak,漏,种子穗,飞行器,左手
prop,架,书架,碗柜,棉被
tactical,战术,移植,手艺,骗术
thankless,不知感恩,战场,发表意见,联合
windfall,被风吹落的果实,完全,婚礼,测验
protein,蛋白质,白磷,烃,水晶
global,球形,环形,队形,长方形
hanker,渴望,要求,出乎预料,但愿
lunge,调教索,理由,结合,严重
thimble,顶针,线,别针,毛线
tenacious,坚韧,简单,坚固,沉重
garner,谷仓,仓库,核武库,资料库
disband,分散,密集,纠集,为首
crate,用板条箱装,工作台,注视,磅
snipe,狙击,奔袭,袭击,埋伏
anthology,选集,操典,汇编,参考书
syntax,句法,巫术,乘法,秘诀
winnings,赌赢的钱,(独立的)学院,提存,无忧无虑的
chary,节约,浪费,平衡,抽出
cursory,草草,奢侈,持久,巴结
condone,抵消,节省,浪费,盈余
aggressive,侵犯,麻醉,损坏,朋比为奸
accession,把...登记入册,说明,正规学校教育,贮备品
graft,将...嫁接,引起,使...整洁,运河
squeamish,易呕吐的,失踪,题词,洞穴
cocktail,鸡尾酒会,发芽,巨大,练习
overhaul,解体检修,多灰尘的,最后,应该
jaunt,作短途旅行,应支付的,（报刊的）大字标题,而
forestall,预先阻止,用栅栏…围起来,在…附近,豪华住宅
unofficial,非官方的,雪,必须,头脑
umpire,仲裁人,发言人,被告,保证人
recline,依靠,以,有关,为了
demerit,记过,推选,检查,罚款
vibrant,鲜明,顶用,公然,暗自
bandy,向外弯的,边缘,／,多山
spinach,菠菜叶,自称,近代,对
grandiose,宏伟,不在话下,薄弱,险峻
louse,清除...上的虱子,教科书,矮的,与…相似
warship,军舰,潜艇,殳,航空母舰
lode,水路,便道,路径,海口
ail,使受病痛,提防,(外科)手术员,东部
miser,守财奴,变色龙,妖精,独裁者
bewitch,使着迷,官殿,观察,冒烟
combative,好斗,毛病,表现,举动
loophole,观察孔,许多,秘密,滑冰
trackless,无人迹的,狮子,坐下,较好
spry,充满活力,装满,一对夫妇(情侣),(戏剧、新书等的)评论家
cop,抓,查询,真实,弦
peppermint,薄荷糖,弓形物,渴望知道,观光
pseudonym,假名,横,鼻韵母,捺
film,拍摄,合影,化装,暴光
allotment,分配,兑现,佃,按需分配
spa,游览胜地,一幕,会见,新闻报道
revert,回复,冰释,休息,毁灭
arterial,动脉,神经,丹田,骨髓
simulate,模仿,镀金,主修,读书
intimidate,恫吓,逼债,强制,引入
congenital,天生,可靠,国产,妥善
parsimony,极度节俭,乘,声音,(工厂)厂长
buttock,纵剖线,选择,领会,发…的音
curd,花椰菜心,海滨(的),举,比赛
glut,充斥,有价值,含水,带有
fatten,育肥,饲养,钓鱼,放牧
classify,把...分类,九(个,让,时代
loop,环路,包围,相隔,缠绕
laud,美,棕色,嗯,(戏剧、新书等的)评论家
frost,结霜于,尤其,下雪,不足
cold,感冒,发烧,泻肚,头晕
pianist,钢琴家,工程师,研究者,建筑师
circumvent,绕过,装载,转道,装船
venereal,性爱,举步,毕业,喊
crevasse,裂隙,空儿,重点,无缝
fireman,爆破工,肉,邮递员,门
sunstroke,中暑,翳,流行性感冒,霍乱
inculcate,谆谆教诲,劳教,停泊,授受
abstain,戒绝,爬,敬意,答案
incidence,归宿,定居点,居所,地址
sock,短袜,样式,注意力,公斤
rust,生锈,褪色,腐败,冻结
pare,修掉,了不起的,有规律地,六(个
rat,捕鼠,和...相比,指示,碰撞
niggardly,小气,大气,自夸,不在乎
orient,东方,南方,四方,空间
slam,猛关,爱尔兰岛,格外,偶然发生
variant,异读,背书,读报,博览
impurity,杂质,寿礼,矿产,红宝石
recondite,玄妙,患难,百思不解,深奥
gibe,嘲讽,争执,诽谤,拍案叫绝
dwindle,使缩小,增加,荫凉,上司
scurrilous,用污言秽语谩骂的,真正,第九个,急速行进
whiten,变白,梦想,分享,扣紧
bauble,笨伯杖,纠正,隔开,迷路
eschew,避免,避孕,防水,无害
curative,治疗法,翻译,酗酒者,吸引
conclave,集会,例会,联席会议,讨论会
baste,痛斥,引咎,揭发,驳倒
locomotion,运动,对流,潮流,外流
squalor,卑鄙,高尚,鄙俚,淫猥
rob,盗窃,盗版,断路,抢劫
paraffin,煤油,石油,汽油,酒精
refugee,避难人,用具,可能,使适应(特定需要)
corduroy,灯芯绒,油布,补丁,桌布
stink,发出恶臭,汽车,数百万,使加速
cadaverous,惨白,白茫茫,灰色,黄褐色
heartache,痛心,痛苦,不是味儿,大快人心
infest,遍布于,实行,禾草,幻灯片
vicarious,间接,甚至,多亏,几乎
cobra,眼镜蛇,白花蛇,蟾蜍,青蛙
transitive,过渡,谣传,流行,联络
solvent,溶剂,医药,软膏,阿米巴
pod,承窝,十一,散布于,政客
jerky,肉干,迅速,儿童,没有任何人(东西)
clout,猛击,转身,滚动,扭转
tangent,正切,定额,贸易额,消耗量
beaver,河狐,聪明,抑制,产业(上)的
alibi,为...辩解,一串(珠宝),包装,注意
obtrude,伸出,伸展,收缩,拓展
tuneful,音乐,民乐,春联,歌曲
yank,突然的猛拉,）山脉,中心,姑父
tirade,专题描述,忧虑,片,向前
janitor,门房,书房,图书馆,更衣室
racy,辛辣,隆重,温和,深厚
stewardess,女乘务员,(政党的)核心机构,产业(上)的,游泳池
knead,揉,戏弄,指,扒拉
linear,线构,做游戏,牛排,说笑话
topography,地形,形状,三角形,多边形
puss,猫咪,场所,农业,处理
hymen,处女膜,瓣膜,薄膜,血液
camera,暗箱,背景,照相机,布景
brigadier,陆军准将,一排房屋,间谍,进餐时间
serpentine,蛇纹石,沙石,页岩,石英
imitator,模仿者,间隔,车票,解释
remit,缓解,解渴,复苏,肃清
synthetic,合成物,每个,在(或向)...的那边,一半
tigress,母虎,防护罩,在...旁边,喜欢
belie,掩饰,夸大,撒谎,保密
exhale,呼气,木乃伊,意见,逆
dab,轻敷,向导,可耻的人或物,有投票权者
sawmill,大型锯机,也不,逃避,叹息地说
spittle,沫,最喜爱的,灰末,一桶之量
cork,给...装软木,预告,敏捷,成年
carbolic,石炭酸的,卫星,收集,口角
exemplify,誊写,大写,抬头,书写
omelette,煎蛋饼,想,完全,方法
adhesive,粘的,完整,(人,秋
shotgun,被迫做的,北部,深度,梨树
tendon,腱,伤口,幽默,离题
captious,糊弄人的,宽的,外形,精心
extraneous,体外,对内,边际,国外
nanny,保姆,婢女,奶子,抗议者
uplift,抬起,补救,凋谢,日常
patronize,惠顾,来到,登月,来自
domicile,原籍,马歇尔,雄性,男孩
handicraft,手艺,力量,核技术,眼光
huddle,混乱,蓬松,庄严,失调
touchstone,试金石,货源,资源,能源
lynch,以私刑处死,死亡,捣毁,裁缝
paragon,杰出典范,抓牢,行动,令人伤心遗憾的
humdrum,平凡,患难,艰巨,上流
brawl,争吵,叫嚣,顶撞,斗殴
sneeze,喷嚏,醉,打喷嚏,大便
harbinger,充当...的通报者,男朋友,缺席,漫步
weld,焊接,锻造,培修,保修
callow,年幼,芝兰,大小,男孩子
obtuse,钝的,粗暴,表达,思想家
crayon,草拟,动笔,编著,统计
lobe,耳垂,耳朵,鼻梁,鼻子
hunch,使弓起,讥笑,资本,红萝卜
expiate,避免,得出,无害,避讳
snowstorm,雪暴,永远,为…辩解,书评作者
gut,极其重要,扬声器,响声,毒物
larynx,喉,远征,搁,设计
travesty,使滑稽化,上等,独立自主,跑步者
dimension,在...上标出尺寸,银行工作人员,用棒击,在...的背后
accuse,指控,诉讼,弹劾,上诉
palatial,宫殿,殿堂,牌坊,铭
emigrate,移居外国,举动,绝世美女,抹
emotional,感情,灵感,恶感,滋味
divulge,宣布,独揽,集合,大吹大擂
senile,老年期的,惯常,把…装箱,目的在于
jocular,诙谐,滑稽,单调,可怜
twinge,捏,超前,黑暗,学院
caption,标题,罪名,商标,俗称
infuse,泡,思路,流泪,欢乐
inorganic,无生物的,所,作曲,不知道的地方
bevy,一批,埋藏,除…以外,忠告
donor,供血者,两次,开支,自然
revoke,撤回,返回,逝去,回归
venerate,敬重,引咎,向往,倾倒
molecule,分子,使用者,会员,冗员
bole,树的主干,婚礼,海岸,和谐
whiting,牙鳕,轨道,禁止,如此
erase,擦掉,清单,方向,在…中获胜
interlude,间奏,疾病,用带子捆,狐狸
garish,俗丽,使中圈套,盐的,匆匆看
immobile,不活动的,大量,脉搏,石油
throw,投,盖印,舞台,奶油
optics,光学,课程,医学,科技
zebra,斑马,母牛,驴子,骏马
decadent,堕落者,刚才,相信,关于
rump,牛臀肉,割,油漆业,结果
cupola,穹顶,巨大,用键盘输入(信息),照料
origin,出身,选民,众议员,参议员
flashlight,手电筒,本生灯,灯笼,电灯泡
mutable,会变,丘陵(地带),分配,诧异
underfoot,在脚下,感到舒适,其次,情欲
fungus,真菌,白木耳,谷类,木耳
contralto,女低音,边音,鼻音,掌声
liturgy,圣餐仪式,他们,加宽,本国
cucumber,黄瓜,南瓜,豆类,大豆
tricky,难以捉摸,附近,间距,刻度
shingle,木瓦,时刻,积极,各(每)个
meteoric,流星,气功,把式,剑术
quaver,声音颤抖,处理,(外)祖父,风筝
demean,进行,暂停,并举,休会
cad,小市民,奴隶,半劳动力,候选人
alto,中音部的,北部,粗糙,时代
arrant,彻底,纯粹,不止,通通
release,放出,审讯,捕捉,捕获
screech,烈酒,甜酒,药丸,鸡尾酒
weasel,狡辩,争执,辩解,笔战
inaugurate,开始,开学,动工,着手
wriggle,扭动,润滑,转身,转来转去
glaze,凝视,接吻,遥望,眺望
overlap,互搭,损失,所得报酬,已无人居住的
curry,打,扶手,花费,向...致词
craggy,陡峭,秃,圆周,崎岖
causal,原因,缘起,病根,受事
habitat,生境,最小(少)的,同样,药粉
agitator,搅拌器,水槽,烟囱,轨枕
yacht,驾快艇,(使)团结,仁慈,闲逛
pliable,易弯,窘境,评论,虚弱
fop,纨绔子弟,大炮,妖精,鼓吹者
lanky,过分瘦长,掠过,发明(物),不重要的
canister,小罐,金钱,在远处,做实验
tingle,发丁零声,点...数,往那儿,飞机)
smudge,熏烟火堆,女性,(哺乳动物的)触须,误解
vaudeville,杂耍,柔道,对口相声,魔术
heifer,小母牛,惯例,血统,幼小
flop,猛击,刺激,转身,着
aphorism,箴言,忠告,预言,指示
waif,流浪儿,小山,创造,然而
gradation,阶段,空缺,议长,上层
cos,余弦符号,(用于否定句、疑问句等)什么,伯父,蹬
pollute,玷污,挣扎,致力,拼命
emission,发出,散发,突发,重现
legation,代表团,船队,乐队,总部
salvage,海上打捞,无例外地,今天,上升
laconic,简洁,板结,严密,百孔千疮
editorial,编辑,编译,编选,笔译
seedling,籽生,污秽物(如灰尘,了解,夏天
shire,夏尔马,由暴力引起的,年轻女子,坏话
confront,迎面遇到,部分,诺言,喜欢
broach,提出,演说,闲话,诉苦
artificer,发明者,地质学家,制作者,雕刻家
dent,齿,粗鲁地向…讲,每年,泄露
hyena,鬣狗,巴克夏猪,警犬,猎犬
carmine,胭脂红,宝蓝,纤弱,步履维艰
tapioca,木薯淀粉,高兴,毒物,火
titular,有称号的人,结算,认为,一片
craftsman,工匠,雇员,干事,售票员
hustle,忙碌,寂寞,治安,独身
infraction,违犯,违心,背弃,对抗
tress,头发,羊毛,纤毛,辫子
blackboard,黑板,摁钉儿,圆珠笔,钢笔
tighten,变紧,职位,挂念,惯常
monsoon,季风,层云,旋风,暴风骤雨
ochre,赭色,紫色,花白,白花花
chaplet,花冠,顶芽,豆苗,花束
sicken,生病,怀孕,梦遗,垂死
mouthpiece,吹口,未能,窥伺,有青春省活力的
thirtieth,第三十日,使中圈套,录音(像)机,监视(听)器
wasp,黄蜂,步行虫,阿米巴,变形虫
pasty,馅饼,炸糕,西点,糖果
fume,烟,混合,表示惊讶或询问),没有被预订的
cyclone,旋风器,环绕物,溪流,生物学家
snore,鼾声,擦音,噪声,元音
emblematic,象征,可谓,统称,证验
oust,剥夺,放逐,镇压,斩首
infinitive,原形,伪装,根本,外表
citation,引用,参考,标明,简介
scullery,洗涤室,鸡肉,冒烟,不符
reiterate,反复做,在左方的,栖息,翎毛
certitude,确信,迷信,自信,吃醋
importune,强求,拨弄,诱惑,勉强
vellum,犊皮纸的,真实性,投递交,气味
seamanship,航海技能,珍惜,无优无虑,对
palmy,茂盛,有些,肥沃,大多数
brand,加商标于,在……之上的,绊,冒险活动
calabash,加拉巴木,课程,成功,只
coalesce,使合并,使干燥,(健康状况)有所好转的,鸭肉
sunflower,向日葵黄,认出,开始,出现
aspen,山杨,不论以何种方式,九分之一,相关
cartel,书面协定,一致,其间,幼畜或雏鸟
ornate,装饰,安设,酿造,放置
copyright,版权,兵权,夫权,产权
keyboard,钥匙板,拳头,压(力),共产党政体
skinny,不足,缺乏,剩余,动态平衡
ion,离子,电子,原子,生物
wind,包,畚箕,篑,钱包
seedy,结籽,列举出,必须做的事,线
secretive,分泌,开始,烧着,小偷
totter,收旧货的人,骑车,小心,含盐
apropos,恰当,方便,白搭,义务
pinafore,围裙,袖子,裙子,内裤
garnish,装备,出卖,备战,颠覆
corrosive,有害因素,亲切,体弱多病,(赛跑用的)跑表
horseshoe,给...钉掌,度过,震,才
abnormal,变态,小声,地理,平衡
dour,严厉,鄙吝,不吝,落后
subscriber,订阅者,位置,辅助,菜馆
daze,使发昏,我们的,匆忙,烤
bray,驴叫声,轮,跳动,正确
bridesmaid,女傧相,到处,航运,西(方
dummy,仿制品,制品,纺织品,出产
bracket,给...装托架,公告,阴云,产量
partake,吃,更少的(地),忙碌的人,有天赋的
rancour,深仇,碰撞,吊桶,开始
brawn,膂力,力量,力气,活力
flout,嘲笑,讥诮,违宪,笔战
iron,熨,燃放,绷,生火
truculent,粗暴,热忱,彬彬有礼,不耐烦
testator,证人,审判长,发言人,被告
chamois,岩羚羊,刺探,有教养的,肮脏
blacken,破坏,断裂,打破,陨落
incest,乱伦,中止,自从,推进
convene,召集开会,镇长,涉水,鸟
bastion,棱堡,八分之一(的),抚恤金,(错误地或无根据地)以为
baritone,男中音,重音,读音,今音
loch,狭长海湾,无党派者,承担,权势
vendor,卖主,马夫,屠夫,指挥官
starling,掠鸟,婚礼,稀薄,(尺寸等的)大小
whimper,抽搭,低声,穿堂,菱形
immodest,自负,包揽,负担,退休
miscreant,异教徒,财迷,佛教徒,大师
copious,丰富,收缩,浸透,升值
loin,腰部,肚子,怀抱,奶子
halcyon,翡翠,琥珀,化学,钻石
dune,沙丘,丹砂,水泥,冻土
insincere,不诚恳的,现在,举行,预告通知
snub,制动用的,越过,一件工作,建筑
whitewash,使得零分,大量,迷糊,正常
pump,用泵抽吸,祖母,全世界的,渴望
swim,眩晕,发烧,晕船,泻肚
stack,洗...作弊,大气压,直到,提名
bounce,弹回,谎话,形成,勇士
parry,挡开,叫卖,招待,脆弱
loot,劫掠,断路,绑票,违法
trans,跨越,支配,不可逾越,利于
voter,投票人,杂草,欺骗,只...)
waitress,女侍者,烘饼,相当,稠的
entangle,弄乱,作者,保有,打断
tooth,口味,趣味,旨趣,毅力
disable,使无资格,富裕,电视观众,躲藏
nape,项,密切,涂面霜,迎接
jig,轻快地跳,(文章的)一节,领带(结),分
cryptic,隐藏,盯住,避风,避难
resonant,回声,母音,子音,动静
stepfather,继父,姥姥,大人,后母
contumely,侮辱行为,由于,开始,痊愈
marmalade,橘子酱,极需,有价值的,偷盗
ventral,腹面,帮,身,楣
truncheon,官杖,无论如何,附件,职务
cumbersome,笨重,坚固,轻轻,尖锐
subversive,颠覆性的,期望,水准,做梦
domino,西洋骨牌,握手,连环画,奇怪
mountebank,行骗,侵占,诱拐,投机
flagship,旗舰,坦克车,主机,战斗机
usurer,高利贷者,女皇,承包人,掌柜
eradicate,根除,消除,解决,洗刷
drawl,慢吞吞地说话,难得,抵制,附近
hectic,发红,聚变,变心,变脸
smirk,傻笑,暗笑,成熟,抱头痛哭
epidemic,流行性的,)苦恼,启航,做实验
haystack,大干草堆,速度,办,使适应(特定需要)
stow,储藏,避难,寻找,存储
laundress,洗烫衣物的女工,部队,(使)扎根,约请
shrapnel,零钱,会费,小费,邮费
catalogue,一系列,不乏,无数,些许
pontoon,趸船,独木舟,船上,班轮
whaler,捕鲸人,命令,不正确地,蚕豆
magenta,品红色的,滚轴,相信,快的
diaphragm,隔板,铁板,石板,木板
irate,发怒,暴跳如雷,得意,心寒
stentorian,极洪亮的,场所,路边,高兴
simplify,简化,最大化,成为,自动化
uncut,未切,比赛项目,商店,最好
tankard,大酒杯,数个,有节奏地敲击,麦粒
nomadic,游牧,养殖,放牧,饲养
scald,烫洗,（水果、蔬菜、肉等的）汁,节目单,需要
distil,蒸馏,镀金,镀锌,纺织
foundry,铸造,锻压,拔丝,镀
tumultuous,狂暴,爱面子,索然,操切
chubby,圆脸,正午,法庭,维修
brigand,土匪,政治犯,海盗,绑匪
augury,占卜,报案,庇佑,弹劾
flighty,轻浮,文明,耐烦,不耐烦
fixture,固定,定型,将就,静止
hygiene,卫生,一触即发,蓬松,悲惨
cinder,炭渣,随时,汽油,局部
tubular,管的,困倦,试验性的,未爆炸的
mermaid,美人鱼,金鱼,鲎,海龟
concerto,协奏曲,歌剧,京剧,戏剧
choleric,激怒,骗取,触犯,兵不厌诈
lath,给...钉板条,早餐,课时,急躁
aide,助手,下面,学徒,支柱
mash,糊状物,贼,有规律的,埋葬
separable,可分隔的,大量,重要,有学位者
fad,古怪念头,不管,释出,剔去
pervade,走入,流入,入境,入门
