#word,meaning,option1,option2,option3
熟人,contact,contract,constant,contrast
在...之中,midst,midmost,midget,mist
任性,fancy,face,chancy,nanny
上涨,rise,ripe,arse,wish
卷,book,spook,rook,bowl
惊奇,surprise,sunrise,surmise,lingering fear
计划,plan,play,plant,flax
性质,character,charter,probability,flexibility
允许,allow,ballot,pallor,hollow
变凉,cool,loll,curl,food
楼梯,stair,stark,astir,star
计数,number,camber,lumber,numb
手指,finger,fitter,winter,singer
呼喊,exclaim,declaim,explain,claim
通知,inform,deform,infer,infirm
鼻梁,bridge,bide,ridge,dredge
英格兰,England,inland,gland,Germany
坏的,ill,roll,bill,dull
径直,direct,divert,dirt,diet
棚屋,cabin,cabman,rabid,cab
团体,community,communist,communion,immunity
锯成,saw,swag,tan,sap
显露,discover,discovery,include,to emerge
柔滑,soft,sift,sit,hoot
用土掩盖,earth,warmth,hearth,mart
未知元,unknown,unknowing,agate,camel
一月,January,canary,peak period,third month
荣誉,honor,sonar,hone,donor
做...的父亲,parent,print,payment,portent
态度,attitude,altitude,aptitude,latitude
贵妇人,lady,jade,tidy,bawdy
结婚仪式,marriage,carriage,barrage,yard
富裕,plenty,pleat,plant,piety
联系,connect,cornet,conceit,context
仇恨,hate,haste,hale,date
连接,join,noon,vain,jean
空气,air,kid,rail,via
例题,example,examine,sample,trample
经历,experience,pass through,go on holiday,stay up late or all night
赶,drive,rile,derive,rife
恐怖性,horror,mirror,horrid,sorrow
给...建墙,wall,mail,sell,walk
平针,plain,pan,place,flair
弯曲,bow,vow,tow,now
鸣,cry,cure,coy,shy
提及,mention,mentor,tension,munition
反对,opposition,exposition,position,deposition
协定,agreement,put up with,reply,to agree
开辟,open,ode,spend,pan
引起危险,dangerous,blench,passionate,blare
教义,doctrine,in general,righteous,justification
当量,equivalent,a unit,number of times,degree
信心,confidence,confident,conference,confluence
起立,arise,abide,rise,iris
回答,reply,replay,telly,rely
感谢,thank,chink,bank,thaw
愿望,desire,defile,retire,beside
话,word,wood,sword,wold
王后,queen,sheen,queer,query
趣味,interest,interact,interject,internet
范围,extent,extend,exeunt,latent
苍白,pale,pole,bare,pawn
商业广告,commercial,student,ingenious,retouch
自愿,volunteer,willing ,may not,conviction
从,from,frown,drop,free
狂暴,wild,hilt,mild,wilt
行,please,plea,grease,plane
尖的,sharp,start,shake,soar
翅膀,wing,wane,din,wind
获利,advantage,favorable,achieve greater, faster, better and more economical results,leak
户内,within,wither,with,thin
做,do,dip,don,bow
大量,quantity,quantify,quality,fervent
朋友,friendly,friend,boyfriend,bride
给...装门,gate,gale,bake,legate
困难,hard,lard,hand,haze
厕所,john,noun,on,ion
它,it,with,tit,in
参观,visit,visor,vista,limit
城市,city,sit,cavity,unity
发起,author,auto,anchor,tutor
监狱,prison,poison,prisoner,person
求爱,court,curt,mourn,cut
赋予,clothe,cloche,clot,close
干燥,dry,cry,era,pry
公爵,duke,puke,bike,tune
知名人士,worthy,worth,north,portly
纯粹,mere,zero,per,merge
斗拳,box,pop,sod,mop
靠岸,land,last,sand,gland
普通,common,cotton,comma,summon
不同,various,vicious,serious,curious
相似,similar,seemingly,presentable,exception
基于,bottom,bosom,boom,button
君主身份,kingdom,full,objector,vineyard
总数,sum,rum,soup,guy
需要,demand,remand,dead,emend
宇宙,universal,universe,wing,Mars 
实情,truth,rut,brute,touch
秧苗,plant,point,pant,plane
迅速,sudden,sadden,midden,redden
结冰,ice,gibe,line,vice
逃,run,rut,rot,ten
确知,know,snow,nor,knob
享有,enjoy,envoy,enjoin,endow
急迫,haste,waste,chase,baste
把...叫作,name,same,lame,game
庞大,huge,hinge,sure,hush
肯定,solid,gold,slit,sled
力,force,forge,fore,forte
行政人员,official,unofficial,officiate,medium
鼓舞,lift,gift,flirt,life
提出...作参考,reference,preference,reverence,inference
俯临,command,commando,commend,commune
位置,local,loan,load,focal
税,tax,day,tip,tan
很,really,nearly,dally,realty
食物,meat,mist,melt,leaf
哎呀,say,jar,gay,map
仁慈,kindness,mindless,merciless,raise
底,floor,fool,loop,favor
有标记的,marked,naked,market,make
活泼,pleasant,pleasantly,unpleasant,pheasant
极度肥沃,rank,walk,dank,ark
有能力的,capable,parable,payable,culpable
把...称为,term,elm,germ,perm
天命,fate,wane,fat,maze
待遇,deal,ideal,meal,deer
一场,scene,scope,sane,scent
居民村,village,villa,pillage,silage
谈论,talk,yak,bulk,lank
极大,extreme,excrete,be lower than,open 
决心,resolution,revolution,solution,evolution
精确,exactly,exact,yes,not  to be taken as authoritative
关切,careful,harmful,hateful,earful
活,live,life,love,pipe
努力,effort,exhort,afford,effect
刚才,just,jump,gust,hush
海渊,deep,dye,prep,defer
崇高,grand,goad,franc,brandy
渴望,anxiety,surmise,unexpectedly,look forward to
需要...的,subject,suspect,subvert,object
审判,judgment,judgement,augment,reexamine 
外交使团,mission,vision,fission,remission
贴糊墙纸,paper,pepper,later,sapper
我的,my,may,re,of
盖被,comfort,conform,comport,consort
男子,boy,bay,do,why
绝望,despair,repair,all,incomplete
多少,any,hazy,vary,end
逐渐减少,peter,peer,poser,never
赶紧,hurry,curry,fury,sorry
巨流,river,liver,writer,raider
大量,vast,dash,vain,pant
日光,sun,pub,puny,sub
二,two,ton,too,tyro
免费,free,flue,tree,foe
许多,million,pillion,zillion,billion
剩余,remain,main,regain,remit
细节,fact,pact,farce,tact
捣碎,pound,round,mound,pond
辐条,spoke,poke,smoky,stoke
想要,intend,intense,intent,instead
不,never,neuter,liver,revert
每一处,everywhere,aide,jerry,twiddle
四分之一,quarter,quartet,quart,starter
表示同意,agree,degree,greed,three
跨,step,stet,item,stem
度,degree,decree,regret,agree
职业伴侣,companion,compassion,comparison,communion
将要,shall,sale,shell,gall
雌的,female,finale,fumble,temple
我们的,our,pour,oar,hour
地产,estate,equate,escape,stake
私利,self,calf,shelf,well
他,him,trim,dip,zip
不料,only,on,ally,cony
壮丽,glorious,fresh,good-looking,flirtatious
意图,intention,invention,attention,injection
高岗,raise,naive,rise,rape
那些,those,horse,prose,hose
七,seven,severe,sever,seem
完美,perfect,percent,prefect,erect
常常,much,such,loch,myth
欠,ought,nought,tight,tough
宗教狂热,enthusiasm,demography,convivial,unerring
一,an,gain,do,van
热的,hot,hod,not,jot
圣堂,temple,pimple,people,tempo
以胸撞,breast,abreast,roast,rest
重要章节,chapter,caper,clatter,chamber
滨,shore,share,hare,score
挨,crowd,crown,clod,brown
分配,division,revision,decision,envision
长的,tall,gale,fall,tag
使公开化,surface,outface,surname,furnace
存在,alive,slice,native,alcove
武装部队,military,militant,solitary,militate
残忍,cruel,creek,cruelty,cue
倾向,liability,stability,ability,confidence
课文,text,tell,beet,vet
似人类的,human,woman,man,hymn
空瓶,empty,imply,espy,enmity
构筑,frame,grave,flame,fame
使丢脸,wrong,throng,crony,bring
环绕,around,round,proud,pound
南部,south,mouth,youth,scout
活肉,quick,sick,chick,quack
健忘,forget,cornet,forge,forgo
跳,spring,string,sprain,sprig
柔和,delicate,dedicate,duplicate,deviate
记述,account,amount,count,accent
进步,progress,prowess,process,profess
阴暗,shade,chafe,share,shake
变晴,clear,gear,liar,fear
同情,sympathy,to feel sorry for a person over sth that should have happened,an understanding,hold
山脉,mountain,fountain,contain,maintain
久的,great,greet,gear,wreath
牢记,remember,member,December,to comprehend
爵士,knight,night,fright,eight
印刷,print,drift,prank,prince
木,wood,sod,wold,food
评分,mark,ark,hark,walk
黑暗,darkness,harness,hardness,honor
企图,attempt,tempt,attest,to despair
时刻,time,vile,timer,mime
合适,suit,shunt,shit,spit
镀银于,silver,killer,solder,silvery
发怒,rage,aye,erase,gage
全部人,population,modulation,blatant,Fortran
社交聚会,social,sociable,local,vocal
在...附近,about,abort,flout,abut
保险箱,safe,sale,ace,fate
痛惜,regret,beget,beret,secret
使高兴,pleasure,please,pressure,treasure
丰富,wealth,health,healthy,wrath
价钱,cost,host,gust,toast
没有东西,nothing,thing,clothing,anything
为首的人,principal,principle,lovemaking,joyride
新手,innocent,insolent,indolent,indecent
步行,foot,look,out,hot
具有...价值,worth,forte,north,forth
进而做,proceed,process,aquarium,maturity
好,well,dwell,weep,yell
贵重,valuable,voluble,invaluable,variable
物,thing,hinge,going,think
四十,forty,worth,horsy,fifty
新的,fresh,rest,press,brush
海军,fleet,fluent,bleed,facet
究竟怎样,however,whoever,forever,hover
写短文,paragraph,admirable,seedsman,vernacular
实际,actual,ritual,mutual,annual
变圆,round,around,sound,rotund
任何人,anybody,nobody,antibody,anyone
才能,equipment,pen and ink,ability,literary talent
纯种,true,torque,tile,brute
管子,pipe,file,vine,type
铺平,smooth,month,mouth,booth
体质,make,male,sale,mile
听见,hear,weal,cheap,ear
美洲,America,Africa,abate,grovel
假腿,leg,tag,log,lid
几乎,almost,most,inmost,aloft
第一百,hundred,hundredth,kindred,voyage
和约,peace,plane,trace,pace
体形,build,child,bull,burly
保证,earnest,arrest,harness,harvest
人们,we,ape,awl,sew
交往,frequent,request,frequency,battle of wits
件,piece,piety,place,pie
走吧,away,clay,tawny,awry
立即,instantly,instant,interim,solely
次序,order,solder,border,outer
从...里面,out,cut,dud,rug
通道,passage,massage,wastage,message
涂,apply,apple,nappy,supply
极坏,wretched,wretch,park,tow
了解,sense,terse,dense,tense
门,door,moon,fool,dour
注有日期,date,duke,drape,adage
桌子,table,fable,tape,tail
人类,mankind,unkind,personnel,figure
容易,ease,easy,muse,ape
痛,hurt,herd,part,out
晚餐,supper,bumper,support,jumper
内海,sea,steam,net,pea
谁,whom,wool,home,chop
搀扶,hand,hod,land,band
八,eight,light,tight,might
动,movement,monument,pavement,moment
保卫,watch,ranch,hatch,catch
受爱戴的,beloved,belated,leakage,grievous
弥补,supply,surly,supple,puppy
发表,publish,public,punish,polish
牢固,sound,stunt,round,spud
数,count,round,court,mount
诅咒,blame,flare,lame,fame
恐惧,afraid,acrid,affair,frail
玫瑰,rose,lose,prose,prosy
陈述,statement,narrate an account,a speech or lecture,above-mentioned
偏离...,off,of,offal,ref
熏制,smoke,mole,yoke,smoky
池,lake,rare,life,lacy
家伙,lad,lop,lag,bad
控告,appeal,appear,appal,repeal
少女,maid,mid,wad,sail
西方,west,weed,lest,must
当然,certainly,certainty,certain,it would be better
敬神,divine,divide,ravine,devise
软弱,weakness,utterly fearless,dare not go one step beyond the prescribed limit,do whatever one pleases
允许,permission,emission,remission,percussion
点燃,burn,sure,ruin,our
精神,spiritual,to excite,silence,sign in despair
永远,always,alias,allay,alas
迟于,beyond,blond,belong,bend
有充分根据的,probable,probably,probate,improbable
制度,system,stem,oyster,sister
对...起诉,process,profess,prowess,progress
捐,donate,denote,dilate,dominate
彻底,full,pull,sell,frill
居住于,people,purple,temple,pole
飞似,flying,fling,firing,sling
唱,sing,sting,cling,ring
翻阅,page,lace,fake,huge
要求,request,bequest,quest,frequent
远亲,cousin,coin,cosine,coffin
焦虑,anxious,envious,noxious,mixed feelings of grief and joy
保护,protect,project,prospect,protest
危险率,risk,piss,rack,wink
经受,suffer,muffler,coffer,duffer
滴,drop,stop,drab,droop
方面,way,lacy,away,spy
出发,put,peg,run,pout
帮佣,serve,merge,nerve,verve
酬谢,reward,remand,upward,beard
必要,necessary,accessary,necessity,astonishing
夏,summer,summat,simmer,bumper
支持,support,sport,purport,suppose
怀疑,suspicion,suspicious,half-believe, half-doubt,in favor
奋斗,fight,height,sight,tight
畜群,drove,move,rave,grave
茶叶,tea,team,sea,baa
劳动,labor,mayor,abort,favor
怎样,how,low,show,pot
飞翔,flight,plight,tight,slight
刺,stick,sticky,shock,stack
她,she,some,shy,eke
宁可,rather,matter,tatter,rafter
围着,circle,circus,girdle,circa
徒劳,vain,pain,min,gain
回,return,recur,retire,upturn
害怕,fear,real,pearl,near
赠送,gift,goat,gut,deft
发狂似的,mad,bat,mean,mid
实质,substance,cornerstone,to line up,outside
足够,enough,bough,rough,slough
尖,point,paint,print,plant
泄露,discovery,discover,fall through and stand exposed,gain
变热,heat,year,rest,pelt
星期天,Sunday,runway,Monday,sundae
需要,want,watt,rant,wait
慷慨,generous,onerous,great amount,modesty
金环,ring,rug,big,wring
主妇,mistress,mattress,mistrust,distress
实在,reality,realty,legality,readily
谁的,whose,moose,white,whom
奥秘,secret,secrecy,regret,secrete
第一,first,fist,forest,fish
说话,speaking,murmur,to communicate,to take in and send out 
半夜十二点钟,midnight,hormone,quip,extra
愿意,willing,rolling,unwilling,polling
悦耳,sweet,greet,swift,steel
