#word,meaning,option1,option2,option3
低估,underestimate,assumption,guess a riddle,unexpectedly
浪费,wasteful,tasteful,wakeful,wistful
印刷机,press,precis,dress,tress
珠宝,jewellery,jeweller,coral,bracelet
打火机,lighter,lighten,litter,fighter
威信,prestige,preside,vestige,presage
艰巨任务,challenge,yesterday,enthusiasm,surmount
振幅,amplitude,aptitude,air temperature,wavelength
铲,shovel,hovel,shiver,shove
有常识的,commonsense,area,fertilize,niggardly
提升,promotion,proportion,probation,promotor
转折点,crisis,crass,crisp,critic
移植,transplant,seed,to cultivate,to plant
随机,random,condom,ransom,special-purpose trip
咸猪肉,bacon,baton,ban,baron
(马)小跑,trot,rot,teat,loot
载明,specification,to spread out,statement,make a descriptive record 
零售,retail,detail,remain,retain
牙科医生,dentist,enlist,desist,detest
往,fro,do,fur,so
统计,statistics,statistic,arrangement,statistics
贯彻,implement,complement,inclement,to call together
连接物,attachment,detachment,attainment,aide-memoire
把…弄直,straighten,straiten,straight,pension
用钩连接,hook,look,horn,hock
飞机航线,vector,rector,debtor,nectar
地点,locality,localize,totality,legality
穆斯林(的),Moslem,effort,vision,rub
角状物,horn,horde,hook,pork
草似,grassy,glassy,grass,brassy
填补,fill,fillet,oil,silk
调查表,questionnaire,writing,schedule,school timetable
南极区,antarctic,arrange,revolver,graze
怀着,harbour,arbour,armour,ardour
正极,anode,above,angle,nod
结盟,alignment,nonalignment,retribution,become sworn brothers
广阔,spacious,rapacious,specious,capacious
神龛,shrine,throne,shine,shrink
升起,hoist,hint,poise,moist
探查,exploration,inquiry,inspect,investigate
占优势的,predominant,cayenne,hag,tenancy
天线,antenna,cable,mast,special-purpose phone line or communications link
仓库,warehouse,barn,city gate tower,power plant
孤独,desolate,deflate,decorate,detonate
(全体)一致的,unanimous,copy,emolument,plastic
类似,similarity,opposite,as,be just like
鼓吹,preach,breach,wreath,reach
短缺,shortage,shortwave,storage,hostage
迎合,cater,rather,taker,layer
逗留,linger,tinge,hinder,lodger
使紧凑,compact,compare,compass,comsat
负担,freight,fright,right,fraught
令人敬畏,dreadful,Negro,occasional,realm
重要(性),consequence,extradite,bother,degrade
圆屋顶,dome,dove,due,mime
伙伴关系,fellowship,gate,bypath,preclude
平民,civilian,civility,civilize,populace
电压,energize,sycophant,copy,naturalize
全球,global,globule,floral,local
标志,badge,bridge,budge,barge
司库,treasurer,treasure,treasury,comply
破产,bankrupt,bankruptcy,success,not exert oneself
商品,merchandise,member,hardware,general merchandise
用肘挤,elbow,low,mellow,blow
断言,affirm,affix,affair,infirm
风车,windmill,windfall,content,bold
束缚,bridle,bride,riddle,bridge
炎热,tropical,topical,tropic,typical
不稳定性,instability,merge,cloudy,dependent
(兴趣的)顶点,climax,climb,climate,wise
体格上,physically,physical,comedy,mediate
因为,inasmuch,instance,although,only when
(北美洲的)大牧场,ranch,latch,batch,match
鲁莽,rash,cash,bash,crash
能实行的,practicable,steward,money,piracy
楼厅,balcony,falcon,bacon,nominate
常规,routine,route,outline,pitiful
模糊不清,cloudy,cloud,aloud,clod
空间,spatial,statical,partial,special
在…上镀锌,zinc,wink,vino,dine
选民,constituent,guardian,position in the family hierarchy,member of the US House of Representatives
冷淬,chill,chime,chit,child
狭长的切口,slit,sir,slim,stint
守财奴,miser,miner,mine,diver
大而重的,massive,passive,missive,massage
做买卖,trade,trader,spade,erode
抚养,rear,near,hear,gear
通过,sift,lift,hit,dirt
先,priority,probity,spoonful,grenade
鼓动,agitation,aviation,capitation,animation
码头,wharf,war,chary,where
遗传,transmission,implicated,prevalent,tradition
使起皱纹,wrinkle,sprinkle,crinkle,trickle
(选定的)专门小组,panel,label,lane,cancel
使厌恶,repel,crepe,ravel,jewel
细菌,bacterium,antibody,bedbug,poisonous mushroom
击倒,flatten,fatten,flatter,platter
正式会见,audience,ambience,usage,weekday
苗圃,nursery,nurse,cursory,surgery
增进,further,feather,farther,father
辩论,reason,season,mason,treason
(语言、举止)粗俗的,gross,truss,cross,grow
通报者,herald,herd,emerald,heal
精通文学,literary,library,literacy,literally
光明,luminous,glutinous,mutinous,ominous
编制程序,program,programme,unfair,whisker
卑鄙的人,hound,starve,incentive,mindless
机灵,ingenuity,be smooth and slick ,book worship,wise and farsighted
所…,what,wad,vat,whit
愤慨,indignation,to take one's anger out on sb ,feel wronged and act rashly,offended
让步,concession,confession,conclusion,concussion
兴奋,flush,lush,flue,slush
大草原,prairie,praise,magnetic field,quarry
美丽,fair,laird,sir,hair
航海日志,log,rag,leg,lad
使羞愧,shame,shaver,stage,sham
词首,initial,initially,initiate,inimical
开…的锁,unlock,block,unload,flock
铁匠,blacksmith,locksmith,indentured laborer,electrician
驱逐,expel,lapel,excel,expert
斗争,wrestle,trestle,wrestler,nestle
发生,incidence,accidence,incident,emit
细小,petty,jetty,kitty,plenty
航空和宇宙航行空间,aerospace,airspace,pendium,beeline
亚洲,orient,friend,portent,ardent
得得声,clatter,chapter,platter,spatter
欢呼,applaud,applause,growl,howl
果核,stone,tone,intone,soon
应受赏(罚),merit,debit,melt,grit
杂质,impurity,purity,impunity,immunity
理解力,perception,exception,reception,perfection
损坏…的形状,deform,form,deport,inform
看法,theory,theorem,there,cherry
不支薪水,unpaid,edge,forlorn,payable
不透气的,stuffy,stuff,sturdy,stiff
使丰富,enrich,entice,rich,seal
继承(权),succession,successor,successive,accession
违犯,violation,lit.: slap the table and shout with praise,unconstitutional,to complement
家禽,poultry,sultry,paltry,poetry
改革,innovation,intonation,invocation,poison
尽管,notwithstanding,cannot bear,owing to,merely
强壮,masculine,powerless,young,male and female
喷(烟等),puff,cuff,bluff,pus
委员,delegate,delete,relegate,elevate
认识到,awake,awaken,aware,snake
搞阴谋,scheme,schema,scene,chime
在…外,outside,outlive,outsider,upside
难民,refugee,refuge,refute,refuse
元音,vowel,bowel,model,howl
余数,remainder,reminder,journey,space
缩小,shorten,shortly,smarten,sharpen
反射(声音等),echo,chop,ache,each
聪明,apt,ant,set,bps
电压,pressure,reassure,pleasure,pressurize
使显出特色,distinguish,prosperity,emblematic,bonkers
汽笛,siren,ripen,seven,mien
屈从,resignation,mediate ,become reconciled,tame
邻近,neighbouring,block the traffic,to depart,block up and intercept
因为,through,trough,thorough,though
转递,forward,foreword,coward,forewarn
难以置信,incredible,credible,serious,confident
露指手套,mitten,moisten,listen,litter
分裂生殖,fission,mission,fashion,session
残暴,tyranny,granny,tyrant,sin
切下的部分,section,seduction,station,unction
使停泊,moor,moose,motor,mar
长度,linear,miner,lineal,lineage
热望,ambitious,ambiguous,ambition,ready
蒙昧,obscure,obscene,omniscient,poor
失业人数,unemployment,wretch,prop,silo
预算,budget,nudge,bullet,nugget
手推车,trolley,roller,volley,bicycle
极好,gorgeous,cucumber,legacy,chicanery
柏油,tar,ear,harp,tan
剩余,residual,inadequate,enough,extract
举例证明(解释),exemplify,exemplary,guesthouse,pair
贪婪狡猾的人,shark,shade,shank,smart
期刊,periodical,periodic,fortnightly,supplement
现实,realistic,abstract,strict,easy
近路,shortcut,difficult path,road,midway
码头,pier,pint,pliers,tier
半球,hemisphere,parish,volume,northern side
消沉,depression,impression,repression,oppression
发动,motive,call out,to give notice,recall
地质学,geology,biology,ecology,eulogy
参军,enroll,knoll,scroll,enrol
打喷嚏,sneeze,snooze,sleeve,wheeze
生态学,ecology,apology,economy,biology
普遍,currently,current,currency,balance
少年,youngster,senior,childhood,adult
词汇表,vocabulary,postcard,swordfish,juvenile
一块排骨,chop,who,prop,crop
使变厚(或粗、密),thicken,thicket,ticket,ticker
(理想等的)实现,realization,barge,velvet,tedium
继承人,successor,succession,success,people
确定,positively,negative,schedule in advance,ruling
使遵守,conform,concord,confirm,comfort
压紧,compression,pay retroactively,buy one's ticket after the normal time,to cut staff
分散(心思),distract,district,abstract,distrust
领先,precede,precept,secede,recede
消散,dissipate,emit,to destroy ,derivative
合唱,chorus,crocus,corps,chore
永久移居国外,emigrate,migrate,immigrate,emigrant
摸起来,feel,fete,beer,reel
用力拖,tug,lug,ten,chug
惬意,agreeable,abandoned idea,conspire,man will cry out  against injustice
退化,degradation,to take a wrong step in life,to put into practice,progress step by step
把…制成表,tabulate,tabular,adulate,room
补充,complement,compliment,competent,implement
无机,inorganic,organic,space flight,exercise
海滨(胜地),seaside,aside,beside,reside
步行,tramp,rap,trample,cramp
去世不久,late,lake,lithe,vat
一致,concert,convert,concerto,cancer
焦炭,coke,fake,yoke,puke
航空,aerial,serial,burial,axial
程度,length,lengthy,tenth,zenith
底稿,manuscript,lengthy ,script,final version or text
(收费)供…膳食,board,boar,bold,hoard
仿制品,imitation,imputation,limitation,imitative
楼梯,stairway,airway,corridor,the Long Corridor at Yi He Yuan
甜点心,dessert,desert,dresser,deserts
断言,assert,asset,assent,assist
悬于…之上,overhang,overland,overhaul,tinge
繁殖,multiplication,lay ,wild,alive
质子,proton,prolong,prison,piston
有孔小珠,bead,beach,seed,red
速决,summary,summer,summat,stage a comeback
发觉者,detector,director,detect,detection
誓约,oath,math,bath,earth
询问,question,to participate ,to sound out,to deny 
渴望,longing,anticipate,to await,unexpectedly
逃走,flee,free,fare,fine
要旨,message,massage,passage,handle
猛投,hurl,furl,curt,hall
排水,drainage,advocate,army and government,banking
聚会,gathering,leave without saying good-bye,to shake hands,to bind
(使)移居入境,immigrate,migrate,immigrant,emigrate
通知,advertise,adverse,give the correct time,advise
基本,elemental,element,elementary,secondly
一致,evenly,the same year,at the same time,be precisely the same
开始,inaugurate,inaccurate,inaugural,to start out
超等,superb,suburb,supper,super
讨厌,frightful,rightful,love and hate,patriotic
与…交搭,overlap,overload,overland,overpay
嘲弄,ridicule,force ,to make fun of,order about
调节,regulate,peculate,regular,relate
游艇,yacht,each,facet,tacit
百分富翁,millionaire,beggar,widow,orphan
精细,finely,lively,field,lonely
远古,primitive,modern times,dynasty,medieval
奋斗,strive,stride,trice,strike
香的,fragrant,flagrant,vagrant,fragment
总局,headquarters,bookstore,shop,dairy farm
甜蜜,sweetness,public security,to make more mild,miserable
运算,operation,operative,iteration,oration
威严,awful,lawful,annul,artful
联姻,allied,alien,pallid,alley
专题讨论会,workshop,bookshop,worship,reciprocal
传播,emission,remission,omission,mission
公告,bulletin,bullet,talk,copybook 
(计算机的)软件,software,niche,bypath,June
语调,intonation,invocation,innovation,intention
循环,circulation,to inherit,armistice,develop simultaneously
社论,editorial,to excerpt,eight -part essay,lament
郡长,sheriff,snowflake,joggle,journal
风趣,witty,kitty,wilt,fifty
使对证,confront,confine,college,furnace
小册子,pamphlet,encyclopedia,compilation,dictionary
耐久力,endurance,insurance,entrance,inspector
(使)变紧,tighten,heighten,lighten,lighter
花炮,firework,foreword,timework,fireworks
愚蠢,senseless,unequivocal,muddled,dare not go one step beyond the prescribed limit
(日,eclipse,ellipse,elapse,summer
狂暴,furious,curious,serious,various
溅泼,splash,slash,lash,smash
不漏水的,watertight,scruple,narrowly and luckily escape,so as not to
戏剧性事件,drama,tramp,cram,ramp
合成,composite,compote,compost,composure
制止,refrain,retain,refract,restrain
黄蜂,wasp,waist,zap,wan
打鼾,snore,ashore,store,smoke
确信,certainty,certainly,certain,jealousy
外国,alien,akin,lie,malign
砂跞,gravel,travel,navel,grovel
拧,wring,wrong,wing,grind
歪曲,twist,foist,twice,wilt
飞机库,garage,rage,grace,graze
拒绝相信,denial,deal,genial,venial
打(铁等),forge,forgo,gorse,foe
无能力的,incapable,capable,trust,billboard
修女,nun,ten,gnu,bun
在…上打烙印,brand,brandy,prank,broad
摔坏,crash,cash,crass,crack
摘要,extraction,attraction,traction,exaction
离子,ion,iron,nor,ill
使成熟,mature,manure,mate,measure
胸口,wind,wink,grind,hind
姜,ginger,longer,linger,finger
当中,between,ordinary,very difficult ,inferior
巴掌,slap,slot,solar,gap
瞬息间的,momentary,commentary,monetary,adult
懦怯,coward,hoard,towards,award
会诊,clinic,clinical,clinch,clink
生硬,stiff,staff,stuffy,swift
旁通管,bypass,pass,bass,bypath
迎接,salute,dilute,palate,saute
支票,check,crack,chick,cheek
高尚,lofty,loft,loath,hefty
制止,restrain,strain,restraint,refrain
专利,patent,pant,latent,extent
可怕,monstrous,touching,lacking,hateful
领事,consul,concur,consult,consume
秘密,confidential,magical mystical,official,general
冒…的险,gamble,sable,garble,dabble
新郎,bridegroom,attendant of the bride or bridegroom at a wedding,male friend,bride
适当,fitness,witness,finesse,firmness
阿谀,flatter,fetter,flatten,latter
大规模地,largely,albatross,grandson,foliage
旧的,second-hand,able,inhumanity,half
无穷大,infinity,infinite,infirmity,affinity
粉饰,whitewash,hide behind,take the blame,keep secret
斜纹布,jean,heal,pan,dean
发出格格声,rattle,formality,plumage,retention
女侍者,waitress,mattress,actress,witness
反对命题,contrary,contract,contrast,honorary
传达,convey,monkey,confer,convoy
柔软,velvet,valve,helmet,valet
抽样,specimen,species,specie,select and adopt
给…施洗礼,immerse,inverse,immense,beneficent
无数,innumerable,can't tell how many there are - there are numerous similar cases,respectively,there is no lack of
代数学,algebra,military science,subject,physics
戳穿,pierce,fierce,piece,pieces
南瓜,pumpkin,bumpkin,tomato,soy bean
招待,entertainment,pending,banishment,mistreatment
贫瘠,barren,marten,barred,barrel
总经理,executive,execute,elective,execution
(时间)过去,elapse,lapse,ellipse,relapse
视力,vision,revision,pinion,evasion
混合者,mixer,rider,maker,mix
拧,wrench,trench,French,wreck
白种(人)的,white,whiten,shire,rite
跳舞,hop,mot,mop,how
喧嚣,uproar,roar,uproot,bustling with noise and excitement
提倡者,champion,yours,rump,ingredient
报告…的来到,announce,announcer,denounce,renounce
竞争,contend,convene,content,commend
为…编目录,catalogue,analogue,purvey,wedge
明显,sensible,ostensible,insensible,feasible
处罚,penalty,realty,penal,commend
强迫,compulsory,dun,to menace,manage  with difficulty
(新)时代,epoch,porch,each,etch
明确,decidedly,state in writing,fitting,unknown
敞蓬车厢,waggon,maggot,jargon,waggle
晚辈,junior,juror,union,janitor
收益,earnings,earring,loss,penalty
足够,suffice,office,surface,suffuse
(使劲)推,shove,store,chore,hover
猛攻,storm,story,stern,stormy
认为,deem,seem,beam,seam
蜗牛,snail,snarl,entail,sail
性格,makeup,tyrannical,body,senior
(新)住宅区,settlement,battlement,horsewhip,webbing
形势,position,volition,petition,portion
鲸,whale,wall,hall,whole
(讲话时等)做手势,gesture,feature,venture,posture
可调整的,adjustable,artisan,shortly,dependence
比拟,analogy,anatomy,analogue,apology
显然,distinctly,unofficial,vague,not to be divulged
变戏法的人,magician,musician,thankless,forgery
生产,productive,protective,production,delivery
冲洗,rinse,rile,rise,raise
扎疼,smart,start,smear,cart
禁止,prohibition,visa,to affix a seal ,to permit
喋喋不休,chatter,shatter,cater,tatter
心理学,psychology,military science,anatomy,statistics
词干,theme,those,there,these
附录,appendix,append,appendix,ins and outs
流量,flux,flit,flay,flax
回收,reclaim,declaim,claim,acclaim
阻碍,hamper,sapper,hammer,bumper
陛下,majesty,modesty,contractor,tyrant
坚决,resolute,desolate,absolute,resolve
定期存款,fixture,future,mixture,fissure
迷路,stray,spray,spry,story
征候,symptom,omen,opinion,phenomenon
演说,discourse,discourage,disburse,murmur
天主教的,Catholic,frost,fade,original
不足之数,deficiency,deficient,efficiency,iota
平常,trivial,rival,trial,difficulty
性情温和,pacific,specific,pacifist,pacify
在那里,therein,stet,behalf,scoop
拉长,prolong,proton,lift overhead with both hands,flap
乳白色,ivory,very,every,story
词干,stem,ahem,team,she
大屠杀,massacre,massage,to murder,assail  with obscenities
无畏,fearless,heartless,feckless,withdraw
遵守,abide,aide,amid,bide
到场,attendance,attendant,to quit school,deoxidation
前辈,predecessor,guardian,body,senator
翱翔,tower,towel,power,tow
繁殖,propagate,grow,breeding,lay 
在…漫步,roam,mom,jam,road
报告,notify,notary,noisy,notion
共计,number,lumber,encumber,bumper
容忍,tolerant,tolerate,tolerance,can't help
架桥于,bridge,bride,fridge,ridge
巩固,consolidate,to bring forward,ups and downs,settled
注定,doom,look,droop,rook
参量,parameter,perimeter,barometer,plural
坚定,stability,liability,ability,stabilize
竖起,erect,evict,exert,eject
不定,uncertain,certain,ascertain,entertain
位于…的,situated,unscrew,hobo,creature
银行家,banker,wander,tanker,hanker
踏,tread,treat,plead,team
灌木,shrub,scrub,snub,throb
问候,compliment,complement,compliant,remit
垂直(线),perpendicular,dioxide,recover,stigma
秩序,cosmos,common,cosmic,disadvantaged
粘滞,viscous,educational,suitability,importance
(使)蹲下,squat,spurt,squint,squad
使湿透,shower,smoker,cower,sheer
吉他,guitar,suitor,gutter,fiddle
免职,deposition,depositor,position,exposition
发电机,dynamo,dynamic,steamer,engine 
障碍,hindrance,restrict,ember,screen
机能上的,dynamical,sundial,abstemious,cicada
作为结果而发生的,resultant,reluctant,resistant,sleeve
攀登,ascend,spend,send,ascent
通货膨胀,inflation,deflation,isolation,insulation
挫败,frustrate,not do one's best,slump,to go bankrupt
恶棍,rascal,radical,casual,fiscal
证实,testify,testy,justify,mystify
订购,subscribe,subscriber,mail order,subscription
否决权,veto,into,alto,vex
蝗虫,grasshopper,fiery dragon,spider,butterfly
消灭,extinguish,quench,quick decision,surmount
嘲弄,mock,smock,lick,muck
饵,bait,bail,art,maid
构成,composition,connected by air, sea traffic or service,be antagonistic to,cut off 
今后,henceforth,a while,last time,a few days ago
审查,censor,mentor,censer,tenor
普通,plain,plant,explain,plate
高原,plateau,plateful,plate,rivulet
标定,calibration,size,sensitivity,longitude
便于使用,handy,caddy,hands,hand
滚筒,roller,caller,howler,collar
属于,reside,residue,beside,inside
浓缩,concentrate,to increase,compression,soak
灾祸,misfortune,scourge,luck with the opposite sex,blessed
转(力)矩,torque,true,tongue,torture
校订,edit,debit,dig,exit
废物,litter,fitter,twitter,titter
暖气片,radiator,radiation,radiate,iron panel
体现,embody,nobody,body,ebony
教义,doctrine,righteous,truth,physical
(重新)集合,rally,sully,ray,valley
等面(体)积的,equivalent,galaxy,serene,clean
忘掉,dismiss,discuss,conscious,to remember
秘密,confidence,confident,confluence,conference
绷带,bandage,bondage,mandate,barrage
瓦(特),watt,what,wasp,cast
顺便提及,incidentally,tide,grannie,explode
分开,partition,petition,fall apart,to unite
鼓舞,inspiration,obstruct,spoil things through excessive enthusiasm,to show
结石,calculus,white diarrhea,measles,pestilence
势利,snobbish,moderate ,to revolt,fierce
立方体的,cubic,rubric,cabin,cubicle
镍,nickel,bicker,niche,sicken
推进,propel,proper,prove,repel
(桥墩间的)墩距,span,leaky,rusk,solicit
有吸引力的人(或物),magnet,magneto,magnate,market
工具,lever,ledger,severe,never
引燃,ignite,innate,incite,finite
志愿者,volunteer,cause someone to,clown,cavalier
藤,vine,line,bike,brine
规章,regulation,relation,revelation,reputation
芥子,mustard,custard,dastard,bastard
(声音)嘶哑的,hoarse,horse,hearse,coarse
向南方,southwards,outwards,southward,uproot
百合花,lily,wily,ugly,lilt
输入,input,inert,nut,inept
猛咬,snap,slap,swap,snag
过剩,surplus,surpass,innumerable,inestimable
耻辱,disgrace,displace,distract,result
凤梨,pineapple,grape,coconut,strawberry
赋闲无事,idleness,illness,eject,persevere
妨碍,drawback,blockage,to express,excited
对…不满,resent,repent,recent,repeat
辛酸,bitterness,bemoan the state of the universe and pity the fate of mankind,worry,sullen
职业,vocation,location,avocation,oration
门槛,threshold,formalities,witchcraft,number of people
行使,wield,will,yield,pied
松松,loosely,negligence,feel unsure about something,fascinate
疾病,complaint,compliant,complain,group photo
要塞,fort,flirt,sort,forty
趟(河),wade,jade,wasp,rake
殖民地居民,colonist,columnist,colonial,soloist
(女)上衣,frock,sock,flock,lock
两栖动物,reptile,repine,fertile,revile
邮政,postal,postman,portal,hostel
使恐怖,terrify,certify,petrify,testify
(酒)烈性的,hard,lark,hold,land
委托状,commission,omission,compassion,revolution
复制品,duplicate,supplicate,explicate,duplicator
契据,charter,starter,chatter,chapter
