#word,meaning,option1,option2,option3
低估,underestimate,unexpectedly,to persist,predict
纵恿,entice,nice,entire,entity
思考,speculate,peculate,indulge in wishful thinking,conceive
遭受,undergo,underdog,under,to accept
知识分子,intellectual,artist,freak,pale-faced scholar
剧装,costume,contuse,consume,posture
超声,ultrasonic,tenor,loud,thunder
讨厌的东西,nuisance,guidance,quantity,contiguous
废除,abolish,polish,foolish,to risk one's life
煽动(行动),provoke,prove,promote,propose
用带捆扎,strap,steak,steep,snap
狂热,fanatic,frantic,lunatic,fantastic
极限,maximum,maxim,minimum,half of sth
全体人员,personnel,personal,circulate,correct
公开的、非秘密的,overt,avert,aver,over
工艺,craft,draft,graft,cart
稀少,sparse,spade,spare,spate
自愿,voluntary,accidental,willingness,not work
身体,personal,personable,impersonal,seasonal
穴,scoop,cool,soot,scamp
监督,supervise,superfine,supervene,for future reference
很快,readily,reality,steadily,deadly
氢,hydrogen,compute,clarity,cease
担负得起,afford,ford,fiord,affirm
癌症,cancer,cancel,camber,anger
支配,dominant,dominate,ruminant,dominance
可信,credible,creditable,crucible,edible
管家,steward,reward,stead,attendant
加速,precipitate,consolidate,to bring forward,stable
不调和的,incongruous,disk,lusty,necessity
所关切的事,concern,concert,conceal,concede
藻类,algae,grass,black henbane,peppermint
炫耀,flaunt,flint,faint,flank
给予,accord,actor,record,accost
使坚固,confirm,infirm,confine,conform
粗野,insolent,innocent,indolent,in reality
不合宜的,inapt,inept,nape,infant
节省,economical,economics,economic,extract
配备工作人员,staff,stuff,safe,stiff
打湿,damp,daub,amp,ram
临时,interim,interior,intercom,inherit
租佃,tenancy,tenant,tendency,farmer
依靠,rely,freely,dell,elm
排除集中,decentralize,violate,manful,quiet
肌肉,muscular,vascular,wrapping,eyelid
危险的事物,peril,perky,perm,per
引诱,tempt,emit,tenet,teapot
首要,cardinal,cardiac,ordinal,carnal
细心,meticulous,luxury,lasting,careful
监考,invigilate,to supervise,roll call,supervise and urge
手推车,cart,cant,cast,clot
行李,baggage,luggage,barrage,bandage
视觉,visual,virtual,fiscal,visa
玉米,maize,mace,maim,mail
钻孔,bore,bare,more,barn
程度,pitch,batch,ditch,patchy
概念,notional,measure in traditional Chinese music,pathology,calligraphy
安全,security,leisurely,solitary,having experienced the hard ship of life
可辩认的,legible,edible,illegible,flexible
可以任选,optional,national,rational,optical
严格,stern,astern,stun,stew
广大无边,cosmic,comic,cosmetic,colic
粒状,granular,guttural,poster,mum
上船,embark,mark,bark,remark
使紊乱,disorder,disorderly,stave,bankrupt
混乱,chaos,cos,chase,chair
过敏症,allergy,gallery,allege,alley
引言,preface,prepare,peace,presage
提供养分,nourish,tourist,tourism,flourish
货摊,stall,shell,small,gall
大学新生,entrant,entrust,intranet,entrance
使惊愕,amaze,image,amble,mate
事务,business,logistics,job occupation,nuclear engineering
暂时,provisional,a while,a world of ice and snow,short
提升,promote,propose,promotor,remote
低声说,murmur,murder,shipper,vicarious
袋鼠,kangaroo,alligator,kangaroo,whale
蹒跚,limp,nip,liar,slime
（固定断骨的）夹板,splint,split,splice,pint
命名,nominate,dominate,nominal,abominate
采,pick,tick,pit,rick
不透明的,opaque,pique,plaque,synopsis
排泄物,excrement,excitement,increment,money and valuables
冬眠,dormant,torment,format,mordant
氧化物,oxide,exude,vide,hide
有效率的,efficient,sufficient,deficient,efficiency
逆行,regression,aviation,cruise,go fifty-fifty
停住,halt,exalt,half,chalet
后代,posterity,posterior,prosperity,forefather
人文学科,humanity,humanize,inhumanity,humility
(使)分散,disperse,dispense,dispose,diverse
笔直,upright,right,bright,plight
垫子,cushion,cession,fusion,fashion
游行,parade,palate,karate,pirate
港口,port,lout,word,sport
破裂,rupture,rapture,vulture,culture
使饿死,starve,stare,staple,stave
辞典编纂,lexicography,cape,optics,jerry
取出,extract,tract,entrant,extra
偏差,deviation,aviation,dedication,derivation
航空,aviation,ovation,radiation,variation
能繁殖的,fertile,festive,febrile,textile
杜撰,manufacture,faking a modern object as an ancient one,provoke,parade
怀疑,doubtful,confide,believe,half-believe, half-doubt
标出,plot,pit,clout,clot
文具商,stationer,stationery,station,stationary
枕头,pillow,willow,billow,bellow
召唤,summon,summons,mammon,summit
折断,shear,scar,sheaf,dear
使爆炸,explode,explore,exploit,expose
购买,purchase,panic buying,subscription,place an order for something
欢宴,festivity,fertility,orbit,National People's Congress
产量,output,outfit,outset,outwit
炼金术,alchemy,vouchsafe,august,drench
探险(队),expedition,exposition,caviare,steady
蔓延,creep,career,crepe,creek
闪烁,shimmer,simmer,stammer,shipper
讨论会,forum,form,norm,focus
伸展手足而卧,sprawl,scrawl,sprat,brawl
惭愧,ashamed,shame,serene,compose oneself
海崖,coastal,crystal,casual,postal
假货,sham,shin,swan,sap
黑烟灰,soot,swop,seat,sour
认为…不足轻重,discount,dismount,oratory,mediaeval
机组人员,crew,brow,creek,crow
分条缕述,itemize,atomize,notifiable,craven
迷信,superstition,confidence,to approve,to accept sth. as true
摘录,excerpt,except,expert,exert
污秽,messy,easy,mess,testy
有偏心的,partial,palatial,martial,impartial
打印输出,printout,repository,grid,cherub
极微,minimal,minimum,mineral,animal
完全,all,gale,hale,lull
起草,draft,drafty,drag,craft
智慧,wisdom,window,widow,be smooth and slick 
太阳,solar,molar,sober,roar
甘油,glycerin,amylase,acetone,atomic nucleus
新奇的事物,novelty,novel,lovely,poverty
高尚,magnanimous,uncorrupted,whoredoms,mean
利口酒,liqueur,liquefy,liquor,clothe
分布,distribute,to extend ,be classified as,be decorated with lanterns and colored banners
替人顶罪者,scapegoat,runaway,refugee,party 
憔悴,gaunt,sauna,haunt,daunt
刺痛,sting,cling,swing,sing
减少,wane,canoe,fade,wake
忠诚,loyal,loyalty,royal,legal
估价,valuation,salvation,evaluation,salutation
审判,judicial,to question via torture,public trial ,decide on a verdict
技能,accomplishment,pen and ink,capability,eloquence
刻苦,painstaking,make nothing of hardships,duration,intermittently
议会,parliament,parliament,fair,distinguished meeting
损坏,breakdown,fault,land oneself in,slide
论文,treatise,creative,editorial ,eight -part essay
毛衣,sweater,speaker,sweeten,water
杂色,varied,extracurricular,nationalized,more or less open
不履行,default,fault,exterior,monsoon
枯萎,perish,prism,bearish,parish
疟疾,malaria,sexually transmitted disease,cholera,influenza
粘土,clay,slab,delay,say
结束,terminate,germinate,termite,terminal
超越,surpass,surplus,convenient for,rule
富足,affluent,affluence,effluent,fluent
加强,intensify,intensive,to accelerate,calm and orderly
一…就…,once,bone,one,fence
放牧,graze,grate,grave,grade
使留下伤疤,scar,car,score,scare
纯净,purity,rarity,purify,parity
标准,criterion,originally,public,semi-overt
委员会,council,codicil,counsel,parliament
笼罩,loom,lode,boom,roomy
错觉,illusion,illusive,collusion,allusion
格外,notably,notary,notable,but
性,gender,elder,gander,gene
理解,twig,tail,twirl,thigh
灾难,disaster,distaste,luck with the opposite sex,scourge
仔细考虑,deliberate,delineate,liberate,sport
纵容,pamper,damper,paper,hamper
降落伞,parachute,parachute,parasol,umbrella
心照不宣,tacit,tact,tract,tit
小心谨慎,cautious,captious,curious,caution
导火索,fuse,fume,lute,pause
企(事)业单位,enterprise,treatise,phenomenon,knit
占用(时间),engage,engaged,enrage,engrave
完成,perform,reform,deform,perforce
脾气,temper,ember,dumper,teaser
过量,plethora,generally speaking,excel,too old
情况,shape,spare,sharpen,safe
放大,magnify,dignify,signify,to cut over
起义,uprising,insurrection,flatten,is or isn't
轴,axis,air,exit,ixia
混乱,muddle,meddle,fuddle,cuddle
兆吨,megaton,sherry,hobo,creative
(使)增长,swell,smell,skill,shell
法规,legislation,law enforcement,decree,unequal treaty
残干,snag,spa,seat,sing
连续,sequence,sentence,frequent,over and over
接近,verge,verse,venue,merge
相似,resemblance,close to,solemn,except slight differences
供认,confess,confer,contest,congress
(洪水)淹没,overwhelm,aorta,hostile,gentry
史前,prehistoric,this age,beginning of an era,contemporary
海底生物,submarine,summarize,derivation,humorous
涌出,overflow,spring up,to come out one after the other,to reappear
表示法,notation,oration,ovation,nutation
人文,cultural,guttural,culture,indicator
社会学,sociology,theological,botany,architectural
摘要,abstract,obstruct,distract,attract
整齐,trim,cram,true,brig
轮廓,outline,outlive,outside,routine
碗橱,buffet,buffer,bucket,bullet
枢轴,pivot,pint,pilot,riot
(使)旋转,spin,spew,slink,spend
造币厂,mint,tiny,mitt,mink
放,set,sear,stet,feat
使沮丧,depress,repress,oppress,redress
包裹,bundle,bungle,bubble,curdle
（柱石或雕像的）基座,pedestal,mince,shy,lard
转变,shift,short,shirt,shit
谣言,rumour,tumour,humour,armour
活动,mobile,docile,gobble,mobilize
对…起诉,prosecute,persecute,prosecutor,accuse
破坏性的,devastating,landholder,bluff,pedlar
偶然听到,overhear,overseas,overhead,overseer
放电,discharge,work-study program,written examination,field work
显示,display,dismay,displace,splay
不知道,ignorance,ignorant,downright,startle
分心的事物,distraction,to go sight-seeing,art exhibition,guess
亵渎,violate,viola,isolate,vibrate
苦差事,drudgery,dredger,drudge,mobile
远足,excursion,incursion,exclusion,expulsion
寻找,quest,quilt,guest,chest
矮子,dwarf,dark,ward,scarf
倾向,inclination,trusted aide,half-believe, half-doubt,endure
威严,dignity,dignify,divinity,dignitary
酿造物,brew,brow,grey,row
仅仅,solely,purely,all,and even
原型,prototype,fresco,naked,sunstroke
紧凑,coherent,cohere,adherent,inherent
修辞学,rhetoric,military science,architectural,statistics
勇士,warrior,barrier,carrier,Wusong, name of a person, a hero in Shui Hu Zhuan
血浆,plasma,foam,syrup,juice
区别,differentiate,decide,to distinguish,to know what's what
邻近,adjacent,adjoin,block the traffic,close in on
织,weave,wane,leave,weaver
弄皱,crumple,rumple,scruple,crumble
细胞,cell,call,sell,bell
文凭,diploma,diplomacy,relations,check
积累,accumulate,transfer money from|into an account,to settle accounts,waste
常到,haunt,taut,hut,vaunt
同辈,peer,peel,deer,poser
相互关系,correlation,punitive,direction,limitations
假的,phony,faking a modern object as an ancient one,set up a stall,make up
潜伏,lurk,lark,lore,aura
破坏性的,destructive,howl,frighten,nourish
收获(庄稼),reap,real,neap,heap
航海,marine,latrine,machine,mine
)占有物,possession,possessive,obsession,real estate
赞成,affirmative,to consent,believe,tie a knot
虐待,maltreat,pay,to receive,deal with
出汗,perspire,respire,to have sex,wet dream
使着迷,fascinate,magistrate,readout,bullet
协作,collaborate,to issue,fully displaying one's capabilities,grope
无论什么,whatever,whenever,whatsoever,whoever
跌倒,stumble,tumble,grumble,stubble
忠实,faith,oath,fit,fairy
基本,primary,primate,primacy,primarily
分数,fraction,friction,traction,exaction
惰性,inert,inlet,infest,ingot
故障,fault,malt,vault,fast
后面,latter,tatter,gather,plaster
马勒,curb,curly,aura,cur
除去,eliminate,only,not only,no
挤,squeeze,sneeze,slate,sportive
奖学金,scholarship,allocate funds,cost,deposit
切,cut,at,court,cod
堤岸,embankment,name of a place, Gezhouba Dam on the Changjiang River, in Sichuan,snare,channels
增大,increase,incense,decrease,crease
几乎,practically,left and right,indirect,at all
嘲弄,tease,toast,lease,ease
复杂,sophisticated,minute,inseparably close,simple
使明晰,clarify,classify,charity,clarity
眼泪,tear,leak,beam,wear
板条,plank,plant,slant,flank
宴会,banquet,bouquet,barque,parquet
多种,multifarious,seventh,a little,sixth
礼节,ceremony,hegemony,custom,ceremony
使震惊,shock,shout,stocky,showy
同中心的,concentric,resign,planet,taxi
良心,conscience,feeling,privacy,grief
纤细,nicety,nicely,ninety,nice
高度,altitude,aptitude,attitude,latitude
精神病,neurosis,neurotic,incurable disease,epidemic
极度,utmost,inmost,almost,most
这边,hither,wither,either,hitherto
火焰,blaze,brake,blazer,haze
断言,allege,allude,alley,college
巨大,mighty,almighty,might,fight
试图,endeavor,conspiracy,to satisfy,to plan
矿石,ore,quartz,cryolite,dolomite
颠倒(的),reverse,revere,revenge,perverse
困惑,perplexity,sag,intelligent,to be used to
对照,contrast,contralto,contract,contest
压迫,oppress,press,depress,express
申请者,applicant,supplicant,excess personnel,team companion
听得见的,audible,laudable,edible,auricle
计算器,calculator,calculate,detector,charger
香的,spicy,interesting,deep,peace
碘,iodine,dine,cosine,medicine
荒废,derelict,keep silent about major charges while admitting minor ones,to concentrate one's efforts,to goof off
使适应,adapt,dart,inapt,adept
强调,emphasize,emphasis,announce a victory,report  to the police
花岗岩,granite,grange,grate,graphite
苦涩,saline,saliva,salient,alike
香客,pilgrim,great master,elder,Muslim
确信,conviction,convection,nonfiction,connection
文献学,bibliography,might,secretive,headman
吟唱,chant,block letters,to write,read extensively
压缩,compress,comprise,cypress,empress
破裂,fracture,feature,rapture,to be independent
沉思,ponder,porter,pander,powder
散布,diffuse,disuse,infuse,suffuse
充当裁判,adjudicate,reach a conclusion,put  to trial,begin a  court session
(专家)鉴定,opinion,option,pinion,onion
插话,intervene,intercede,interfere,pour
成熟,ripen,wipe,ripe,aspen
没精打采,languid,languor,languish,aroused to indignation
无所不在,ubiquitous,iniquitous,gallivant,lineage
缓慢行进,jog,hog,fogy,log
关节炎,arthritis,leukemia,unmentionable disease,albinism
行动迟钝,sluggish,adult,speed is precious in war,rapid
机智,wit,jet,twit,min
冷嘲,ironic,frolic,tropic,sonic
实施,enforce,force,perforce,encore
保护伤口的软布,lint,min,line,sin
说服,persuade,pervade,tame,fight
赋予,endow,envoy,now,enjoy
业余爱好者,amateur,commandant,dwell,incentive
恐惧症,phobia,love,striker,nadir
大学生,undergraduate,student studying abroad,university and high school students,graduate 
岛,isle,one,overhang,smell
声望,prestige,presage,vestige,preside
蒸馏,distill,cover with gold leaf,to purify,distill
铸成品,casting,stroke ,to cover,package
令人敬畏,awesome,not enough,nasty,be unpopular
丰硕,bumper,jumper,hamper,super
刑事,criminal,critical,original,on the market
向…挑战,challenge,agate,opposite,deportment
轻微,slight,sight,sleigh,weight
免疫,immune,imbue,impure,impute
铲,shovel,hovel,shore,hotel
在前,preceding,precedent,to keep,heat preservation
扣除,deduct,deduce,seduce,abduct
询问,enquiry,inquiry,enquire,inquire
危机(关头),crisis,crass,cross,crisp
极大痛苦,anguish,languish,English,vanquish
移植,transplant,sow seeds,to plant,to cultivate
随意,random,condom,ransom,by fair means or foul
复试,retrial,metrical,aerial,retail
聚集,congregate,to gather together,leave without saying good-bye,crumble
熏猪肉,bacon,beacon,baboon,basin
琥珀色,amber,ampere,hamper,rambler
可行,feasible,sensible,obscurity,legal
嘲弄文章,parody,parade,prosy,tardy
礼堂,auditorium,laboratory,workshop,lobby
明确说出,specification,howl,quagmire,homonym
零售,retail,rental,detail,regal
使缓和,moderate,tolerate,modulate,macerate
牙科医生,dentist,enlist,demist,detest
宗教仪式,ritual,vital,virtual,actual
统计(数字、资料),statistics,statistic,yawn,pulverize
)工具,implement,complement,inclement,receptacle
混乱,turbulent,purulent,oversensitive,impoverished
纯朴,ingenuous,ingenious,cruel,harsh
费力地前进,plough,laugh,slough,pouch
困境,dilemma,underworld,plight,details of a case
大吃大喝,feast,beast,pest,react
腐蚀,erode,crude,evoke,grope
迷住,obsession,possession,session,be forced to do something desperate
海滨,beach,react,blah,heath
地点,locality,localize,morality,totality
候选人,candidate,voter,servant,protester
使能够用,enable,table,tenable,noble
杏仁,almond,a species of apple which is slightly sour and astringent,blighted grain,cattle
胡萝卜,carrot,parrot,cargo,garret
引人入胜的节目,spectacular,damnation,relative,shunt
刻,carve,cure,rave,ware
（能说）两种语言的,bilingual,trilingual,ninety,bombastic
调查表,questionnaire,a literary work,school timetable,schedule
懒散,lax,plan,lay,tax
哄诱,coax,loaf,cos,hoax
方式,mode,cope,horde,mote
鉴定,checkup,check,checkout,track down 
相互依赖,interdependent,express sympathy, greetings, consolation, etc.,consolation,to assist
南极洲,antarctic,Dunhuang,Malacca,east and west, sount and north
贫穷（,penury,plenary,tenure,sentry
统一,unify,union,unity,sniff
避乱所,harbour,parlour,arbour,ardour
著名人士,celebrity,celerity,celebrate,Columbus
以…为条件,provided,only,apart from this,owing to
(男子)漂亮的,handsome,essay,chromium,slime
可信赖的,trustworthy,gumboot,cavil,jiggle
广阔,spacious,specious,rapacious,gracious
相识的人,acquaintance,accost,seamy,galley
花,bloom,blood,brood,boom
(为特殊用途的)全套装备,outfit,outwit,unfit,outbid
调换,exchange,change,to withdraw or modify one's previous remark,to exchange
升起,hoist,hiss,joist,toast
坚定,steadfast,weak,intelligent,be law-abiding
限定词,definitive,definition,definite,infinitive
破旧,dilapidated,vanity,beautiful,imposing
支撑,sustain,abstain,stain,dustbin
勘探,exploration,issue,reconnaissance,take readings
开始,onset,inlet,unseat,insect
实现,accomplish,accomplice,successfully accomplished,finalize a manuscript, text, etc.
纠缠,pester,jester,better,poser
关于,regarding,in conformity with,until,so as to
未受损的,intact,infect,inapt,enact
逸出正轨,deviance,fault,misunderstanding,duration
控告,sue,spud,tune,smut
懒洋洋地坐或卧,loll,lull,soil,coal
三月,march,marsh,mart,arch
拍卖,auction,faction,function,sanction
赞成,approval,approve,be suspicious and jealous of,to agree
占优势的,predominant,apoplexy,remission,wane
方法学,methodology,romanticism,agnosticism,middle school
中止,interrupt,intercept,to stop pain,adjourn
逗人喜爱,cute,acute,sure,gate
天线,antenna,mast,special-purpose phone line or communications link,walkie-talkie
欺骗,defraud,defray,fraud,to fool
大陆间的,intercontinental,to take care,within the  party,within  borders
散播,strew,strap,stew,straw
侦察,detect,defect,erect,detest
挂号邮寄,register,registrar,registry,halfway
(,facility,fatality,faculty,ability
使结合,bond,fond,boll,sod
仓库,warehouse,database,power plant,nuclear arsenal
要点,gist,gift,list,mast
出纳员,cashier,carrier,cashmere,washer
孤独,desolate,decorate,resolute,isolate
草地,meadow,shadow,endow,mead
仿造,imitate,imitator,initiate,militate
(全体)一致的,unanimous,backup,mural,emission
催眠药,narcotic,arctic,agog,snigger
传教,preach,reach,retch,breach
怪物,freak,streak,leak,frank
毛巾,towel,bowel,fowl,tower
迎合,cater,eager,charter,cider
器具,apparatus,browser ,vessel,textile
分离,separate,separable,assemble,leave without saying good-bye
逗留,linger,liner,longer,singer
化妆小粉盒,compact,combat,company,impact
花,blossom,bosom,bloom,uterine bleeding
军火,ammunition,admonition,munition,biological weapon 
有男子气,virile,viral,visible,circle
)官方,authority,authorize,rash,swelling of the liver
装货于,freight,fright,weight,fight
(船)停泊,berth,booth,dearth,berry
可怕,dreadful,shortage,pitiful,touching
结果,consequence,lame,to have the ears of grain come up,stammer
使不育,sterilize,sterile,stabilize,mend
制药,pharmaceutical,inhibit,divorce oneself from the masses and from reality and act blindly,to duplicate
结盟,federation,moderation,generation,judgment
漏,leak,eat,peak,hear
圆屋顶,dome,tome,more,dye
值得干的,worthwhile,bandwagon,mate,throat
(常指学术团体的)会员资格,fellowship,disarm,lake,mangle
理解力强,keen,lean,ken,seek
最多,most,fast,mount,moat
市民,civilian,civility,civilize,ethnic Chinese
蛋白质,protein,protect,proton,protege
球,global,local,gloat,goal
徽章,badge,bake,gauge,barge
提高,boost,moot,foist,loose
开发,tap,tact,lap,thaw
使<汽车>小型化,downsize,rampant,kosher,affluence
坚忍不拔,tenacious,mendacious,veracious,be ineffective
涌出,gush,use,push,rush
破产者,bankrupt,bankruptcy,immodest,pennant
全等,congruent,reparable,john,negotiate
肘,elbow,bow,slow,yellow
测定,determination,expressly stipulated ,originally planned,specified 
混淆,confuse,confess,contuse,consume
诗集,anthology,mythology,astrology,pathology
向后,backward,backyard,backwards,backwash
实体,entity,density,enmity,entitle
断言,affirm,affix,firm,infirm
骇人,macabre,vacant,auction,mutineer
巨大,immense,incense,immerse,immune
马尼拉,manila,Tokyo,Shijiazhuang,Budapest
爱寻衅的,aggressive,aggression,deprive,caper
走廊,aisle,file,angle,able
结合,fusion,effusion,vision,cushion
(无记名投票)选举,ballot,allow,ballet,hallo
小册子,brochure,procure,collection,a rubbing from a stone inscription
热带,tropical,topical,tropic,typical
彻底检查,overhaul,overhang,overall,restoration
(使)达到高潮或顶点,climax,climb,climate,glade
粘的,glutinous,mutinous,luminous,firebrand
审问,interrogate,subpoena,reexamine ,to hear 
珍贵,precious,specious,precocious,previous
非公认的,unofficial,official,shepherd,nasal
使斜靠,recline,decline,incline,feline
使受危险,jeopardise,tense,danger,having experienced the hard ship of life
平庸,mediocre,terse and forceful,persistent,incorrigible
争论,dispute,dilute,depute,disrepute
领土,domain,domino,drain,woman
能实行的,practicable,sidle,doggerel,November
阳台,balcony,falcon,bacon,piazza
体贴,thoughtful,tolerant,an understanding,careful
平淡,routine,route,outline,laughable
救济,relieve,reprieve,believe,retrieve
轰隆响,thunder,hunger,founder,tender
取消,undo,onto,undue,end
正义,righteous,honest,just and fair,democracy
愉快,genial,denial,venial,menial
空间,spatial,statical,partial,special
致命,fatal,foal,vital,final
装载过多,surcharge,transmission,encircle,intersect
锌,zinc,jinx,since,wince
(一个选区中的)选民,constituent,upstart,globular,unerring
离心,centrifugal,snatch,subversion,renegade
赔偿,amends,atonement,mortgage,compensation
易于…的,prone,drone,prose,propel
『化学』过氧化物,peroxide,provide,depot,infant
(使)寒冷,chill,chime,coil,child
不平等,odds,odd,onus,ode
关税,tariff,thrift,tiff,tariff
引导,conduct,conduit,convict,consult
切开,slit,shit,wit,split
烹饪,cuisine,boil for a short time,fry,warm
香(气)味,perfume,perfumer,permute,perjure
阻碍,hinder,thinker,cinder,wander
恢复,recover,recovery,cover,uncover
接近,access,success,cress,chess
大量,massive,passive,massage,missive
技术员,technician,technical,psychologist,banker
促使,prompt,pomp,prop,promote
见证,testimony,eyewitness,defendant,mediator
神话,mythology,pathology,anthology,fable
假名,pseudonym,a vowel followed by a nasal consonant,all along,choose
外行,lay,tap,lap,lag
荷尔蒙,hormone,harmony,growth hormone,leucocyte
小子弹,pellet,pallet,billet,pulley
(马)用后腿站立,rear,weak,rap,beam
前,priority,probity,one by one,unlimited
文摘,digest,divest,digit,divert
鼓动,agitation,citation,animation,habitation
最好,best,bear,many,even more
无能,inept,infect,inert,ingot
传动装置,transmission,momentous,chronicle,confuse
皱纹,wrinkle,crinkle,twinkle,sprinkle
(使)循环,circulate,circular,calculate,bedraggle
葡萄园,vineyard,vinegar,vineyard,Garden of Eden
悬崖,precipice,Fragrance Hill ,foot of a mountain,hilltop
嵌板,panel,pane,vane,penal
拒绝,repel,ravel,ripe,reel
酒,liquor,liquid,liqueur,preset
细菌,bacterium,antibody,bedbug,white ant
侵蚀,corrode,comrade,to prevent,harmful
听众,audience,ambience,listeners,tenant
磁性,magnetic,magnetism,magnet,magnetize
假装,simulate,stimulate,emulate,stipulate
恐吓,intimidate,intimate,dun,enforcement
发酵,fermentation,side effect,to verify,use
使繁殖,multiply,multiple,spume,trifle
苗圃,nursery,surgery,cursory,bursary
诱人的、有魅力的,seductive,selective,seduction,sedative
剧烈,acute,brute,saute,cute
药剂师,pharmacist,engineer,pianist,critic
从…得益,profit,profile,prefix,prompt
过肥,gross,ghost,cross,truss
学科,faculty,faulty,fault,acuity
欺骗,fraud,afraid,fray,laud
判刑,condemn,condom,concern,public trial 
拳,fist,hint,dint,fiat
发光,luminous,ominous,voluminous,mutinous
毛毯,rug,rag,rub,jig
猎狗,hound,pekingese,wildcat,hare
分类,classify,clarify,classy,classic
(英)地铁,tube,tide,lure,pub
歇斯底里,hysterical,hysteria,historical,hysterics
爱国主义,patriotism,patriotic,political,communism
大灾难,catastrophe,scourge,luck with the opposite sex,blessed
打圈,loop,loot,loud,leap
机灵,ingenuity,show no understanding of the times,wise and farsighted,bright
极肥胖的,obese,these,abuse,obey
霜,frost,dross,fresh,froth
让步,concession,confession,concussion,conversion
人物,figure,fixture,future,figured
不管怎样说,anyhow,anchor,side,sly
注册,enrolment,schedule in advance,report for duty,enter oneself for an examination
成为,come,nose,tome,coma
冲洗,flush,rush,flesh,blush
语言,tongue,tinge,tone,torque
婚姻生活,matrimony,homosexual ,be engaged ,marriage
（爱情或友谊上）易变的,fickle,sickle,pickle,file
净化,detergent,emergent,deterrent,tidy
航海(飞行)日志,log,blow,go,jog
失业救济金,dole,fore,duke,loll
最初,initial,initiate,inimical,instil
适度,modest,most,mode,modesty
纱线,yarn,vary,corn,pawn
商业,mercantile,the world of business,baron,mining industry
估价,assess,assert,access,assent
专卖流行衣服的小商店,boutique,sleek,counsel,undercut
驱逐,expel,easel,excel,expect
阻塞,choke,shoe,chore,cloze
复数,plural,rural,mural,aural
摔交,wrestle,gristle,wrestler,trestle
鸭嘴兽,platypus,dinosaur,weasel,bat
咽喉,throat,threat,throaty,thrift
不变的事物,constant,consultant,consonant,constancy
长途艰苦的旅行,trek,task,tree,tack
使感光,expose,explode,explore,excuse
英国货币,sterling,starling,seedling,string
发生(率),incidence,accidence,incident,dimension
消化,digestion,catch cold,to have diarrhea,analgesic
锈,rust,bust,lust,just
塑像,statue,skate,statute,spate
媒体,media,menial,merit,medium
不重要的,petty,putty,batty,potty
代理(权),agency,urgency,agenda,agony
有弹力的,resilient,awfully,to the satisfaction of everyone,jubilation
看守人,warden,wader,garden,harden
得得声,clatter,lather,flatter,latter
砰地关上,slam,sham,clam,lay
首席,chief,chirp,chef,thief
公司,corporate,cooperate,corporal,chicken farm
鼓掌欢迎,applaud,applause,outnumber,August
(美)糖果,candy,hardy,candid,cant
变体,variant,warrant,valiant,vagrant
值得,merit,eerie,remit,beret
(妄想等)迷住,obsess,assess,possess,obese
神志清楚,sane,sad,daze,dine
获得,obtain,retain,brain,detain
