#word,meaning,option1,option2,option3
foray,袭击,抄袭,阻击,奔袭
appoint,任命,招收,备取,委任
notably,显著,隐约,合法,暧昧
shocked,震惊,惊奇,吃不来,恐惧
kennel,狗舍,世界闻名,长凳,扩大
twig,细枝,派遣,爬,类
disaster,灾难,灾害,桃花运,幸福
deliberate,深思熟虑,构想,绞尽脑汁,思维
laboriously,费力,平常,第一流,艰巨
ablaze,着火,暖和,加热,燃放
retract,缩回,陨落,剥落,滑落
gaseous,气体,氮气,短波,氧气
authorities,当局,政权,痞,单位
turquoise,绿宝石,废物,文物,宝贝
wrestling,摔跤,斗鸡,对抗赛,斗智
parachute,降落伞,扇子,阳伞,手镯
urgent,紧急,亲爱,惊人,不痛不痒
cautious,小心,赏识,无所谓,饶恕
foghorn,雾号（浓雾信号）,楼梯的一段,诞生的故乡,仅仅
fuse,熔合,英俊,将近,喜欢
politics,政治,民主党,工人党,中共
enterprise,事业,男爵,侯爵,爵士
perform,履行,颁行,后退,建设
acupuncture,针灸,扎针,防治,开刀
jurisdiction,管辖范围,建筑物,彻底,手艺
compressed,被压缩的,麻烦,单一,亲善
temper,缓和,转运,复兴,赶紧
invader,侵略者,骗子,黑客,瘪三
approximately,近似,俨然,比如,一般来说
magnify,放大,改组,蔓延,改编
axis,轴,把子,绞,担
dieter,节食者,真实,坦率,归纳
naturalist,自然主义者,完全,意识到,吸烟车(厢)
swell,（使）肿胀、膨胀,陶器,运动员,粗野
curiosity,好奇心,心目,存心,灵魂
legislation,立法,点名,定都,白手起家
sequence,序列,一行,排队,大气层
resemblance,相似,不啻,比如,接近
endowment,禀赋,才思,智力,才识
confess,坦白承认,(英、德)百亿,决赛,短裤
overwhelm,战胜,消灭,拔除,缓解
negotiation,商议,谈判,签订,让路
prehistoric,史前,现代,年代,王朝
submarine,潜水艇,巡逻艇,轰炸机,主力舰
notation,符号,编码,标号,例题
multi-faceted,多方面的,预定,新的,收取
indifference,冷漠,大方,索然,谦虚
advanced,高级,上流,合格,不赖
unimaginable,不可想象,矛,谁的,阻止
abstract,抽象,全面,严密,微妙
trim,修剪,切片,雕刻,裁剪
silicate,硅酸盐,白磷,盐,硫磺
pivot,中心点,次要,迫切,低廉
spaceship,宇宙飞船,桨,飞船,舵
nourishing,有营养的,生日,高楼,去拿来
depress,压下,短小,偌大,矮胖
predatory,食肉,咀嚼,喝,吮吸
advance,提高,改进,减弱,强化
bundle,包,手提包,钱包,簸箕
interference,干涉,推翻,参与,攻击
diagonally,成对角线,公路,发表,从…取血
shift,移动,外流,对流,潮流
mobile,可移动的,口授笔录,然而,高山
prosecute,对…起诉,拼合,岔路口,(某方面的)能手
devastating,破坏性的,国籍,处罚,公里
rare,稀有,大多数,全部,纷纷
ailment,疾病（尤指轻病、小病）,涉及,条理,便条
discharge,流出,注入,日出,投入
bowlegged,弯脚,有形,块,美丽
sapphire,蓝宝石,破烂,财宝,文物
tempting,诱惑人的,把…的插头插上,无论什么,奖杯
display,显示,意味着,可见,来自
ignorance,无知,半路出家,博雅,无能
drudgery,苦工,动作,家事,举动
subsistence,生存,不讳,产卵,孵化
excursion,远足,跋涉,远征,对开
quest,寻找,盯住,避暑,埋伏
dwarf,把…显得矮小,旅馆,微笑,感谢
dilution,稀释,淘汰,减肥,上升
indefinitely,不确定地,圈套,向)这里,车辆
imagery,（艺术、文学）肖像,病痛,半身像,画像
inclination,嗜好,趣味,兴致,意思
dignity,尊严,哀鸿遍野,紧张,缓和
spot,地点,百慕大,东亚,马六甲
shipload,船货,防止,奴隶身份,内心
solely,独自,互动,步步,各个
prototype,原型,和…不同,打算,出现
coherent,连贯,满足,并行不悖,存在
utter,做声,出口,赘述,倾倒
vitality,活力,财力,量力,半劳动力
rhetoric,修辞,载重汽车,立场,预定
atmosphere,（某地的）空气,阶梯教室,拇指,受宠的人
divergent,有分歧的,(眼睛的)瞳孔,凉的,演讲
warrior,战士,伪军,兵家,军士
plasma,血浆,涟漪,浪头,泡沫
rudimentary,基本,贵重,其次,不痛不痒
profoundly,深深,有意思,和平,暴风骤雨
differentiate,区分,鉴别,比照,断定
adjacent,毗连,逼近,靠近,堵车
locomote,移动,外流,潮流,对流
weave,编织,漂白,印刷,打印
hide,隐藏,躲避,避嫌,寻觅
crumple,把…弄皱,可怜,推选,南方
unfortunately,不幸,暴发,避坑落井,发迹
cell,电池,核子,韧带,神经
monarch,君主,女皇,承包人,董事
gorilla,大猩猩,猿猴,麋鹿,猴子
horned,有角,全部,小费,年少者
accumulate,积累,结帐,转帐,花费
haunt,常去的地方,提供,按,六十个(人或物)
peer,同辈,同时,同步,差不多
soldier,军人,伪军,大将,参谋长
pestilential,引起瘟疫,键盘,修补,命令
destructive,破坏,崩裂,堕入,断裂
optimal,最佳,及格,艰巨,中间
regimentation,团队精神,校订者,发式,宽容
reap,收割,捕鱼,打猎,施肥
symmetrical,对称,适应,巧合,配合
photosynthesis,光合作用,反应,名气,名望
marine,海产,航行,巡弋,飞行
possession,财产,买价,定价,不变价格
perspire,出汗,癃,梦遗,便血
electron,电子,量子,变温动物,离子
fascinate,使着迷,想睡,大群,事态发展
congressman,国会议员,使适应(特定需要),早(期)的,保护
angular,有角,(行政)部,收音机,端庄
collaborate,协作,摸索,做出,大显身手
confederate,同盟者,同学,游伴,一起
vaccinate,进行预防接种,当间谍,蛙,蔓延
boredom,烦恼,赌气,迁怒,悲天悯人
crosscut,横切,冲刷,过程,葱葱
stumble,绊倒,栽跟头,发抖,弯腰
primary,第一位的,敝,基本,高贵
fraction,小部分,稀少,不乏,多种多样
sustained,持续不变,国家,完全,重
accomplished,精通,得知,相识,认识
fender,防卫物,令人不快,奶油,医学
utilization,利用,用法,判断,挪用
inert,不活泼的,判断力,产生,本
fault,过错,误会,过失,故障
eliminate,排除,消灭,横扫,速决
squeeze,挤进,厚的,愿意,板
scholarship,奖学金,拨款,家用,费用
rugged,高低不平,圆周,四方,崎岖
telecommuter,（通过在线方式）远距离工作者,教友,脉冲,同事
perch,（使）栖息,量,(动词)不定式,很好
practically,几乎,还是,正好,仍旧
sophisticated,(事物)复杂的,细微的迹象,仍然,确实
clarify,澄清,画蛇添足,违章,失误
taint,污点,收获,耻辱,成就
plank,厚木板,问,每人,令人吃惊
three-dimensional,三维,岗位,东面,四方
strings,弦乐器,钢琴,长笛,竖琴
ceremony,典礼,婚礼,伊斯兰教,佛教
tribal,部落,商队,委员会,同盟
complementary,补充,补遗,加宽,升值
shock,震动,影响,动摇,感染
concentric,同心,崩溃,合并,未婚
maverick,特立独行,爱面子,不耐烦,不亢不卑
conscience,良心,隐私,知觉,好奇心
altitude,高度,急剧,沉重,和平
craftspeople,手工艺人,在...附近,向北,正规
blaze,火焰,火,微波,波峰
assessment,估价,臆测,推理,预料
mighty,强大,微不足道,伟人,粗劣
endeavor,努力,不测,大致,痛快
aggregation,集合,久违,团聚,握别
ore,矿石,页岩,伟晶岩,板岩
interactive,交互式的,保存,管子,叔父
reverse,相反,不如,怎么样,本来
mannerism,特殊习惯,例行,不对,幽默
contrast,对比,展望,识货,可比
applicant,申请人,队友,爪子,共产党员
investigation,调查,追查,侦探,禁止
negate,否定,公认,狡赖,打听
postmaster,邮局局长,我自己,贵重,你自己
overburden,负担过多,荫,交流(思想等),卵
subduct,减去,裁员,补发,补遗
audible,听得见的,范例,组织者,(小山)山腰
calculator,计算器,设施,消防栓,警报器
intricately,杂乱,清爽,嗷嗷待哺,不便
woolly,多毛,土壤,发型,矫正
nowadays,现今,今晨,有生以来,往常
hypothesize,假设,看来,由于,因为
burdensome,繁重,神秘,第一流,深奥
adapt,改编,变调,转向,蔓延
customs,海关,军委,政治局,办事处
subsequently,随后,终于,正在,即将
emphasize,强调,晓示,重申,誓死
granite,花岗岩,化石,碎石,鹅卵石
saline,含盐,宝贵,用化学方法得到的,话
recoil,弹回,聚会,真实,战舰
conviction,坚信,相信,不服,半信半疑
thorny,多刺,根,雪,多采多姿
compress,压缩,补发,淘汰,补票
adventurer,冒险家,大家,研究者,老资格
fracture,破裂,存放,断裂,断开
diffuse,散播,传说,谣传,传输
readjust,重新调整,许多,正确,应用
admiration,钦佩,自尊,向往,抱怨
ripen,（使）成熟,水平,每,发出臭气
breathing,呼吸,打呼,发音,吸气
crossing,横越,洞穴,路口,断口
fertilizer,肥料,油饼,搪瓷,化肥
jog,慢跑,奔腾,踏上,蹦蹦跳跳
urbanize,使都市化,栏杆,用栅栏…围起来,咖啡
arthritis,关节炎,流行病,病灶,肝炎
sluggish,行动迟缓,(与基数词连用)百分之...的,到处,领导
sap,使衰竭,遮光,欣赏,封
bowl,碗,拨号盘,高脚杯,簋
wit,智力,胆子,哲,先见之明
ironic,讽刺,非议,丑化,争议
flea,跳蚤,细菌,壁虱,兵蚁
hostility,敌意,本意,心情,绪
persuade,（使）相信,打伤,妥协,斡旋
endow,赋予,促成,寄予,加以
amateur,业余,国产,课余,民用
insufficient,不足,现存,缺乏,多余
undergraduate,(尚未取得学位的)大学生,处罚,波动,百年
stocky,(人或动物)矮而结实的,高昂,细嫩,老
prestige,威望,众望,名望,声誉
distill,蒸馏,镀银,纺织,提炼
casting,铸件,物件,备件,软硬件
jewel,宝石,文物,废物,秕糠
threaten,威胁,引入,勉强,强制
touching,动人,无穷,丰富,广博
acumen,敏锐,愚笨,明智,糊涂
spine,刺,倾倒,散步,穿透
disintegrate,（使）分解,保姆,(下巴上的)胡须,街区(四条街中间的区域)
organically,有组织地,内科,家庭作业,练习
lethargic,昏睡,筹集,睡觉,喘气
perseverance,坚定不移,英勇,精明,百炼成钢
slight,微小,虚弱,深厚,尖锐
immune,（对…）免疫的,发表,钟形物,不是
conversation,会话,诉说,倾倒,多嘴
exacting,苛求,要求,向往,追逐
galvanize,刺激,寄予,堵塞,妨碍
eventful,意义重大,(用在所有格后面,分离,局
sidestep,横跨一步躲闪,惊呼,历史,有投票权者
consciously,有意识地,忏悔,擅长,不能
commonsense,具有常识,认真,便宜,看法
orchid,兰花,牡丹,花儿,莲花
preceding,在前,处于,刊登,保温
transplant,移植,播种,栽种,栽培
newsstand,报摊,恭喜,调配,妨碍
congregate,聚集,告别,久违,分离
silly,傻的,片断,狂暴,目前
cancellation,取消,命名,标新立异,免除
blanket,厚的遮盖物,传入,(定期在某地举行的)音乐、戏剧节等,更远
feasible,切实可行,流利,纯正,百无一失
auditorium,大礼堂,衣帽间,车厢,工作室
specification,规格,状语,格言,表语
intoxication,陶醉,安土重迁,习惯,入迷
retail,零售,处理,发行,售货
moderate,使缓和,字母,跟随,展现
dentist,牙科医生,当时,疾驰而过,结果
carnivorous,食肉,喝,咀嚼,吞食
ritual,典礼,天主教,基督教,婚礼
statistics,统计学,课程,科技,科研
fused,熔合在一起的,(复数)神气,独身,轻叩
implement,工具,茶具,唱片,样机
attachment,依恋,一心一意,困惑,好看
brighten,点亮,失败,背诵,克(重量单位)
turbulent,吵闹,争吵,顶撞,动武
dilemma,困境,现状,地狱,境界
erode,腐蚀,侵犯,破坏,帮倒忙
obsession,固执的念头,准,令人满意,男性或女性
locality,位置,空缺,国务委员,古风
significance,重要性,辅助,难得,低廉
genre,文学上的流派和体裁,使混淆,(章节、段落等的)标题,嚼烟
candidate,候选人,仆人,选民,奴隶
melodic,有旋律的,到处,厘米,政客
delay,推迟,安定,起伏,提前
spectacular,引人入胜,可怕,丰富,迷人
carve,雕刻,速写,雕塑,绘制
horn,（牛羊等的）角,生客,顶点,玻璃杯
questionnaire,调查表,名著,课表,作品
animated,活泼,乐观,自然,俨然
coax,哄诱,块,(花瓶、茶杯的)衬垫,第三十
checkup,身体检查,底部,晚的,病历
interdependent,相互依赖,捐助,慰问,帮忙
multicellular,多细胞的,只...),用管道输送,比如说
affective,感情,遥感,直觉,知觉
nutritional,营养,氨基,因素,补语
ration,定量,复数,平方,差额
acronym,首字母缩写词,凶手,计划,家乡
unify,统一,三位一体,久违,众志成城
incorporation,结合,鼎立,互通,隔离
mallet,槌棒,勘探者,正餐,花费
celebrity,名人,李时珍,要人,道格拉斯
alignment,联合,并立,并行,只好
attainment,成就,召开,推广,颁行
unquestioning,不加疑问,要求,完全,贫困
trustworthy,可信赖的,大量,闪光灯,肩
spacious,广大,详细,对称性,协调
acquaintance,相识,误会,理会,百听不厌
bloom,花,跛足,口吃,发芽
functional,有用,不法,隐约,不明
outfit,服装,西装,大衣,长袍
exchange,兑换,借款,兑付,分配
steadfast,坚定,不修边幅,安分,强悍
definitive,决定性的,结局,起始,经历
sustain,支撑,留下,陷入,遗留
exploration,勘察,测量,勘探,监测
onset,（病）发作,争论,急于(得到的),有价值的
accomplish,实现,期满,迟误,大功告成
intact,尚未被人碰到的,光秃秃,饱和,零落
sue,提出诉讼,保佑,栽赃,弹劾
sect,宗派,联合国,右翼,帮会
march,前进,昂首阔步,振兴,殿后
approval,赞成,信仰,信任,嫌疑
predominant,支配,遏制,有益,不可逾越
methodology,方法论,浪漫主义,学术,马克思主义
interrupt,打断,通风,堵车,附着
fanaticism,狂热,瘫痪,流血,发狂
sentence,宣判,惩戒,审理,拷问
needy,贫穷,不方便,蓬松,动手
vastness,巨大,险峻,稳健,轻微
rigidity,刚性,阴性,全国性,非盈利
detect,察觉,熟悉,忘记,明了
register,登记,报到,定时,备案
scarce,罕见,对偶,区区,纷纷
facility,设施,变压器,陶器,瓷器
bond,化学键,野外,预兆,财富
warehouse,仓库,矿井,资料库,核电站
iceberg,冰山,和风,暴风,冰柱
desolate,荒凉,宁静,寂寞,繁忙
frightening,令人恐惧,劳力,加,把…装入袋中
imitate,仿效,旁听,主修,留学
unanimous,全体意见一致的,记成绩,使人高兴的东西(或人),环
defrost,解冻,腐败,溶化,冰冻
juxtaposition,并列,渗漏,将近,短路
narcotic,麻醉剂,中药,药丸,药剂
preach,鼓吹,撒谎,对证,夸耀
anomaly,异常的人或物,彩色,可悲,分币
cater,满足需要,包庇,趋奉,买好
supervision,监督,巡查,点名,督促
linger,徘徊,鞭长莫及,不得已,如饥似渴
cone,圆锥,队形,三角形,多角形
compact,使密集,查禁,人文科学,筷子(常用复数)
blossom,花,结果,发芽,跛足
authority,权威人士,和谐,体重,议案
freight,货物,软硬件,百货,元件
excessive,过多,四方,圆周,多糖
dreadful,可怕,动人,可笑,缺乏
catalyze,激励,促进,妨碍,限制
consequence,结果,吐穗,凋零,开放
hasten,加速,起伏,巩固,提前
leak,泄露,损失,盈余,经济
eye-catching,引人注目,隐约,明文,有用
precipitation,仓促,舒服,寂寞,荒凉
keen,（感觉、观察、理解等）敏锐的,迟到,半夜三更,暮
patronizing,俨然以恩人态度的,血,讲话,大声
civilian,平民,人群,每人,人类
protein,蛋白质,硫磺,烃,水晶
packaging,包装,装入,卷曲,捋
global,全球性的,同事,生存,全人类
boost,促进,妨碍,拔苗助长,堵塞
tap,开发,缴纳,付款,补税
gush,喷涌,溢出,堆积,淹没
bankrupt,破产了的,哪(个)人的,美好,练习
merchandise,商品,杂货,硬件,元件
elbow,肘,试验,万一,处理
confuse,搞乱,一个月的时间,爸爸,七十
anthology,诗集,字典,词典,汇编
entity,存在物,跨国公司,花店,集团
affirm,证实,意味,来自,标志
immense,无边,和谐,动人,广博
aggressive,强有力的,不存在,优点,军
fusion,联合,不得不,个别,就是
horizontal,水平,典型,典范,师范
brochure,小册子,年鉴,词典,百科全书
tropical,热带,北半球,大陆,荒野
graft,嫁接,补苗,保苗,培土
fanciful,爱空想的,引诱,小的,阻止
overhaul,彻底检查,修补,自制,采制
sheltered,遮蔽,赤足,挺,笼罩
avoidance,避免,顾忌,得出,防水
unanimity,全体一致,短袜,自行车,精力
uncharted,地图上没标明的,矿井,许多,对着
prodigy,非凡之人,先见之明,智力,才智
forestall,预防,无害,顾忌,不利
reformer,改革家,创造者,研究员,药剂师
precious,宝贵,无价,重要,便宜
flavoring,调味品,豆腐乳,淀粉,豆腐皮
curious,（令人）好奇的,多样化,父亲,满足
photosensitive,感光性的,安排节目,刺激,天赋
infancy,幼年,少年,婚龄,学龄
ranch,农场,殡仪馆,磁场,股市
shy,害羞,暗送秋波,抱头痛哭,哭泣
dispute,争论,丑化,污蔑,笔战
domain,领域,地方,政界,波段
practicable,行得通的,建设性的,声明,光滑
thoughtful,体贴,饶恕,放心,谅解
routine,常规,滑稽,不可名状,可怜
stylized,风格化的,使中圈套,(学校的)操场,笼子
vibrant,活泼,随便,悲观,调皮
relieve,减轻,衰减,减刑,减肥
plow,犁,小岛而言),才,标致
undo,解开,糊,安全带,涂抹
intentionally,有意,任意,尽量,不知不觉
spinach,菠菜,蔬菜,白菜,盖菜
genial,和蔼可亲,忠实,乐观,悲观
pestilence,瘟疫,暗伤,不治之症,暴病
fatal,致命,有意思,气势汹汹,定型
surcharge,增付的费用,文明,小费,零钱
oversecretion,分泌过多,算术,医药,如山一般
constituent,选民,前辈,参议员,众议员
prone,倾向于…,懂,解释,圆珠笔
chill,寒意,恶感,直觉,好感
odds,几率,得票率,采收率,百分比
tariff,关税,税收,租金,薪水
rental,租金额,感受心情,遗迹,车胎
absolutely,绝对,实际上,不妨,情愿
