#word,meaning,option1,option2,option3
低估,underestimate,guess,assumption,to insist on
会谈,interview,protocol,to adapt to,to negotiate
软弱,softness,resolute,upright and outspoken,muddled
优等,choice,chance,chic,choose
习惯法,usage,sage,page,sag
(古人的)名言,wisdom,window,widow,object
利用太阳光的,solar,soar,sear,solid
新奇的事物,novelty,novel,poverty,lovely
刺激,sting,stink,shine,stone
失败,breakdown,to succeed,destruction,crumble
相同,uniformly,lies in,the same year,the corresponding time period 
可疑,shady,seamy,stay,sharp
缺席,default,fault,attend,to quit school
死亡,perish,relish,Jewish,prism
停止,terminate,germinate,terminal,termite
胜过,surpass,surplus,to not be,preceded only by...
喂草,graze,grace,grave,glade
瘢痕,scar,spar,cur,can
驴,ass,loss,toss,aid
尺度,criterion,makeup,adverbial adjunct,norm
无限,infinitely,excessively,the most,despite
错觉,illusion,illusive,allusion,collusion
深思熟虑,deliberate,delineate,liberate,delusion
嘶嘶声,hiss,mass,this,wise
风散种子,parachute,florist,selective,easterly
棱柱(体),prism,prim,press,poise
就职,induction,seduction,inductive,infection
小心,cautious,captious,caution,curious
保险丝,fuse,ease,muse,fare
策略,politics,politic,politick,political
艰巨的事业,enterprise,volatile,cajole,goal
使(齿轮等)啮合,engage,engaged,enrage,engine
放大,magnify,dignify,signify,to enlarge
第二颈椎,axis,taxi,arid,alms
使膨胀,swell,welt,well,sweat
法规,legislation,bound by an oath,lease,unequal treaty
序列,sequence,sentence,high level,party
界限,verge,gorge,diverge,ledge
相似,resemblance,like,close to,on the other hand
压倒,overwhelm,apparently,following,overage
变少,lessen,lessee,lesson,listen
从…中溢出,overflow,recipe,folk,lousy
沉默,hush,hub,rusk,lush
社会学,sociology,anatomy,politics,architectural
理论上的,abstract,obstruct,attract,distract
管辖,obedience,obedient,remote control,rule
概述,outline,routine,outlive,online
造币厂,mint,dint,min,hint
集(合),set,net,fat,belt
开动,start,star,stay,startle
平摊,halve,have,hale,pale
理想,ideally,preferential,brilliant,chase the wind and clutch at shadows - make groundless accusations
偶然听到,overhear,overseer,overhead,overseas
哀求,implore,explore,import,deplore
愚昧,ignorance,ignorant,arise from the dead,dabbler
侵犯,violate,vibrate,dilate,inviolate
离题,excursion,exclusion,expulsion,incursion
壁炉地面,hearth,berth,heat,hearten
寻找,quest,quilt,guest,dust
地区(性)的,geographical,revert,tune,curiosity
矮子,dwarf,dart,waif,wharf
斜坡,inclination,Honolulu,Mt. Kunlun,steep slope
尊贵,dignity,dignify,divinity,signify
原型,prototype,absent,afflict,situation
粘着,coherent,incoherent,inherent,adherent
系,tape,tie,caper,fare
法兰绒衣服,flannel,flange,channel,funnel
紧接着的,adjacent,freakish,nine,start
皮革,hide,while,bide,bite
毕业文凭,diploma,diplomacy,naughty,swear
君主,monarch,march,monarchy,name of an emperor
暴徒,gorilla,grille,grill,corolla
常去,haunt,hurt,gaunt,daunt
凝视,peer,peter,keen,veer
相互关系,correlation,debris,ambiguity,arid
破坏(性)的,destructive,guard,disadvantageous,inexpensive
物体,body,boy,joy,rosy
对称,symmetrical,fit,congenial,dramatic
电容器,capacitor,capacity,loudspeaker,diode
迷人,fascinate,not enjoy popular support,narrow,plentiful
协调,collaborate,equilibrium,plentiful,brief
给…种牛痘,vaccinate,ungrateful,playgoer,knight
罩衫,blouse,rouse,blue,louse
分馏的部分,fraction,traction,friction,faction
题名,heading,trademark,sign,in  name
利用,utilization,use in,to know what's what,to embezzle
榨取,squeeze,sneeze,exploit,smuggle
学问,scholarship,square ,scholarship,multinomial
水的,watery,watered,water,wary
(禽鸟的)栖木,perch,pert,arch,retch
强求,tease,ease,these,taste
高级,sophisticated,nasty,middle-level ,commonplace
酒席,banquet,bouquet,parquet,barque
燃烧,blaze,bane,laze,blade
查定,assessment,besides,instant,overstock
巨大,mighty,might,eighty,tight
努力,endeavor,jolly,capricious,unmanned
背面,reverse,perverse,remorse,referee
使对比,contrast,contest,contract,contralto
接着,subsequently,when all is said and done,once again,upright
花岗岩,granite,grate,grange,gravity
有利,advantageous,suppress,to contain,to harm
香客,pilgrim,a Buddhist,master,monk
深信,conviction,convection,convention,connection
破裂,fracture,feature,rapture,tear up 
沉思,ponder,pander,powder,founder
低声地讲,whisper,whither,whisker,whimper
苔藓,moss,mosey,dross,cosy
干涉,intervene,intercede,interfere,accepted 
钦佩,admiration,aspiration,adoration,want to have  overruled or changed
反应器,reactor,rector,actor,react
叙述法,narration,carnation,narrator,variation
使(马等)缓步行进,jog,joy,jug,so
傲慢,haughty,naught,naughty,draughty
有罪,guilt,guilty,quilt,guile
资助,endow,vendor,meadow,enrol
业余爱好者,amateur,oak,askance,plush
浪费,wasteful,wakeful,tasteful,wistful
印刷机,press,pest,prep,crest
珠宝,jewellery,jeweller,ring,bracelet
打火机,lighter,litter,light,lighten
声望,prestige,preside,vestige,presage
艰巨任务,challenge,neologism,commodity,narky
广大,amplitude,aptitude,unlimited,minute
铲,shovel,grovel,hovel,shore
有常识的,commonsense,infect,awn,impound
提升,promotion,promotor,proportion,probation
转折点,crisis,cross,critic,crisp
移植,transplant,to cultivate,to plant,sow
随机,random,condom,ransom,on purpose
咸猪肉,bacon,beacon,icon,baboon
(马)小跑,trot,trite,trout,iron
规格,specification,predicative,object,complement
零售,retail,entail,detain,remain
牙科医生,dentist,enlist,desist,detest
回,fro,frock,arm,from
统计,statistics,statistic,take up the pen,reasoning
贯彻,implement,complement,inclement,tarry
爱慕,attachment,detachment,attainment,not accept
把…弄直,straighten,straiten,straight,turbine
用钩连接,hook,hole,mock,boot
矢量,vector,veto,victory,sector
发生地,locality,tonality,localize,legality
穆斯林(的),Moslem,chimney,amnesia,personnel
角状物,horn,for,word,ton
草多,grassy,grass,glassy,greasy
填补,fill,full,chill,kill
调查表,questionnaire,schedule,frequency range,table
南极,antarctic,the North Pole,tropical,equator
隐匿,harbour,arbour,ardour,parlour
板极,anode,canoe,and,nose
队列,alignment,atmosphere,high level,party
广阔,spacious,rapacious,specious,sagacious
圣祠,shrine,marine,shine,strike
扯起来,hoist,moist,cost,horse
考察,exploration,policy,fry,surround
占优势的,predominant,reverent,reprisal,hasty
天线,antenna,portable radio transmitter,recording machine,directional antenna
仓库,warehouse,mine ,garage,store of arms
荒芜,desolate,resolute,deflate,decorate
(全体)一致的,unanimous,valiant,north,attache
类似,similarity,following,opposite,same
鼓吹,preach,French,breach,peace
短缺,shortage,portage,storage,hostage
迎合,cater,cavern,heater,cute
逗留,linger,ginger,singer,finger
紧密,compact,comport,compare,contact
运费,freight,fright,eight,foresight
可怕,dreadful,nasty,amiable,moving
重要(性),consequence,forefront,links,transistor
圆屋顶,dome,some,dozen,lime
伙伴关系,fellowship,dirt,useful,impeach
平民,civilian,civility,civilize,populace
给与…能量,energize,impediment,elector,beware
全球,global,local,loyal,globe
标志,badge,bridge,bilge,cadge
司库,treasurer,treasure,treasury,pie
使破产,bankrupt,bankruptcy,baulk,aground
商品,merchandise,software and hardware,groceries,software
用肘挤,elbow,mellow,flow,below
证实,affirm,infirm,affix,affair
风车,windmill,windfall,inquirer,sidetrack
抑制,bridle,bride,bundle,riddle
热带,tropical,topical,tropic,typical
不坚决,instability,shall,temporize,regional
(兴趣的)顶点,climax,climb,climate,transfix
体格上,physically,physical,grey,generous
因为,inasmuch,so,suppose,from this, it can be seen that...
(北美洲的)大牧场,ranch,racy,drench,latch
轻率,rash,rush,rake,rest
能实行的,practicable,bike,extent,snobbish
阳台,balcony,falcon,bacon,the Long Corridor at Yi He Yuan
常规,routine,route,outline,especially
模糊不清,cloudy,loud,aloud,cloud
空间,spatial,partial,statical,special
锌,zinc,kind,jinx,dint
选民,constituent,senior,school roll,member of the US House of Representatives
感到寒冷,chill,sill,chief,hilly
狭长的切口,slit,chit,fit,spit
守财奴,miser,sister,misery,user
大而重的,massive,massage,missive,passive
做买卖,trade,trader,abrade,grade
抚养,rear,regard,beat,dream
通过,sift,slot,shift,stint
优先,priority,probity,interim,No. 1
鼓动,agitation,citation,agitator,aviation
码头,wharf,chary,whack,shark
遗传,transmission,hereditary,popular,rumor
使起皱纹,wrinkle,crinkle,prickle,wriggle
(选定的)专门小组,panel,pane,paper,wane
使厌恶,repel,peel,heel,refer
拳击迷,bacterium,ravine,paraphrase,dubbin
击倒,flatten,fatten,slattern,latter
正式会见,audience,ambience,heighten,passbook
苗圃,nursery,cursory,purser,nurse
增进,further,farther,father,feather
辩论,reason,treason,season,weapon
(语言、举止)粗俗的,gross,goose,cross,dross
传令官,herald,head,emerald,heal
精通文学,literary,library,literacy,literal
发光,luminous,glutinous,voluminous,ominous
编制程序,program,programme,justice,printout
狗,hound,hound,sycophant,rabbit
机灵,ingenuity,muddled,awkward in speech,stiff
所…,what,chart,whet,cat
义愤,indignation,feel wronged and act rashly,fly into a rage,take on a mental burden
让步,concession,confession,conversion,conception
发烧,flush,plush,fuss,flash
大草原,prairie,praise,gravitational field,skating or ice rink
美丽,fair,faint,flair,fairy
飞行日志,log,jog,bog,long
使羞愧,shame,suave,shake,chase
词首,initial,inimical,initiate,instil
开…的锁,unlock,clock,bullock,flock
铁匠,blacksmith,locksmith,mason,planer
驱逐,expel,expend,lapel,excel
斗争,wrestle,rustle,wrestler,trestle
发生,incidence,accidence,incident,to erupt
器量小的,petty,party,pelt,pert
航空和宇宙航行空间,aerospace,airspace,invention,commandeer
亚洲,orient,print,mordent,torrent
得得声,clatter,slattern,shatter,platter
欢呼,applaud,applause,read aloud,yell
果核,stone,sting,stony,shoe
值得,merit,beret,meat,mere
不道德,impurity,impunity,purity,immunity
感觉,perception,deception,perceptive,exception
损坏…的形状,deform,reform,dorm,before
推测,theory,theorem,their,there
未付,unpaid,virtuous,overwork,vilify
不透气的,stuffy,stuff,snuff,stiff
使富裕,enrich,entice,rich,bandy
继承(权),succession,accession,successor,successive
侵犯,violation,avenge,be more of a hindrance than a help,corrode
家禽,poultry,paltry,poetry,sultry
新设施,innovation,intonation,invocation,transportation
尽管,notwithstanding,thus,it seems that,regardless of
强壮,masculine,weak,young,female
喷(烟等),puff,muff,buff,gaff
特派员,delegate,delete,relegate,elevate
认识到,awake,aware,away,agape
计划,scheme,shame,schema,chime
在…外,outside,outsider,outline,subside
难民,refugee,refuge,refute,refuel
元音字母,vowel,towel,model,bowel
余数,remainder,reminder,number of people,journey
减少,shorten,shore,smarten,shortly
反射(声音等),echo,ego,who,etch
聪明,apt,ado,not,aim
大气压力,pressure,presume,reassure,pleasure
使显出特色,distinguish,amenity,migration,crew
汽笛,siren,shred,spire,dire
顺从,resignation,to be contrary to,unconstitutional,against ones will or feelings
邻近,neighbouring,common border,approach,block the traffic
因为,through,thorough,trough,though
转递,forward,onward,forearm,coward
难以置信,incredible,credible,confidence,to believe 
连指手套,mitten,mutter,fitter,kitten
裂开,fission,emission,omission,vision
残暴,tyranny,granny,tyrant,inhuman
切下的部分,section,action,suction,unction
使固定,moor,boar,monk,moon
长度,linear,liner,miner,lineal
有雄心的,ambitious,ambiguous,ambition,callow
阴暗,obscure,obscene,past one's prime,clear and refreshing autumn weather
失业,unemployment,pleased with oneself,be stepped up,degrade
预算,budget,bucket,budge,judge
手推车,trolley,roller,volley,motorcycle
极好,gorgeous,outermost,never,formulate
柏油,tar,cap,tin,tab
残数,residual,churlish,plaque,rubble
举例证明(解释),exemplify,exemplary,breach,acquiesce
贪婪狡猾的人,shark,shirk,hare,shire
期刊,periodical,periodic,statistical tables and reports,evening paper
现实,realistic,shoot with great precision,obscurity,all-inclusive
近路,shortcut,single-plank bridge,midway,blind alley
(桥)墩,pier,mien,deer,peer
半球地图,hemisphere,stubble,mimicry,requisite
不景气萧条期,depression,repression,oppression,expression
发动,motive,to promote,recall,shout
地质学,geology,biology,apology,zoology
登记,enroll,scroll,stroll,enrol
打喷嚏,sneeze,breeze,sneer,wheeze
生态学,ecology,biology,apology,colony
普遍,currently,current,currency,narrow
年轻人,youngster,boy,minor,irises and orchids
词汇表,vocabulary,rabid,hussar,lessor
一块排骨,chop,crop,chug,choke
使变厚(或粗、密),thicken,chicken,thinker,quicken
(理想等的)实现,realization,stiff,mangrove,noes
继承人,successor,succession,success,ape man
确定,positively,make a final decision,schedule in advance,time
一致,conform,comfort,inform,confer
浓缩,compression,buy one's ticket after the normal time,to eliminate,pay retroactively
打扰,distract,disgrace,district,distinct
领先,precede,recede,preclude,prelude
浪费,dissipate,extract,waste,frugal
合唱,chorus,corps,cherub,cirrus
永久移居国外,emigrate,migrate,immigrate,emigrant
摸起来,feel,fee,fall,feed
猛拉,tug,jug,bag,toe
同意,agreeable,not tolerate,undertaking,agree to 
衰变,degradation,multipolarity,to turn into,pathological changes
把…制成表,tabulate,tabular,adulate,thread
补足(物),complement,competent,compliment,implement
无机,inorganic,organic,exercise,homework
海滨(胜地),seaside,subside,bedside,seasick
步行,tramp,trap,frame,troop
去世不久,late,date,lazy,ape
协作,concert,concept,concoct,concern
炼焦,coke,rote,cork,cube
航空,aerial,verbal,serial,genial
程度,length,lengthy,tenth,zenith
原稿,manuscript,books ,lengthy ,reading material
(收费)供…膳食,board,roar,bear,bond
仿制品,imitation,limitation,agitation,irritation
楼梯,stairway,airway,aisle,railing
甜点心,dessert,dissent,dresser,deserts
维护,assert,asset,assess,ascent
悬垂,overhang,overland,overhaul,to leave in sb's care
繁殖,multiplication,lay ,adult,activity
质子,proton,croon,proof,piston
有孔小珠,bead,knead,beef,bear
概括,summary,summer,summat,watery
发觉者,detector,elector,director,detect
宣誓,oath,bath,watt,late
讯问,question,to participate ,meddle,accepted 
显示渴望,longing,corral,velour,nemesis
逃走,flee,few,lee,flame
教训,message,massage,passage,alarm bell
猛投,hurl,curl,furl,harm
下水道,drainage,courtyard,a public square ,terrace
聚集,gathering,concentrated,to have a reunion,collapse
(使)移居入境,immigrate,migrate,immigrant,emigrate
通知,advertise,adverse,advice,herald the break of day
基本,elemental,element,elementary,priceless
一致,evenly,happen to hold the same view,of the same age,simultaneously
使就职,inaugurate,inaccurate,inaugural,affirm
超等,superb,super,suburb,sperm
讨厌,frightful,rightful,universal love,patriotism
与…交搭,overlap,overtax,overland,overload
嘲弄,ridicule,to play a joke,move back and forth,compel
对准,regulate,regular,peculate,emulate
游艇,yacht,each,fact,facet
百分富翁,millionaire,orphan,creditor,widow
精细,finely,lively,finale,timely
远古,primitive,6th earthly branch,BC,age
力求,strive,strike,stave,starve
香的,fragrant,flagrant,vagrant,fragment
总局,headquarters,dairy farm,restaurant,lunch room
新鲜,sweetness,unparalleled,vile,a common occurrence
运算,operation,iteration,moderation,oration
令人崇敬,awful,artful,annul,manful
联合,allied,alley,pallid,alien
专题讨论会,workshop,bookshop,worship,phonograph
发出物,emission,remission,mission,omission
公报,bulletin,bullet,proposal,enclosure
(计算机的)软件,software,vomit,piece,eighteenth
发声,intonation,innovation,invocation,intention
循环,circulation,repeatedly,vicious circle,fluctuate
社论,editorial,treatise,A Dream of Red Mansions,An Outline Treatise of Medical Herbs, compiled by Li3 Shi2 Zhen1 李时珍
郡长,sheriff,crochet,modernism,spittle
风趣,witty,batty,wintry,petty
使对证,confront,lunar,archives,raven
小册子,pamphlet,encyclopedia,a rubbing from a stone inscription,dictionary
耐久力,endurance,insurance,entrance,sanctum
(使)变紧,tighten,brighten,lighten,fighter
烟火,firework,foreword,timework,feed
愚蠢,senseless,act at one's discretion,mean and cowardly,stiff
(日,eclipse,ellipse,elapse,backslide
狂暴,furious,various,dubious,curious
泼水,splash,slash,flash,clash
不漏水的,watertight,shun,fire-fighting,scruple
戏剧性,drama,trauma,damp,drape
合成物,composite,compote,composure,compositor
忍住,refrain,retain,restrain,refract
黄蜂,wasp,task,wash,wand
打鼾,snore,share,snort,some
确实,certainty,certainly,certain,confidence
外国,alien,aspen,align,alias
砂跞,gravel,grove,ravel,grave
扭,wring,firing,wrong,urine
歪曲,twist,waist,twit,this
飞机库,garage,dirage,garbage,grade
拒绝相信,denial,aerial,venial,deal
打(铁等),forge,forget,fore,more
无能力的,incapable,capable,general,count
修女,nun,run,tug,min
在…上打烙印,brand,brawn,braid,bran
砸碎,crash,cash,crass,crazy
提取法,extraction,exaction,traction,attraction
离子,ion,ivy,inn,yen
使成熟,mature,manure,measure,future
胸口,wind,wield,line,rind
姜,ginger,liner,singer,linger
当中,between,very indifferent,upper class,very difficult 
掴,slap,sap,soap,plan
瞬息间的,momentary,commentary,monetary,many years
懦怯,coward,ward,onward,towards
诊所,clinic,clinical,civic,critic
生硬,stiff,stuff,staff,shift
旁通管,bypass,bass,bypath,pass
迎接,salute,acute,saline,salve
支票,check,chess,chink,chuck
高尚,lofty,loft,lusty,loath
遏制,restrain,restraint,refrain,strain
专利,patent,intent,patient,potent
极大,monstrous,fiber,be lower than,miniature
领事,consul,consult,console,consume
亲信,confidential,love and esteem,superstition,skeptical
赌博,gamble,gable,amble,ramble
新郎,bridegroom,friend,male friend,attendant of the bride or bridegroom at a wedding
适当,fitness,firmness,witness,finesse
谄媚,flatter,shatter,clatter,latter
大规模地,largely,dodge,feed,adjourn
旧的,second-hand,quicksand,galvanic,touchy
无穷大,infinity,infirmity,infinite,indignity
粉饰,whitewash,maintain secrecy,proudly,censure
斜纹布,jean,earn,lean,bean
发出格格声,rattle,punish,sausage,muscular
女侍者,waitress,witness,mattress,actress
反对命题,contrary,honorary,contrast,contract
传达,convey,convex,cony,confer
丝绒制的,velvet,valve,verve,pellet
抽样,specimen,species,specie,chosen
沉浸,immerse,inverse,immense,to depend on
无数,innumerable,layer upon layer,all,circumference
代数学,algebra,psychology,dynamics,zoology
洞察,pierce,apiece,fierce,piece
南瓜,pumpkin,bumpkin,tomato,legumes
招待,entertainment,mistreatment,treatment,pending
不妊,barren,barred,barge,baron
总经理,executive,execution,elective,execute
(时间)过去,elapse,lapse,relapse,ellipse
视力,vision,fusion,version,mission
混合者,mixer,liver,miner,meter
拧,wrench,winch,French,wretch
白种(人)的,white,whine,whiff,chime
跳舞,hop,hope,dot,rope
骚动,uproar,roar,uproot,depression
斗士,champion,cavalier,volunteer,cowboy
报告…的来到,announce,announcer,denounce,renounce
坚决主张,contend,content,convent,context
为…编目录,catalogue,analogue,wrinkle,legalize
明显,sensible,ostensible,senile,feasible
处罚,penalty,realty,penal,penalty
强迫,compulsory,entice,to joke,terrify
历元,epoch,each,posh,porch
明确,decidedly,useful,legal,vague
敞蓬车厢,waggon,waggle,jargon,maggot
晚辈,junior,juror,janitor,senior
工资,earnings,earring,tariff,salary
足够,suffice,suffix,office,surface
(使劲)推,shove,shore,shiver,shoot
爆发,storm,story,strum,store
认为,deem,deck,deer,duet
行动缓慢的人,snail,jail,sail,tail
组织,makeup,TV station,member of standing committee,board of directors
调停,settlement,battlement,list systematically,arms
主张,position,volition,exposition,petition
庞然大物,whale,hale,stale,exhale
(讲话时等)做手势,gesture,pasture,denture,texture
可调整的,adjustable,bung,superhuman,bliss
相似,analogy,apology,anatomy,analogue
显然,distinctly,unimaginable,inwardly,mystery
变戏法的人,magician,musician,hairpiece,photocopy
生产,productive,protective,production,fade
冲洗,rinse,rouse,rise,urine
剧痛,smart,scarf,mar,stark
禁令,prohibition,prohibition,directives or instructions,order or command
喋喋不休,chatter,chasten,charter,chapter
心理,psychology,intelligent,competitive strength,drive
题目,theme,them,hem,rhyme
阑尾,appendix,append,the large intestine,vagina
流量,flux,club,flex,flue
回收,reclaim,declaim,proclaim,acclaim
牵制,hamper,camber,caper,hamlet
陛下,majesty,modesty,queen,stockholder
坚决,resolute,desolate,resolve,absolute
定期存款,fixture,texture,mixture,future
迷路,stray,spray,spry,strap
征兆,symptom,idea,symptom ,whereabouts
讲道,discourse,discourage,disburse,to say more than is necessary
天主教的,Catholic,sideboard,entangle,workable
缺乏,deficiency,deficient,efficiency,differ
平常,trivial,rival,trial,low level
性情温和,pacific,specific,pacify,pacifist
在那里,therein,request,devote,faint
拖延,prolong,proton,to delay,find it too late
乳白色,ivory,ovary,livery,glory
词干,stem,stump,steam,hem
大屠杀,massacre,massage,murder,kill with poison
无畏,fearless,heartless,feckless,thanksgiving
遵守,abide,alike,wide,able
出席人数,attendance,attendant,chalk,discover
前辈,predecessor,position in the family hierarchy,natural instincts,voter
翱翔,tower,power,hover,lower
传播,propagate,rumor,fashionable,to spoil
在…漫步,roam,roan,ray,coax
通知,notify,codify,notary,modify
共计,number,member,amber,numb
容忍,tolerant,tolerate,tolerance,take exception to
架桥于,bridge,cringe,bridle,fridge
巩固,consolidate,stabilize,promote,stay
命运,doom,gloom,soot,groom
参(变)数,parameter,perimeter,barometer,hue
坚定,stability,stabilize,liability,ability
竖起,erect,elect,eject,wreck
无常,uncertain,entertain,ascertain,certain
位于…的,situated,kilocycle,solicitude,confusion
银行家,banker,banter,baker,bunker
践踏,tread,tweak,tea,bead
灌木,shrub,shrug,sub,rub
问候,compliment,complement,compliant,to communicate
垂直,perpendicular,languish,parallel,well-ironed
秩序,cosmos,common,cosmic,current situation
粘滞,viscous,toxicity,authoritative,variety
(使)蹲下,squat,squall,squad,suit
使湿透,shower,shove,stoker,smoker
吉他,guitar,suitor,gutter,violin
免职,deposition,exposition,position,opposition
发电机,dynamo,dynamic,engine ,motor
障碍,hindrance,shield,something superfluous,bind
机能上的,dynamical,stagnate,between,billboard
作为结果而发生的,resultant,reluctant,resistant,utilize
攀登,ascend,aspen,append,abend
通货膨胀,inflation,infraction,insulation,deflation
挫败,frustrate,not do one's best,fall apart,to succeed
无赖,rascal,casual,nasal,racial
作证,testify,justify,testy,certify
订购,subscribe,subscriber,purchase,panic buying
禁止,veto,verb,pet,vino
蚂蚱,grasshopper,fiery dragon,spider,butterfly
消灭,extinguish,brush,quench,destroy
嘲弄,mock,monk,pork,rook
引诱物,bait,faint,bust,bite
结构,composition,some kind ,organized group,various kinds
今后,henceforth,a while,tomorrow,last time
审查,censor,sensor,censer,sensory
坦白,plain,plan,train,again
高原,plateau,plateful,plate,frogman
校准,calibration,publish,regulate,correction
方便,handy,daddy,happy,bandy
辊,roller,robber,holler,seller
居住,reside,besides,residue,preside
浓缩,concentrate,soak,to work,to extend
灾难,misfortune,scourge,blessed,born under an unlucky star
转(力)矩,torque,torture,true,mosque
编辑,edit,kit,credit,din
乱扔,litter,titter,glitter,totter
暖气片,radiator,radiation,radiate,backboard
体现,embody,ebony,moody,nobody
学说,doctrine,health protection,to educate,to run a school
(重新)集合,rally,sally,tally,rarely
等面(体)积的,equivalent,rib,pensive,fallible
忘掉,dismiss,discuss,concerned,have an insight into
机密,confidence,conference,confident,confluence
绷带,bandage,adage,bondage,baggage
瓦(特),watt,gait,dart,wattle
附带,incidentally,special-purpose trip,do at all costs,as one wishes
分开,partition,petition,to break up,to join
灵感,inspiration,ill,feeling,inspiration
结石,calculus,stomach illness,heart disease,frequently-occurring disease
势利,snobbish,turn ,tender,to revolt
立方体的,cubic,cub,cubicle,cabin
镍币,nickel,nice,nicely,wicked
推进,propel,proper,prove,prophet
(桥墩间的)墩距,span,leg,disrobe,somehow
有吸引力的人(或物),magnet,magneto,maggot,magnetic
手段,lever,fever,leader,level
着火,ignite,dignity,incite,invite
志愿,volunteer,shut oneself up and ponder over one's mistakes,unreconciled to,to wish
藤本植物,vine,mint,view,rice
调节,regulation,revelation,relation,reputation
芥子,mustard,custard,dastard,bastard
(声音)嘶哑的,hoarse,horse,hearse,hose
向南方,southwards,outwards,southward,admonish
睡莲,lily,hilly,oily,hilt
输入,input,nut,inapt,inept
猛咬,snap,nay,scalp,soapy
过剩,surplus,surpass,circumference,rugged
丢脸,disgrace,displace,distract,well-known 
凤梨,pineapple,coconut,plum,walnut
赋闲无事,idleness,illness,consist,palatial
弊端,drawback,to distinguish,weak point,distinguishing feature or quality
对…不满,resent,repent,present,preset
苦难,bitterness,persecute,domestic strife and foreign agression,disaster caused by hail
职业,vocation,vacation,location,rotation
门槛,threshold,number of people,course of action,therapy
行使,wield,weld,field,wild
松松,loosely,be driven to revolt,to indulge in,careless
疾病,complaint,compliant,complain,image
要塞,fort,loot,foal,afoot
趟(河),wade,wail,laze,rake
殖民地居民,colonist,columnist,soloist,colonial
(女)上衣,frock,dock,crock,clock
两栖动物,reptile,textile,retire,revile
邮政,postal,poster,portal,postman
使恐怖,terrify,horrify,terrific,testify
(酒)烈性的,hard,hod,hare,gad
委托状,commission,omission,compassion,corset
复制,duplicate,delicate,supplicate,duplicity
宪章,charter,chamber,chatter,cartel
甲虫,beetle,needle,battle,nestle
