#word,meaning,option1,option2,option3
personnel,全体人员,紧紧,障碍,悲哀
overt,公开的、非秘密的,不喜欢,顺着,战斗
craft,船,警报器,轨枕,配备
sparse,稀少,整个,对偶,少数
voluntary,自愿,愿意,擅长,不甘心
personal,个人,隔开,半公开,国有
scoop,铲子,凿子,刨子,刀口
supervise,监视,点名,督促,监督
readily,很快,速成,为时过早,兵贵神速
hydrogen,氢,赢得,矮,装置
afford,提供,并行不悖,供应,供需
cancer,癌症,麻疹,流行病,多发病
dominant,占优势的,安静,流域,优秀
credible,可信,反对,爱戴,容忍
steward,(聚会、赛马等的)干事,月球,患思乡病,生育
precipitate,加速,起伏,延缓,通货膨胀
incongruous,不调和的,听到,确定,百万
concern,与…有关,掠过,模子,警卫
algae,藻类,白木耳,毒草,薄荷
flaunt,炫耀,惊涛骇浪,照亮,放射
accord,允准,只不过,补足,射击
confirm,证实,根源,百川归海,预兆
insolent,粗野,宾至如归,索然,爱面子
inapt,不相配的,使受伤,减(去),渡过
economical,节省,抽出,浪费,足够
staff,配备工作人员,经,很可能的,经常
damp,打湿,美式足球,容器,一段时间
interim,中期,现今,后期,初期
tenancy,租佃,佃,包场,出租
rely,依靠,由,通过,以便
decentralize,使地方分权,女性,情况,有经验的
muscular,肌肉,头皮,眼皮,包皮
peril,危机,公务,行政,民事
tempt,引诱,胁迫,引入,强制
cardinal,首要,次要,昂贵,紧迫
meticulous,细心,浪费,持久,认真
invigilate,监考,蹲点,监控,点名
cart,手推车,斗车,跑车,班车
baggage,行李,总裁,总统,叶利钦
visual,视觉,感觉,真情,好感
maize,玉米,芑,冬小麦,小麦
bore,使人烦,领悟,蔬菜,已
pitch,投,几分,埋藏,渴望
notional,概念,意义,病理,笔法
security,安全,治安,大敌当前,甜美
legible,可辩认的,书橱等的)架子,妒忌,冰冻甜食
optional,可以任选,安装,交际,难对付的人(事)
stern,(面容等)严厉的,刹车,挤入,捕获物
cosmic,广大无边,创造,体育,棕色
granular,粒状,集市,橙色,盼望
embark,搭载,骑马,航行,行驶
disorder,使紊乱,到达,财宝,灯
chaos,混乱,蓬松,不便,失调
allergy,过敏症,暗疾,肺炎,病灶
preface,前言,报刊,副刊,联合公报
nourish,提供养分,保育,收养,服务
stall,畜舍,出现,丑恶,图案
entrant,进入者,麻烦,有耐心的,销数
amaze,使惊愕,敬礼,胆量,砖
business,企业,分号,摊子,奶牛场
provisional,暂时,瞬间,一会儿,短短
promote,宣传,责成,召回,授命
murmur,咕哝,吞吐,喋喋不休,乱说
kangaroo,袋鼠,鼹鼠,鳄鱼,鲸鱼
limp,蹒跚,游荡,步行,散步
splint,（固定断骨的）夹板,概要,牲畜,压制某人
nominate,任命,招收,委任,任用
pick,镐,老年,难题,星期
opaque,不透明的,(尤指对某人的亡故)感到悲痛,拒绝,慌忙
excrement,排泄物,废气,秕糠,宝石
dormant,冬眠,睡着,醒来,嗷嗷待哺
oxide,氧化物,泻盐,盐,白磷
efficient,有效率的,鼎立,衬托,对立
regression,退步,履行,前进,吸毒
halt,停住,熄灭,收盘,僵化
posterity,后代,同辈,密友,大爷
humanity,(总称)人类,新式,没经验的,特色
disperse,驱散,转向,变相,变频
upright,诚实,赤裸裸,诚挚,坦率
cushion,垫子,床垫,帐篷,衬垫
parade,检阅,作战,动武,应战
port,港口,不冻港,管理站,城乡
rupture,破裂,挺立,撕毁,爆裂
starve,使饿死,在周围,担心,打猎
lexicography,辞典编纂,猛击,有规则地,为...做广告
extract,摘录,今译,编译,编印
deviation,背离,违抗,违宪,违心
aviation,航空,航行,行驶,巡弋
fertile,能繁殖的,(常,全体法官,犁
manufacture,(,从…取血,导论,敬意
doubtful,难料,屠杀,烛形物,一国人民
plot,密谋,大煞风景,轻松,企图
stationer,文具商,采集,防止,抱怨
pillow,枕头,毯子,毛毯,棉被
summon,召唤,召回,发动,呼唤
shear,)大剪刀,通常,洋葱类植物,学童
explode,使爆炸,给予(某人)荣誉,考察)队,更好
purchase,购买,订阅,订购,抢购
festivity,欢宴,规程,舞会,便宴
output,排泄量,竹子,制剂,炸药
alchemy,炼金术,叫,综合,报刊
expedition,考察(队),除非,(较)大的,运输
creep,爬,依偎,倾斜,滑翔
shimmer,闪烁,折射,爆炸,散射
forum,讲坛,陵墓,台,祭坛
sprawl,伸展手足而卧,敌手,扫,麻烦
ashamed,惭愧,不动声色,紧张,安慰
coastal,海崖,边沿,周围,附近
sham,假货,证物,备品,禁品
soot,黑烟灰,烟雾,霜,薄雾
discount,认为…不足轻重,全体,沿岸,移动
crew,乘务员,干部,经纪人,先生
itemize,分条缕述,被云层遮蔽,雇用,费用
superstition,迷信,信任,同意,相信
excerpt,摘录,编译,笔译,今译
messy,麻烦,抱歉,打扰,请教
partial,有偏心的,磨损,直播,归并
printout,打印输出,悔恨,份儿,第二
minimal,最小限度,坦荡,矮胖,逼仄
all,完全,基本上,根本,比较
draft,起草,布局,虚构,类比
wisdom,智慧,不敢越雷池一步,百炼成钢,英勇
solar,太阳,灯光,光线,白热
glycerin,甘油,离子,淀粉酶,原子核
novelty,新颖,新鲜,破旧,现有
magnanimous,高尚,贞洁,得寸进尺,清廉
liqueur,利口酒,舒适,骄傲,角色
distribute,分布,排队,摆布,陈列
scapegoat,替身,受害者,难民,当事人
gaunt,憔悴,垂直,短粗,清瘦
sting,刺激,叼,舔,吸入
wane,减少,补发,裁员,补遗
loyal,忠诚,暴躁,叛逆,虚伪
valuation,价值判断,点名,评估,裁判
judicial,审判,传讯,开庭,公审
accomplishment,技能,本领,才能,本事
painstaking,刻苦,用功,持久,掉以轻心
parliament,议会,奥运会,国会,电话会议
breakdown,损坏,爆裂,断开,撕毁
treatise,论文,篇章,本草纲目,哀辞
sweater,毛衣,旗袍,衬衫,盔甲
varied,各式各样,芸芸,荒无人烟,多糖
default,不履行,部队,提出,年老
perish,枯萎,发芽,吐穗,口吃
malaria,疟疾,霍乱,流行性感冒,翳
clay,粘土,表土,土堆,土壤
terminate,结束,罢了,开战,闭幕
surpass,胜过,仅次于,不比,超龄
affluent,富足,贫困,紊乱,整齐
intensify,强化,放松,好转,安定
once,一次,适合,(使)浸,说话
graze,在…吃草,“鹰派”人物,赠送,脚步(声)
scar,疤(痕),只不过,传真机,大减价
purity,纯净,重叠,详细,紧密
criterion,标准,本来,集体,现成
council,委员会,政协,议院,参议院
loom,笼罩,赤足,遮掩,赤裸裸
illusion,错误的信仰(或观念),遥感,知觉,丹心
notably,格外,忍受,至少,尽量
gender,性,洪水,忍受,热情
twig,小枝,迅速,用旧了的,重述
disaster,灾难,桃花运,灾害,幸福
deliberate,仔细考虑,有希望的,长,笑容
pamper,纵容,欺诈,趋附,糊弄
parachute,降落伞,阳伞,刺绣,扇子
tacit,心照不宣,爱好,偏爱,不详
cautious,小心谨慎,密切,稳健,漂浮
fuse,熔合,镀,拔丝,镀银
enterprise,冒险精神,哀思,信心,内心
engage,使从事于,加入,不),成绩
perform,做,颁行,腐败,渐进
temper,使缓和,减刑,衰减,升起
plethora,过量,比不上,例如,像样
shape,使成形,体操,试验,考验
magnify,放大,扩大,改装,改口
uprising,起义,革命,应有,须要
axis,轴,排,对,绞
muddle,混乱,污染,俨然,丰衣足食
megaton,兆吨,分类,清单,补缺
swell,(使)肿胀,拥护,窥伺,快乐
legislation,立法,指定,建立,定都
snag,断牙,词汇量,胆小怕事的人,更好
sequence,连续,动不动,往往,经常
verge,边界,边线,半壁江山,地平线
resemblance,相似,近乎,差不多,下列
confess,承认,攻击,批评,干预
overwhelm,(感情上)压倒,谋杀,迎接,屈身
prehistoric,史前,年代,公元前,现代
submarine,水底,顶部,流,屋顶
overflow,泛滥,喷射,降下,陷落
notation,注释,附笔,说明,参考
cultural,教养,转播,教训,播送
sociology,社会学,科目,医学,科研
abstract,抽象,流利,包罗万象,断章取义
trim,修剪,雕刻,割,劈开
outline,轮廓,来历,境况,病状
buffet,自助餐,盖饭,抓饭,素食
pivot,枢轴,无关紧要,根本,贵重
spin,(使)旋转,总而言之,展览馆,开玩笑
mint,造币厂,电信,结果是,纵深
set,调整,调拨,调节,对调
depress,使沮丧,打字,纽带,做实验
bundle,一束,野草,录像,灰末
pedestal,（柱石或雕像的）基座,天地,除,由于
shift,变换,替换,变价,变频
rumour,谣言,年夜饭,谍报,传说
mobile,活动,对流,潮流,外流
prosecute,对…起诉,弹劾,庇佑,指控
devastating,破坏性的,第十二,法院,看到
overhear,偷听,传闻,倾听,看上去
discharge,放电,进修,笔试,上学
display,显示,预兆,表明,体现
ignorance,无知,短小精悍,起死回生,半瓶醋
distraction,分心,画展,欣赏,旅游
violate,妨碍,兴奋,强加,堵塞
drudgery,苦差事,行动,动作,生活
excursion,远足,跋涉,远征,对开
quest,追求,兜风,订婚,同性恋
dwarf,矮子,彪形大汉,骨头架子,仙女
inclination,爱好,相识,宠坏,不详
dignity,威严,净化,繁杂,污染
brew,酿造(啤酒),工程,展开,公告
solely,仅仅,统统,根本,急忙
prototype,原型,使突然陷入,年长,青年们
coherent,紧凑,调谐,单一,重叠
rhetoric,修辞学,科研,医学,高科技
warrior,武士,烈士,武松,懦夫
plasma,血浆,泡沫,矿泉水,水泡
differentiate,区别,比拟,识货,比照
adjacent,邻近,交界,逼近,堵车
weave,织,难以办成,鲸,首脑
crumple,弄皱,勇猛的人,守卫,不会
cell,小房间,措辞,沉淀,使繁殖
diploma,文凭,本票,帐单,报单
accumulate,堆积,遍及,开列,遍布
haunt,出没,上车,搅混,失误
peer,同辈,同步,不等,抗衡
correlation,相互关系,全国性,酸性,惩罚性
phony,假的,伪托,摆阔,寻衅
lurk,潜伏,盯住,避难,溜走
destructive,破坏性的,地位,印刷字体,(正式)会议
reap,收割,打猎,施肥,捕鱼
marine,航海,对开,航行,航空
possession,所有,共有,投稿,霸占
affirmative,赞成,爱戴,自信,不依
maltreat,虐待,接待,驱逐,对待
perspire,出汗,癃,便血,人道
fascinate,使着迷,所得报酬,招待会,纸牌
collaborate,协作,抱佛脚,做出,大显身手
whatever,不管怎么样的,发愁,可可粉,单独
stumble,绊(摔)倒,诙谐幽默者,健康,以…为基础
faith,信仰,认真,自信,妒忌
primary,基本,低廉,没关系,着重
fraction,碎片,完整,百孔千疮,简要
inert,惰性,中性,综合性,阴性
fault,过失,伟业,功绩,长短
latter,后面,中间,右手,眼前
curb,马勒,进入,想象,兔肉
eliminate,排出,来往,投入,渗入
squeeze,(使)挤入,一步,运输系统,展开
scholarship,奖学金,贷款,邮费,营业额
cut,削减,淘汰,补遗,补发
embankment,堤岸,蜂巢,驳岸,葛洲坝
increase,增强,削弱,加快,改进
practically,实际上,左右,到底,果然
tease,取笑,叫好,违抗,污蔑
sophisticated,尖端,可以,平常,费力
clarify,使明晰,收集的东西,处,卡路里(食物所产生的热量或能量单位)
tear,眼泪,鼻涕,头皮,大便
plank,板条,捆,计划,掠过
banquet,宴会,研讨会,招待会,电话会议
multifarious,多种,一半,第十二,百万
ceremony,礼节,礼仪,开幕式,无礼
shock,使震惊,悲哀,生物,松鼠
concentric,同中心的,富于幽默感的,幸福感,代替
conscience,良心,知觉,存心,丹心
nicety,美好,不在话下,好看,腐败
altitude,高度,和平,有意思,深刻
neurosis,精神病,不治之症,暗伤,性病
utmost,极度,多么,过于,不得了
hither,这边,手里,巢穴,别处
blaze,炽燃,终结,吵闹,意图
allege,断言,不一致,动植物体内的管道,惊呼
mighty,巨大,刚劲,不在话下,粗劣
endeavor,努力,不够,莫非,专门
ore,矿石,土堆,土壤,页岩
reverse,颠倒,悬挂,厝,壁挂
perplexity,困惑,惊愕,吃不来,安土重迁
contrast,使对照,到处,(表示惊讶、恐惧、痛苦等)哦,咀嚼
oppress,压抑,惋惜,不予,不由自主
applicant,申请者,部属,会员,队友
audible,听得见的,接到,珍视,热病
calculator,计算器,装备,多媒体,警报器
spicy,辛辣,尖锐,无情,板滞
iodine,碘,泻药,软膏,冰片
derelict,荒废,垮,跑江湖,下工夫
adapt,改写,变调,扩大,改名
emphasize,着重,晓示,传达,指出
granite,花岗岩,碎石,鹅卵石,泥土
saline,由碱金属或含镁之盐类而成的,悲哀,欢腾,悲喜交集
pilgrim,香客,长老,达赖喇嘛,尼姑
conviction,坚信,相信,倾倒,半信半疑
bibliography,文献学,不含酒精,足够,喜欢
chant,吟唱,背诵,填充,酬和
compress,压缩,裁员,补票,补发
fracture,破裂,爆裂,放置,破坏
ponder,沉思,深思,感激,构想
diffuse,漫射,自然,不修边幅,坚决
adjudicate,充当裁判,惩戒,公审,复审
opinion,(专家)鉴定,创始人,特种饮食,政府
intervene,插话,多嘴,对话,倾倒
ripen,成熟,零落,吐穗,发芽
languid,没精打采,疲倦,高昂,激发
ubiquitous,无所不在,枯躁,引导,茫茫一片
jog,缓慢行进,资本,(坐立时)大腿的前部,航海技术
arthritis,关节炎,肺炎,病灶,肝炎
sluggish,行动迟钝,兵贵神速,急剧,高效率
wit,机智,眼尖,八面玲珑,智慧
ironic,讥讽,嘲笑,污蔑,丑化
enforce,实施,普及,吸毒,败坏
lint,保护伤口的软布,可怕,限度,诗人
persuade,说服,妥协,和好,奉承
endow,资助,慰问,慰藉,帮腔
amateur,业余爱好者,角逐,报告,职位
phobia,恐惧症,惩罚,临床讲课,巧克力糖
undergraduate,大学生,初学者,新生,寄宿生
isle,岛,红色,减少,切
prestige,声望,威望,名望,盛名
distill,蒸馏,纺织,镀,提炼
casting,角色,装入,卷入,铺平
awesome,令人敬畏,广博,丰富,讨厌
bumper,丰硕,匀整,详细,迷人
criminal,罪犯,行为,环绕,旅行
challenge,艰巨任务,搅拌(奶油,野兔,广泛
slight,轻微,深厚,有意思,强劲
immune,免疫,抓住,致死,引人注意
shovel,铲,书店,启航,用左手的
preceding,在前,投稿,支撑,在于
deduct,扣除,补遗,淘汰,裁军
enquiry,询问,狡赖,介入,试探
crisis,危机(关头),空闲,要价,使固定
anguish,极大痛苦,乡村的居民,拉紧,铺开
transplant,迁移,停留,风俗,迁都
random,随意,痛快,专门,没有
retrial,再试验,审理,捕捉,逼供
congregate,聚集,背井离乡,握别,团圆
bacon,熏猪肉,法庭,证书,写信(给)
amber,黄褐色,碧玉,肥料,搪瓷
feasible,可行,不可告人,隐约,白白
parody,嘲弄文章,频道,使完整,鸭肉
auditorium,观众席,吨位,首席,案头
specification,)说明书,集体,非正式,国产
retail,零售,变卖,销售,拍卖
moderate,温和,叛逆,乐观,虚伪
dentist,牙科医生,声音,影片,常常
ritual,宗教仪式,葬礼,天主教,礼貌
statistics,统计(数字、资料),目的,探索者,社交界
implement,贯彻,到期,迁延,定稿
turbulent,狂暴,索然,冷淡,实在
ingenuous,纯朴,苛刻,暴虐,强暴
plough,犁,表示亲昵,神,喜爱
dilemma,困境,境地,疫情,处境
feast,节日,白露,冬至,冬至
erode,腐蚀,报仇,麻醉,报复
obsession,困扰,纠缠,侵扰,阻止
beach,海滨,高山,海岸,暗滩
locality,发生地,北部,灾区,郊区
candidate,投考者,劳动者,社会主义者,半劳动力
enable,使能够用,栩栩如生,贯穿,上述
almond,杏仁,家畜,槟子,秕子
carrot,胡萝卜,黄瓜,芜菁,西红柿
spectacular,壮观,病容,样子,美貌
carve,刻,临床,测绘,绘制
bilingual,（能说）两种语言的,智力,增强,军
questionnaire,调查表,课表,名著,手迹
lax,懒散,喘息,喘气,疲倦
coax,哄诱,不同意,副),丛林
mode,时尚,古风,习惯,不正之风
checkup,健康检查,把关,追查,侦查
interdependent,相互依赖,慰问,补助,安慰
antarctic,南极(区)的,岔路口,通知,听见
penury,贫穷（,飘扬,优良(质)的,折中
unify,统一,分别,分裂,三位一体
harbour,港口,车站,变电站,中转站
celebrity,著名人士,要人,哥伦布,赫兹
provided,以…为条件,只有,由此可见,鉴于
handsome,慷慨,不耻下问,小气,红色
trustworthy,可信赖的,共同,爱好和平,食糖
spacious,广阔,调匀,鞭辟入里,富于
acquaintance,相识的人,用扫帚扫,夏季,短讯
bloom,花,冰期,半衰期,任期
outfit,全套服装,只不过,向上,很
exchange,交换,改口,变形,变换
hoist,升起,提高,减刑,涨价
steadfast,固定,定型,莫名其妙,平板
definitive,限定词,给予注意,快活,野蛮
dilapidated,破旧,锦绣,美貌,妖媚
sustain,经受,无比,挨打,尽管
exploration,勘探,采矿,出版,遥测
onset,开始,开学,小题大做,拔锚
accomplish,成就,举行,例行,履行
pester,纠缠,组成,联网,通航
regarding,关于,由,为了,等到
intact,未受损的,半半拉拉,破烂,饱满
deviance,逸出正轨,失误,故障,误会
sue,控告,弹劾,揭发,栽赃
loll,懒洋洋地坐或卧,他自己,订(票,光
march,三月,九月,月份,十一月
auction,拍卖,零售,兜售,批发
approval,赞成,自信,拥护,亲信
predominant,主要,宝贵,高昂,主干
methodology,方法学,法理,浪漫主义,民族主义
interrupt,打断,通行,堵车,近乎
cute,逗人喜爱,高明,百读不厌,渺茫
antenna,天线,电器,开关,电池
defraud,欺骗,欺瞒,迷惑,庇荫
intercontinental,大陆间的,民间,里面,陉
strew,散播,流行,谣传,交叉
detect,察觉,熟悉,知悉,懂得
register,登记,制定,报到,原定
facility,(,网球,唱,仅仅
bond,使结合,触动,无声,(尤指从一地到另一地的陆上)旅行
warehouse,仓库,兵营,核武库,车库
gist,要点,摘要,意味,文章
cashier,出纳员,干部,秘书,职工
desolate,孤独,匆忙,适意,荒凉
meadow,草地,园艺,动物园,灯塔
imitate,模仿,旁听,镀金,主修
unanimous,(全体)一致的,乡村居民,(街道等)无人通行的,成年
narcotic,催眠药,肺脏,马铃薯皮,少量
preach,传教,修订本(版),把…浸入,破坏
freak,反常,怪僻,可笑,健康
towel,毛巾,板刷,手帕,拖把
cater,投合,不合,配合,顺应
apparatus,装置,放置,架构,装饰
separate,分离,汇集,集聚,众志成城
linger,逗留,风俗,迁都,迁居
compact,紧密,千丝万缕,麻烦,不共戴天
blossom,花,口吃,溃烂,结果
ammunition,军火,马蹄铁,细菌武器,常规武器
virile,有男子气,险峻,排山倒海,光明
authority,权力,罪行,知识产权,特权
freight,装货于,以…为基础,战场,紧张不安
berth,(船)停泊,发觉,大米,柱
dreadful,可怕,广博,可爱,短小
consequence,结果,跛足,成熟,开放
sterilize,使不育,治病,按脉,抢救
pharmaceutical,制药,修理,保修,压制
federation,联合会,常委,部落,电视台
leak,泄露,表露,败露,一举两得
dome,圆屋顶,洋,最多,尚须
worthwhile,值得干的,再,收藏品,分数
fellowship,社团,学会,商会,工会
keen,理解力强,笨口拙舌,明智,愚笨
most,最大量,文摘,表演,差地
civilian,市民,定居者,同胞,华裔
protein,蛋白质,丙酮,烃,水银
global,环球,均势,危局,现状
badge,标记,标号,编码,页码
boost,提高,衰弱,加深,加速
tap,开发,付款,缴纳,补税
downsize,使<汽车>小型化,公司,好像是,前进
tenacious,坚忍不拔,不屈,骄纵,勇敢
gush,涌出,层出不穷,显现,重现
bankrupt,破产,沦陷,关门,不力
congruent,全等,收割,销售额,兆
elbow,用肘推,无论谁,邮件,烟火
determination,诉讼的终止,推进,运河,摇
confuse,混淆,歪曲,渎职,出没
anthology,诗集,汇编,操典,年鉴
backward,落后,建设,渐进,例行
entity,实体,跨国公司,咖啡馆,中国银行
affirm,断言,成对,改正,被释放
macabre,骇人,扣上(扣子),危及,银行工作人员
immense,巨大,粗劣,巩固,光明
manila,马尼拉,洛阳,成都,哈尔滨
aggressive,侵略,占据,扰乱,占领
aisle,走廊,渗沟,长廊,阶梯
fusion,熔合,对峙,隔离,生效
ballot,(无记名投票)选举,清单,本票,传单
brochure,小册子,百科全书,字典,词典
tropical,热带,盆地,纬线,本初子午线
overhaul,彻底检查,修复,采制,定做
climax,(使)达到高潮或顶点,人们,马铃薯,麻烦
glutinous,粘的,纠正,路边,做
interrogate,审问,传讯,复审,开庭
precious,珍贵,无价,中心,廉价
unofficial,无许可的,微机,未肯定,厚厚一层(可数)
recline,使斜靠,九分之一,支柱,无论如何
jeopardise,使受危险,危殆,劳顿,甜美
mediocre,平庸,顽固,无所不能,短小精悍
dispute,争论,非议,丑化,狡辩
domain,领土,境界,半壁江山,封地
practicable,能实行的,十,价值,间隔
balcony,阳台,广场,渗沟,走廊
thoughtful,体贴,不惜,宽容,权衡
routine,例行公事,履行,召开,推广
relieve,救济,资助,扶植,安抚
thunder,打雷,惊涛骇浪,闪电,冒烟
undo,取消,免除,独创,定名
righteous,正直,贞洁,得寸进尺,神圣
genial,愉快,大快人心,可悲,悲喜交集
spatial,空间,苍天,地皮,附近
fatal,致命,隆重,锐利,惊人
surcharge,追加罚款,缠绕,扩散,传输
zinc,在…上镀锌,傍晚,社交聚会,痛苦
constituent,(一个选区中的)选民,转弯抹角,作品,印记
centrifugal,离心,叛卖,变天,叛逆
amends,赔偿,索赔,抵押,分期付款
prone,易于…的,(使)弄湿,迅速,燕子
peroxide,『化学』过氧化物,自己,颈,他本人
chill,寒气,氧气,氮气,磁
odds,机会,热望,但愿,要求
tariff,关税,租金,税收,工钱
conduct,处理,变卖,转让,兜售
slit,狭长的口子,信任,黑暗,设计师
cuisine,烹饪,暖和,熬,炸
perfume,使变香,信心,有教养的人,草原
hinder,阻碍,烦扰,困扰,缠绕
recover,收回,命名,独创,免职
access,进入,上车,日出,跳进
massive,大量,大方,热情,自豪
technician,技术员,文学家,医学家,制造者
prompt,迅速,暮,迟到,附近
testimony,见证,目击者,审判长,代理人
mythology,神话,特写,卷,文学
pseudonym,假名,捺,一直,鼻韵母
lay,世俗,多情,高尚,贞洁
hormone,荷尔蒙,白血球,痰,生长激素
pellet,小药丸,体,断面,顶角
rear,(马)用后腿站立,方法,出现,(铁路)客车车厢
priority,优先考虑的事物,减(去),间接,羽状物
digest,文摘,作文,课文,补白
agitation,搅动,切,簸扬,斟
best,最好,领受,进一步,秉承
inept,无能,大器晚成,半吊子,起死回生
transmission,播送,转播,教训,调教
wrinkle,皱纹,行踪,污点,波纹
circulate,(使)循环,测验,肤色,附件
vineyard,葡萄园,公园,草坪,灯塔
precipice,悬崖,山谷,昆仑山,山坡
panel,仪表盘,计数器,罗盘,气压计
repel,使厌恶,接来,演习,安逸
liquor,酒,堆积,具有重大历史意义的,感兴趣的
bacterium,细菌,抗体,病菌,壁虱
corrode,破坏,不利,警备,不可逾越
audience,听众,队伍,房客,读者
magnetic,有吸引力,滑行,接到,接受
simulate,假装,屏息,翘,懒洋洋
intimidate,威胁,引入,诱惑,强制
fermentation,发酵,副作用,速效,成效
multiply,增加,浸透,收缩,增长
nursery,托儿所,初中,师范,小学
seductive,诱人的、有魅力的,露面,(使)平静,何时
acute,敏锐,糊涂,本本主义,顽固
pharmacist,药剂师,工程师,批评家,制造者
profit,利润,薄利,不变资本,外资
gross,总的,长短,负载,身材
faculty,能力,创作力,生产能力,骗术
fraud,欺骗,糊弄,欺瞒,庇荫
condemn,遣责,手势,厨房,人造
fist,拳,拇指,两手,手指
luminous,发光,衍射,闪光,燃烧
rug,小地毯,猛击,(引起)疼痛的,针
hound,猎狗,巴儿狗,警犬,巴克夏猪
classify,分等级,老的,浓,盗洗室
tube,身体上的管状器官,寻找,语言(可数),均一
hysterical,歇斯底里,天晓得,怪僻,可笑
patriotism,爱国主义,党政,暴政,种族主义
catastrophe,大灾难,灾难,灾害,桃花运
loop,打圈,上演(戏剧等),餐刀,活(着)的
ingenuity,机灵,聪明,英勇,八面玲珑
obese,极肥胖的,做,(智力、体力上)使有准备,努力
frost,冰冻,速冻,变质,溶化
concession,让步,说服,驯服,媾和
figure,认为,揣测,臆测,公认
anyhow,总之,断言,长谈,密谈
enrolment,入伍,范围小的,危急,学期
come,来,来自,登月,下去
flush,脸红,害羞,吞声,哀号
tongue,语言,动词,汉语,方言
matrimony,婚礼,婚嫁,追求,订婚
fickle,（爱情或友谊上）易变的,放置,官方,裁判
detergent,清洁剂,补药,大麻,毒品
log,原木,木制,铁锈,铅
dole,悲哀,背包袱,阴郁,悲壮
initial,最初,年初,后期,会期
modest,适度,难以,便利,手提
yarn,纱线,毛线,顶针,线
mercantile,商业,邮电,军政,本行
assess,估价,猜测,预期,坚持
boutique,专卖流行衣服的小商店,口授笔录,价值,不动
expel,驱逐,有待,待遇,看待
choke,抑制,决定,约束,制约
plural,复数,单位,定量,产量
wrestle,摔交,失足,跌倒,哆嗦
platypus,鸭嘴兽,狮子,蝙蝠,恐龙
throat,咽喉,半路,隘路,抄道
constant,固定不变,(使)生根,场地,庆祝
trek,长途艰苦的旅行,转达问候,未赶上,军衔
expose,揭露,隐瞒,引咎,批评
sterling,标准纯度,坚固,庆祝,钻孔
incidence,发生(率),对立面(物),表示,双重
digestion,消化,镇痛,泻肚,咳嗽
rust,锈,开除,要求,力量
statue,塑像,十字架,石刻,贝雕
media,媒体,翻译,护士,编审
petty,渺小,伟人,粗劣,排山倒海
agency,代理(权),出名,代替,质疑
resilient,愉快,叩头,大快人心,悲喜交集
