#word,meaning,option1,option2,option3
使接触,contact,context,concoct,content
轰炸,bomb,bout,pomp,fob
良心,conscience,core,good faith,grief
高处,altitude,aptitude,multitude,latitude
极限,utmost,almost,outpost,inmost
燃烧,blaze,flare,lace,slate
矿砂,ore,shale,ore,dolomite
颠倒,reverse,revise,revere,severe
悬殊,contrast,contract,contact,contralto
压抑,oppress,express,cypress,impress
调查,investigation,investigate,not allow,investigate
计算器,calculator,calculate,lightning arrester,sanitary equipment
碰巧,happen,hasten,harden,dapper
格外,particularly,adopt,at most,to share
使适应,adapt,inapt,adept,adage
强调,emphasize,emphasis,report ,forecast
反而,instead,intend,stead,instep
欢迎,welcome,become,to put into practice,see 
压紧,compress,oppress,compass,comprise
圣诞节,Christmas,Christian,holiday,Mother's Day
建立,found,roll call,legislation,establish a capital
低语,whisper,whither,shipper,whimper
主张,opinion,pinion,option,onion
使熟,ripen,mien,river,pen
肥料,fertilizer,fertilize,plastic cement,fertilizer
二月,February,eighth month,October,March
副词,adverb,advent,avert,verb
碗,bowl,boy,bow,howl
智能,wit,kit,exit,wig
强制,enforce,force,encore,reinforce
梦,dream,dead,ream,freak
被说服,persuade,pervade,encroach,dead
胜利,success,successor,duchess,succeed
不足,insufficient,extant,deficit,shortage of
大学肆业生,undergraduate,demise,vagabond,motherhood
解放,liberation,vibration,iteration,struggle
催促,press,crest,oppress,dress
要求,requirement,strive for,to dream of ,unexpectedly
极度,terrible,horrible,exceptional,many
宝石,jewel,repel,ewer,level
经营,management,nationalized,take over,to do business
威胁,threaten,threat,entice,horrify
使满意,satisfy,satiety,ratify,overwork
刑事犯,criminal,critical,original,political prisoner
要求,challenge,chase,look forward to,to yearn for
轻微,slight,alight,plight,blight
会话,conversation,to take in and send out ,tell ,pour
轻拍,pat,pet,hat,pot
羽毛,feather,father,leather,gather
在先,preceding,precedent,in succession,since birth
危机,crisis,cross,crisp,cress
读者,reader,render,heater,rear
钟声,bell,beg,till,tell
羊毛毯,blanket,basket,blank,planet
可能,feasible,sensible,must not,on the whole
不列颠的,British,saturation,make,embed
海峡,channel,chattel,change,cancel
有节制的,moderate,operate,macerate,moderately
伪造,false,fare,fall,parse
轻轻,lightly,light,nightly,eighty
使快活,brighten,frighten,tighten,heighten
钩,hook,lock,hunk,tool
骚动,turbulent,purulent,smooth,full of tenderness or affection
膝关节,knee,bee,kneel,knead
犁,plough,rough,slough,trough
盛宴,feast,neat,lest,heart
河滩,beach,bead,teach,poach
重要性,significance,inexpensive,priceless,worn out
毛皮,fur,fair,nor,far
候选人,candidate,supporter ,demonstrator,serf
私人,private,probate,pirate,primate
耽搁,delay,deny,delta,dear
胡罗卜,carrot,parrot,harrow,cart
最后,finally,result,past events,internal
刻,carve,curve,career,crave
角,horn,how,coin,hoot
装满,fill,fell,film,girl
无论如何,anyway,noway,byway,airway
组织,organize,reorganize,organic,organism
方式,mode,rude,doe,cede
加拿大的,Canadian,presuppose,rescind,tensile
准备好的,ready,deadly,rely,head
将来,future,suture,futile,nature
庇护,harbour,arbour,armour,ardour
以…为条件,provided,screw,treasury,despot
有学问的,learned,cursor,penthouse,brother
英俊,handsome,colorful,flirtatious,pretty and flirtatious
了解,acquaintance,intervene,to deny ,to find a path
开花,bloom,gloom,boom,gloomy
交流,exchange,change,membership,contact
八月,August,gust,august,June
忍受,sustain,abstain,curtain,stain
完成,accomplish,accomplice,to hold ,routine
关于,regarding,so as to,on behalf of,in order to
批准,approval,approve,to prohibit,visa
灰色,gray,ray,pray,gad
打断,interrupt,intercept,license ,ventilation
宣判,sentence,sequence,penitence,to question via torture
丰富,plentiful,annex,concentrate,increase in value
侦察,detect,desert,defect,detach
登记,register,registrar,registry,response
缺乏,scarce,scare,farce,sparse
水库,reservior,honeycomb,name of a place, Gezhouba Dam on the Changjiang River, in Sichuan,embankment
设备,facility,faculty,fatality,ability
联结,bond,none,bonny,blond
深度,depth,deity,death,adept
草地,meadow,mead,endow,shadow
模仿,imitate,imitative,initiate,militate
得到,receive,revive,deceive,received
不足额,shortage,storage,portage,hostage
毛巾,towel,tome,total,tower
器械,apparatus,conventional weapon,biological weapon,chemical weapon
分离,separate,separable,trinity,leave one's native place 
开花,blossom,bosom,bloom,lame
大篷车,van,tank,wane,fan
失败,loss,moss,lust,lose
权力,authority,authorize,authority over the household,sovereignty
运费,freight,right,flight,fight
过多,excessive,expensive,exclusive,extensive
结果,consequence,to have the ears of grain come up,decompose,open
催促,hasten,haste,fasten,haven
早,early,nearly,earl,parley
漏洞,leak,leek,levy,soak
颜色,color,colon,donor,colony
值得花时间的,worthwhile,sublime,musk,retort
损伤,injure,impure,insurer,inure
热心,keen,keep,kneel,reef
蛋白质,protein,protect,protest,protege
消失,disappear,outburst,become extinct,derivative
龙头,tap,nap,gay,yap
邮票,stamp,stem,damp,stump
肘,elbow,bow,below,flow
日记,diary,dirty,darn,dingy
决心,determination,be forced to do something desperate,name of a collection of short stories, Pang Huang, "Wandering About", by Lu3 Xun4 鲁迅,practical
使混乱,confuse,confute,contuse,infuse
悲痛,sadly,gloomy,suffering,distressed
巨大,immense,immune,immerse,incense
电话,telephone,telephoto,wireless,gramophone
侵略,aggressive,aggression,infest,cover a retreat
水平,horizontal,Normal ,index,example
菜牛,beef,beefy,berk,meek
热带,tropical,topical,tropic,typical
东方,eastern,astern,easter,master
复述,retell,recall,reel,tell
出现,appearance,manifest,watery,to come out one after the other
珍贵,precious,precocious,previous,gracious
悲伤,sorrow,morrow,burrow,narrow
重重,heavily,heartily,easily,heavenly
稀奇古怪,curious,furious,serious,spurious
脱掉,remove,recover,revolve,remote
乞求,beg,beige,jog,be
操作人员,operator,operate,operation,orator
便士,penny,plenty,envy,perky
化学,chemistry,chemist,diamond,enamel
形成,form,foray,norm,doom
争论,dispute,impute,depute,despite
沉思,thoughtful,let one's imagine run away with one,deliberation,associate
日常,routine,route,outline,fine
救济,relieve,believe,revive,relief
阿拉伯的,Arabian,bimonthly,if,firebrand
打雷,thunder,founder,shudder,bounder
解开,undo,do,and,ado
致命,fatal,natal,nasal,final
寒冷,chill,swill,trill,hull
绝对,absolutely,inferior to,at first,that kind
指导,conduct,connect,conduit,concoct
伞,umbrella,necklace,parasol,embroider
画,draw,tram,saw,drab
证据,proof,broom,troop,aloof
切开,slit,sect,salt,glut
香味,perfume,peruse,perjure,perfumer
重新获得,recover,receiver,remove,recovery
接近,access,actress,across,assess
技术员,technician,technical,creator,medical scientist
及时,prompt,promote,prop,romp
贸易,trade,tirade,trader,track
操作,operate,cooperate,opera,iterate
真正,truly,when all is said and done,approximately,simply
单位,unit,exit,unity,quit
升,liter,laborer,equine,squeal
众所周知,well-known,faint,official,unknown
领悟,comprehension,loyal to,know ,acquaintance
薄层,film,flu,nil,file
醒,wake,ware,male,tame
设置,lay,lap,pay,sky
陶醉,drunk,embarrassed,confused,not be used to certain food
抚养,rear,sear,near,gear
文摘,digest,divest,direct,disgust
政治家,politician,political,philosopher,biologist
传动,transmission,sports,action,to pulse
使循环,circulate,circular,calculate,concert
专门小组,panel,pane,payer,pale
粗野,rude,ruddy,wade,mute
溶液,liquor,liquid,liqueur,gall
建议,suggestion,suggestive,to comment,respond to
读者,audience,ambience,reader,spectators
鹰,eagle,jangle,sable,bugle
磁的,magnetic,magnetism,magnetize,magnet
使增加,multiply,multiple,vocabulary,Eire
胸,bosom,loom,boom,buxom
苗圃,nursery,purser,bursary,surgery
更远,further,farther,feather,father
敏锐,acute,cute,chute,saute
得益,profit,prompt,profile,prefix
严重,gross,rosy,dross,cross
系,faculty,fault,faulty,facility
强壮,strongly,male and female,to blush ,small and weak
后跟,heel,veal,howl,cell
萝卜,turnip,turbid,turner,trip
谴责,condemn,condom,concern,retort
文学,literary,literacy,literally,literate
拳,fist,fire,twist,gist
发热,fever,sever,never,beer
程序,program,programme,for the first time,ranking
小地毯,rug,rut,mud,run
分布,distribution,to line up,list,be classified as
把…分类,classify,classy,classic,clarify
管,tube,cue,sue,babe
环孔,loop,lot,hoop,loot
骨,bone,pond,hole,one
油画,painting,icon,print,oil painting
霜,frost,gross,foist,frown
先前,previously,the day before,this morning,within the next few days
外形,figure,future,inure,failure
拉丁语,Latin,rampage,calcium,astronomy
发红,flush,flash,slash,plush
舌,tongue,rogue,tonne,tangle
大陆,mainland,inland,mainline,equator
口角,quarrel,quarter,quarry,barrel
理解,understanding,forget,grieve  over somebody's death,consciousness
定期集市,fair,fail,pail,hair
陆军上尉,captain,catkin,caption,curtain
原木,log,low,lug,loll
羞耻,shame,shade,sham,whale
词首,initial,inimical,initiate,instil
合计,total,trial,tonal,metal
谦虚,modest,mode,molest,immodest
可能,likely,livery,lonely,timely
对估价,assess,possess,assist,assert
司炉工,fireman,foreman,lineman,conductive
使窒息,choke,chore,shove,choose
机修工,mechanic,mechanics,mechanize,mechanism
复数,plural,floral,aural,rural
水平,level,revel,live,sever
猫头鹰,owl,oval,out,jowl
蛙,frog,brig,drag,rug
咽喉,throat,throng,threat,throaty
厨房,kitchen,kitten,ditcher,pitcher
经常,constant,consultant,inconstant,instant
突然,overnight,overweight,oversight,rough
揭露,expose,expire,excuse,explore
短袜,sock,beck,some,shock
生锈,rust,trust,thrust,post
电报机,telegraph,telegraphy,telegram,fax machine
铸像,statue,estate,status,statute
代理处,agency,agent,urgency,agony
训练,educate,equate,dedicate,adulate
呼吸,breathe,wreathe,breath,breach
老鼠,rat,road,but,roast
结婚,marry,hurry,parry,harry
路,path,pate,party,pith
失足,trip,tripe,grip,rib
风土,climate,climatic,climax,celibate
比较,comparative,to use,to relate to,as far as  is concerned
十二月,December,remember,October,June
使劲关,slam,seam,cram,Islam
主要,chief,whiff,chill,chef
缝纫,sew,bet,newt,sow
糖果,candy,dandy,canny,sandy
长处,merit,merry,emit,grit
外边,outskirt,a place famous for its scenery or historical relics,outside  borders,transnational
在楼上,upstairs,upstart,pedagogy,imbibe
买到,obtain,abstain,brain,detain
鼠,mouse,most,arouse,muse
驯服,tame,theme,cafe,amp
间隔,interval,internal,infernal,integral
掩蔽,shelter,heater,sheer,swelter
比作,compare,comport,compile,compete
意见,theory,they,theirs,cherry
薄纸,tissue,issue,tussle,fissure
幂,power,lower,tower,cower
提醒,remind,remand,refine,rind
保有,retain,detain,restrain,remain
发表,deliver,delve,delivery,derive
继任,succession,accession,successor,successive
铲,spade,spare,stare,shade
跟踪,trace,peace,trance,prate
入侵,invasion,incision,inversion,infusion
需要,require,enquire,requite,equine
设法,manage,mango,garage,magnate
美德,virtue,virus,virtual,virile
喷,puff,punt,tuft,duff
注视,gaze,rape,ware,gate
紧密,closely,purely,overlapping,be neither too familiar nor too distant
也许,possibly,possible,cannot go so far,really isn't
唤醒,awake,aware,make,rake
计划,scheme,theme,schema,chime
外部,outside,outsider,outline,subside
光荣,honour,nameless,darkly,firm
集体寝室,dormitory,flying,repulsion,parsley
民主,democracy,democrat,arbitrary,counter-revolutionary
令人不快,unpleasant,pleasant,love of country,spoil 
巨物,giant,gin,fiat,grunt
劫掠,rob,fob,job,mom
火柴,match,myth,snatch,batch
电冰箱,fridge,ridge,bridge,midge
领带,scarf,sear,spark,swarm
扎牢,fasten,listen,fate,fatten
严重,grave,slave,brave,frame
广告,advertisement,to advertise,copybook ,bulletin
悠闲,leisure,leisured,leisurely,ensure
医治,cure,urge,core,sure
重复,echo,ache,chop,each
障碍物,hedge,ledge,wedge,cede
压力,pressure,pleasure,reassure,presume
晶体管,transistor,transitory,radar,appliance
拉,pull,dell,pulp,July
宇宙,universe,universal,unversed,diverse
相称,proportional,symmetry,dramatic,correct
变向,turning,burning,during,morning
附加,attach,attic,attache,attack
认别,distinguish,contrast,to know what's what,to distinguish
混凝土,concrete,concede,contrite,lime
反抗,resignation,force majeure,immunity,defense
冒失,bold,bond,cold,bead
察觉,detection,detective,deduction,retention
纯粹,purely,barely,purple,burly
熟悉,familiar,to know,proficient,to be familiar with
消除,elimination,purge,to sweep away,cause to perish
卫兵,guard,goad,gird,hard
舔吃,lick,lock,liar,nice
风景,view,anew,vie,tie
餐刀,knife,kite,rife,sniff
今后,forward,onward,foreword,forearm
优美,graceful,peaceful,grateful,age-old
基金,fund,wind,funk,find
中断,interruption,to park,develop simultaneously,stanch 
领导,leadership,Mao Zedong,Yeltsin,labor contractor
蜘蛛,spider,spite,spire,cider
空中小姐,stewardess,barber,teller,salesman or saleswoman
切片,section,session,auction,suction
配偶,mate,mute,dare,have
不公平的,unjust,just,unrest,adjust
代理人,agent,gene,alert,magenta
伸,stretch,wretch,screech,scratch
病人,patient,paint,patent,patience
完成,attain,strain,attack,train
在船上,aboard,abort,board,hoard
照相机,camera,cater,camel,cavern
近郊,suburb,suture,suburban,sunburn
烘,roast,moat,blast,goat
有毒,poisonous,heroin,marijuana,opium
沾污,stain,stir,satin,saint
基础,fundamental,marginal,underline,restrict at
综合,synthetic,synthesis,speculative,research
下雨,rainy,granny,laity,rind
女演员,actress,caress,mattress,address
吞下,swallow,shallow,allow,wallow
完全,altogether,together,half,how much
摇,rock,sack,pork,flock
瑞士人,Swiss,Albanian ,inhabitants of a border area,fellow citizen or countryman
逮捕,arrest,artist,abreast,garret
反应,feedback,reciprocation,report a case to the security authorities,enter oneself for an examination
确实,indeed,kindred,intend,inbred
滑动,glide,hide,guide,glider
公使,minister,sinister,canister,ministry
龌龊,nasty,nosey,dynasty,hasty
输入,import,airport,impart,deport
不正确的,incorrect,correct,not to be taken as an example,garble a statement, etc.
平均值,mean,moan,hen,leap
爆炸,explosive,expensive,expansive,explosion
专门,specially,specialty,special,speciality
宿舍,dorm,sort,perm,dote
骚乱,confusion,confession,concussion,infusion
粗糙,roughly,dainty,shallow,male
基本上,basically,some,complete,more than
设计,devise,demise,revile,device
珍珠,pearl,nearly,rear,pedal
捆,package,passage,to load,bind up
忠诚,loyalty,royalty,locality,loyal
陆军上校,colonel,colon,coroner,colonial
相隔很远,remote,refute,demote,cremate
蠢人,fool,cool,flow,foul
花费不多,inexpensive,drop sharply ,to fall,sunset
占用,possess,assess,hostess,obsess
动机,motive,local style,plan,point of view
十分,completely,adopt,least,lavishly
脚爪,paw,dad,yawn,gas
故事,tale,stale,stare,tail
焊接,weld,wad,wend,belt
面粉,flour,scour,four,flower
辅助,auxiliary,express sympathy, greetings, consolation, etc.,offer,consolation
自行车,cycle,recycle,icicle,cackle
原子核的,nuclear,clear,nucleus,cherry
负载,load,lewd,loin,log
词汇,vocabulary,proverb,phrase,user of words
梨子,pear,smear,spear,dear
主要,mainly,inexpensive,in high spirits,main
切细,chop,chef,clot,cop
孙子,grandson,nephew,daughter's daughter,son-in-law living at wife's parent's house
和谐,harmony,hormone,trouble,minute
肝脏,liver,lever,diver,lie
发射物,missile,massive,misrule,missive
第四,four,fur,tour,foul
舒适,comfortable,to satisfy,gentle,plan
冲击,impact,impart,impair,import
面颊,cheek,peek,clerk,chef
缺掉,missing,become extinct,to handle,be drained away
想象力,imagination,ferry,nor,intestine
公式,formula,formal,formulate,formula
出人意外,surprising,roughly,strange,maybe
尺寸,dimension,diversion,dissension,load
归咎于,accuse,arouse,accursed,amuse
简化,reduce,resume,deduce,seduce
啜泣,sob,sub,ebb,lot
提灯,lantern,latter,eastern,canter
女英雄,heroine,heroin,heroism,heron
在下面,underneath,eighteenth,virulent,marten
德国人,German,vermin,seaman,Germany
划子,canoe,anode,crane,canyon
触,feel,keel,furl,heel
尽管,although,though,from this, it can be seen that...,moreover
感情,emotional,emotion,good opinion,sensibility
宽阔,width,girth,fifth,widow
朴素,simply,supply,imply,simple
滥用,abuse,bust,amuse,fuse
尊敬,respect,inspect,reject,repeat
球拍,racket,jacket,bracket,rocket
温度计,thermometer,compass,instrument,plank
哑的,dumb,dummy,thumb,dim
集会,assembly,assemble,assembler,role
支付,payment,raiment,lament,garment
羽毛球,badminton,baseball,badminton,battledore and shuttlecock
痕迹,trail,wail,jail,frail
分布广的,widespread,wingspread,symmetry,to be rich in
地方话,dialect,direct,dialectic,dissect
实起,prominent,preeminent,provident,proponent
踢,kick,kith,pack,wink
药片,tablet,mallet,talent,stable
婴儿,infant,infest,invent,intent
警告,warn,care,bark,hare
分子,molecule,member of State Council ,fixed number of staff members or passangers,paw
粒子,particle,pantile,article,participle
流浪者,tramp,trip,scamp,cramp
音乐会,concert,convert,conceit,concerto
锤击,hammer,hamper,hamlet,stammer
学者,scholar,scholarly,solar,astronomer
腐烂,rotten,jotter,potter,soften
抛,throw,throb,tyro,brow
勤勉,diligent,energetic,endure,switch to a job one was not trained for
长,length,zenith,lengthy,tenth
后嗣,heir,hip,hew,their
雷达,radar,cedar,raider,madam
斑马,zebra,era,bra,terra
摇,shake,stake,quake,spoke
驻扎,residence,residency,evidence,presidency
最主要的,leading,lustrous,hey,panther
活跃,active,achieve,octave,activate
出身,origin,rigid,original,ordain
倾向,tendency,tenancy,earnest,can
捕获,capture,nature,captive,pasture
分离,separation,reparation,to have a reunion,for a long time
估计,calculate,calculator,circulate,guess
