#word,meaning,option1,option2,option3
熟人,contact,conduct,compact,connect
通常,usual,visual,usury,seal
贫穷,poor,pour,peer,roof
重要,important,importance,impotent,importune
集子,set,ski,smut,sleet
开始,start,stay,sharp,star
前进,advance,advice,dance,askance
固定,certain,terrain,curtain,pertain
沿,down,join,dawn,frown
很,rare,frame,care,raise
上铺,upper,supper,appear,ulcer
展示,display,mislay,splay,displace
无知,ignorance,ignorant,smatterer,boyish
说话方式,speech,breech,peach,sketch
寻常,ordinary,urinary,ordinal,first-class
第六,six,sir,sex,hi
免除,pardon,paragon,baron,person
庄严,dignity,dignify,divinity,dignitary
疤点,spot,smog,plot,soot
发射,utter,mutter,duster,alter
大气,atmosphere,mean,generous,dry
关于,concerning,re on,so that,regarding
生命,hide,dike,chide,elide
军事家,soldier,solder,holder,collier
昔日,yesterday,since birth,yesterday and today,front
法律,law,laze,row,lame
树枝,branch,stanch,brunch,brace
肉体,body,toady,broody,bog
高峰,high,thigh,sign,hike
欧罗巴洲,Europe,grope,European,rope
拥有,possession,possessive,obsession,outer
第三十,thirty,third,thirsty,shirt
诸如此类,whatever,whenever,whatsoever,wherever
信任,faith,lath,with,froth
产生断层,fault,faulty,fast,fable
后者,latter,laser,flatter,shatter
切,cut,but,hit,rut
存在,existence,supply,supply and demand,coexist
接替,succeed,success,screed,newly-appointed
放,increase,crease,decrease,incense
统治,master,falter,waste,taste
撕,tear,terra,ream,scar
任何事物,anything,nothing,scroll,programme
意识,conscience,forget,unforgettable,proficient
极限,utmost,outpost,most,almost
强大,mighty,eight,nightly,flighty
碰巧,happen,hasten,haven,sapper
反而,instead,stead,intend,instep
被允许的,welcome,become,software,woo
成年女子,woman,workman,omen,yeoman
低语,whisper,whisker,whimper,wiper
注视,behold,behalf,behind,bold
评价,opinion,option,pinion,dominion
惊奇,admiration,aspiration,adoration,feel unsure about something
毛,hair,hairdo,dais,sir
精彩,wonderful,chase the wind and clutch at shadows - make groundless accusations,wise,baseless
风趣,wit,wry,wish,wad
想,dream,freak,stream,cream
锻工,smith,smithy,moth,smut
成功,success,access,duchess,succeed
街,street,strait,treat,strut
作广告,ad,bad,ago,old
是,be,bend,hew,bye
挤出,press,bless,cress,empress
可怕,terrible,horrible,narrow,to lack
少量,slight,sunlight,right,blight
教科书,reader,header,rudder,redden
钟声,bell,bead,bill,bellow
忙的,engaged,engage,enrage,bosom
不正确的,false,male,gale,tale
先生,don,gin,corn,dye
向...下跪,knee,knot,kite,kneel
士兵,private,primate,urinate,probate
耽搁,delay,decay,replay,telly
用雪困住,snow,endow,know,stow
装填物,fill,till,full,folk
使准备好,ready,head,dead,tread
将来,future,suture,futile,rupture
或者,or,of,yore,mob
慷慨,handsome,miser,ice-cold,deferent
威严,august,August,augur,gust
危险,danger,angel,anger,dancer
很可能,probably,probable,pond,nightclub
实现,accomplish,accomplice,tarry,finalize a manuscript, text, etc.
三月,march,mirth,parch,match
戈瑞,gray,ray,orgy,quay
中断,interrupt,intercept,weaning,adjourn
使遭受,sentence,sequence,penitence,ramble
艺术,art,pert,waft,any
这些,these,tease,theme,there
产生醋母,mother,bother,gather,jotter
节期,season,person,reason,mason
收到,receive,received,recite,receptive
没有人,nobody,body,moody,woody
又一个,another,anthem,smother,panther
绿色,green,reek,greet,greed
分隔,separate,separable,revolve around,to leave
减少,loss,toss,gloss,post
权,authority,authorize,bumptious,frustrate
廉价刺激性小说,dreadful,aura,sectarian,scattered
早期,early,nearly,tarry,barely
颜色,color,colored,door,colon
刺人,keen,ken,reek,seek
最,most,cosy,loot,moist
消失,disappear,to destroy ,derivative,to lose
挤奶,meal,zeal,weak,seal
伯父,uncle,ankle,bungle,jungle
无限,immense,intense,immerse,immune
出现,appearance,to appear,to come out one after the other,to reappear
贵重,precious,precocious,previous,precis
全然,dead,seed,meat,head
懊悔,sorrow,burrow,morrow,borrow
沙淤,sand,zany,bane,sad
奇特,curious,spurious,furious,curio
调动,remove,revive,revolve,remote
请,beg,bob,pig,bay
知道,wise,wine,wipe,wilt
构成,form,forte,for,fiord
领土,domain,detain,drain,woman
致命,fatal,natal,canal,focal
举止,conduct,conductor,conduit,contact
拔出,draw,thaw,drip,bray
校对,proof,rook,brook,uproot
通道,access,accede,actress,accent
购物,trade,rake,trance,trader
股份单位,unit,knit,undo,sit
世俗,lay,my,lawn,lag
竖起,rear,debar,tear,jar
控制,hands,anus,hand,hank
小时,hour,dour,hair,hoe
暗示,suggestion,suggestive,to portray,to express
读者,audience,ambience,reader,spectators
胸,bosom,boom,unbosom,book
姐妹,sister,pester,jester,miser
理智,reason,treason,season,beacon
获利,profit,probity,profile,prompt
学,learn,lead,mean,warn
科学,science,silence,scene,since
那里,there,her,hare,hire
文学,literary,library,literate,literacy
严肃,serious,nervous,perilous,curious
什么,what,wheat,fiat,at
骨,bone,phone,Pope,cone
数字,figure,inure,figured,fixture
冷的,cold,volt,cloud,doll
来,come,pore,cos,dove
语言,tongue,tongs,tingle,tone
美,fair,fairy,air,nail
率领,captain,curtain,attain,contain
羞辱,shame,shake,shape,swamp
总数,total,tidal,royal,tonal
合适,likely,lovely,lively,libel
家,family,facile,ramify,amity
瞄准,level,revel,legal,rebel
意思是,suggest,nugget,cloudy,solarium
咽,throat,throne,threat,throes
厨师,kitchen,ditcher,pitcher,kitten
常项,constant,inconstant,constraint,consultant
初期,morning,burning,turning,late stage
向...扔蛋,egg,tag,go,end
顽皮,bad,mar,tax,can
娶,marry,parry,merry,tarry
道路,path,math,pate,pith
首领,chief,child,chin,chaff
向...扔石块,stone,store,ton,stony
持有,obtain,retain,brain,contain
任何一个,either,wither,hither,pitcher
理论,theory,thorny,they,their
促进,power,poster,poke,ponder
北,north,worth,earth,girth
投递,deliver,delivery,liver,derive
在...期间,in,min,mix,hint
想要,require,retire,enquire,acquire
会,may,bay,tan,hay
贞操,virtue,virtual,virile,virus
工作,task,tag,tack,tuck
凝视,gaze,glare,nape,laze
无论如何,possibly,possible,only,consequently
计划,scheme,schema,scene,chime
外面,outside,outbid,outsider,upside
暗淡,grave,grape,grade,brave
供给...座位,seat,unseat,sea,seam
音乐伴奏,music,tunic,magic,muslin
拉,pull,dull,bill,pill
转弯处,turning,burning,turnip,morning
附属,attach,detach,attache,attic
同情,warm,ram,hark,fare
黑体,bold,bird,bosh,word
亲近,familiar,keep sb at arm's length,acquaintance,scratching the surface
看守,guard,hoard,glare,beard
视力,view,vice,stew,diet
遍及,through,thorough,trough,thrush
提前,forward,forearm,onward,foreword
寒冷天气,winter,infer,inner,wine
使入座,chair,hair,fair,chart
延伸,stretch,stretcher,stitch,wretch
有耐心的,patient,patent,patience,impatient
身心崩溃,pieces,piece,faeces,pierce
总共,altogether,together,to drive,drive
大石,rock,crock,loch,rack
保管,keep,reek,jeep,peep
哦,indeed,indebted,inbred,need
部长,minister,monster,ministry,canister
卑鄙,mean,moan,tea,mat
骚乱,confusion,conclusion,concussion,infusion
在...上刻字,letter,butter,settler,lever
心,heart,head,near,cheat
弄臣,fool,good,poor,idol
同一,same,share,some,tome
拥有,possess,assess,obsess,hostess
故事,tale,value,hole,cave
在...一边,with,pith,within,kit
场地,space,shake,mace,scale
匍匐,four,foul,tout,fur
德国人,German,Germany,sermon,yeoman
触,feel,level,fell,free
尽管,although,though,utterly,furthermore
简单,simply,dimple,imply,simple
关于,respect,repeat,aspect,prospect
因为,because,cause,from this, it can be seen that...,regardless of whether...
适合,agreeable,be out of keeping with,unrealistic,symmetry
他们自己,themselves,appertain,dime,boa
一,one,mole,atone,bye
获得,buy,busy,ray,bury
晚的,late,lake,cage,lath
共有,party,pasty,art,portly
投掷,throw,show,brow,throes
长,length,lengthy,lengthen,zenith
通常,often,soften,offend,otter
纸板,board,boar,aboard,broad
活跃的人,active,octave,achieve,alive
出身,origin,rigid,organ,frigid
湿的,wet,wit,meat,deft
费,fee,due,fix,veer
自己,own,fun,pen,fowl
问题,question,Tibetan ,Arabic ,tone
通报,message,massage,passage,herald the break of day
接吻,bill,till,fall,bile
发泄,release,reverse,relapse,lease
扼杀,murder,murderer,burden,turner
使发怒,anger,answer,hanger,manager
添加,additional,addition,appreciate,concentrate
快走,speed,speedy,greed,spend
遇见,meet,peer,fee,beet
机动车,machine,marine,machinery,bus
拿,take,nuke,sake,fare
延伸,continue,confine,convince,continual
希望,wish,with,wrist,sash
男人,fellow,mellow,follow,elbow
禀性,nature,mature,future,capture
口,mouth,worth,loath,moth
重的人,heavy,head,hoary,heave
使后退,back,baby,suck,bank
然而,where,here,wheat,wheel
准备,prepare,preface,presage,portable
细小,small,stall,sail,mall
场所,place,price,player,lance
高,height,fight,eight,weight
材料,material,immaterial,maternal,arterial
幸福,happiness,peaceful and carefree,tragic,to ease
三分之一,third,hard,hind,thirdly
老是,forever,foresee,forester,however
使人畏惧,awful,lawful,annul,manful
寂寞,lonely,money,lovely,comely
用,use,awe,user,up
细则,terms,term,terse,perm
礼拜,church,chuck,churn,crutch
那个,that,than,halt,whit
听从,listen,piston,glisten,linen
变成,become,decode,income,begone
增长,growth,grower,growl,froth
老的,old,ok,fad,dole
这种,such,punch,sun,much
诗,poem,peep,form,pomp
疼痛,painful,gainful,manful,sinful
在...的对面,opposite,oppose,composite,chit
壮丽,splendid,currently available,ancient,elegant
不对,yes,vest,yen,ten
时刻,occasion,occasional,all along,always
王裁,royal,oval,loyal,rival
国民,nation,notion,ration,native
能手,artist,artistic,artiste,artistry
地方,site,spite,elite,since
也,also,as,agio,auto
以版权保护,copyright,wrap,aquarium,amputate
一份,portion,torsion,potion,motion
祷文,prayer,prate,dryer,payer
不幸,unhappy,happy,nappy,snappy
包,wind,din,wand,pink
联接着...,between,petroleum,stamp,madhouse
近似,near,gear,pear,sear
目的,sake,gale,save,bale
单程,single,wiggle,sidle,spangle
种类,variety,varsity,rarity,parity
使减光,dim,vim,ail,sit
后期,evening,this morning,formerly,New Year
它的,its,iris,ass,it
付钱,pay,pap,coy,say
外表上,without,washout,highwayman,pickaback
熨衣,iron,icon,soon,ion
将军,general,renewal,mineral,federal
对付,go,mop,woo,dot
刺激,excitement,excrement,impel,to restrict
承认,accept,accent,access,except
停止,check,neck,fleck,chic
登上王位,throne,throng,throes,throb
两次,twice,tide,twirl,trice
使得意,pride,bride,prate,prime
拿取,have,Yale,move,hate
首都,capital,capstan,capitate,marital
静止,still,skill,drill,spill
搜查,search,teach,stanch,snatch
群集,host,fast,gout,most
五十,fifty,sift,witty,piety
豪华住宅,palace,pace,place,parlance
错误,error,prior,arrow,enrol
训练,train,brain,tail,trans
人们,they,thaw,chef,the
攻击,attack,tack,attract,attach
躺,lie,vim,one,lime
能,energy,enemy,entry,emerge
毁灭,ruin,rug,sin,rain
不常,seldom,serfdom,expense,necktie
阶层,society,satiety,socket,sobriety
击败,war,wail,scar,yard
迄今,yet,hit,yes,gut
惠及,smile,stilt,exile,sill
女性后裔,daughter,slaughter,laughter,judoist
使有代表,represent,present,reprehend,Olympic
蒸煮,cook,noon,cocoa,cool
平民,citizen,molecule,personal,staff
不久,presently,present,just,and even
敌军,enemy,every,envy,entry
派遣,send,sin,tend,bend
进路,approach,reproach,gauge,defiance
谷粒,corn,on,join,coy
教育学,education,seduction,deduction,equation
为什么,why,gay,shy,toy
乐意,glad,goad,glow,wad
视觉,vision,visor,mission,envision
葡萄酒,wine,dine,twine,wing
智力低下的人,natural,unnatural,lateral,nature
较长,longer,lower,linger,ponder
无血色的,white,whiten,chit,wit
跳过,hop,help,map,pomp
使,cause,cease,because,mauve
开始,begin,brain,beg,regain
桥面,deck,desk,buck,neck
为了,for,foam,of,foe
事情,affair,afraid,affix,afar
狂风,storm,story,stem,stare
领先者,leader,wader,beaker,reader
金的,golden,holder,solder,wooden
以前,ago,ado,an,ego
位置,position,positive,portion,opposition
王子,prince,trice,evince,prune
给...定金,price,prize,prince,trice
学习,study,sturdy,saucy,spud
走,walk,Yale,balk,bulk
印象,impression,expression,impressive,repression
扒手,catholic,carbolic,thief,kidnapper
颏的,mental,metal,rental,menial
务必,must,gust,musty,moss
正面,front,fort,fro,frog
剥光,clean,cheap,cleanse,clown
公众,public,rubric,republic,publish
最少,least,easy,yeast,pleat
到处,throughout,throughput,couch,widow
中部,midst,list,first,midge
设想,fancy,bandy,ranch,manly
上涨,rise,wrist,rose,rife
卷,book,boob,beck,loom
撞见,surprise,sunrise,surmise,trigger
设计,plan,slap,loan,van
性质,character,charter,flexibility,possibility
允许,allow,mellow,fellow,slow
减缓,cool,cork,tool,crook
梯级,stair,star,flair,tail
把...编号,number,numb,amber,lumber
指状物,finger,inner,miner,winter
呼喊,exclaim,explain,claim,declaim
通知,inform,infirm,informal,infer
桥,bridge,bridle,fridge,midge
英格兰,England,inland,gland,Czech
坏的,ill,till,pile,gill
直接,direct,dire,indirect,dissect
棚屋,cabin,cabinet,pain,chin
社会,community,communism,commodity,immunity
锯成,saw,van,mow,pan
显露,discover,discovery,embrace,to come out one after the other
嘘,soft,dolt,sole,sift
用土掩盖,earth,dearth,party,math
不知道的,unknown,unknowing,him,telex
一月,January,canary,fifth month,June
使增光,honor,donor,hover,moor
做...的父亲,parent,patent,garment,pare
姿势,attitude,aptitude,altitude,latitude
贵妇人,lady,levy,fad,play
结婚,marriage,carriage,barrage,engagement
充分,plenty,pretty,penny,plenary
联系,connect,convert,concert,context
仇恨,hate,rat,gape,hank
连接,join,loin,vain,min
空气,air,lair,gain,fail
例题,example,trample,sample,ample
经历,experience,go on holiday,stay up late or all night,have spent
赶,drive,deprive,drivel,trite
恐怖性,horror,sorrow,horrid,borrow
转动,wall,wail,sale,ball
平原,plain,play,lair,plan
弓,bow,pop,know,boa
哭,cry,bury,cub,very
提到,mention,munition,section,pension
反对,opposition,deposition,position,exposition
协定,agreement,discussions,to consent ,discuss
露天,open,obey,keen,upon
引起危险,dangerous,champ,surety,precision
教义,doctrine,righteousness,in general,truth
同解,equivalent,primer,tack,gnat
信任,confidence,confluence,confident,conference
发生,arise,artist,arse,rife
回答,reply,replay,ready,rely
感谢,thank,tack,that,frank
渴望,desire,define,respire,despise
话,word,god,wood,world
王后,queen,quest,sheen,quieten
使感兴趣,interest,interject,internet,inherent
广度,extent,extend,sextant,expend
尖板条,pale,paddle,all,parse
商业广告,commercial,vague,pinion,web
自愿者,volunteer,primacy,format,facetious
从...来,from,frog,crop,iron
狂暴,wild,gild,wily,wile
请,please,pleasure,cleave,pleat
尖的,sharp,harp,stamp,shady
翅,wing,dint,king,sing
好处,advantage,shortcoming,strong point,malpractice
在...之内,within,thin,with,wither
做,do,my,no,kw
大量,quantity,quantify,quality,consider oneself unexcelled in the world
朋友,friendly,friend,medium,bride
路,gate,sake,awe,pane
坚硬,hard,hark,bald,harp
男人,john,moan,join,on
它,it,cot,wet,dim
参观,visit,vision,visor,digit
全市居民,city,laity,kitty,airy
著作,author,tutor,abhor,anchor
牢狱,prison,person,piston,poison
招致,court,tour,count,coast
赋予,clothe,lathe,cloche,cloth
变干,dry,prey,dot,dirk
公爵,duke,dune,dike,bike
知名人士,worthy,wordy,worth,forty
纯粹,mere,melt,meter,fare
斗拳,box,boon,boy,hot
陆地,land,lank,laud,ad
共用牧地,common,command,commit,comment
不同,various,vacuous,furious,vicious
相像,similar,dignified,inequality,similar to
底,bottom,boom,cotton,button
王国,kingdom,independent state,island nation,vassal state
总结,sum,gem,sow,aim
需要,demand,emend,dead,remand
全体,universal,universe,few,in succession
事实,truth,rush,strut,trash
种,plant,flaunt,gland,pant
迅速,sudden,sadden,rudder,sullen
冰,ice,race,rice,ace
跑步,run,tan,hug,tuna
确知,know,now,snow,knee
经历,enjoy,enjoin,enrol,annoy
草率,haste,pate,hasten,baste
把...叫作,name,rate,same,game
庞大,huge,hue,due,bugle
肯定,solid,slide,salad,slip
力,force,coerce,pore,fierce
行政人员,official,unofficial,officiate,surround
鼓舞,lift,lint,gist,loft
提出...作参考,reference,preference,referee,reverence
指挥,command,comment,commando,comma
局部,local,focal,royal,goal
对...收会费,tax,mat,haw,tag
说真,really,real,rally,telly
肉,meat,hear,belt,weak
细哔叽,say,sip,bay,wax
仁慈,kindness,mindless,good and honest,those
击败,floor,flog,favor,flower
有标记的,marked,darken,market,maker
活泼,pleasant,peasant,pheasant,pleasantly
把...分等,rank,tank,bark,prank
有能力的,capable,taxable,culpable,parable
词,term,tent,jerk,tiro
天命,fate,jute,late,vane
交易,deal,deaf,dread,dual
一场,scene,scent,scan,cent
乡村,village,silage,pillage,visage
讲,talk,tale,task,gala
极端,extreme,excrete,however,as much as possible
决心,resolution,revolution,evolution,devolution
精确,exactly,exact,strict,no danger of anything going wrong
关切,careful,hateful,artful,harmful
在现场,live,life,pile,time
全部努力,effort,extort,effect,fort
应得,just,must,duct,jut
海,deep,duet,reef,dump
一千英镑,grand,brand,gray,stand
渴望,anxiety,unexpectedly,to dream of ,to yearn for
学科,subject,sublet,abject,object
判断,judgment,judgement,augment,use for
外交使团,mission,mansion,remission,fission
贴糊墙纸,paper,reaper,payer,taper
我的,my,guy,no,us
安慰,comfort,comport,compost,contort
男孩,boy,son,now,not
绝望,despair,repair,alone,on the whole
若干,any,lazy,way,add
逐渐减少,peter,never,peer,meter
渴望,hurry,horsy,tarry,worry
河,river,liver,never,rivet
大量,vast,taste,waft,cost
日光,sun,noun,rug,bun
二,two,tow,tag,tit
自由,free,fry,foe,fret
百万,million,mullion,zillion,millionth
留下,remain,remand,retain,rain
事实,fact,rant,fit,wait
捣碎,pound,round,sound,mound
辐条,spoke,sponge,pike,spike
意指,intend,indent,intent,extend
从不,never,meter,ever,eve
每一处,everywhere,hilarious,desire,ecuadorian
一刻钟,quarter,barter,quartet,starter
承认,agree,greet,area,tree
跨,step,stew,steep,tip
程度,degree,decree,regret,agree
职业伴侣,companion,comparison,compassion,communion
将要,shall,hell,small,sham
女子,female,temple,male,finale
我们的,our,sum,sour,ok
地产,estate,estimate,testate,state
本性,self,sell,sect,seem
他,him,fix,rim,hag
只,only,orgy,oily,holly
壮丽,glorious,flirtatious,enchanting,colorful
意图,intention,intonation,invention,infection
提高,raise,rinse,ease,vase
那些,those,this,house,these
七,seven,uneven,save,sheen
使精通,perfect,percent,prefect,imperfect
十分,much,arch,itch,such
欠,ought,nought,might,oust
宗教狂热,enthusiasm,theorize,ham,policeman
一,an,rag,barn,pat
热的,hot,how,hoe,hose
圣堂,temple,tempo,tremble,simple
以胸撞,breast,beast,crest,abreast
重要章节,chapter,chatter,chamber,charter
陆地,shore,shine,hone,ashore
挤,crowd,cross,crown,crow
分配,division,divisor,vision,revision
高的,tall,toll,gall,gull
地面,surface,suffice,furnace,surname
活着,alive,alcove,alias,abide
军事,military,militate,militant,solitary
残忍,cruel,cartel,cruelty,fuel
责任,liability,stability,ability,authority over the household
课文,text,teat,neat,testy
人,human,puma,humane,hum
空瓶,empty,emit,amity,tempt
制订,frame,fame,flame,graze
不适当地,wrong,ring,crony,long
兜着圈子,around,round,proud,abound
向南方,south,youth,spout,bout
紧身,quick,puck,chick,quack
健忘,forget,fidget,gorge,fret
惊起,spring,sprint,stringy,swing
鲜美,delicate,celibate,dedicate,replicate
记述,account,recount,accost,accent
进步,progress,process,profess,prowess
遮,shade,shire,shave,slave
纯色,clear,altar,bleat,cream
同情,sympathy,what a pity,use sparingly,forgiveness
山,mountain,maintain,fountain,contain
大人物,great,area,break,treat
记得,remember,member,December,unforgettable
爵士,knight,night,eight,flight
打上,print,prince,glint,plinth
木,wood,good,mood,loom
马可,mark,park,cork,bark
黑暗,darkness,harness,hardness,disgraceful
企图,attempt,tempt,attest,raise 
调准,time,tame,title,tide
衣服,suit,slit,soot,skit
钱,silver,river,salver,silvery
狂暴,rage,lag,rail,ace
全部人,population,modulation,cuff,due
社会,social,vocal,racial,local
活动中的,about,aloft,abut,spout
谨慎,safe,same,sale,raft
因...懊悔,regret,secret,retreat,regress
娱乐,pleasure,treasure,pressure,measure
财富,wealth,health,realty,welt
代价,cost,cast,chat,coil
没有东西,nothing,clothing,anything,thing
主要演员,principal,principle,cohabit,upstream
无罪的人,innocent,indecent,indolent,insolent
最下部,foot,hoot,flop,rot
经济价值,worth,girth,month,worthy
进行,proceed,process,continue,power failure
很,well,weld,hell,all
贵重物品,valuable,palpable,invaluable,voluble
事,thing,thong,shine,wing
四十,forty,fogy,foray,fort
另外,fresh,rush,flesh,afresh
船队,fleet,greet,beet,sleet
究竟怎样,however,forever,howler,whoever
写短文,paragraph,recall,compound,profuse
现行,actual,annual,mutual,ritual
围绕,round,redound,roan,around
任何人,anybody,nobody,antibody,who
才能,equipment,stunt,eloquence,skill
装准,true,tree,tout,brute
烟斗,pipe,pip,ripe,pick
铺平,smooth,moth,soot,smith
做,make,mike,hike,lake
听,hear,sear,beer,reap
美洲,America,Africa,recover,scabbard
腿,leg,lug,less,fen
几乎,almost,inmost,aloft,alms
一百,hundred,hundredth,kindred,pencil
和约,peace,pace,fence,pave
构造,build,bile,bud,rebuild
认真,earnest,harness,garnet,arrest
人们,we,ewe,up,vet
经常,frequent,request,frequency,incessant
件,piece,pierce,niece,pieces
走吧,away,awry,wax,sway
迫切,instantly,instant,thirsting or hungering for sth.,wander
整齐,order,solder,border,cider
出,out,gut,hum,cut
走廊,passage,massage,passive,passable
应用,apply,reply,apple,ample
极坏,wretched,wretch,infinitive,felony
检测,sense,tense,ensue,dense
门状物,door,doom,cook,dour
时期,date,sane,ware,hate
桌子,table,tale,Bible,stable
男子,mankind,unkind,teacher,dame
解除,ease,cease,mast,mask
打击,hurt,rut,bust,haunt
晚餐,supper,sucker,scupper,copper
海,sea,bean,stew,tea
他,whom,how,whim,shop
交,hand,man,shank,handy
第八,eight,eighth,weight,eighty
动作,movement,moment,monument,pavement
保卫,watch,patch,catch,hitch
心爱的人,beloved,belated,trickery,argot
供应,supply,surly,supple,sappy
发表,publish,public,polish,publisher
宣告,sound,shunt,soul,south
数,count,haunt,coast,out
指责,blame,bare,bane,black
遗憾,afraid,frail,fraud,raid
玫瑰色,rose,rook,rave,loser
声明,statement,to portray,record,tell or talk about
偏离...,off,ox,tiff,hoof
熏制,smoke,smoker,stoke,mike
池,lake,hale,place,lad
男孩,lad,load,jaw,lay
呼吁,appeal,appal,appear,peal
少女,maid,aid,yard,malt
西方,west,weld,sect,pest
当然,certainly,certainty,certain,very many
神,divine,dive,define,dine
爱好,weakness,indissoluble,feel deeply attached to,acquaintance
允许,permission,remission,emission,percussion
烧伤,burn,buck,fun,barn
精神,spiritual,make no comment,lament,high-spirited
总是,always,alas,alias,away
深于,beyond,second,bond,bend
有充分根据的,probable,probably,probate,improbable
系统,system,sister,oyster,stem
过程,process,progress,prowess,profess
捐,donate,dote,rotate,dilate
彻底,full,bully,dull,lull
人,people,pebble,pimple,perplex
飞似,flying,cling,fling,flint
啼,sing,swing,dig,inn
页,page,pagan,pace,pave
要求,request,bequest,quest,inquest
堂兄弟,cousin,coffin,cosine,coupon
焦虑,anxious,envious,noxious,bemoan the state of the universe and pity the fate of mankind
保护,protect,protege,pretext,project
把...作赌注,risk,whisk,wish,rink
忍受,suffer,duffer,buffet,buffer
微量,drop,dog,duo,trot
方面,way,wand,say,tax
放,put,punt,mat,guy
帮佣,serve,verve,nerve,verse
酬金,reward,beware,regard,rear
必要,necessary,accessary,necessity,urgent
过夏天,summer,summon,summary,sucker
帮助,support,supper,sport,purport
怀疑,suspicion,suspicious,take to heart,to accept sth. as true
战斗,fight,mighty,might,right
畜群,drove,drive,above,grove
茶叶,tea,teat,yen,wear
劳动,labor,laborer,flavor,layer
多少,how,sow,go,so
飞翔,flight,flighty,fight,blight
棍,stick,sink,sack,brick
她,she,shoe,toe,set
有几分,rather,water,rate,gather
绕过,circle,icicle,curdle,cycle
自负,vain,again,wait,cabin
回报,return,turn,recur,retire
恐怕,fear,near,shear,real
赠送,gift,tilt,gut,glint
发狂似的,mad,bad,cad,land
物质,substance,natural science,guest,mommy
足够,enough,cough,though,tough
指,point,foist,pout,mount
泄露,discovery,discover,kill two birds with one stone,show
变热,heat,pear,yeast,wheat
星期天,Sunday,Monday,runway,sundry
需要,want,hint,pant,dint
大的,generous,onerous,adjustment,entail
鸣,ring,rife,tin,rig
主妇,mistress,stress,distress,listless
现实,reality,realty,realism,readily
谁的,whose,hose,whole,house
能保密的,secret,sect,secrete,sacred
第一,first,fish,fist,fight
说话,speaking,grunt,to take in and send out ,mutter
