#word,meaning,option1,option2,option3
underestimate,低估,估计,渴望,推测
analogue,类似物,(政党的)核心机构,抵(反)抗,削
rooster,狂妄自负的人,修补,实践,给…注明日期
nourish,提供养分,抱养,收养,保育
stall,货摊,支店,奶牛场,店铺
widely,大大,大爷,叔父,姑娘
murmur,低沉连续的声音,高兴,企图,堆积
limp,跛行,围墙,屹立,对待
nominate,任命,备取,招收,委任
simplicity,单纯,通通,不仅,甚至
opaque,不传导的,他自己,扔掉,大量
pluck,鼓起(勇气),激发,不做声,目瞪口呆
rap,轻敲击声,大臣,鸣礼炮,便宜货
oxide,氧化物,水银,硫磺,泻盐
response,灵敏度,赫兹,标高,频道
visa,签证,批准,禁止,打印
strength,强度,赫兹,周长,频道
deficient,缺乏,动态平衡,多余,亏损
humanity,人性,个性,同辈,前辈
disperse,驱散,变速,变频,变形
overwhelming,压倒,一般来说,胜过,超龄
parade,夸耀(才能等),电学,梳妆,部分
extract,取出,索取,借出,归还
deviation,背离,顺从,违抗,违宪
bed,矿床,地下水,上流,北冰洋
aviation,飞行,搭乘,行驶,巡弋
fertile,(创造力)丰富的,书写,搞乱,寿命
slang,俚语,代词,句子,主格
summon,召唤,宣传,提倡,召回
unlimited,无限,忍受,最多,百倍
expedition,探险,猜谜儿,旅游,游荡
northward,向北,支票,使中圈套,歧视
forum,论坛,官方,报界,对方
sham,假装,屏气,喘息,喘气
discount,打折扣卖,碗状物,遮掩,侥幸
gangster,暴徒,北洋军阀,魔鬼,败类
superstition,迷信,不服,半信半疑,确信
interview,会谈,迁就,协商,答应
softness,软弱,卑怯,强悍,张扬
choice,入选者,定金,年龄较大,体力劳动者
usage,习惯法,司法,宪法,卞
wisdom,(古人的)名言,氨基,状语,标准
solar,利用太阳光的,点缀,二手,不足道的
novelty,新奇的事物,辩解,初级,名字
sting,刺,穿透,触摸,散步
breakdown,崩溃,不力,关门,破产
uniformly,一贯,成立,将就,变通
shady,可疑,神奇,合法,不三不四
default,缺席,退学,脱氧,出席
perish,死亡,舍身,暴卒,崩
terminate,停止,僵化,熄灭,关门
surpass,胜过,比如,适应,没有
graze,放牧(牲畜),打包,奖品,过错
scar,瘢痕,疤痕,斑点,裂痕
ass,驴,胆怯,苦难,褐色
criterion,尺度,宾语,状语,氨基
infinitely,无限,一定,接受,最多
illusion,错觉,公认,存心,臆测
deliberate,深思熟虑,思考,构想,感恩
hiss,嘶嘶作声,命令,困难,拳击(运动)
parachute,降落伞,扇子,阳伞,刺绣
prism,棱镜,安全灯,镜子,凹透镜
induction,就职,就业,办公,解雇
cautious,小心,体贴,冷淡,保重
fuse,保险丝,论点,靶子,缘故
politics,策略,制度,共和,保护主义
enterprise,事业心,哀思,信心,笔触
engage,使(齿轮等)啮合,安静,水平,最低
magnify,放大,收缩,切换,暴涨
axis,轴,袭,担,抱
swell,使膨胀,悬垂,翘,露出
legislation,立法,建立,定都,点名
sequence,序列,一行,断层,对流层
verge,界限,八度,半边,顶点
resemblance,相似,反过来说,俨然,例如
overwhelm,压倒,比如,一般,一般来说
lessen,减少,淘汰,补遗,补票
overflow,从…中溢出,呆笨,(绘画)艺术,(动词)不定式
hush,沉默,目瞪口呆,哀叹,不做声
sociology,社会学,科技,科研,医学
abstract,抽象,整齐,拗口,纯正
obedience,管辖,督导,指挥,执法
outline,概述,志,记述,声明
mint,造币厂,解释,剧本,加上小点
set,集(合),阻止,掌握,锻炼
start,开动,起飞,着手,开始
halve,平摊,平均,分开,人均
ideally,理想,百读不厌,优惠,龙飞凤舞
overhear,偶然听到,黑板,范例,计数
implore,哀求,不情之请,请求,探路
ignorance,愚昧,对答如流,半吊子,大器晚成
violate,侵犯,报仇,帮凶,蛊惑
excursion,离题,经营,第二十,订(货)
hearth,炉边,例如,讥笑,选择
quest,寻找,找到,盯住,寻机
geographical,地区(性)的,位于…的边缘,喜欢,准备好的
dwarf,矮子,男孩儿,小淘气,稻草人
inclination,倾斜,翱翔,滑翔,依偎
dignity,(举止)庄严,(植物流出的)白色乳液,打扮,连接
prototype,典型,别出心裁,唯一,无比
coherent,粘着,约请,明天,困难
tape,系,我亲自,真相,聚精会神
flannel,法兰绒衣服,(光线的)束,斗争,团结
adjacent,紧接着的,精神,治愈,商店
hide,皮革,毛皮,橡胶,丙纶
diploma,毕业文凭,餐馆,邮寄,但愿
monarch,君主,掌柜,股东,暴君
gorilla,大猩猩,白狐,猿猴,猴子
haunt,经常出没,在南方,播种,正当
peer,隐约出现,使产生灵感,零件,本土(相对半岛
correlation,对射,寓所,方向,委托
destructive,破坏(性)的,不利,便宜,警备
body,实质,高地,江面,问题
symmetrical,对称,符合,不切实际,意气相投
capacitor,电容器,二极管,喇叭,电视
fascinate,迷住,惊愕,吃不服,警惕
collaborate,协作,摸索,抱佛脚,大显身手
vaccinate,给…种牛痘,提防,宝物,每年
blouse,童衫,把…关在圈中,担负得起(损失、费用、后果等),喜欢
fraction,分数,单数,双数,因子
heading,题名,名义,商标,罪名
utilization,利用,判断,用于,挪用
squeeze,压榨,剥削,投机,破晓
scholarship,学问,眼界,对数,才学
watery,湿的,以雾笼罩,历史书,关
perch,(禽鸟的)栖木,处,轻声说,在..之上
tease,逗乐,尴尬,健康,怪僻
sophisticated,老于世故,半路出家,不辨菽麦,近视
banquet,酒席,便宴,嘉年华会,研讨会
blaze,燃烧,咆哮,烧毁,叮当
assessment,估定,三明治(夹心面包片),剔除,塑料(制)的
mighty,巨大,兵强马壮,龙飞凤舞,衰弱
endeavor,努力,专门,从来不,任性
reverse,背面,金边,外面,犄角
contrast,使对比,丑陋,反对(抗),武器
subsequently,接着,刚才,已经,一直
granite,花岗岩,板岩,伟晶岩,碎石
advantageous,有利,控制,超越,不可逾越
pilgrim,香客,长老,达赖喇嘛,佛教徒
conviction,深信,妒忌,赞成,爱戴
fracture,破裂,折断,撕毁,损坏
ponder,考虑,绞尽脑汁,发现,公认
whisper,低声地讲,展览,承认,奖
moss,苔藓,莨菪,稻草,白木耳
intervene,干涉,狡赖,公认,了解
admiration,钦佩,不服,买帐,相信
reactor,反应堆,轨枕,消防栓,警报器
narration,叙述法,经常,掩埋,宏伟
jog,使(马等)缓步行进,铸件,结实,缺乏
haughty,傲慢,恭顺,冰冷,大方
guilt,有罪,处决,斩首,绑架
endow,资助,支援,帮腔,慰藉
amateur,业余爱好者,航运,人,保卫
wasteful,破坏性的,招贴,血统,发展
press,印刷机,录像机,机器人,分机
jewellery,珠宝,首饰,戒指,手镯
lighter,打火机,蜡烛,火柴,白蜡
prestige,声望,名望,盛名,威望
challenge,艰巨任务,计划,紧急,金
amplitude,充足,不足,狭窄,广博
shovel,铲,一把,联合,友好关系
commonsense,有常识的,提出看法,损失,到达物
promotion,促进,限制,激起,加以
crisis,危机,风波,民事,行政
transplant,移植,播种,培植,栽植
random,随机,痛快,无人,尽量
bacon,咸猪肉,剃,联盟,拳击
trot,(马)小跑,奔腾,跑步,踊跃
specification,规格,状语,补语,氨基
retail,零售,推销,处理,转让
dentist,牙科医生,士兵,矿井,(植物)结实
fro,回,褐色,为…辩解,失败
statistics,统计,著述,动笔,小结
implement,工具,磁盘,茶具,唧筒
attachment,爱慕,自信,买帐,可敬
straighten,挺起来,不像,目标,前进
hook,用钩连接,体会,污染,操作
vector,飞机航线,在那时,运转,(数量等的)多少
locality,发生地,北国,南北,东南
Moslem,穆斯林(的),喝,年龄较大,开设
horn,角状物,化学师,不一致,作图
grassy,草似,焦虑,原谅,减弱
fill,担任(职务),战胜,吹,助手
questionnaire,调查表,手迹,名著,作品
antarctic,南极,北纬,西半球,地球
harbour,隐匿,避嫌,寻觅,避暑
anode,板极,极了,限度,大小
alignment,结盟,搭伴,断交,拜把子
spacious,广阔,平衡,紧张,丰富
shrine,圣祠,校舍,纪念馆,宿舍
hoist,扯起来,下流,(成方)纪念日,嘴
exploration,勘探,采油,遥测,问世
predominant,占优势的,读者,树干,可能性
antenna,触角,犄角,尾巴,脚踝
warehouse,仓库,谷仓,发电厂,武库
desolate,荒芜,旺盛,空白,肥沃
unanimous,(全体)一致的,给…洗澡,玻璃杯,在家
similarity,类似点,词汇表,床,词汇表
preach,说教,菱形,侧面,低劣
shortage,短缺,多余,相差,现存
cater,迎合,巴结,包庇,放任
linger,拖延,到期,耽搁,期满
compact,紧密,不即不离,谈得来,重叠
freight,货运,海运,流放,过载
dreadful,可怕,富于,讨厌,广博
consequence,重要(性),娱乐活动,经营,多采多姿
dome,圆屋顶,中间(部),周围,叔父
fellowship,联谊会,联席会议,集会,全会
civilian,平民,人们,人手,每人
energize,给与…能量,消遣,木材,东方
global,球面,补角,对顶角,立方体
badge,标志,体现,预兆,意味着
treasurer,司库,盒,努力,轻轻
bankrupt,使破产,单调,援助,热闹
merchandise,商品,备件,硬件,杂货
elbow,用肘挤,冒失,国内,地毯
affirm,证实,归属,来自,可见
windmill,风车,雌性,使大量落下,那么
bridle,束缚,支配,制裁,兴奋
tropical,炎热,临时,采暖,闷热
instability,不稳定性,国内,领带(结),社会主义者
climax,(兴趣的)顶点,慢吞吞地,轻碰,张
physically,物质上,政府,深,稀少
inasmuch,因为,出于,那么,否则
ranch,(北美洲的)大牧场,包装,严厉,虽然
rash,鲁莽,彬彬有礼,庄严,漂浮
practicable,适用,用法,照搬,操作
balcony,楼厅,颇,偷盗,护理
routine,常规,古怪,特别,不伦不类
cloudy,混浊,背光,附近,幽暗
spatial,空间,城郊,太空,大方
zinc,在…上镀锌,工厂,命令,梯子
constituent,形成,变更,变幻,恶性循环
chill,感到寒冷,任何,充分,购货
slit,切开,搅动,切,簸扬
miser,守财奴,妖精,北洋军阀,败家子
massive,大而重的,浓的,绪论,(安然)度过(暴风雨、难关等)
trade,做买卖,神职,腾出,精致
rear,饲养,钓鱼,放牧,捕鱼
sift,筛,切,淘金,筛选
priority,优先,根本,第一,乃至
agitation,鼓动,呼叫,呼唤,责成
wharf,码头,莫斯科,罗马,喀什
transmission,遗传,流行,传说,谣传
wrinkle,使起皱纹,刺槐,装作,肉体
panel,(选定的)专门小组,充满活力,刀,结算
repel,拒绝,鞭策,容许,归咎
bacterium,拳击迷,在…中获胜,辐射线,出租
flatten,击倒,胜过,失败,覆没
audience,正式会见,矿,庄稼,形状
nursery,苗圃,林地,温室,桃园
further,增进,变本加厉,加速,弱化
reason,辩论,争议,污蔑,笔战
gross,(语言、举止)粗俗的,虚伪,给…发电子信函,书商
herald,传令官,汇合,费劲,不符
literary,精通文学,观光,激发,使…堕落
luminous,光明,险峻,腐败,雄伟
program,编制程序,胸腔,剧本,设计者
hound,卑鄙的人,手帕,失去,跑
ingenuity,设计新颖,在的对面,(思想、文字等)采用,作用
what,所…,第一位的,那些,混合
indignation,义愤,得意,阴郁,忧虑
concession,让步,殴打,和解,说服
flush,发烧,咳嗽,伤风,头晕
prairie,大草原,殡仪馆,磁场,股市
fair,美丽,美貌,崭新,古老
log,飞行日志,气球,穿过,祝词
shame,使羞愧,拼命,挣扎,补救
initial,词首,挂念,自命,词语
unlock,开…的锁,中心,樵夫,有闲
blacksmith,铁匠,包身工,泥水匠,技工
expel,排出,往来,进入,日出
wrestle,摔交,发抖,失足,跌倒
incidence,入射,职务,重新,通知
petty,器量小的,说服,现今,精子
aerospace,航空和宇宙航行空间,话务员,焦虑,相当多的
orient,亚洲,沼泽,荒野,草地
clatter,得得声,纪念碑,病害,富裕
applaud,欢呼,狂吠,悲鸣,呼唤
stone,果核,向…报告,管理人,教(练)员
merit,应受赏(罚),抓,公平,座
impurity,不纯,解释,很,担心
perception,理解力,功夫,生产能力,智能
deform,损坏…的形状,少量,相信,路程
theory,推测,公认,主持,臆测
unpaid,不支薪水,屏风,倒置,型
stuffy,不透气的,濡湿,最新,阴凉
enrich,使富裕,混合,八(个,未赶上
succession,继承(权),叔叔,密友,同辈
violation,侵犯,蛊惑,败坏,剥蚀
poultry,家禽,鹧鸪,知更鸟,雕
innovation,新设施,后来,勃兴,毒化
notwithstanding,尽管,由于,因为,的
masculine,男性,滑溜,雌雄,敦实
puff,喷(烟等),转播,正式,生存
delegate,特派员,专员,目击者,发言人
awake,认识到,被允许,必要,消除
scheme,计划,准备,轻松,打算
outside,在…外,滑行,梳妆,延迟
refugee,难民,逃亡者,流浪者,当事人
vowel,元音,回声,辅音,擦音
remainder,余数,篇幅,总额,全程
shorten,减少,干,收缩,延伸
echo,反射(声音等),知晓,仅仅,出生
apt,恰当,不宜,方便,杯水车薪
pressure,电压,安静,好运,骑马
distinguish,使显出特色,有兴趣的,刽子手,推理
siren,汽笛,烟火,爆竹,跷跷板
resignation,顺从,违例,违犯,遵守
neighbouring,邻近,相差,堵车,阻隔
through,因为,就此,无论,由此可见
forward,转递,宝贝儿,剩下,灯
incredible,难以置信,自信,同意,亲信
mitten,连指手套,系,通常,传真
fission,裂开,打破,放置,断开
tyranny,残暴,恶狠狠,慈悲,罪恶
section,切下的部分,希望,攀登,减去
moor,使停泊,考察)队,翼,航行
linear,长度,重量,比例尺,个子
ambitious,有雄心的,压,儿子,守望员
obscure,阴暗,下雨,秋高气爽,晴天
unemployment,失业,得意,罢官,出名
budget,预算,计数,并入,计算
trolley,无轨电车,公共汽车,出租汽车,殡车
gorgeous,极好,薄头巾,发表意见,到达
tar,柏油,石膏,石灰,水泥
residual,剩余,足够,亏损,平衡
exemplify,举例证明(解释),徘徊,鹦鹉,往那儿
shark,贪婪狡猾的人,大量,(贴在公共场所的大型)招贴,领袖
periodical,期刊,表报,日报,报纸
realistic,现实主义,中学,辩证唯物主义,不可知论
shortcut,近路,独木桥,死胡同,阶梯
pier,码头,斯里兰卡,南通,连云港
hemisphere,半球地图,防护物,难对付的人(事),右
depression,消沉,大发雷霆,心寒,同谋
motive,发动,宣传,责成,提倡
geology,(某地)地质,范围,遗憾,把…藏起来
enroll,参军,最近,到处,古怪
sneeze,打喷嚏,醉,哈欠,大便
ecology,个体生态学,卖,使失明,上述
currently,当前,现在,有生以来,今晨
youngster,年轻人,大小,大人,奶奶
vocabulary,词汇表,绅士,引航,收集
chop,一块排骨,月份,垃圾箱,到处
thicken,使变厚(或粗、密),靠近,激发,放大
realization,(理想等的)实现,触摸,喧闹,陈列
successor,继承人,猿人,祖先,世人
positively,确定,定夺,定时,务实
conform,一致,不约而同,同年,同屋
compression,浓缩,裁军,裁员,加长
distract,分散(心思),青年们,邮寄,绒毛
precede,领先,不欢而散,为首,扩散
dissipate,消散,灭绝,散发,失去
chorus,合唱,变调,对唱,帮腔
emigrate,永久移居国外,愤怒,拖拉机,姿势
feel,摸起来,毁坏,聪明,管子
tug,猛拉,觉得,断断续续,全部
agreeable,同意,回绝,承诺,订立
degradation,衰变,年轻化,合法化,变色
tabulate,把…制成表,思想,酒店,真实
complement,补足(物),用处,然而,意见不合
inorganic,无机,必修课,练习,内科
seaside,海滨(胜地),(安然)度过(暴风雨、难关等),官员,青春
tramp,步行,散步,行走,却步
late,去世不久,下(蛋),聪明,优点
concert,协作,面临,抱佛脚,做出
coke,炼焦,训练,消息,生客
aerial,航空,航行,行驶,骑马
length,程度,指标,表率,榜样
manuscript,原稿,长篇,定稿,读物
board,(收费)供…膳食,病人,活力,自负
imitation,仿制品,名产,矿产,出产
stairway,楼梯,栏杆,阳台,扶手
dessert,甜点心,莽撞,数量,比赛项目
assert,断言,阻拦,碰,宏伟
overhang,悬垂,放置,崩裂,存放
multiplication,繁殖,产卵,孵化,野生
proton,质子,流浪者,旅游者,俘虏
bead,有孔小珠,应支付的,(色彩)浓淡,跳跃
summary,速决,复原,战胜,解渴
detector,发觉者,算盘,轨枕,警报器
oath,宣誓,报捷,预报,晓示
question,讯问,推翻,干预,试探
longing,显示渴望,无害,她的(所有物),碟
flee,逃避,避免,以免,争取
message,教训,调教,警钟,打击
hurl,猛投,使摆脱,提议,情欲
drainage,排水,中保,本行,航运
gathering,聚集,汇集,告别,久违
immigrate,(使)移居入境,从今往后,祝词,友好
advertise,登广告,性别,句点,懒惰
elemental,基本,珍贵,紧迫,卑下
evenly,一致,同时,同龄,附属
inaugurate,使就职,架桥,标准,否则
superb,超等,艰巨,不怎么样,上流
frightful,讨厌,博爱,动情,爱国
overlap,重迭,行列,操作员,最初
ridicule,嘲弄,开玩笑,过不去,摆弄
regulate,对准,随同,并且,随着
yacht,游艇,摆渡,马车,小船
millionaire,百分富翁,孤儿,债务人,债权人
finely,精细,简朴,粗劣,雌
primitive,远古,公元前,年代,王朝
strive,力求,谋取,吸取,得分
fragrant,香的,多姿多彩,斑驳陆离,臭味
headquarters,总局,商号,摊子,书店
sweetness,新鲜,上流,独占鳌头,不像话
operation,运算,度量衡,笔算,计数
awful,令人崇敬,废墟,打盹,在...旁边
allied,联合,各自,从中,就是
workshop,专题讨论会,使完美,根据,同种同族
emission,传播,传说,谣传,遗传
bulletin,公报,提案,图片,遗嘱
software,(计算机的)软件,(动词)不定式,研究,北部
intonation,发声,叫喊,叫醒,呼唤
circulation,(货币等)流通,改善,出口品,路线
editorial,社论,墓志铭,哀辞,论文
sheriff,警察局长,历史,点缀,红色颜料
witty,机智,不灵,糊涂,眼尖
confront,使面对,敢,控制,野营
pamphlet,小册子,年鉴,操典,参考书
endurance,耐久力,第十九,有苦味的,上升
tighten,(使)变紧,无畏,饲养员,百万
firework,烟火,圣餐,抓饭,素食
senseless,愚蠢,糊涂,卑怯,不到黄河心不死
eclipse,(日,听说,脚步(声),周期
furious,狂暴,尊敬,爱面子,漂浮
splash,泼水,年龄最小的人,饿死,滚筒
watertight,不漏水的,消防,警备,幸免
drama,戏剧性事件,座位,疾驰而过,类
composite,合成物,违反,邀请,乐事
refrain,忍住,不可逾越,宰制,跨越
wasp,黄蜂,标本虫,熊蜂,蜗牛
snore,打鼾,最高点,条款,表示亲昵
certainty,确实,羡慕,认真,疑心
alien,外国人,瑞士人,欧洲人,新加坡人
gravel,砂砾层,为(论文等)答辩,生疏,六
wring,扭,流血,受伤,不快
twist,歪曲,纠察,改过,本末倒置
garage,汽车修理站,虚构,沸腾,训练
denial,否定,介入,公认,确认
forge,打(铁等),食糖,游戏的人,辞典
incapable,无能力的,感谢,调查者,(时间、事件)到来
nun,修女,教士,阿波罗,白匪
brand,在…上打烙印,(船的)舱口(盖),发怒,国内
crash,砸碎,鞭挞,拍手,拷打
extraction,摘要,速记,键入,下载
ion,离子,生物,动物,原子核
mature,成熟,跛足,开放,发芽
wind,胸口,颈部,肩膀,奶子
ginger,姜,淀粉,胡椒,作料
between,当中,艰巨,不费吹灰之力,第一流
slap,掴,一步,文件,(英)运货汽车
momentary,瞬息间的,实时,成年,短暂
coward,懦怯,愚笨,明白,睿智
clinic,诊所,北京大学,人大,电影院
stiff,生硬,温和,锐利,猛烈
bypass,绕过,转道,装货,横过
salute,迎接,实践,见面,背信弃义
check,支票,证券,股票,税收
lofty,高耸,矮墩墩,极大,细长
restrain,遏制,约束,超过,支配
patent,专利,司法权,权利,责任
monstrous,可怕,可怜,不得人心,可笑
consul,领事,总经理,会长,队长
confidential,秘密,隐约,不可思议,官方
gamble,冒…的险,不是,高于,料想
bridegroom,新郎,中介,新娘,女朋友
fitness,健康,尴尬,乏味,神奇
flatter,谄媚,庇护,驯服,和好
largely,大规模地,工作人员,全部,裹
second-hand,旧的,发展,运输工具,存留
infinity,无穷大,因子,单位,函数
whitewash,石灰水,石膏,沥青,水泥
jean,斜纹布,零头,布帛,料子
rattle,发出格格声,紧接,基本(础)的,不久前
waitress,女侍者,允许,顺..前进,纽带
contrary,反对命题,人,特殊,搏斗
convey,转让,变卖,零售,处理
velvet,丝绒制的,寺,引起,跳水
specimen,抽样,精选,招致,采种
immerse,给…施洗礼,脉冲,店主,冲突
innumerable,无数,扁圆,半圆,圆周
algebra,代数学,科学,科目,医学
pierce,洞察,日常食物,必须,烟灰缸
pumpkin,南瓜,豆类,大豆,西红柿
entertainment,招待,驱逐,收养,虐待
barren,不妊,晚的,爆炸,重要人物
executive,总经理,公爵,侯爵,博士
elapse,(时间)过去,销毁,突发,散发
vision,视力,财力,量力,力量
mixer,混合者,轨枕,消防栓,烟囱
wrench,拧,起死回生,治愈,愈合
white,白种(人)的,代价,全部,特殊
hop,(人)单足跳,活动装置,出卖,目的
uproar,骚动,萧条,困扰,平稳
champion,提倡者,载运,局,假装
announce,报告…的来到,木,包厢,痛苦
contend,竞争,骂,诅咒,雄辩
catalogue,为…编目录,打喷嚏,在外面,睡
sensible,明显,莫名其妙,机密,暗自
penalty,罚款,授勋,表彰,警告
compulsory,强迫,摆布,诱惑,强制
epoch,历元,时期,罢工,向…道喜
decidedly,明确,含糊,合法,隐约
waggon,敞蓬车厢,竞走,渴求,聚集
junior,年少者,格言,提取,简要介绍情况
earnings,收益,现金,亏损,盈余
suffice,足够,抽出,动态平衡,现存
shove,(使劲)推,练习,看法,摆动
storm,猛攻,围攻,冲击,不可抗力
deem,想,不正当的,兼职的(地),噪子
snail,蜗牛,阿米巴,标本虫,步行虫
makeup,性格,身体,纳税人,同辈
settlement,调停,整理,军备,修饰
position,主张,公认,考虑,臆测
whale,鲸,有教养的人,不过,许可证
gesture,(讲话时等)做手势,努力工作,要点,费力地前进
adjustable,可调整的,语法现象,困难,海洋
analogy,相似,如同,异步,比如
distinctly,显然,莫名其妙,神秘,有效
magician,变戏法的人,把…看作,农业,鼻状物
productive,生产,解冻,变质,速冻
rinse,冲洗,对光,合影,照相
smart,剧痛,出院,痒痒,疼痛
prohibition,禁止,调查,批准,签证
chatter,喋喋不休,通信,乱说,赘述
psychology,心理,智能,创造力,精神
theme,词干,成熟,守望员,擦
appendix,阑尾,阴茎,肚子,阴户
flux,涨潮,增高,升起,攀升
reclaim,回收,吸收,解散,免职
hamper,牵制,遏制,妨碍,范围
majesty,陛下,股东,纳税人,王后
resolute,坚决,无法无天,断然,安分
fixture,固定,板滞,无情,活泼
stray,迷路,失踪,不见,跑电
symptom,征兆,下落,气象,迹象
discourse,讲道,吞吐,多嘴,赘述
Catholic,天主教的,不像…,专业性的,团体
deficiency,不足之数,箱,必须,与
trivial,琐碎,重叠,繁复,鞭辟入里
pacific,性情温和,英镑,旋转,女王
therein,在那里,细看,稀少,背
prolong,拖延,不及,期满,到期
ivory,牙质,基础,底线,限于
stem,(手表的)转柄,沙漠,彻底,拳击
massacre,大屠杀,杀人,谋杀,强奸
fearless,无畏,退避,百感交集,感激
abide,遵守,保育,顺从,抚养
attendance,出席人数,图书馆,模型,宏伟
predecessor,前辈,本性,辈分,选民
tower,高耸,最高,短粗,加仑
propagate,繁殖,孵化,野生,产卵
roam,在…漫步,探险,消遣,猜谜儿
notify,通知,忠告,报晓,报数
number,共计,驾驶,驾车,骑马
tolerant,容忍,不以为然,可以,拥护
bridge,架桥于,昔日,有教养的人,象袜子一样的东西
consolidate,巩固,增进,安定,延缓
doom,注定,对立,衬托,已婚
parameter,参(变)数,拿定主意,发疯,市场
stability,坚定,张扬,大刀阔斧,不修边幅
erect,竖起,排放,铺平,安放
uncertain,不定,太平,萧条,凋敝
situated,位于…的,类型,叉,信仰
banker,银行家,建筑师,大家,发明家
tread,践踏,欺压,胁迫,引出
shrub,灌木,芭蕉,槟子,月桂树
compliment,问候,通信,拜年,汇寄
perpendicular,垂直(线),很,生存,是的
cosmos,秩序,均势,局面,优势
viscous,粘滞,决定性,中性,非盈利
squat,(使)蹲下,坚果,道路,总收入
shower,下阵雨,破(裂),漏洞,责备
guitar,吉他,小提琴,喇叭,琵琶
deposition,口供,标语,梦话,暗语
dynamo,发电机,起重机,马达,蒸汽机
hindrance,障碍,束缚,余烬,赘疣
dynamical,机能上的,球(状物),靠近,(钢琴等的)音锤
resultant,作为结果而发生的,有趣的人或事物,乡村的居民,责任
ascend,追溯,辨析,分类,字斟句酌
inflation,通货膨胀,起伏,日落,廉价
frustrate,挫败,不力,成功,崩溃
rascal,无赖,独断,大公无私,反革命
testify,作证,根源,在于,标明
subscribe,预订,订阅,函购,抢购
veto,禁止,检察,签证,许可
grasshopper,蚂蚱,火龙,蜘蛛,蝴蝶
extinguish,熄灭,失去,散发,衍生
mock,嘲弄,诱惑,开心,摆弄
bait,引诱物,建立者,青灰色的,陈列
composition,结构,班子,各种,某种
henceforth,今后,明日,上星期,不日
censor,审查,核准,追查,检察
plain,坦白,证词,逼供,抄家
plateau,高原,假定,突然降临于,同意
calibration,标定,频道,周长,面积
handy,方便,超过,不利,不可逾越
roller,辊,薄片,芯片,洞窟
reside,居住,过活,安家落户,断交
concentrate,浓缩,收缩,浸透,蔓延
misfortune,灾难,幸福,桃花运,灾害
torque,转(力)矩,顶点,第一名,未煮开的
edit,校订,编排,修改,补遗
litter,乱扔,海员,日常,服役
radiator,暖气片,石板,木板,板子
embody,体现,表示,起源,显得
doctrine,学说,义务教育,办学,保健
rally,(重新)集合,完全,增加,吩咐
equivalent,等面(体)积的,地方性的,在...周围,错误
dismiss,忘掉,记忆,知悉,挂念
confidence,机密,可疑,暧昧,背后
bandage,绷带,艾绒,面罩,车辆
watt,瓦(特),伸展,私人,工厂
incidentally,附带,专程,痛快,有意识
partition,融墙,(一)排,盆,暴风雨(雪)
inspiration,灵感,直觉,酸痛,感情
calculus,微积分,才学,科学,眼界
snobbish,势利,虔诚,狡诈,伪善
cubic,立方,短小,英寸,立方米
nickel,镍币,锞,辅币,伪币
propel,推进,妨碍,鼓舞,强加
span,(桥墩间的)墩距,叶卷烟,(轮胎)瘪的,(常
magnet,有吸引力的人(或物),月台,嗜好(不包括阅读等),为…证婚
lever,手段,暗箭,把戏,毒计
ignite,引燃,生火,加热,暖和
volunteer,志愿,能够,不行,无意
vine,藤本植物,哺乳动物,动物,宠物
