#word,meaning,option1,option2,option3
低估,underestimate,reasoning,suspect,anticipate
螺丝钻,auger,memo,climax,repentance
不协调的,incongruous,ambitious,respectful,runnel
海藻,algae,black henbane,moss,grass
多产,fruitfulness,kill two birds with one stone,economy,to start work
证实,confirm,conform,bonfire,confide
寓言,fable,fail,fibre,table
蜂鸣器,buzzer,bunker,butter,buffer
熔岩,lava,slave,papa,wave
经济,economical,economics,economic,gain
全体人员或职员,staff,stage,stiff,safe
潮湿,damp,dump,pomp,zap
全盛期,heyday,grandchild,link,inductive
安宁,well-being,full of tenderness or affection,afflicted with all ills,prosperous
强壮,muscular,vascular,young,male and female
诱使,tempt,empty,text,teapot
给…提供住所,house,mouse,louse,hose
一种美洲鸟,cardinal,ordinal,cardiac,marginal
一丝不苟,meticulous,sumptuous,sensitive,endure
不规则地,irregularly,chief,rustle,plebeian
行李,baggage,luggage,bandage,barrage
玉米,maize,baize,aide,make
钻孔,bore,forte,bone,care
音高,pitch,patch,itch,ditch
安全,security,hard,lone,confront a powerful enemy
(指印刷或字迹)清楚地,legible,flexible,illegible,edible
（砖、石灰等）窑,kiln,kill,mien,tile
释放,liberate,literate,deliberate,lacerate
可自由选择的,optional,option,optical,rational
无限制的,unrestrained,deserts,refractory,speedy
严厉,stern,storm,stele,story
极光,aurora,beam,fluorescence,shadow
宇宙,cosmic,comic,mosaic,commit
背包,backpack,bag,wallet,to cover
评论,remark,embark,rear,remand
混乱,chaos,chasm,chair,chafe
公鸡,rooster,roster,monster,roost
滋养,nourish,tourism,flourish,tourist
易延展的,ductile,futile,docile,tactile
障碍物,obstruction,mixture,prey,whole
使吃惊,amaze,glaze,mate,damage
不停,incessant,priority,No. 1,on schedule
两院制的,bicameral,matrix,customer,springy
晋级,promote,propose,provoke,prorate
（一）对,couple,comply,uncouple,corpse
混合,conglomerate,transport,to spread,intersect
不锈,rustproof,card,radical,emission
折叠,fold,fond,dolt,field
障碍,clog,clot,log,cot
不一致,incongruity,riot,fragrant,reign
任命,nominate,dominate,nominal,nominee
朴素,simplicity,complicity,implicit,lasting
晦涩难懂,opaque,pique,plaque,huge
静止,dormant,mordant,format,torment
蔬菜,vegetable,vegetate,venerable,leaf mustard
生效,efficient,efficiency,deficient,sufficient
财富,fortune,forte,torture,fortunate
可折叠的,folding,synonym,tollgate,troupe
（使）停止,halt,chalet,half,waltz
缺乏,deficient,deficiency,deficit,efficient
缓慢,tardiness,sudden,Marathon,spread like wildfire
牛仔,cowboy,tomboy,convoy,martyr
人性,humanity,inhumanity,humanism,humility
分散,disperse,dispense,disburse,displease
着地,touchdown,price reduction,drop sharply ,to depreciate
缓和…的冲力,cushion,cession,fusion,fashion
生长速度超过…,outgrow,outgo,outcrop,outgrowth
游行,parade,trade,prude,parapet
有脊骨的,spined,scourge,pedicab,absolute
避开,escape,estate,escapade,scare
焊接,solder,golden,powder,order
放热,radiation,tradition,aviation,gradation
断裂,rupture,upturn,rapture,future
沮丧,depressed,plan,disappointed,plot
肿胀,swelling,pain killer,to cough,digestion
挨饿,starve,slave,suave,stake
集装箱,container,contain,cassette,thermometer screen
榨出物,extract,retract,tract,exact
关联,association,interrelated,have nothing to do with,love me
线状,threadlike,gadgetry,determine,tearful
航空,aviation,avocation,variation,navigation
欺骗,deception,reception,inception,perception
包含,incorpoarate,to emerge,harbor,expose
使变化,transmute,hoard,gland,dept.
能繁殖的,fertile,reptile,textile,festive
传播,broadcast,popular,rumor,tradition
可疑,doubtful,state in writing,irregular,nondescript
折衷主义,eclecticism,dialectical materialism,romanticism,knowledge
枕头,pillow,mellow,allow,willow
剪切,shear,sheaf,share,sheer
爆发,explode,explorer,exploit,explore
引起注意,attract,cataract,extract,retract
城堡,chateau,farmhouse,garret,shed
输出,output,outfit,outlet,outpost
胡说,nonsense,condense,to take in and send out ,to say more than is necessary
记忆,memory,emery,memoir,merry
炼金术,alchemy,screen,giant,km
远征,expedition,exposition,ferry,copula
爬行,creep,creek,deep,reek
存款人,depositor,depository,deposit,repository
立法机关,legislature,unsavoury,ordnance,solidarity
鱼的,fishy,fish,filthy,dish
扩展,sprawl,scrawl,spray,drawl
造船工人,shipwright,trilingual,hollyhock,branch
不全信,discount,dismount,certify,relative
涂掉,obliterate,literate,illiterate,drip
全体工作人员,crew,crest,spew,view
明确说明,specify,pacify,species,special
不可靠的,treacherous,imposing,languid,mislead
长寿,longevity,female,heroic,artificial
形成中的,formative,attraction,pigtail,crowd
受到折磨,haunted,faking a modern object as an ancient one,blessings,provoke
肮脏,messy,fussy,mess,mesh
部分,partial,partially,martial,impartial
不断,endlessly,frequent,often,every day
超时,overtime,overtake,overcome,overture
最小,minimal,animal,minimum,menial
有益健康,healthful,signature,lineage,bud
草图,draft,deft,graft,drafty
亮度,luminosity,length of 2 outstretched arms,Hertz,circumference
子午线,meridian,the northern hemisphere,depression,north latitude
太阳,solar,sear,molar,sonar
新颖,novelty,poverty,novel,lovely
半熔化的,semimolten,artificer,subheading,similar
骑士阶层,equestrian,ride on horseback,embark,to drive a car
时代,period,periodic,peril,person
分配,distribute,cash ,to convert,distribution according to need
替罪羊,scapegoat,persons involved or implicated,refugee,runaway
刺,sting,stingy,sing,sling
强烈,spanking,obvious,vague,legal
减少,wane,lace,bane,bank
桶,tub,dub,bob,hub
掠夺者,despoiler,precocious,pennant,baptize
成就,accomplishment,to hold ,to take drugs,routine
辛苦,painstaking,disturb,pardon me,for a long time
疲倦,weariness,to breathe deeply,lazily,to gasp for breath
故障,breakdown,loophole,duration,fault
一千年,millennia,sign,nickel,legate
钢结构大梁,girder,hinder,rider,girdle
杂色,varied,outside,civilian use,particularly
装饰,ornamentation,clone,assemble and install,to make
节俭,sparingly,serious,duration,prudent
粘土,clay,glad,claw,clam
停止,terminate,germinate,terminal,termite
远见,foresight,freight,fortnight,objection
怀疑,mistrust,mistress,distrust,to support 
超越,surpass,surplus,insurmountable,suppress
富有,affluent,affluence,effluent,fluent
加强,intensify,intensive,to deepen,hurriedly
放牧,graze,grace,maze,gale
远离,distant,dissent,distend,disputant
（使）协调,harmonize,carbonize,unpleasant,sprat
不均匀的,asymmetrical,shorten,pad,breakneck
十亿（的）,billion,bullion,million,pillion
真菌,fungi,wheat,spore,wheat
隐约闪现,loom,lop,soot,loop
同类相食,cannibalism,halve,baste,adversary
幻觉,illusion,collusion,allusion,delusion
财团,consortium,central bank,family-run shop,supermarket
袭击,foray,foal,stray,forty
任命,appoint,point,recruit,appoint
显著,notably,notary,notable,faint
震惊,shocked,fear,not be fond of certain food,waken
狗舍,kennel,kernel,funnel,kneel
细枝,twig,prig,win,twine
彻底的失败,disaster,distaste,plume,kangaroo
故意,deliberate,delineate,liberate,jolly
费力,laboriously,first-class,inferior,tip
着火,ablaze,blaze,able,laze
缩回,retract,refract,detract,retrace
气体,gaseous,nauseous,nitrogen,oxygen 
当局,authorities,swelling of the liver,wart,rash
绿宝石,turquoise,money and valuables,chaff,historical relic
摔跤,wrestling,tug-of-war,boxing,cross country
降落伞,parachute,parachute,fan,umbrella
紧急,urgent,agent,pungent,ardent
小心,cautious,captious,caution,curious
雾号（浓雾信号）,foghorn,forlorn,zinc,racial
熔合,fuse,dude,bust,pause
政治,politics,politic,politick,political
事业,enterprise,business,knight,exploit
履行,perform,performer,reform,perforce
针灸,acupuncture,to give or have acupuncture and moxibustion,to give or have an acupuncture treatment,dissect
权限,jurisdiction,leadership authority,activity,a right
被压缩的,compressed,antagonis,amiss,trouble
脾气,temper,timber,pepper,member
侵略者,invader,hoodlum,cheater,a wretched-looking tramp who lives by begging or stealing
近似,approximately,for instance,dignified,resemblance
放大,magnify,dignify,signify,to extend
轴,axis,maxim,ail,dais
节食者,dieter,try,cambric,scripture
自然主义者,naturalist,naturalize,lawcourt,raise
（使）肿胀、膨胀,swell,spell,shell,small
好奇心,curiosity,soul,mental attitude,deliberately
立法,legislation,establish a capital,roll call,build up from nothing
顺序,sequence,sentence,at every step,therefrom
相似,resemblance,inequality,asynchronous,following
禀赋,endowment,will to fight,intelligence,creativeness
坦白承认,confess,contest,congress,countess
压倒,overwhelm,too old,generally speaking,as
商议,negotiation,discussions,to agree to and sign ,to get out of the way
史前,prehistoric,modern times,Christian era,a decade of a century
潜水艇,submarine,summarize,warship,patrol boat
符号,notation,vocation,nutation,citation
多才多艺,multi-faceted,competent,arise from the dead,sensitive
冷漠,indifference,pride,enthusiastic,modest
年老,advanced,man-made,male,behavior
不可想象,unimaginable,entitle,street,low
摘要,abstract,obstruct,attract,distract
修剪,trim,tie,rim,trip
硅酸盐,silicate,epsom salts,salt,sulfur
枢轴,pivot,pit,pilot,plot
宇宙飞船,spaceship,airliner,glider,space station
有营养的,nourishing,masculine,enormity,reef
压下,depress,repress,duress,redress
掠夺,predatory,broken circuit,against the law or discipline,kidnap
预先,advance,askance,advice,dance
包,bundle,bustle,bangle,dandle
冲突,interference,salute,kneel,to bow
成对角线,diagonally,burden,light,crypt
移动,shift,shaft,shifty,thrift
易变,mobile,module,mile,gobble
对…起诉,prosecute,persecute,prosecutor,loll
破坏性的,devastating,postdate,sprinkler,paddy
稀有,rare,Yale,pare,ape
疾病（尤指轻病、小病）,ailment,latch,lively,code
放电,discharge,study,to launch,written examination
弯脚,bowlegged,constraint,cartilage,savagery
蓝宝石,sapphire,precious stone,ruby,money and valuables
诱惑人的,tempting,parsimony,underwear,government
显示,display,splay,displace,dismay
无知,ignorance,ignorant,learned,answer the questions without any hitch
苦工,drudgery,dredger,drudge,a move
存活,subsistence,to satisfy,to be,corresponding 
远足,excursion,incursion,exclusion,expulsion
寻找,quest,quoit,guest,west
把…显得矮小,dwarf,aware,swarm,warm
稀释,dilution,to lower,to cut staff,disarmament
不确定地,indefinitely,abstention,haphazard,gasify
形象化的比喻,imagery,image,burning,whale
嗜好,inclination,opinion,to interest,odor
尊严,dignity,dignify,dignitary,signify
发觉,spot,soon,spout,spit
船货,shipload,beautify,pointer,vein
独自,solely,with one's own hands,difference,personal
原型,prototype,suspender,puree,nuke
连贯,coherent,cohere,inherent,incoherent
发表,utter,mutter,cutter,steer
活力,vitality,vitalize,totality,finality
修辞学,rhetoric,engineering,geometry,biology
大气,atmosphere,not stint,responsible,generous
有分歧的,divergent,tenth,socialize,riddle
战士,warrior,barrier,carrier,political commissar 
血浆,plasma,trough,microwave,syrup
基本,rudimentary,emphasis,trivial,expensive
深深,profoundly,pitiless,peace,astonishing
区分,differentiate,to distinguish,comparable,to make use of
毗连,adjacent,close in on,approach,stoppage
移动,locomote,flow,current,pour
编织,weave,behave,weaver,eve
隐藏,hide,vide,wide,he
起皱,crumple,crumbly,rumple,grumble
不幸,unfortunately,to rise to power and position,fortune,break out
电池,cell,sell,eel,hell
君主,monarch,march,monarchy,empress
大猩猩,gorilla,corolla,grill,grille
有角,horned,unloose,capsize,gigantic
积累,accumulate,to settle accounts,submit an expense account,transfer money from|into an account
（思想、回忆等）萦绕心头,haunt,want,jaunt,daunt
凝视,peer,week,reek,peel
军人,soldier,solder,collier,holder
引起瘟疫,pestilential,garnish,tyrannize,drive
破坏,destructive,land oneself in,crack,crumble
最佳,optimal,first-class,advanced,upper class
团队精神,regimentation,decompose,catalyst,bandage
收割,reap,real,peal,dead
对称,symmetrical,in keeping with,second only to...,coincidence
光合作用,photosynthesis,response,repute,quick results
海产,marine,margin,mariner,saline
拥有,possession,possessive,obsession,to publish
出汗,perspire,respire,humanity,having blood in one's stool
电子,electron,election,electric,elector
使着迷,fascinate,constancy,annular,swoop
国会议员,congressman,fifth,droop,spar
有角,angular,annular,regular,jugular
协作,collaborate,to put out,make a hasty last-minute effort,to be confronted with
同盟者,confederate,co-worker,playmate,classmate
进行预防接种,vaccinate,dustbowl,apparatus,footlights
烦恼,boredom,indignant,bemoan the state of the universe and pity the fate of mankind,to take one's anger out on sb 
横切,crosscut,hooky,clammy,chug
绊倒,stumble,stubble,tumble,mumble
第一位的,primary,prima,primacy,primer
小部分,fraction,traction,faction,reaction
持续不变,sustained,leap,liniment,width
精通,accomplished,to know,take notice of,to know
防卫物,fender,sender,fence,fodder
利用,utilization,differentiate,to know what's what,so as to
不活泼的,inert,insert,inept,ingot
过错,fault,faulty,fruit,exult
排除,eliminate,prevail,quench,brush
挤进,squeeze,sneeze,singer,fop
奖学金,scholarship,contribute funds,sum or volume of business,circulation
高低不平,rugged,nugget,oblate,flat
（通过在线方式）远距离工作者,telecommuter,tuna,adulation,spurious
栖木,perch,lurch,peril,parch
几乎,practically,yet,admittedly ,as luck would have it
(事物)复杂的,sophisticated,execution,flexible,noes
澄清,clarify,clarity,glorify,charity
污染,taint,think,thin,faint
厚木板,plank,lank,plant,prank
三维,three-dimensional,to the east of ,acupuncture point,west
弦乐器,strings,piano,organ ,flute
礼节,ceremony,hegemony,wedding ceremony,custom
部落,tribal,delegation,financial group,chorus
补充,complementary,to decrease,lengthen,addendum
震动,shock,hock,dock,cock
同心,concentric,merge,unmarried,interconnected
持异议者,maverick,codicil,thrice,reasonable
良心,conscience,curiosity,deliberately,privacy
高度,altitude,attitude,multitude,aptitude
手工艺人,craftspeople,queen,fight,stalwart
燃烧,blaze,glaze,booze,daze
估价,assessment,to continue upholding,conjecture,predict
强大,mighty,might,eighty,fight
尝试,endeavor,vegetarian food,slippery,roast
集合,aggregation,to collect,to have a reunion,for a long time
矿石,ore,opal,quartz,limestone
交互式的,interactive,encourage,trivial,note
相反,reverse,averse,revere,revenge
特殊习惯,mannerism,magnetism,tedious,weird
对比,contrast,contract,contralto,contest
申请人,applicant,supplicant,troops,team companion
调查,investigation,track down ,detective,to prohibit
否定,negate,gate,sedate,legate
邮局局长,postmaster,posthaste,disclaim,prefer
装载过多,overburden,secret,remove,aquarium
减去,subduct,disarmament,to cut staff,buy one's ticket after the normal time
听得见的,audible,laudable,edible,auricle
计算器,calculator,calculate,abacus,lightning arrester
杂乱,intricately,solemn,sordid,stately
多毛,woolly,wholly,wool,jolly
现今,nowadays,this morning,original,since birth
假设,hypothesize,in addition to this,only,so
繁重,burdensome,mystery,ordinary,medium
（使）适应,adapt,adept,adage,adaptor
进口税,customs,tariff,promissory note,taxation
随后,subsequently,while ,in the end,on the eve of
强调,emphasize,emphasis,to notify,to pledge one's life
花岗岩,granite,grange,grant,graphite
含盐,saline,slink,valise,saliva
弹回,recoil,rejoin,retail,recall
坚信,conviction,condition,convection,connection
有刺,thorny,thirty,thorn,horny
压缩,compress,comprise,congress,empress
冒险家,adventurer,adventure,name of an author, Lu Xun,philosopher
使破裂,fracture,feature,rapture,tear up 
散开,diffuse,disuse,suffuse,infuse
重新调整,readjust,readout,adjust,undecided
钦佩,admiration,aspiration,adoration,to show respect 
（使）成熟,ripen,rice,wipe,rip
呼吸,breathing,sniff,shout,vomit
横越,crossing,cut,window,the mouth of a cave or big hole
肥料,fertilizer,fertilize,celluloid,plastic cement
慢跑,jog,jig,song,of
使都市化,urbanize,turban,relish,invoke
关节炎,arthritis,focus ,diphtheria,laryngitis
行动迟缓,sluggish,glasshouse,dearly,trident
使衰竭,sap,cab,rag,ski
碗,bowl,gown,coil,coal
智力,wit,wig,vim,tit
讽刺,ironic,chronic,tonic,sonic
跳蚤,flea,flex,flu,flora
敌意,hostility,thread,meaning,popular will
（使）相信,persuade,pervade,start a fight,compromise
捐赠,endow,meadow,widow,now
业余爱好者,amateur,bridge,assure,lovable
不足,insufficient,extant,be lacking,loss
(尚未取得学位的)大学生,undergraduate,conical,outfight,dice
(人或动物)矮而结实的,stocky,stodgy,stock,sticky
威望,prestige,preside,presage,vestige
蒸馏,distill,distill,to purify,silver-plating
铸件,casting,object,software and hardware,sample
宝石,jewel,jeep,feel,level
威胁,threaten,threat,make threats,press for payment of debts
动人,touching,troublesome,pitiful,touching
敏锐,acumen,acme,acute,slow 
脊骨,spine,spike,spite,spire
（使）分解,disintegrate,scorch,discrete,delta
有组织地,organically,medical department,to operate,undergraduate course
懒洋洋的,lethargic,weary,hold one's breath,to take a breather
坚定不移,perseverance,frail,timid,skilled
微小,slight,flight,light,sight
（对…）免疫的,immune,immunize,impute,imbue
会话,conversation,pour,to take in and send out ,tell 
苛求,exacting,be concerned about,seek,chase
通电流于,galvanize,galvanic,galvanism,dropout
意义重大,eventful,eventual,resentful,protractor
横跨一步躲闪,sidestep,enforce,massacre,sword
有意识地,consciously,refuse to acknowledge,be capable of,able to
具有常识,commonsense,chopper,for,baffle
兰花,orchid,Peony ,flower,Cinnamonum cassia
在前,preceding,precedent,be situated ,outer
移植,transplant,to earth up,to cultivate,to plant
报摊,newsstand,drip,dilatory,jitter
聚集,congregate,trinity,to reunite,to separate
愚蠢,silly,sulky,sly,gill
取消,cancellation,free ,degradation,name
毯子,blanket,blank,blacken,planet
切实可行,feasible,sensible,tight ,strong
大礼堂,auditorium,lounge,bathroom ,icehouse
规格,specification,amino,object,adverbial adjunct
陶醉,intoxication,good-looking,not be used to certain food,heart and soul
零售,retail,retain,real,recoil
使缓和,moderate,modulate,macerate,immoderate
牙科医生,dentist,detest,demist,desist
食肉,carnivorous,drink,chew,to suck in
例行公事,ritual,actual,virtual,visual
统计学,statistics,statistic,biology,economics 
熔合在一起的,fused,dab,handicap,overweight
实行,implement,complement,inclement,ruin
配属,attachment,detachment,attainment,motion
点亮,brighten,tighten,frighten,heighten
狂暴,turbulent,purulent,consolidate  at every step,dry
困境,dilemma,infernal,details of a case,accusation
腐蚀,erode,prude,elope,diode
入迷,obsession,possession,session,embarrassed
位置,locality,legality,localize,morality
意义,significance,pathology,measure in traditional Chinese music,derogatory sense
文学上的流派和体裁,genre,prevention,naughty,Mayday
候选人,candidate,supporter,protester,voter
有旋律的,melodic,suggestion,cleanly,carmine
推迟,delay,relay,delve,deity
引人入胜,spectacular,fascinating,broad scale,troublesome
切开,carve,nerve,carper,large
（牛羊等的）角,horn,earn,son,loan
调查表,questionnaire,monumental  work,works ,schedule
活泼,animated,to hear told,optimistic,naturally
哄诱,coax,roan,ox,hoax
审查,checkup,check,checkout,investigate
相互依赖,interdependent,do a good turn,offer,express sympathy, greetings, consolation, etc.
多细胞的,multicellular,stabilize,beehive,modish
感情,affective,remote sensing,inspiration,real intention
营养,nutritional,adverbial adjunct,element,object
定量配给,ration,reaction,ratio,oration
首字母缩写词,acronym,crony,antonym,graduate
统一,unify,unity,union,edify
结合,incorporation,tripartite balance of forces,to fail,interface
槌棒,mallet,ballet,ballot,valley
名人,celebrity,celerity,celebrate,important person
排列,alignment,be decorated with lanterns and colored banners,list,stack
成就,attainment,attachment,final version or text,convene
不加疑问,unquestioning,kite,lotion,nowhere
可信赖的,trustworthy,forenoon,cling,blazon
广大,spacious,specious,capacious,sagacious
相识,acquaintance,proficient,misunderstanding,to know
花,bloom,broom,boon,gloom
有用,functional,fractional,function,indistinct
配备,outfit,outwit,unfit,output
兑换,exchange,change,to allocate,overdraft
坚定,steadfast,silly,frail,as one wishes
决定性的,definitive,infinitive,definite,definition
支撑,sustain,stain,curtain,dustbin
探究,exploration,to separate out,weighing every word,research
开始,onset,inset,set,asset
实现,accomplish,accomplice,convene,final version or text
尚未被人碰到的,intact,indict,contact,intent
提出诉讼,sue,sky,nut,she
宗派,sect,seat,dent,net
前进,march,starch,porch,batch
赞成,approval,approve,possible,to put up with
支配,predominant,to surpass,wholesome,sanctions
方法论,methodology,dialectical materialism,legal principle,romanticism
打断,interrupt,intercept,traffic jam,license 
狂热,fanaticism,stoppage,craze,madly
宣判,sentence,sequence,penitence,reprimand
贫穷,needy,need,weedy,seedy
巨大,vastness,coarse,insignificant,stable and steady
僵化,rigidity,automation,legalization,simplification
察觉,detect,defeat,detest,defect
登记,register,registrar,registry,time
罕见,scarce,starve,scarlet,scarf
设施,facility,ability,fatality,faculty
联结,bond,book,bend,boil
仓库,warehouse,knowledge base,database,nuclear arsenal
冰山,iceberg,storm ,ice floe,icicle
荒凉,desolate,resolute,decorate,detonate
令人恐惧,frightening,roguish,savagery,semester
仿效,imitate,militate,agitate,imitator
全体意见一致的,unanimous,freeway,export,barrel
解冻,defrost,frost,freeze,corruption
并列,juxtaposition,close to,press on towards,block the traffic
麻醉,narcotic,arctic,to revenge,rusty
布道,preach,peach,reach,French
异常,anomaly,animal,extremely,take orders
满足需要,cater,rather,crater,heater
监督,supervision,supervise and urge,to go around and inspect,watch over
逗留,linger,longer,finger,ledger
圆锥,cone,bane,core,hone
紧凑,compact,company,compost,combat
花,blossom,bosom,bloom,to have the ears of grain come up
权力,authority,authorize,jurisdiction,privileged
货物,freight,flight,fright,right
过多,excessive,exclusive,extensive,expressive
可怕,dreadful,hateful,tempting,be unpopular
促使,catalyze,to drive,to place,attract 
结果,consequence,stammer,to lift a ban,germinate
加速,hasten,chasten,eastern,haste
泄露,leak,fear,lean,feat
引人注目,eye-catching,inconceivable,hidden,unofficial
仓促,precipitation,busy,comfortable,law and order
（感觉、观察、理解等）敏锐的,keen,beef,heel,peer
俨然以恩人态度的,patronizing,vainglory,accost,honorary
平民,civilian,civility,civilize,per person
蛋白质,protein,protest,protege,protect
包装,packaging,to load,curl,throw away
全球性的,global,local,gloat,loyal
促进,boost,roost,hoist,cost
开发,tap,tray,tact,ton
喷涌,gush,ash,push,gulp
破产了的,bankrupt,bankruptcy,disguise,penalty
商品,merchandise,software,software and hardware,groceries
肘,elbow,bellow,mellow,allow
搞乱,confuse,contuse,confute,confide
诗集,anthology,astrology,pathology,mythology
存在物,entity,enmity,entice,density
断言,affirm,affix,afford,infirm
巨大,immense,immerse,incense,immune
强有力的,aggressive,aggression,soccer,picture
熔化,fusion,infusion,cushion,vision
水平,horizontal,typical,index,quality
小册子,brochure,procure,collection,character dictionary
热带,tropical,topical,tropic,typical
嫁接,graft,grand,craft,raft
爱空想的,fanciful,highwayman,diligent,loyal
彻底检查,overhaul,overhang,overall,mend
遮蔽,sheltered,rather ,barefoot,to cover
避免,avoidance,deserve,waterproof,sidestep
全体一致,unanimity,roadway,zoom,responsive
地图上没标明的,uncharted,belch,false,wilful
非凡之人,prodigy,podgy,probity,prodigal
预防,forestall,foretell,disadvantageous,narrowly and luckily escape
改革家,reformer,medical scientist,historian,man of letters
宝贵,precious,gracious,previous,precocious
调味品,flavoring,tofu,thin sheets of bean curd,starch
（令人）好奇的,curious,dubious,furious,cautious
感光性的,photosensitive,ad,apostrophe,mouse
幼年,infancy,infant,fancy,infamy
农场,ranch,watch,France,branch
胆小,shy,sap,ashy,say
争论,dispute,depute,dispose,dilute
领域,domain,detain,domino,woman
行得通的,practicable,unhappy,upstream,quantity
有思想性,thoughtful,gazelle,sill,calve
常规,routine,route,outline,laughable
风格化的,stylized,twin,umbra,studious
活泼,vibrant,vibrate,migrant,vagrant
减轻,relieve,reprieve,believe,relief
耕作,plow,to plow,open up,winter irrigation
取消,undo,unit,outdo,undue
有意,intentionally,unusual,to the greatest extent,jolly
菠菜,spinach,pinch,spinal,vegetables
和蔼可亲,genial,venial,general,denial
瘟疫,pestilence,internal  injury ,portrait,sudden attack of a serious illness
致命,fatal,natal,fate,fat
增付的费用,surcharge,funds,civilized,military expenditure
分泌过多,oversecretion,suffer,laity,nineteen
成分,constituent,predicate,complement,adverbial adjunct
倾向于…,prone,bone,phone,prose
冷却,chill,whirl,shrill,chide
几率,odds,Aids,goods,odd
关税,tariff,thrift,tiff,taxation
租金额,rental,regal,mental,metal
完全,absolutely,especially,all,purely
澄清,clarification,to make right,remedy defects and rectify errors,to break the rules
传导,conduct,contact,conduit,consult
吸引,draw,brat,raw,bran
减法,subtractive,therapy,witchcraft,multiplication
证据,proof,reproof,roof,crook
香味,perfume,permute,perfumer,perjure
阻碍,hinder,gender,under,ponder
接触,access,accept,excess,actress
大而重的,massive,missive,passive,impassive
鼓动,prompt,pomp,prop,promote
意识形态,ideological,goose feather,objection,treasure
