#word,meaning,option1,option2,option3
sly,狡猾,纯正,规矩,暴烈
enzyme,酵素,发育,脚步(声),早晨
malnutrition,营养不良,客气,抵制,碰巧
conjure,变魔术,堕胎,对症下药,跑龙套
hilarious,充满欢乐,游荡,里面,占有
metaphor,隐喻,不失为,所谓,比喻
unseemly,不适当的,不妥,保险,大材小用
counterbalance,起平衡作用,家伙,作出反应,航行
auricular,耳的,乡村居民,棕色,对外
tare,莠草,草丛,草,杜鹃花
disposable,一次性使用的,不同,不真实的,普通
unobstructed,没有障碍,仪器,刷,叹息
dislocate,把...弄乱,迟钝,消息,饭店
stagnant,停滞,关门,收盘,下马
unrepentant,不悔悟的,地震,熟练,通讯员
incision,切割,培修,保修,修理
intellect,智力,天赋,哲,斗志
visionary,幻想,想像,想法,考虑
decorative,装饰性的,打败,政府,所有物
insolvent,无钱还债,厚厚一层(可数),出汗,有名
shoulder,肩,联盟,富裕,开火
curvaceous,婀娜多姿,步伐,姿容,病容
rebuke,指责,批评,揭发,谴责
prefatory,作为开场白的,匙,开花,游客
electorate,(全体)选民,永远,金的,膝部
noose,绳套,不久,兵力,发展
prodigal,挥霍者,粉笔,叫醒,保卫
mountainous,多山,祷告,(英)飞机,轻柔
obfuscate,使困惑,应该,肺脏,微型计算机
demonstrable,可论证的,乡村,半,下午
potation,畅饮,喝,吞食,吮吸
reprieve,缓刑,贸易,上市,刑事
entice,怂恿,迫使,勉强,玩儿
gratification,满足,供应,供需,相应
speculate,沉思,熟思,感恩,胡思乱想
barrage,堰,堤岸,陷阱,渠道
thrifty,节省,浪费,足够,抽出
trilogy,三部曲,长篇,作文,补白
costume,剧装,渴望得到,中心,可靠
oratory,演讲术,语态,小麦,司法
moment,重要,卑微,骨干,昂贵
balm,香油,池盐,油脂,动物油
mistral,寒冷干燥的强风,奇特,在前,正餐
correspondingly,相符,戏剧性,相配,对头
convulsion,痉挛,昏迷,晕船,瘫痪
provoke,激怒,兵不厌诈,冲撞,缠绕
immemorial,太古,纪元,今世,公元
snarl,纠缠,联网,互通,对垒
solid-colored,单色,乳白色,绿色,本色
fanatic,狂热者,乘,年龄较大,(竞赛中)不伤和气的
hexagon,六角形,小型,球状,大型
personnel,全体人员,秘书,干部,殖民
overt,公开,不是味儿,简明,神奇
craft,行业,电信,事业,男爵
consort,配偶,弟弟,并蒂莲,哥哥
sparse,稀少,多种多样,少数,多糖
defense,防御,捍卫,抗击,抵抗力
sensibleness,明智,机智,糊涂,愚昧
distrait,心不在焉,松弛,好看,不注意
scoop,(用勺子)取出,毒害,全人类,比赛
aghast,惊骇,吃不服,败子回头,退避
consequently,所以,由此可见,此外,因为
supervise,监督,监视,点名,巡查
effulgent,灿烂,锦绣,英俊,破旧
debut,初次登台,正文,室,目的
invigorate,鼓舞,兴奋,施加,推动
mannered,做作,翘,喘息,屏气
disseminate,散布,开列,排列,张灯结彩
ethics,伦理学,医学,科研,科技
abut,接界,逼近,接近,渗漏
beleaguer,围攻,冲击,贸易战,进攻
impregnable,攻不破的,拥护,前不久,一点儿
gusto,爱好,宠坏,百听不厌,爱恋
awash,被海水淹没的,奴隶,宽的,微风
carapace,(蟹或龟等的)甲壳,较次,幸运,美丽
dominant,显性,显目,私下,明白
credible,可信,信任,信奉,爱戴
prig,道学先生,每年,把…装入口袋,大学毕业生
precipitate,鲁莽,漂浮,慎重,识相
auger,螺丝钻,强烈要求,测定,紧的
plastic,塑胶,化学,搪瓷,象牙
incongruous,不调和的,海滩,柔软(和)的,人
innuendo,含沙射影,根源,可谓,统称
controvert,反驳,辩白,笔战,狡辩
fracas,喧嚷,呼唤,吹口哨,鸣叫
harry,袭扰,击败,入侵,解决
pendent,吊着,挺立,吊装,断头
skillet,煎锅,全部,模态,支配者
opprobrious,辱骂,顶撞,拌嘴,责骂
flaunt,张扬,不修边幅,不在乎,百炼成钢
lopsided,倾向一方,女士,灯,为…辩护
scribble,乱写,(在会议等)作短暂露面,灯泡,两倍
tenor,男高音,读音,喉塞音,边音
stultify,使变得荒谬可笑,连接,尺子,作者
scathe,烧伤,伤亡,扭,鼻青脸肿
irradicable,不能根除,例子,假期,铺上一层
accord,给予,敦促,驱动,致死
confirm,证实,可见,预兆,起源
insolent,粗野,操切,客气,索然
lava,熔岩,冰晶石,大理石,白云石
economical,经济,一举两得,泄露,损失
damp,减弱,复兴,抓紧,加深
gormandize,拼命吃,嗷嗷待哺,醉,哈欠
vapid,索然无味,怪僻,不规则,风趣
interim,中间时期,英寸,首脑,获悉
coma,昏迷状态,筑墙围住,决定,很可能
thwart,阻挠,缠绕,激怒,困扰
heyday,全盛时期,婴儿期,北朝,一时
penumbra,边缘部分,骄傲,桃红色,塞满
muscular,肌肉,腱子,表皮,不随意肌
peril,危险,神经过敏,无助,大喜
windbag,饶舌之人,彻底,痕迹,一串
misjudge,错误判断,价格,信,来日
elysium,极乐世界,前生,幽灵,灵魂
cardinal,最重要的,你自己,令人吃惊,刮脸
meticulous,细心,不知死活,草草,浪费
slough,(蛇等的)蜕皮,薄金属片,传递,实现
invigilate,监考,监督,巡查,点名
paltry,无价值的,辅助,要紧,不痛不痒
whet,磨快,诊所,消除,洗衣服用
maize,玉米,大麦,谷类,冬小麦
confound,使迷惑,分区,削,多的
hobble,蹒跚,蹑,奔走,徘徊
bore,令人厌烦的人,工会,炉火,痕迹
mistimed,不合时机,签,海岸的巨浪,空间
pitch,音调(音符之高低),平稳,妨碍,一致
hackneyed,陈腐,落后,不公,进步
robe,长袍,西装,斗篷,罩衫
legible,易读,冬天,恶毒,数额
liberate,释放,捕获,审讯,劳教
optional,可自由选择的,除(杂草),打雷,前端突出部
unrestrained,未受抑制,欺瞒,趋附,糊弄
stern,船尾,驳船,巨轮,渡轮
aurora,极光(南北极夜晚所放彩光),眩晕,惊恐,(美)部长
granular,粒状,看法,心甘情愿(乐意做…的)心情,信皮
embark,登机,开学,动工,着手
misdemeanor,轻罪,生日,温柔,主编
safari,狩猎旅行,阴暗,从,开拓者
disorder,凌乱,蓬松,污染,卫生
indisputable,无可辩驳,实弹,捕风捉影,虚伪
stream,倾注,漂移,外流,流动
chaos,混乱,蓬松,严正,贫困
allergy,厌恶,憎恶,博爱,爱国
reciprocating,交替,一直,各个,亲手
feckless,无目标无计划的,用药麻醉,果敢,寂静
analogue,类似物,抢劫,追捕,一段
preface,序言,通报,半月刊,报刊
rooster,公鸡,鸥,小鸡,锦鸡
ductile,易拉长的,忧虑,受惊,规模大的
adorable,迷人,富于,讨厌,短小
inefficacious,无效果的,本本主义,明白,不敢越雷池一步
reincarnate,使化身,砂糖结晶,讲价钱,向…传来
incessant,无间断的,一向,常常,一直
provisional,暂时,成年,一下子,半天
promote,提升,免职,失业,当选
murmur,柔声地说,意图,寻找,希望
conglomerate,集聚成团,外面,邮政,顺..前进
limp,跛行,阻止,职责,宾语
appall,使惊骇,大约,贱卖,订(票
splint,(固定断骨的)夹板,顶替,投(票),特殊
precursory,先驱,外孙女,继任者,外孙
imponderable,(重量等)无法衡量的,六十,真实,成年
fold,羊栏,餐刀,唤醒,发怒
quell,制止,不可逾越,超越,决定
unregenerate,不知悔改,衣领,决定,准备
clog,阻塞,摩擦,堵车,交通
nominate,提名,保送,出名,推举
halting,踌躇,如饥似渴,不得已,迫切
crave,渴望,谋求,向往,出乎预料
incorrigible,积习难改,大器晚成,博学,无能
bacchanal,(行为放纵的)狂欢会,太阳,卡片,核心
hoary,(头发)灰白的,螺帽,原型,某一
opaque,不透明的,刺激,跟…一起,高兴
dormant,冬眠,醉,安眠,口渴
pluck,勇气,伦理,本位主义,度量
malcontent,不满,满足,轻松,紧张
license,许可证,牌照,证件,订单
mutineer,反叛者,论文,入,逃跑
inhibition,抑制,不可逾越,控制,制裁
epithet,(贬低人的)短语或形容词,捕捉,出场,发生
raconteur,善于讲故事的人,芳香,有关系的,蹒跚
halt,暂停前进,收盘,停滞,熄灭
congest,使拥挤,谋划,出版,埋藏
eclat,辉煌的成就,众望,威望,影响
posterity,后代,叔叔,友好,密友
abstracted,心不在焉,迷住,迷惑,习惯
dimple,酒涡,下巴,脸颊,额角
disperse,消散,衍生,销毁,失去
overwhelming,压倒性的,提高,肉体,生气
upright,正直,妖媚,神圣,卑劣
profligate,挥霍者,云,(工厂)厂长,各个
cushion,缓冲,加宽,成长,滑冰鞋的滑刀
solder,焊接,锻造,培修,保修
knocker,敲击的人,装作,毛病,充满
rupture,破裂,打破,折断,爆裂
depressed,凹陷,曝露,赤裸裸,悬垂
prurient,好色,卑鄙,多情,妖媚
starve,挨饿,醉,口渴,打喷嚏
shawl,(妇女用)披肩,尝试,打气,资本
etymology,语源学,科技,科目,医学
extract,拔出,扶,拥抱,剥离
erudition,博学,大器晚成,半瓶醋,对答如流
indiscretion,不谨慎,步步为营,慎重,识相
poetaster,蹩脚诗人,粉末状的,寒冷,毁灭
gong,锣,几乎没有,期望,单调
tightfisted,吝啬,大量,恭顺,进步
fallacious,谬误,笔误,百无一失,成立
trickster,骗子,酒鬼,征服者,阿飞
bumble,说话含糊,启事,调查,圆珠笔
disquisition,长篇演讲,弹吉他,奇异,枕头
harrow,耙,备耕,补种,耕
silence,寂静,无声,拥挤,荒凉
deception,欺骗手段,话,蠕(虫),每个
seditious,煽动性的,起诉,雇用,给…发电子信函
transmute,变化,演变,变幻,变质
fertile,多产的,一年一次,货币,遮掩
unreserved,无限制的,飞船,贼,分离
anhydrous,无水,未煮开的,硫磺,嗓子
plot,阴谋,准备,计划,计划
eclecticism,折衷主义,不可知论,无神论,马克思主义
summon,召集,失控,宣布,把持
shear,剪(羊毛),做,昂贵,当地人
credo,信条,谓语,标准化,滋养
desperado,亡命之徒,小丑,败类,妖孽
purchase,支点(阻止东西下滑),政客,通过…获得,家乡
onerous,繁重,深奥,中间,艰难
alchemy,炼金术,田埂,战场,那个
expedition,远征,淘汰,小麦,无处
interpolate,窜改,编印,修订,更正
off-key,走调,警卫,应该,联合
creep,匍匐前进,达到,减小,区别
shimmer,闪烁,衍射,发亮,叮当
scamper,奔跑,奔腾,涉,疾驰
forum,辩论的场所,柜台,祭坛,坟墓
asphyxia,窒息,发狂,不省人事,瘫痪
breeder,饲养员,马夫,樵夫,屠夫
sprawl,伸展手脚而卧,恶劣)的,放射引起,(综合大学中的)学院
annexation,并吞,作弊,抄袭,压迫
unidimensional,一维,森林,真实,滚轴
garbled,引起误解,删除,修订,修饰
antic,古怪,可疑,神奇,暧昧
summarize,总结,统计,创作,研制
shipwright,造船者,滑倒,爱好,以为
motivational,激励性的,打字,思念,责任
sham,伪装,喘气,悬,屏息
superannuated,老迈,精密,雌,雌雄
soot,黑烟灰,烟雾,霜,露水
discount,折扣,百儿八十,多少,发病率
homiletics,讲道术,区别,提到,抱歉
obliterate,涂掉,家庭,罢工,腐烂
specify,指定,成立,定都,立法
pusillanimous,胆小,愚昧,浪荡,坚强
shroud,寿衣,兜兜,衬衣,中山装
longevity,长寿,健康,白头,虚弱
superstition,迷信,半信半疑,信赖,相信
formative,形成,变迁,变心,渐变
excerpt,书、电影、乐曲等的节录,关,不符,封条
specifics,细小问题,故事,本末,节目
schematize,扼要表示,诺言,校订,正直
vendetta,世仇,恩怨,好处,不白之冤
finery,华丽,纤巧,简朴,文明
stipple,点画,卫星城,圆锥体,拐弯
clique,朋党派系,公会,生产队,基金会
flagrant,臭的,礼貌,锻炼,预期
compost,混合肥料,巨大,车轮,几个
draft,草稿,手稿,读物,定稿
self-assertion,坚持己见,同意,确信,拥戴
unprincipled,肆无忌惮,伪造,挑衅,杜撰
conundrum,谜语,阿拉伯语,口语,印地语
measurable,可测量的,挥手,为…辩护,管子
fanfare,夸耀性游行,刻度,(长篇)小说,盆
tawdry,华而不实,周到,神秘,流利
novelty,新奇(的事物),教育,乐谱,意外地碰上
magnanimous,宽宏大量,不可理喻,小气,红色
equestrian,骑马,总计,驾驶,搭乘
unscented,无气味的,相对论,期待,责任
jockey,骑师,拒绝,部门等的)领导人,哪些
distribute,分发,接受,发放,招收
abacus,算盘,变流器,探测器,雷达
scapegoat,替罪羊,流浪者,受害者,逃亡者
decency,正派,神圣,自私,清廉
gaunt,憔悴,巨细,短粗,曲折
impervious,不能渗透,大部分,开始,要求
sting,螫刺,使惊奇,全部,然而
upholstery,室内装潢品(地毯,(使)空,烈酒,有权
wane,减少,裁员,补发,淘汰
denture,假牙,脖子,脖颈儿,肩膀
hermetic,密封,经管,办案,接管
noncontemporaneous,非同一时期的,穿过,直升(飞)机,恳请
perishing,严寒,热力,临时,寒冷
unanticipated,未预料到,陡然,不用,定然
judicial,法庭,政府部门,工厂,法院
provenance,(艺术等的)出处,展示,印证,百川归海
painstaking,煞费苦心,思想,构想,深思
unwind,松开,披,打结,解开
treatise,论文,本草纲目,成文,笔记
vouch,担保,终于,人寿保险,大概
solicitude,关怀,宽容,放心,小心
girder,大梁,墙壁,横梁,华表
absentmindedness,心不在焉,安土重迁,好看,松弛
preoccupied,心事重重,惭愧,抱不平,安慰
default,拖债,考虑到,很可能,没有任何人(东西)
proctor,代理人,发言人,主编,目击者
perish,死,舍身,饿死,生存
censure,责难,揭发,批评,保密
clay,黏土,泥土,土堆,页岩
terminate,终止,关门,熄灭,停滞
pawnbroker,典当商,稳定,苦心,支持
simpleton,笨蛋,废物,半瓶醋,宝贝
accrue,(利息等)增大,温顺的人,推理,东道主
spank,打,开玩笑的事物,一些,毛皮
surpass,超过,不可逾越,有益,制止
convalescence,病后康复期,真正,强调,业务
sartorial,裁缝,短工,锻工,劳工
affluent,富裕,敲击,俨然,清洁
intensify,加剧,减弱,提高,赶紧
facilities,(使事情便利的)设备、工具,流(涌)出,问候,认可
arabesque,蔓藤图饰,第四,箱,女店员
graze,放牧,钓鱼,打猎,捕鱼
scar,伤痕,笔迹,脚印,瘢痕
tainted,受玷污的,意义,程度,有利条件
criterion,评判的标准,谓语,状语,氨基
resurrect,复兴,恶化,好转,衰弱
fungi,菌类,谷类,孢子,麦子
loom,织布机,电梯,起重机,计算机
adjutant,(军队的)副官,力,出入口,孪生
inured,习惯,疑惑,安土重迁,小心
gobble,贪婪地吃,压迫,抄袭,剥削
invariable,始终如一,节俭,拖拉,负责
foray,突袭,侵袭,包抄,阻击
appoint,约会,结合,婚嫁,同性恋
incubator,孵卵器,警报器,食槽,容器
labyrinthine,迷宫式的,规则,清瘦,平行
outfox,以机智胜过,杂草,种类,演奏者
kennel,狗舍,否则,使,多方面的
twig,小枝,不像…,赢,使混淆
devolve,(指工作,编织法,中等(级)的,电报
remembrance,记忆,了解,悲悼,忘记
disaster,灾难,幸福,桃花运,灾害
droll,古怪,不三不四,不可名状,特别
animate,赋予生命,冒烟,改写,木
deliberate,深思熟虑,联想,绞尽脑汁,怀抱
vicissitudes,(复数)(人生的)盛衰,恶性循环,重复,变幻
painkiller,止痛药,软膏,阿米巴,冰片
dowdy,不整洁的,历史,发芽,颤抖的动作或声音
downcast,意志消沉,小岛而言),闪出亮光,中午
gosling,年轻无知的人,一年一次,最大限度,消防人员
shoplift,在商店里偷窃货品,九(个,见解,恰好
retract,缩回,拓展,伸出,滑落
harridan,凶恶的老妇,效果,贪婪的人,如此
pamper,纵容,包庇,任凭,糊弄
chauvinism,沙文主义,爱国,独裁,保护主义
filibuster,妨碍议事,搅和,激怒,麻烦
gaseous,似气体的,帮(援)助,院长,仁慈(好心)的行为
intertwine,绕,切断,鼎立,对立
turquoise,碧绿,紫色,棕色,碧蓝
hack,乱劈,礼品,对话,氧气
gossamer,轻而薄的,达到预期目的,听由,(复)被褥
hiss,(蛇等)发出嘶嘶声,损害,八十,压迫
dishearten,使...灰心,物理学家,面包,停车站
goggle,睁眼看,寒冷,工厂,敏捷
tacit,心照不宣,大惑不解,百听不厌,认识
equitation,骑术,烟斗,叙述,银行
induction,归纳,交接,雇用,解雇
aureole,日冕,本影,荧光,激光
goblet,高脚酒杯,闹市区,政府,看名胜
regimen,养生法,敲,部落的,遵守
adjure,郑重敦促,困难,分担,利用
fiasco,大失败,败阵,百战百胜,沦陷
dismantle,拆除,安全带,涂抹,绕
arrhythmic,无节奏的,盘子,实际,人民
vacillate,游移不定,如饥似渴,不动声色,好看
stutter,口吃,溃烂,结果,枯萎
saber,军刀,大炮,刺刀,子弹
temper,脾气,身体,同辈,本性
ersatz,代用,罄,照搬,用于
statuette,小雕像,肺,秧鸡,根本
vulture,秃鹫,雕,白头翁,夜莺
intercessor,仲裁者,砖块,女人,外孙女
valetudinarian,体弱的人,婚礼,八(个,平原
incommunicative,不爱交际,不做声,目瞪口呆,激发
plethora,过量,超龄,俨然,没有
tan,鞣(革),族,脂肪,配备
unjustifiable,不合道理,生存,淋浴,宣判
harrowing,悲痛,悲喜交集,忧虑,痛苦
magnify,放大,切换,改组,扩充
rucksack,(旅行等的)背包,实践,规律,行骗
axis,轴(常为虚构之线,伤害(感情等),认识,总的
muddle,混乱,方便,蓬松,贫穷
genealogy,家谱学,人的,言辞(不可数),祈祷仪式
punctilious,谨小慎微,安详,断断续续,浪费
matrix,矩阵,基础,本色,编队
dross,糟粕,鹅毛,短见,赘疣
swell,肿胀,泻肚,咳嗽,镇痛
curiosity,好奇心,存心,真情,中心
mentor,导师,阿姨,教练,律师
paean,赞美歌,歌谣,口号,十四行诗
arson,纵火,不轨,绑票,断路
verge,边缘,全国性,技术性,适应性
inconstancy,(指人)反复无常,社交界,借入,将来
resurgent,再起,痒痒,出院,愈合
resemblance,相似,异步,相反,接近
hallow,把...视为神圣,抱恨,哀怨,信服
goldbrick,逃避责任,振兴,避重就轻,垮
undirected,未受指导,不论以何种方式,农场,经营
confess,承认,鞭挞,否定,驳倒
muffle,使声音降低,援助,男主人公,医学
overwhelm,泛滥,喷射,降下,陷落
prehistoric,史前,公元前,王朝,年代
wholesomeness,健康,滑稽,不三不四,神奇
laxative,(药)通便的,鸡,狐狸,抽噎
overflow,洋溢,带有,占有,露出
appalling,骇人,不得人心,短小,可恨
hush,肃静,拥挤,冷淡,隆重
drivel,说废话,麦粒,头衔,首领
agnostic,不可知论的(人类不可知上帝是否存在),轻拍,学习,密
moribund,即将结束,对着,使,出席
sacrament,圣礼,病,接见,每
rapport,和睦,不和,冰炭不相容,不即不离
exogamy,异族通婚,吸收(取),该,演奏会
abstract,摘要,笔录,附笔,下载
trim,修剪,砍伐,雕刻,割
sectarian,宗派,右翼,帮会,北约
outline,梗概,大纲,含意,意思
primeval,原始,天然,外来,现成
sublimate,(使)升华,逼人,幸福,严肃
pivot,旋转,滚动,运行,摆动
numinous,庄严,神经过敏,逼人,污秽
eclectic,折衷,说服,和好,斡旋
irk,使苦恼的,爱憎,不共戴天,爱国
mint,造币厂,粉状物质,判决,难对付的
moody,喜怒无常,简单化,软化,自动化
screed,冗长的演说,规律,能量,可能
depress,消沉,企图,得意,迁怒
slake,解渴,灭绝,横扫,毁灭
disorientation,迷向,大群,判断力,看守
interference,干涉,探路,介入,呈请
travelogue,旅行见闻,向前,普遍,用砖围砌
pedestal,(柱石或雕像的)基座,灼伤,停止营业,心烦
misnomer,名字的误用,拿定主意,备用,工作
zealotry,狂热行为,击剑,农业,说服
deport,将外国人,(使)担心,作物,自由
frothy,起泡,白痢,败血症,禽流感
detoxification,解毒,洗刷,抛弃,解渴
mobile,易于移动,(综合大学中的)学院,真正,流(涌)出
prosecute,告发,庇佑,栽赃,占卜
down,绒毛,毛毡,鞭毛,纤毛
scabbard,(刀剑)鞘,防务工事,令人感动,在...的整个期间
ailment,(不严重的)疾病,很,呼吸,使觉醒
pylon,高压电线架,准备,按钮,游泳
metaphysics,形而上学,敏锐,灵活性,不识时务
discharge,流出,注入,出来,来往
sapphire,青石,石灰石,大理石,白云石
armada,舰队,骑兵,美军,叛军
implore,哀求,呈请,打听,不情之请
intercept,中途拦截,达成,扭转,谋取
ignorance,无知,大器晚成,饱经风霜,近视
duct,管道,无线,热线,电路
histology,细胞组织学,军医,遗失,可耻的人或物
perambulate,巡视,发射,驻华,扎营
politicize,使政治化,罩,要求,穿过
archive,档案室,根源,海军,条款
violate,违反,触犯,违宪,违心
drudgery,苦工,家事,动作,毛病
voyeur,窥隐私者,使摆脱,电子管,表情
excursion,短途旅游,口语,束缚,坚固
quest,探求,要求,求爱,寻求
orthopedics,整形手术,恰当,这(那)个,除去…的衣服
miasma,瘴气,丁烷,色彩,本色
insalubrity,不利健康,毛纺,大批,第九十
encyclopedic,广博,动人,富于,不得人心
dwarf,使变矮小,到处,战胜,在下面
inclination,斜坡,黄山,陡坡,巫山
quietude,平静,落实,从容不迫,不安
disaffected,(政治上)不满的,叛卖,篡位,篡夺
scrumptious,(食物)很可口的,农业,乐趣,咽
amity,(人或国之间的)友好关系,评定考试不及格,精神健全,适宜
dignity,尊严,繁杂,污染,清洁
perpetuation,永存,荣誉,美好,险峻
hawser,粗绳,长时间的,变得更好,里面
starchy,含淀粉的,引起,高度,医疗
fretful,烦躁,迁怒,发怒,担忧
prototype,典型,唯一,前所未有,优惠
coherent,连贯,供给,现有,需要
utter,发出声音,能力,日落,采用
vitality,精神,激发,斗志昂扬,哀叹
apex,顶点,北回归线,八度,底线
rhetoric,修辞学,课程,科技,医学
indomitable,坚强不屈,随便,胆小,猖獗
flannel,法兰绒(一种布),海草,多半,邮件
rudimentary,初步,动工,启动,动手
bumptious,傲慢,大气,严峻,不吝
insatiable,不能满足,不公,清廉,世俗
misbehave,(使)行为无礼貌,研究者,踢腿,对某事物之狂热爱好者
differentiate,辨别,比拟,区别,识货
adjacent,接近,南辕北辙,俨然,不啻
hide,兽皮,鳔胶,橡胶,毛皮
crumple,破裂,断开,打破,挺立
propinquity,邻近,堵车,逼近,渗漏
slanderous,诽谤,争执,拍案叫绝,辩白
monarch,君主,暴君,喾,董事
gorilla,大猩猩,猴子,猿猴,麋鹿
fructify,结果实,不力,崩溃,沦陷
accumulate,积聚,遍及,排队,遍布
dispensable,不必要的,无价,中心,必要
vanguard,前卫,裁判,种子,初学者
haunt,(事情)萦绕心头,友情,同样,农产品
peer,同等之人,并驾齐驱,同时,差不多
correlation,相互关系,人力,确定,组织
immutable,不变,勉强,对付,一贯
phony,假的,捏造,摆摊子,挑衅
betroth,许配,结合,同性恋,订婚
lurk,潜伏,盯住,躲闪,避嫌
comport,特别地举止或行为,渴望,愤怒,邮递员
destructive,毁灭性的,粮食,来自北方,活力
verbose,冗长,紧紧,精简,破败
bail,保释金,信用,邮费,发行额
regimentation,严格控制,执法,司法,文法
ulterior,较晚,公分,规矩,许多
photosynthesis,光合作用,速效,反响,名望
marine,海中,哪个人,易变,(用链条)拴住
scanty,不够,突然,任性,特别
spruce,整洁,大喜,严肃,哀鸿遍野
jibe,与...一致,投机,兼容,不切实际
maltreat,虐待,款待,应付,对待
groom,新郎,男朋友,媒质,新娘
governance,统治,罢工,南面,罢市
perspire,流汗,人道,梦遗,大便
cavalcade,骑兵队伍,预告通知,修女,铸造
disjunction,分离,不辞而别,团圆,久违
fascinate,迷惑,欺骗,欺瞒,骗取
angular,(指人)瘦削的,中止,电视观众,钻(孔)
collaborate,通敌,装备,叛乱,叛卖
chirp,(鸟或虫)唧唧叫,礼物,(纸等薄物的)一张,统治者
vaccinate,给...接种疫苗,也(不),采,最大限度
boredom,厌烦,厌倦,爱国,爱憎
stumble,打结巴,陶器厂,哩,海滩
primary,首要,不痛不痒,紧迫,胜过
blouse,(女人或小孩的)衬衫,排队等候,码(英美长度单位),(使)下沉
unassuming,不摆架子,不一致,道路,可爱
fraction,小部分,在楼上,出乎意料,她
philanthropy,慈善,毒辣,异,狰狞
sustained,持久,用功,断断续续,拖拉
accomplished,有技巧的,用旧,附近,监狱(禁)
ineffective,不起作用,赢得,料想,坏的
fender,护舷的垫子等,亲近,普遍,正直
inert,惰性,习惯性,阴性,建设性
fault,错误,笔误,不足为训,可靠
curb,马勒,(艺术等的)风格,刃,平均
presumable,可能,不至于,不曾,大约
pact,协定,答应,协商,允许
eliminate,除去,不只,除非,尽管
squeeze,压榨,讹诈,囤积,投机
elegiac,哀悼,求爱,记忆,挂念
embankment,堤岸,渠道,驳岸,葛洲坝
stab,刺伤,起床,鼻青脸肿,遍体鳞伤
successively,接连,原来,一向,限期
prowl,潜行于...,现金,(外科)手术员,概要
perch,(鸟)栖息,(军事)行动,精粹,演奏者
ballad,歌谣,古风,十四行诗,史诗
