#word,meaning,option1,option2,option3
低估,underestimate,reckon,assumption,expect
背离,deviation,deflation,aviation,dedication
航空,aviation,variation,ovation,agitation
肥沃,fertile,textile,furtive,futile
)制品,manufacture,wedding,mumble,mist
难料,doubtful,loveless,neighbour,precedent
密谋,plot,pot,moot,trot
文具商,stationer,station,stationery,stationary
枕头,pillow,willow,wallow,pallor
召唤,summon,summat,summons,mammon
折断,shear,sheer,smear,ear
使爆炸,explode,explore,expose,exploit
购买,purchase,subscription,place an order for something,panic buying
欢宴,festivity,fertility,fair,well-behaved
产量,output,outlet,outset,outwit
炼金术,alchemy,shall,calender,droll
考察(队),expedition,exposition,chip,laudable
潜行,creep,crest,peep,keep
闪烁,shimmer,simmer,hammer,stammer
讲坛,forum,ford,thrum,forgo
伸展手足而卧,sprawl,spiral,drawl,scrawl
惭愧,ashamed,shame,feel ashamed,console
海崖,coastal,coaxial,crystal,postal
假货,sham,show,chap,champ
黑烟灰,soot,suit,sort,shop
折扣,discount,dismount,percentage of children who enter school,multiple
乘务员,crew,new,screw,row
分条缕述,itemize,atomize,playground,disclaim
迷信,superstition,confident,hesitation,take seriously
摘录,excerpt,except,exert,expert
麻烦,messy,moss,mosey,merry
偏爱,partial,portal,martial,particle
打印输出,printout,caliph,tributary,actuate
最小限度,minimal,mineral,minimum,animal
全部,all,ally,act,axe
汇票,draft,drift,raft,drawl
古训,wisdom,window,widow,oath
太阳,solar,sear,cola,sonar
甘油,glycerin,amylase,acetone,ion
新颖,novelty,novel,lovely,poverty
高尚,magnanimous,honest,full of tenderness or affection,contemptible
利口酒,liqueur,liquefy,liquor,spade
分布,distribute,order about,array,be decorated with lanterns and colored banners
替身,scapegoat,victims,vagabond,refugee
憔悴,gaunt,taunt,gauze,gamut
刺激,sting,stink,sling,string
减少,wane,pane,ant,ware
忠诚,loyal,royal,loyalty,focal
价值判断,valuation,evaluation,variation,vacation
审判,judicial,referee,subpoena,begin a  court session
成就,accomplishment,convene,final version or text,to implement
刻苦,painstaking,idle,off and on,duration
议会,parliament,public lecture ,branch,conference call
倒塌,breakdown,slide,peel off,to extend
论文,treatise,creative,sections and chapters,a record of events inscribed on a tablet
毛衣,sweater,sweeten,weather,welter
各式各样,varied,in succession,any,insignificant
不履行,default,fault,tether,sadden
枯萎,perish,relish,persist,prism
疟疾,malaria,cholera,to screen,sexually transmitted disease
粘土,clay,pay,glad,nay
结束,terminate,germinate,terminal,termite
胜过,surpass,surplus,unlike,overage
富足,affluent,effluent,affluence,fluent
强化,intensify,intensive,enhance,grasp
一次,once,pace,nonce,mince
放牧,graze,grate,craze,crave
疤(痕),scar,sear,scarf,Oscar
纯洁,purity,surety,purify,parity
标准,criterion,nature,collective,made in one's own country
委员会,council,codicil,counsel,standing committee
织布机,loom,doom,gloom,fool
错误的信仰(或观念),illusion,illusive,allusion,infusion
格外,notably,notary,notable,exceeding
性,gender,render,tender,engender
小枝,twig,dig,twin,wig
灾难,disaster,distaste,scourge,blessed
仔细考虑,deliberate,delineate,liberate,accretion
纵容,pamper,amber,paper,scamper
降落伞,parachute,parasol,embroider,bracelet
心照不宣,tacit,tact,fact,taut
小心谨慎,cautious,captious,caution,curious
熔合,fuse,pose,flush,fish
企(事)业单位,enterprise,rusty,cacao,askance
从事,engage,enlarge,engaged,enrage
做,perform,deform,reform,perforce
使缓和,temper,pepper,temple,timber
过量,plethora,generally speaking,up to par,following
实现,shape,shade,share,shave
夸张,magnify,dignify,signify,to conceal
起义,uprising,proper,revolution,must
轴,axis,ail,alas,axial
混乱,muddle,paddle,fuddle,module
兆吨,megaton,pyramid,symbolic,baize
涨大,swell,smell,swear,well
立法,legislation,choose a site for the capital,appoint,creation
断牙,snag,slang,gnaw,rag
连续,sequence,sentence,always,all along
边界,verge,verve,merge,here
相似,resemblance,intimate,inequality,asynchronous
承认,confess,confuse,countess,congress
(感情上)压倒,overwhelm,tepid,barge,embellish
史前,prehistoric,medieval,age,contemporary
水底,submarine,summarize,roof,roof
泛滥,overflow,submerge,jet,slump
注释,notation,nutation,rotation,quotation
教养,cultural,guttural,culture,recording
社会学,sociology,economics ,anatomy,engineering
摘要,abstract,attract,distract,obstruct
修剪,trim,grim,tip,arm
画出轮廓,outline,outlive,routine,outside
自助餐,buffet,buffer,duffer,suffer
枢轴,pivot,riot,pilot,plot
结网,spin,spit,shin,suit
造币厂,mint,vino,mini,might
(日、月等)落下,set,spit,ten,debt
使沮丧,depress,repress,duress,empress
包裹,bundle,bungle,budge,muddle
（柱石或雕像的）基座,pedestal,medicine,sediment,awe
轮班,shift,suit,shaft,shifty
谣言,rumour,humour,tumour,rigour
活动,mobile,gobble,mile,bile
对…起诉,prosecute,persecute,prosecutor,impeach
破坏性的,devastating,warp,outcome,really
偷听,overhear,overhead,overseer,overseas
放电,discharge,to go to school,field work,make-up examination
显示,display,dismay,splay,mislay
无知,ignorance,ignorant,boyish,dabbler
分心,distraction,to appreciate,guess,art exhibition
亵渎,violate,isolate,vitiate,dilate
苦差事,drudgery,dredger,drudge,action
短途旅行,excursion,exclusion,expulsion,incursion
追求,quest,quart,nest,guest
矮子,dwarf,aware,warp,swarm
斜坡,inclination,Honolulu,Fragrance Hill ,hillside
威严,dignity,dignify,digit,ignite
酝酿,brew,chew,spew,bed
仅仅,solely,interim,so much so that,totally
原型,prototype,sappy,admiration,launch
紧凑,coherent,incoherent,cohere,inherent
华丽的文辞,rhetoric,speak out of turn,speak out on a matter of principle or justice,to make irresponsible remarks
武士,warrior,barrier,carrier,reader
血浆,plasma,juice,surge,liquid water 
区别,differentiate,in the light of,to know what's what,metaphor
邻近,adjacent,press on towards,to permeate,make life difficult for
织,weave,wave,delve,tease
弄皱,crumple,rumple,crumble,trample
小牢房,cell,knell,keel,coil
文凭,diploma,diplomacy,paperwork,passport
堆积,accumulate,array,list,be decorated with lanterns and colored banners
常到之处,haunt,jaunt,daunt,taunt
同辈,peer,pier,lee,pied
相互关系,correlation,substantive,diversity,synthesis
假的,phony,to show,imaginary,faking a modern object as an ancient one
潜伏,lurk,clerk,furl,lank
破坏性的,destructive,soar,impoverish,Africa
收割,reap,pap,rap,road
海的,marine,arise,saline,brine
)占有物,possession,possessive,obsession,tray
赞成,affirmative,not comply,to put up with,confidence
虐待,maltreat,receive,treat,cope
出汗,perspire,respire,humanity,retention of urine
使着迷,fascinate,invigorate,panda,accidental
协作,collaborate,grope,fully displaying one's capabilities,clasp Buddha's feet - profess devotion only when in trouble
不管怎么样的,whatever,wherever,whenever,whoever
结结巴巴说,stumble,tumble,rumble,grumble
忠实,faith,gait,fast,famish
首要,primary,primacy,urinary,primarily
分数,fraction,traction,faction,fractious
惰性,inert,intent,incest,inset
过失,fault,vault,aunt,salt
后面,latter,tatter,matter,lather
控制,curb,dumb,cure,curt
排出,eliminate,to join,sunrise,throw into battle
(使)挤入,squeeze,sneeze,innovate,imitate
学问,scholarship,nationalism,learning,square 
削减,cut,rout,cot,lute
堤岸,embankment,name of a place, Gezhouba Dam on the Changjiang River, in Sichuan,honeycomb,revetment
增强,increase,decrease,incense,crease
几乎,practically,to happen to,thanks to,simply
取笑,tease,terse,teaser,task
尖端,sophisticated,among,first-class,customized
使明晰,clarify,clarity,glorify,charity
眼泪,tear,tea,near,veal
板条,plank,prank,lank,pink
宴请,banquet,barque,bouquet,parquet
多种,multifarious,top and bottom,about a hundred,thirteenth
礼节,ceremony,hegemony,funeral,opening ceremony
休克,shock,sock,slack,rock
同中心的,concentric,readily,fair,poise
良心,conscience,curiosity,perception,malice
美好,nicety,nicely,piety,naivety
高度,altitude,aptitude,attitude,latitude
精神病,neurosis,neurotic,plague,incurable disease
极限,utmost,most,outpost,inmost
这边,hither,cipher,either,wither
炽燃,blaze,blazon,place,cloze
断言,allege,allure,alley,college
有威力的,mighty,fight,might,sight
试图,endeavor,abandoned idea,partner in crime,be outraged by an injustice
矿石,ore,dolomite,quartz,submerged reef 
颠倒(的),reverse,revere,reverie,referee
困惑,perplexity,to be infatuated with,fascinate,sag
使对照,contrast,contract,contact,contralto
压迫,oppress,empress,compress,depress
申请者,applicant,supplicant,applicant,upside
听得见的,audible,edible,laudable,auricle
计算器,calculator,calculate,manger,fire hydrant
辛辣,spicy,fierce,strong,gentle and soft
碘,iodine,dine,cosine,laxative
荒废,derelict,to put in time and energy,to look after,cause to develop
使适应,adapt,await,adopt,adept
着重,emphasize,emphasis,to notify,vindicate
花岗岩,granite,grant,gravity,grannie
由碱金属或含镁之盐类而成的,saline,skyline,slink,salute
香客,pilgrim,Buddhist monk,nun,Dalai Lama
确信,conviction,convection,conduction,nonfiction
文献学,bibliography,Interpol,utter,nonfiction
吟唱,chant,to respond to a poem with a poem,block letters,repeat from memory
压缩,compress,oppress,comprise,cypress
裂痕,fracture,feature,rapture,trophy
沉思,ponder,confer,pander,yonder
散布,diffuse,disuse,suffuse,infuse
充当裁判,adjudicate,begin a  court session,to sentence,decide on a verdict
舆论,opinion,dominion,pinion,onion
介入,intervene,intercede,interfere,negative
成熟,ripen,repent,pen,rope
没精打采,languid,languor,languish,to excite
无所不在,ubiquitous,iniquitous,betake,rejoice
慢跑,jog,jam,song,coy
关节炎,arthritis,focus ,frequently-occurring disease,arteriosclerosis
行动迟钝,sluggish,speed is precious in war,far away,adult
)健全的头脑,wit,dirt,wig,it
讥讽,ironic,irony,iron,frolic
强制,enforce,perforce,reinforce,encore
保护伤口的软布,lint,mink,flirt,joint
说服,persuade,pervade,fawn,compromise
资助,endow,vendor,snow,enjoy
业余爱好者,amateur,summer,casualty,inset
恐惧症,phobia,profiteer,ketchup,admit
大学生,undergraduate,beginning student,university and high school students,intern 
岛,isle,dismember,elasticity,extrinsic
声望,prestige,vestige,preside,presage
蒸馏,distill,cover with gold leaf,distill,gild
角色,casting,strip ,to cover,to involve
令人敬畏,awesome,tempting,not enjoy popular support,troublesome
丰硕,bumper,jumper,dumper,summer
罪犯,criminal,critical,original,purvey
对…表示怀疑,challenge,unborn,plod,silken
脆弱,slight,sunlight,blight,flight
免疫,immune,immense,immunize,imbue
铲,shovel,hovel,shove,shaver
在前,preceding,precedent,lies in,be situated 
扣除,deduct,deduce,defect,reduce
询问,enquiry,enquire,equity,inquiry
危机(关头),crisis,cross,cress,crisp
极大痛苦,anguish,languish,English,roguish
移居,transplant,stop over,to move,stay up late or all night
随意,random,condom,ransom,jolly
再试验,retrial,aerial,trial,reprisal
聚集,congregate,leave one's native place ,to shake hands,to have a reunion
熏猪肉,bacon,baton,beacon,baboon
黄褐色,amber,camber,ember,after
可行,feasible,sensible,not be capable,indistinct
嘲弄文章,parody,tardy,hardy,parole
礼堂,auditorium,laboratory,studio,lobby
)说明书,specification,external,innate skill,ready made
零售,retail,remain,retain,tail
温和,moderate,modulate,macerate,operate
牙科医生,dentist,demist,enlist,detest
仪式,ritual,virtual,rival,actual
统计学,statistics,statistic,geometry,journalism
贯彻,implement,complement,inclement,to expire
狂暴,turbulent,purulent,impatient,dignified
纯朴,ingenuous,ingenious,violent,harsh
犁,plough,cough,pouch,slough
困境,dilemma,plight,dreamland,underworld
盛宴款待,feast,beast,eat,seat
腐蚀,erode,elide,trade,drone
迷住,obsession,possession,session,be attached to one's native land and unwilling to leave it
(海、河、湖)滩,beach,search,bunch,belch
发生地,locality,totality,morality,loyalty
候选人,candidate,supporter,slave,voter
使能够用,enable,tenable,unable,eatable
杏仁,almond,cattle,blighted grain,almond
胡萝卜,carrot,cart,barrow,carry
壮观,spectacular,manner,scene,sickly look
刻,carve,curve,card,calve
（能说）两种语言的,bilingual,trilingual,explosive,shark
调查表,questionnaire,flow chart,masterpiece,form
懒散,lax,fax,relax,flax
哄诱,coax,hoax,coma,cox
方式,mode,bore,move,moth
健康检查,checkup,check,checkout,investigate
相互依赖,interdependent,foster,vocal accompaniment in some traditional Chinese operas,allowance
南极(区)的,antarctic,whirlwind,macaroni,better
贫穷（,penury,pantry,sentry,perjury
统一,unify,unity,unit,purify
怀有,harbour,arbour,ardour,armour
著名人士,celebrity,celerity,celebrate,Columbus
以…为条件,provided,or else,in summary,apart from
(男子)漂亮的,handsome,cranky,down,thorny
可信赖的,trustworthy,wild,zealot,infirmary
广阔,spacious,specious,spurious,rapacious
熟人,acquaintance,church member,wardmate,ally
开花,bloom,gloom,bloody,loom
(为特殊用途的)全套装备,outfit,outset,unfit,outwit
交换,exchange,change,to convert,change of direction
扯起来,hoist,joist,foist,twist
固定,steadfast,constant,fall into a pattern,odd
限定词,definitive,definition,definite,infinitive
破旧,dilapidated,graceful,good-looking,shabby
支撑,sustain,dustbin,stain,abstain
探究,exploration,research,research,to manufacture
开始,onset,inset,once,corset
成就,accomplish,accomplice,carry out,make more widespread
纠缠,pester,pastel,peter,welter
关于,regarding,to contain,to follow,because
未受损的,intact,instant,tact,intent
逸出正轨,deviance,misunderstanding,snag,duration
控告,sue,sled,ace,rue
懒洋洋地坐或卧,loll,owl,foal,kill
三月,march,match,mar,latch
拍卖,auction,suction,diction,junction
赞成,approval,approve,half-believe, half-doubt,superstition
占优势的,predominant,trundle,feasible,yeoman
方法学,methodology,middle school,dialectical materialism,nationalism
打断,interrupt,intercept,attachment,traffic jam
逗人喜爱,cute,cut,cure,city
天线,antenna,directional antenna,mast,battery
欺骗,defraud,defray,fraud,to baffle
大陆间的,intercontinental,pass,non-governmental,indoor
散播,strew,street,store,stew
察觉,detect,desert,erect,defect
登记,register,registrar,registry,check in
方便,facility,ability,fatality,faculty
使结合,bond,bland,bind,wend
仓库,warehouse,nuclear arsenal,barn,garage
要点,gist,fish,vast,tit
出纳员,cashier,cashmere,washer,carrier
荒芜,desolate,resolute,isolate,decorate
草地,meadow,mead,shadow,mellow
仿造,imitate,imitator,imitative,initiate
(全体)一致的,unanimous,scurrilous,obeisance,Africa
催眠药,narcotic,arctic,tram,travesty
劝诫,preach,reach,breach,broach
怪物,freak,wreak,weak,creek
毛巾,towel,vowel,model,bowel
投合,cater,gather,caper,wager
器具,apparatus,connector,pottery,receptacle
不同,separate,separable,inequality,almost, nearly
逗留,linger,singer,longer,ledger
协定,compact,compass,compost,impact
开花,blossom,bosom,bloom,lame
军火,ammunition,admonition,munition,nuclear arms
有男子气,virile,vile,girdle,virtue
(,authority,authorize,goodness,inorganic
货运(费),freight,aright,flight,fright
(船)停泊,berth,birth,both,belch
可怕,dreadful,moving,to be rich in,narrow
结果,consequence,lame,germinate,languish
使不育,sterilize,sterile,stabilize,rescue
制药,pharmaceutical,moviemaking,to copy,collect and process
结盟,federation,moderation,generation,activity
泄露,leak,lead,oak,heat
圆屋顶,dome,dope,dog,role
值得干的,worthwhile,autocrat,rotunda,inept
(常指学术团体的)会员资格,fellowship,epilogue,disparage,epilogue
理解力强,keen,key,week,yen
最大量,most,mop,loot,mock
市民,civilian,civility,civilize,settler
蛋白质,protein,protege,protect,proton
环球,global,goal,local,loyal
标识,badge,cadge,budge,ridge
提高,boost,boot,boss,root
开发,tap,pap,nap,ape
使<汽车>小型化,downsize,mechanics,vex,erase
坚忍不拔,tenacious,mendacious,veracious,timid
涌出,gush,rush,bush,gasp
破产,bankrupt,bankruptcy,fall to enemy occupation,success
全等,congruent,cannabis,officiate,energy
肘,elbow,yellow,mellow,fellow
测定,determination,to register,originally planned,to survey and evaluate
混淆,confuse,confute,contuse,confide
诗集,anthology,mythology,pathology,astrology
逆,backward,backyard,backwash,awkward
实体,entity,enmity,density,entire
断言,affirm,afford,firm,affix
骇人,macabre,Islam,Ireland,gorilla
巨大,immense,immerse,immune,incense
马尼拉,manila,Fuzhou,race,Taipei 
侵略,aggressive,aggression,to hold,surround
走廊,aisle,tile,ankle,aide
熔合,fusion,fission,fashion,cushion
(无记名投票)选举,ballot,ballet,wallow,bellow
小册子,brochure,procure,drill book,booklet
热带,tropical,topical,tropic,typical
彻底检查,overhaul,overhang,overall,inhibit
(使)达到高潮或顶点,climax,climb,climate,aflame
粘的,glutinous,mutinous,luminous,surge
审问,interrogate,to hear ,begin a  court session,catch
珍贵,precious,previous,precocious,gracious
无许可的,unofficial,official,skip,swearword
使斜靠,recline,beeline,decline,feline
使受危险,jeopardise,law and order,sweetness,exultation
平庸,mediocre,omnipotent,hopeless,wise
争论,dispute,dispose,despite,depute
领土,domain,drain,main,remain
能实行的,practicable,bush,latent,tuft
(剧院的)楼座,balcony,falcon,bacon,pare
体贴,thoughtful,to worry,to rest,show tender affection for
例行,routine,route,outline,issue for enforcement
免除,relieve,believe,retrieve,relief
轰隆响,thunder,hunter,under,bounder
解开,undo,fund,into,and
正直,righteous,chastity,foul,uncorrupted
愉快,genial,venial,denial,genius
空间,spatial,special,partial,statical
致命,fatal,fail,nasal,natal
追加罚款,surcharge,transport,cross,to blend
在…上镀锌,zinc,pint,nine,find
(一个选区中的)选民,constituent,madrigal,behold,chance
离心,centrifugal,subversion,to seize the throne,to rebel
赔偿,amends,damages,mortgage,atonement
俯卧,prone,prune,profane,grove
『化学』过氧化物,peroxide,provide,canvas,pitiless
(使)寒冷,chill,till,hill,bill
机会,odds,odd,Aids,add
关税,tariff,thrift,tiff,rent
引导,conduct,conduit,connect,concoct
切开,slit,stint,flit,shit
烹饪,cuisine,heating,endure,explode
香水,perfume,perfumer,perjure,permute
阻碍,hinder,sinker,hinge,render
恢复,recover,recorder,recovery,receiver
从电脑中存取信息,access,chess,accede,excess
魁伟,massive,passive,impassive,missive
技术员,technician,technical,researcher,producer
迅速,prompt,prop,promote,profit
见证,testimony,mediator,eyewitness,assistant director
神话,mythology,pathology,anthology,children's fairy tales
假名,pseudonym,a vowel followed by a nasal consonant,press down firmly,carry on a pole
世俗,lay,Cal,may,nay
荷尔蒙,hormone,harmony,growth hormone,spittle
小药丸,pellet,mallet,pollen,pallet
后部,rear,reap,swear,tear
优先(权),priority,probity,scandalous,perform
吸收,digest,digress,divest,divert
搅动,agitation,imitation,sanitation,capitation
最好,best,completely,further ,least
无能,inept,indent,inapt,inert
播送,transmission,alarm bell,regulate ,recording
皱纹,wrinkle,crinkle,tinkle,trickle
(使)传播,circulate,circular,calculate,we
葡萄园,vineyard,vinegar,pagoda,lawn
悬崖,precipice,volcanic,the Mountain of Flames,Ulsan
嵌板,panel,sane,pastel,panic
拒绝,repel,reel,ripen,reveal
酒,liquor,liquid,liqueur,emigrant
细菌,bacterium,dinergate,termite,antibody
破坏,corrode,comrade,harmless,unfavorable
听众,audience,ambience,reader,recipient
有吸引力,magnetic,magnetism,magnetize,magnet
假装,simulate,emulate,stimulate,stipulate
威胁,intimidate,intimate,press for payment of debts,entice
发酵,fermentation,side effect,usefulness,ferment
乘,multiply,multiple,stead,arrive
托儿所,nursery,purser,bursary,cursory
诱人的、有魅力的,seductive,selective,sedative,seduction
成锐角的,acute,acuity,saute,acumen
药剂师,pharmacist,biologist,technician,chemist
利益,profit,profile,prompt,probity
过肥,gross,grass,dross,cross
能力,faculty,faulty,facility,fault
欺骗,fraud,grand,afraid,raid
判刑,condemn,condom,concern,ruling
拳,fist,feint,waist,list
发光,luminous,glutinous,voluminous,mutinous
小地毯,rug,mug,rue,prig
猎狗,hound,police dog,rabbit,Berkshire 
分类,classify,classy,classic,clarify
管,tube,cube,cub,gibe
歇斯底里,hysterical,historical,hysterics,hysteria
爱国主义,patriotism,patriotic,dictatorship,racism
大灾难,catastrophe,scourge,catastrophe,luck with the opposite sex
打圈,loop,soot,lock,lode
设计新颖,ingenuity,former,empire,verge
极肥胖的,obese,these,obtuse,abuse
霜,frost,frosty,prose,rout
让步,concession,confession,concussion,conception
认为,figure,inure,figured,fissure
不管怎样说,anyhow,anchor,sauna,palliative
入伍,enrolment,eventful,roguish,pauper
来,come,cope,cos,vote
齐平,flush,flesh,plush,blush
舌头,tongue,tongs,tangle,tingle
婚礼,matrimony,homosexual ,engagement,flirt
（爱情或友谊上）易变的,fickle,tickle,sickle,prickle
清洁剂,detergent,emergent,deterrent,tonic
航海(飞行)日志,log,dog,leg,low
悲哀,dole,gore,dose,idle
首字母,initial,initially,initiate,inimical
适度,modest,molest,modesty,eldest
纱线,yarn,yen,awn,earn
商业,mercantile,Sir,mining industry,farming
估价,assess,assessor,assist,assent
专卖流行衣服的小商店,boutique,carnation,requital,pressurize
(从容器内)排出,expel,excel,extol,repel
抑制,choke,cake,chore,code
复数,plural,aural,rural,floral
摔交,wrestle,nestle,wristlet,wrestler
鸭嘴兽,platypus,bat,sable,dinosaur
咽喉,throat,threat,throaty,trout
经常发生,constant,consent,instant,inconstant
作长途艰辛的旅行,trek,freak,trip,ark
使暴露,expose,pose,exposure,repose
英国货币,sterling,starling,seedling,string
发生(率),incidence,accidence,incident,axiomatic
消化,digestion,pain killer,to have diarrhea,to catch cold
锈,rust,quest,trust,puss
塑像,statue,statute,startle,state
媒体,media,mania,medal,merit
渺小,petty,petite,jetty,potty
机构,agency,agony,urgency,agent
愉快,resilient,kneel,kowtow,to the satisfaction of everyone
巡视员,warden,harden,wander,sadden
得得声,clatter,plaster,clutter,chatter
砰地关上,slam,sum,slum,solar
元首,chief,chide,cheek,thief
公司,corporate,cooperate,corporal,chicken farm
赞扬,applaud,applause,refusal,lit.: slap the table and shout with praise
(美)糖果,candy,handy,canal,caddy
变体,variant,arrant,valiant,verdant
值得,merit,eerie,merino,meat
使烦扰,obsess,possess,bless,obese
神志清楚,sane,cone,have,save
获得,obtain,contain,retain,stain
感觉,perception,perceptive,perfection,reception
疑虑,misgiving,serious,half-believe, half-doubt,trend
编织物,fabric,cambric,rubric,glisten
驯服,tame,wade,lame,state
疏忽,negligence,bewilder,be attached to one's native land and unwilling to leave it,sag
幕间休息,interval,internal,infernal,integral
