#word,meaning,option1,option2,option3
intoxicate,使喝醉,欺骗,活动(范围),动物园
appertain,属,准备好的,十五,于…之间
clog,脚坠,注意到,监控,难相处的
excrement,排泄物,文物,宝藏,红宝石
palsy,使麻痹,惯常,烤,走下坡路的(地)
dimple,使现笑靥,显得,钦佩,程度
toothless,无强制实施手段的,赞美,堆积,紧紧
solder,焊,片屑,老板,授予(奖品等)
container,容量,读数,复数,差额
etymology,同源学,核对,怀疑,有把握的
gong,锣,修补,使潮湿,注意
parochial,狭隘,丰富,匀净,广博
aviation,航空,航行,巡弋,行驶
harrow,耙,补种,备耕,耕
shear,修剪,劈开,裁剪,切片
fiftieth,第五十,频道,去拿来,肯帮助的
desperado,暴徒,恶人,妖孽,恶霸
onerous,沉重,变通,入木三分,对付
scamper,快跑,大堆,一定,信念
fishy,鱼的,影响,(给某人)吃早餐,烘饼
coastal,海岸,暗滩,三角洲,南沙
kimono,和服,毛衣,上衣,盔甲
specify,明确地讲,但愿,团结,确定
longevity,长寿,年轻,纤弱,白头
overtime,超时,受苦,迁延,到期
handcuff,束缚...的手脚,鼠标,划分,铸造
compost,混合物,原生质,文物,介质
steppe,干草原,包裹,受到,空白
trestle,支架,棉被,架,被褥
measurable,不久,渐次,第一,当时
tawdry,俗丽而不值钱的服饰,(身材)高的,一半,法院
liqueur,利口酒,(美)部长,糟透,肥皂
scapegoat,替罪羊,当事人,逃亡者,被害人
upholstery,家具装饰用品业,外皮,未煮开的,汽油
sweater,发汗剂,同样,上船/车/飞机,笨蛋
magnesia,氧化镁,升起,腹部,连绵区域
accrue,产生,散发,重现,突发
affluent,支流,东海,护城河,奔流
intensify,加强,巩固,深化,赶紧
foray,进行突袭,有关系的,幼小,作战
kennel,狗窝,努力的成果,瘦的,寄出
devolve,被移交,广阔,乐意,决定
retract,撤回,回家,回归,逝去
peanut,花生米,坚果,种子,秕子
gaseous,过热,碰,主编,写入
chute,急流,冰河,深水,护城河
hack,受雇,圈套,垃圾,协会
ovary,卵巢,睾丸,胞衣,阴户
gossamer,蛛丝,腿部,仔细,回答
dishearten,使沮丧,纂改(账目),年,性质
prism,棱柱,葡萄,失灵,公园
goggle,转动,动作,余震,跳动
regimen,情势,大局,秩序,危亡
uninformed,无生气的,爆炸,局面,有色人种
fiasco,完全失败,在…旁,象袜子一样的东西,喜爱
vodka,伏特加,奶油,白酒,奶酪
examine,检查,遴选,投票,补选
temper,脾气,孩子气,同辈,天性
statuette,小雕像,科学性的,脱掉,残酷
muddle,把...弄糟,起子,脑浆,会
matrix,母体,遗骨,前额,遗骸
mentor,门特,体力劳动者,短裤,一场(戏)
arson,放火,抢夺,断路,绑票
hallow,使成为神圣,敌军,劣质,筹集
nevermore,永不再,难过,向上,全体
pitchfork,强行把...推入,年幼,排队等候,(正式的)晚宴
notation,注释,引用,键入,说明
sociology,社会学,高科技,科研,课程
agnostic,不可知论,民族主义,浪漫主义,中学
buffet,打击,备课,告诫,补习
barmaid,酒吧间女招待,挤奶,具有共同目标的人,失败者
depress,按下,旧时,制造,富有色彩
dig,掘得,老的,认为,汽油
madcap,鲁莽,郑重,粗野,识相
slake,熟化,(向...)发电报,划船(游玩),设想
linseed,亚麻籽,裸体的状态,弄脏,页
duct,导管,篮板,白煤,木板
judicature,司法,不成文法,刑事,文法
hearth,壁炉边,愿意做,交谈,在楼上
hawser,缆索,缰绳,扣子,吊索
brew,酿造量,电子设备,办事员,颤抖
lung,呼吸器官,撒(粉末等),很,见解
apricot,杏子,草莓,凤梨,苹果
slanderous,诽谤,丑化,争议,辩解
diploma,公文,传真,明信片,案卷
gorilla,大猩猩,猴子,猿猴,白狐
accumulate,积成堆,塞子,能忍耐的,波动
comport,一致,同步,附属,不约而同
vane,翼,喧闹,弯曲,响声
maltreat,误用,照搬,用以,用法
obscenity,淫秽,正面,太平,鄙俗
nutriment,营养品,毒饵,白面儿,维他命
fascinate,有吸引力,穿,十二分之一,了不起的
gill,鳃,(人,中间物,北方(部)的
chirp,嘎吱声,极大,拿,握住
unassuming,不傲慢的,金黄色,顶点,文明
snowball,雪球,冰雹,暴风雪,冰晶
fender,防御物,光,年老,栖息
curb,路缘,更改方向,(竞赛中)不伤和气的,顶上
pact,契约,押韵,总则,协定
climber,攀缘者,经营,激励,人力车
jackass,傻瓜,半吊子,乌合之众,废物
dastardly,卑怯,胆大,脆弱,敏感
heterodox,异教,重庆,维吾尔族,郑州
unctuous,油的,(虫、鸟等)鸣声,指针,贮藏
concentric,同心圆,长方形,球状,环形
cannibal,嗜血成性,大楼,步行,乐事
yen,渴望,向往,预料,出乎预料
gregarious,群的,供职,(向...)发电报,担心
iodine,碘,前途,经营,当教师
titter,窃笑,发芽,成熟,微笑
blazon,纹章,爆炸,束缚,惊退
derelict,乞丐,幸运儿,债权人,债务人
elucidate,阐明,重申,指出,表态
saline,碱盐泻药,工资收人,标记,评论
bosh,槽,计划,持续,(鸟兽)叫
lout,笨拙的人,缠绕,潮湿,泄露
compress,敷布,水坝,指挥官,不定
aqueduct,导管,无烟煤,篮板,木板
cache,秘藏起来,病例,最坏,特色
lapel,翻领,衬裙,围裙,袖子
antiquary,古文物收藏家,(马)蹄铁,香蕉,楼层
aver,断言,漏洞,平稳,冰冻
fertilizer,肥料,海绵,塑胶,钻石
polo,马球,篮板球,乒乓球,擦边球
jog,慢跑,踊跃,跺脚,奔走
subheading,副标题,标题,八卦,牌子
mango,泡菜,海鲜,生菜,小吃
adverb,副词,例句,言语,警句
beryl,绿柱石,完美,在任何时候,你们自己
bowl,木球,这种,钢,人类(单数
hair,头发,鞭毛,纤毛,羊毛
cauldron,大锅,电脑程序,计划,列举出
ironic,用反语的,自始至终,断断续续,给予
auburn,赤褐色的,两倍,幸运,部队
lint,皮棉,真实,打字,梢
welter,翻腾,对流,外流,潮流
acumen,敏锐,不敢越雷池一步,板板六十四,明智
cede,转让,零售,拍卖,变卖
bumper,反弹球,布告,帐篷,牛奶
slight,少量,缤纷,百分之百,微不足道
amplitude,充足,狭窄,迷人,对称性
immune,免疫者,寒冷,公尺,简慢
brat,围裙,袖子,裙子,短裤
plenary,完全,相当,稍微,越来越
captivate,抓住,免疫,导致,致死
deduct,扣除,裁军,裁员,补发
writhe,扭曲,转身,碰撞,余震
transplant,移植,播种,栽种,培植
ashy,灰色,白茫茫,灰白,黄褐色
congregate,集合,纠集,久违,不辞而别
smoker,吸烟者,暗娼,帮凶,酒鬼
auditorium,听众席,生的,写作,(某种)性格
childbirth,分娩,双生,生产,褪色
whooping,极大,中等,矮胖,细小
maw,咽喉,隘路,半途,捷径
obsession,着魔,警觉,吃不来,疑惑
aura,气氛,现象,生态,必要条件
carrot,胡萝卜,南瓜,芜菁,西红柿
sloppy,溅湿,降职,怒目而视,出示
neuter,阉割,培养,宰杀,推出
chattel,动产,财富,产业,财帛
harbour,港,延伸,突然发生(发作),耳朵
vascular,血管,静脉,丹田,胞衣
mallet,大头锤,为了,精神健全,引擎
admiralty,海事法庭,正视,坏的,举步
sperm,精子,精液,头皮,鸡蛋
downhill,下坡路,阶梯,女神,神道
visor,面甲,事,说话者,(复数)神气
sear,暮年,当年,青年,少年
functional,职务上的,跟踪者,刮,通知
definitive,决定性的,外来,把…的插头插上,仓促
repine,渴望,出乎预料,预计,猜谜儿
squabble,争吵,搏斗,顶撞,叫嚣
granny,奶奶,家人,姥姥,公公
citron,香橼色,词汇量,简单,招致(非难
cute,漂亮,龙飞凤舞,高明,捕风捉影
proximate,最近,由来,不日,以前
jocose,爱开玩笑,鉴赏家,品质,严重
defraud,进行诈骗,这样,咳,红的
jurist,律师,教练,陪审团,老师
abhorrent,相抵触的,芬芳,(一)排,传达
nutshell,坚果外壳,担任,躲藏,逃避
iceberg,冰山,疾风,台风,风
roseate,光明,腐败,险峻,不朽
salty,海洋,海边,昆仑山,巫峡
narcotic,麻醉,报仇,剥蚀,搬弄是非
jib,悬臂,悬垂,翘,陷落
shortage,不足乏额,精英,向下,汽油
van,翼,宇宙,(植物)结实,原子核的
buxom,有健康美,根,撒(粉末等),［
federation,同盟,拜把子,集团,报应
leak,漏,更,眼窝,被雾笼罩
prop,道具,家伙,分机,总机
tactical,战术,眼光,绝技,高技术
thankless,不知感恩,塞满,航班,确定
windfall,意外之财,要求,授予,安祥
protein,蛋白质,烃,丁烷,水晶
global,全球,全国,中华,社会
hanker,渴望,向往,盼望,寻求
lunge,用刺,铸件,毁灭,进来
thimble,套筒,洞窟,薄片,芯片
tenacious,坚韧,轻轻,冻僵,沉重
garner,谷仓,知识库,发电厂,核武库
disband,分解,键入,手写,附笔
crate,一箱的量,片语,前进,每年
snipe,打鹬,省略符号,(常用复数)面条,周
anthology,选集,百科全书,碑帖,汇编
syntax,句法,秘诀,巫术,乘法
winnings,赌赢的钱,朗读,急剧,忠实性
chary,节约,浪费,平衡,足够
cursory,草草,奢侈,粗心,断断续续
condone,宽恕,舍得,宽容,可怜
aggressive,侵犯,播弄,剥蚀,朋比为奸
accession,就职,开会,备取,接替
graft,移植物,友好,展览馆,黄金
squeamish,易受惊的,奖牌,骇人,面对
cocktail,鸡尾酒,威士忌酒,奶油,药丸
overhaul,彻底革新,抓,盘子,敌国
jaunt,作短途旅行,职员,奔,懂
forestall,预先阻止,正确,结果,渴望
unofficial,非官方的,广大,学,癌(通常为不可数名词)
umpire,当裁判员,多半,司机,惊吓
recline,斜倚,修理工作,有毒,于是
demerit,过失,伟绩,业绩,长短
vibrant,震动,有关,关联,影响
bandy,向外弯的,慢慢,使觉醒,千分之一米
spinach,菠菜叶,六十个(人或物),对…做手脚,厚厚一层(可数)
grandiose,宏伟,刚劲,微不足道,英雄
louse,清除...上的虱子,微机,视为,假定
warship,军舰,战斗机,戈,主力舰
lode,矿脉,数字网,电话网,广域网
ail,处境困难,预定应到,十三,素材
miser,吝啬鬼,变色龙,妖精,败家子
bewitch,施魔力于,伸,航空港,激起
combative,好斗,行动,毛病,动作
loophole,在...上开枪眼,行进者,文学家,先导指数(标)
trackless,无人迹的,人们,游泳,捐赠
spry,充满活力,限定,拒绝接受,成果
cop,偷,村民,研究,器械
peppermint,薄荷糖,闻,接到,这(个)
pseudonym,假名,挑,鼻韵母,一直
film,拍摄电影,快地,情况,感受
allotment,拨款,记帐,结帐,转帐
spa,游览胜地,战场,有学问的,战舰
revert,回复,休息,失去,摧毁
arterial,干线,航程,场所,电路
simulate,模仿,补习,阅览,主修
intimidate,恫吓,引入,引出,欺侮
congenital,天生,不宜,大材小用,规范
parsimony,极度节俭,计划,操纵,剖面
buttock,臀部,膀子,奶子,马背
curd,凝结,自主,驳回,腌制
glut,暴食,击败,证实,保卫
fatten,长肥,拔,架空,不知道的地方
classify,把...分类,加盐于,晚(上),冲击
loop,环路,包围,交叉,传输
laud,赞歌,悲歌,伴唱,催眠曲
frost,结霜于,七十,饮料,普遍
cold,冷的,月台,雕,猛烈
pianist,钢琴家,文盲,把式,徐悲鸿
circumvent,环绕,交叉,包围,相隔
venereal,性爱,抱,阳光(不可数名词),生存
crevasse,决口,失火,受害,失事
fireman,司炉工,广告,侥幸,认识到
sunstroke,中暑,流感,翳,霍乱
inculcate,谆谆教诲,劳教,停泊,教导
abstain,弃权,舍弃,爱屋及乌,埋没
incidence,归宿,最低点,乍得,苏州
sock,打,根本,有趣味的,告诫
rust,锈,充满,在…之间,拍
pare,修掉,(高声音)遮掩(低声音),消散,中间(部)
rat,偷,标准,(用作定语)民间的,大约
niggardly,小气,红色,恭顺,白色
orient,给...定向,(一)行,在活动中,伤害(感情等)
slam,满贯,稀有,各种各样,对偶
variant,变化,巡回,恶性循环,演变
impurity,杂质,文物,煤渣,豆渣
recondite,玄妙,不着边际,切实,隐晦
gibe,嘲讽,拍案叫绝,诽谤,笔战
dwindle,衰落,新生,不失为,衰败
scurrilous,用污言秽语谩骂的,过,坚韧,均一
whiten,使白,有益,影片,柜台
bauble,小玩具,表明是,男性服务员,在周围
eschew,避免,避讳,消防,博得
curative,治疗,诊断,绘图,雕刻
conclave,集会,讨论会,例会,国会
baste,痛斥,反驳,揭发,保密
locomotion,旅行,跋涉,远征,对开
squalor,肮脏,神经过敏,蓬松,清爽
rob,抢,朝,作业,迟的
paraffin,石蜡,烃,白磷,蛋白质
refugee,避难人,知道,好处,下沉
corduroy,灯芯绒,亚麻布,桌布,丝绒
stink,惹人讨厌,用处,未成熟的,安乐椅
cadaverous,惨白,灰色,褐色,白茫茫
heartache,痛心,痛苦,悲喜交集,悲哀
infest,寄生于,察觉,牙齿,专心
vicarious,间接,刚好,直接,交替
cobra,眼镜蛇,海狸,青蛙,河马
transitive,过渡,联网,关联,接口
solvent,有溶解力,措施,疑难问题,猛增
pod,聚成群,隔开,倾向于,要求
jerky,多突变的,寂静,如气球般膨胀,华丽
clout,敲击,艰苦,打碎,毒打
tangent,直线区间,于…之间,保护…使免受苦难,损害
beaver,河狐,(使)通风,试穿,患病
alibi,借口,就是,不得不,无意
obtrude,强加,推进,拔苗助长,刺激
tuneful,音乐,春联,民乐,对子
yank,猛拉,禁止,(使)变浓,落后于
tirade,专题描述,舒服,脖子,每日
janitor,门房,更衣室,书房,图书馆
racy,辛辣,高度,有意思,深刻
stewardess,女管家,另一个人(或事),许多,如气球般膨胀
knead,揉成,局,千克,孪生子
linear,线的,问,恒星,器械
topography,地形,身材,多边形,样子
puss,嘴,钻头,风趣,访问
hymen,处女膜,薄膜,瓣膜,碧血
camera,暗箱,照相机,琴弦,拷贝
brigadier,军士,海军,空军,美军
serpentine,蛇纹石,花岗石,石灰石,鹅卵石
imitator,模仿者,奔,她的(所有物),安全
remit,提交,募捐,移交,预付
synthetic,假想,实弹,确实,实在
tigress,母虎,左面,更,发货
belie,掩饰,撒谎,夸耀,吹牛
exhale,呼,呻吟,舔,发音
dab,轻击,管理人,帝国,敲
sawmill,锯木厂,拥挤,聚集,女佣
spittle,沫,上部,成长,寻找
cork,栓皮,石头,铁锈,铅
carbolic,用碳制的,抱歉,沉默,强有力地
exemplify,例示,完满,最远,逃掉
omelette,煎蛋饼,场地,总共,实际上
adhesive,粘的,坚定,纪念馆,(教育、慈善、宗教性质的)社会公共机构
shotgun,被迫做的,兵力,(儿语)妈妈,他(她、它)们亲自
tendon,钢筋束,辅助物,叠,收集
captious,糊弄人的,应该,诚实,表现
extraneous,额外,本职,民用,集体
nanny,保姆,拥护者,奶子,仆人
uplift,上升,减肥,增高,攀升
patronize,惠顾,过来,下去,来自
domicile,住处,最低点,工作站,售票处
handicraft,手工业,航运,商业,中保
huddle,挤作一团,(头发的)一缕,(常兼汽车修理、销售业务的)加油站,健康
touchstone,检验标准,战胜,使就坐,米
lynch,以私刑处死,带路,机会,通告
paragon,杰出典范,海岸线,同种同族,入口
humdrum,乏味的话,升起,自来水,苦恼
brawl,争吵,诅咒,顶撞,叫嚣
sneeze,喷嚏,哈欠,大便,打喷嚏
harbinger,先遣人员,推,双生子,冷清
weld,焊接点,无线,吹风机,年少
callow,羽毛未丰,半瓶醋,饱经风霜,消极
obtuse,迟钝,明智,灵活,明白
crayon,草拟,动笔,虚构,布局
lobe,耳垂,鼻子,鼻梁,耳朵
hunch,使弓起,捆,停车处,勇气
expiate,避免,躲开,得到,避讳
snowstorm,雪暴,思想,牵制敌军,假设
gut,抢劫,断路,赦免,绑票
larynx,喉,适度,他,咖啡茶
travesty,滑稽模仿,不陡,生气,男性
dimension,范围,鼓舞,堵塞,妨碍
accuse,指控,弹劾,报案,上诉
palatial,宫殿,牌坊,白金汉宫,铭
emigrate,移居外国,宠爱,结合,最重要的
emotional,感情,好感,灵感,恶心
divulge,宣布,提倡,垄断,动员
senile,老年期的,在当代,学会,精神
jocular,诙谐,乏味,不规则,滑稽
twinge,剧痛,咳嗽,疼痛,出院
caption,字幕,暗箱,布景,风琴
infuse,被泡,平静,引诱,短的
inorganic,无机,课题,必修课,本科
bevy,一队,理解,旺季,视..而定
donor,供血者,闻,看,除...之外
revoke,藏牌,下雪,学习,收藏品
venerate,敬重,向往,忌恨,抱屈
molecule,些微,多于,比较,绝望
bole,红玄武土,时间,实施,认识到
whiting,牙鳕,原理,体操馆,糖果
erase,消除,杜绝,洗刷,克服
interlude,间奏,(会议的)主席,衣服(集合名词,梢
garish,俗丽,可靠,失败,综合性大学
immobile,不在动的,在…以前,非常,湍滩
throw,发射,半工半读,深造,进修
optics,光学,高科技,科研,科目
zebra,斑马,驴子,骖,骢
decadent,堕落,建设,振兴,例行
rump,牛臀肉,政纲,(广播用的)铁塔,银行工作人员
cupola,顶塔,辩护,由于,上部
origin,出身,国籍,辈分,选民
flashlight,闪光,叮当,散射,折射
mutable,不定,按兵不动,淫猥,败落
underfoot,在脚下,直接,弯曲,在楼下
fungus,真菌,蕈,白木耳,冬小麦
contralto,女低音,重音,鼻音,低音
liturgy,礼拜仪式,竟然会,期,客人们
cucumber,黄瓜,西红柿,芜菁,南瓜
tricky,难以捉摸,迅速,牵,交
shingle,锻,不常,(英国的)中小学校长,团结
meteoric,大气,吝啬,恭顺,慷慨
quaver,声音颤抖,经受,言语,意见
demean,贬低,免职,背黑锅,当选
cad,小市民,奴隶,选民,示威者
alto,中音乐器,所以,单调,急速
arrant,彻底,不啻,统统,差不多
release,放,计划,离开,有历史意义的
screech,尖叫,咆哮,哀鸣,飞翔
weasel,告密,控诉,上诉,弹劾
inaugurate,开始,小题大做,动工,启动
wriggle,扭动,刺激,转身,旋转
glaze,釉,你们,第五(个),改进
overlap,互搭,轮胎,混合,跪下
curry,咖喱菜肴,使吃惊,缓慢地移动,第二
craggy,陡峭,拱形,凹陷,起伏
causal,原因,缘起,病因,受事
habitat,生境,平的,经营农场,上演
agitator,鼓动者,泥土,人类,旅行
yacht,冰上滑艇,步骤,庭院,全部
pliable,易弯,准许…进入,学科,拼法
fop,纨绔子弟,妖精,鼓吹者,大炮
lanky,过分瘦长,(指人或行为)无情的,出口品,遗憾
canister,霰弹,子弹,礼炮,飞弹
tingle,产生震颤,放射物,讲述,飘动
smudge,熏烟火堆,也,看名胜,盆
vaudeville,杂耍,对口相声,魔术,流星
heifer,娘们,(狗尾巴等)摆动,兽皮,得分进球
flop,拍击声,血统,橡胶(制品),舞台布景
aphorism,格言,氨基,尺度,表率
waif,无主失物,妹,可塑,图书馆馆长
gradation,阶段,上层,文职,议长
cos,余弦符号,举止文雅的女子,测验,用星号标出
pollute,玷污,补救,挣扎,拼命
emission,发行,经销,售货,变卖
legation,代表团,乐队,商队,生产队
salvage,抢救,恰当,地区,编织者
laconic,简洁,破烂,紧密,柔软
editorial,编辑,摘录,翻译,笔译
seedling,籽状,野外,习惯,新闻报道
shire,郡,桃红色,缔造者,铸件
confront,使面对,跳舞,教育,建筑学
broach,炙叉,宝贝儿,受伤,受伤
artificer,发明者,医学家,制作者,银行家
dent,打,悲伤,炸药,不吵闹的
hyena,袋狼,生计,喝,座
carmine,胭脂红,步履维艰,金黄,无力
tapioca,木薯,豆子,冬瓜,大豆
titular,有称号的人,(使)噎住,流传广的,知道
craftsman,工匠,售票员,监督者,雇员
hustle,催促,报答,传送,璧谢
infraction,不全骨折,于…之间,水平,创始人
tress,头发,辫子,假发,鞭毛
blackboard,黑板,钢笔,笔杆,笔架
tighten,变紧,尚,检验,不及格
monsoon,季风,顶风,层云,暴风骤雨
ochre,赭色,灰白,黄褐色,斑白
chaplet,花冠,豆苗,顶芽,花瓣
sicken,枯萎,开放,吐穗,微笑
mouthpiece,吹口,非常,油煎,提出看法
thirtieth,第三十,刺激,其间,激烈的竞争场合
wasp,黄蜂,熊蜂,蝴蝶,步行虫
pasty,馅饼,麦芽糖,布丁,炸糕
fume,发出,散发,熄灭,涌现
cyclone,旋风器,把…装罐,同事,获得
snore,打鼾,拖,瓶子,水桶
emblematic,象征,反映,统称,可见
oust,驱逐,有待,收养,待遇
infinitive,原形,伪装,排队,关节
citation,引用,附笔,介绍,解释
scullery,洗涤室,教育,害怕,声明
reiterate,反复做,解决,印记,要求
certitude,准确性,可能,性质,伸缩性
importune,强求,强制,胁迫,开玩笑
vellum,犊皮纸的,迟钝,（人脑器官等的）正常活动,奶奶
seamanship,航海技能,安静,塑料(制品),停止营业
palmy,茂盛,肥沃,寸草不生,大多数
brand,加商标于,故事,统治,星期
calabash,葫芦,扁豆,水果,冬菜
coalesce,使合并,熟悉,鼻状物,凋谢
sunflower,向日葵,蓖麻,罂粟,八角
aspen,山杨,从事,挖,南方
cartel,书面协定,别的,捕鱼,帮助(手)
ornate,装饰,酿造,组装,克隆
copyright,以版权保护,贼,垫,髭
keyboard,键盘,高脚杯,杯子,碟子
skinny,不足,短少,亏损,盈余
ion,离子,原子核,电子,生物
wind,气息,粉红色,天蓝色,白色
seedy,结籽,期终考试,创始人,激烈
secretive,分泌,亲近,浓的,前者
totter,收旧货的人,短裤,打电报(给),鸣响
apropos,恰当,难以,及时,徒劳
pinafore,围裙,内裤,棉袄,短裤
garnish,装备,叛卖,备战,变天
corrosive,腐蚀剂,补药,白面儿,鸦片
horseshoe,给...钉掌,盛时,比如说,(英、德)百亿
abnormal,反常,神奇,可笑,可怜
dour,阴郁,凄惨,变色,痛苦
subscriber,订阅者,拼字,弹簧,使想起
daze,迷乱,(盛液体或气体的)箱,垂死,令人失望
bray,驴叫声,公正,选择,拇指
bridesmaid,女傧相,事,(动物)象,爆炸
dummy,仿制品,名产,特产,出产
bracket,托架,产生,痛,操练
partake,吃,你好(用来打招呼或引起注意),侄女,总的
rancour,深仇,迎接,交往,特别
brawn,膂力,大力,大小,畜力
flout,嘲笑,拍案叫绝,争议,污蔑
iron,熨斗,检测器,路由器,加速器
truculent,好战,内乱,应战,背水一战
testator,证人,代表,保证人,审判长
chamois,岩羚羊,使分开,周期,在内部
blacken,破坏,破裂,断开,滑落
incest,乱伦,猛烈,完整,理由
convene,召集开会,力量,篮球运动,质(量)
bastion,堡垒,核武库,兵站,车库
baritone,男中音的,和谐,给…泼冷水,陌生
loch,狭长海湾,一段时间,每件事,受欢迎的
vendor,卖主,投资者,个体户,交易者
starling,掠鸟,震,庄稼,碰巧
whimper,抽搭,回答,协定,套
immodest,自负,辞职,退休,包产到户
miscreant,信异教的,主要,袖珍,表示
copious,丰富,增值,附加,增加
loin,腰部,乳头,屁股,肚子
halcyon,平静,不动声色,安稳,对得起
dune,沙丘,丹砂,石灰,水泥
insincere,不诚恳的,解决,弄脏,缓慢地移动
snub,冷落,独身,鼎沸,荒凉
whitewash,粉饰,隐瞒,非议,揭发
pump,泵,过失,(声音)低沉地,不服从
swim,眩晕,晕船,昏迷,伤风
stack,排气管,洞窟,薄片,芯片
bounce,跳,铺开,号召,血统
parry,回避,防水,消防,避孕
loot,劫掠,绑架,断路,违法
trans,跨越,束缚,福利,制裁
voter,投票人,兆,跟…一起,棍棒
waitress,女侍者,经常,探索,硫磺
entangle,缠住,激怒,纠缠,烦扰
tooth,给...装齿,损害,是的,可怕
disable,使无资格,比赛者,单独,交通(量)
nape,项,直到…为止,受欢迎的,运载工具
jig,轻快地跳,检查,告诉,讲话
cryptic,秘密,神奇,非官方,明白
resonant,共鸣音,格言,篡改,烤薄饼
stepfather,继父,妈妈,老爷,父亲
contumely,侮辱行为,广场,清晰,相信
marmalade,橘子酱,打发,社,纸
ventral,腹的,时运,否则,边界
truncheon,用棍子打,仿佛,相当,谋杀
cumbersome,累赘,繁杂,重叠,琐细
subversive,颠覆性的,哨兵,直到…,周围状况
domino,西洋骨牌,优美,委托,小岛而言)
mountebank,江湖骗子,兵痞,征服者,浪子
flagship,头号,上流,专门,至上
usurer,高利贷者,董事,掌柜,承包人
eradicate,根除,克服,解渴,消灭
drawl,慢吞吞地说话,保卫,轻叩,农场主
hectic,发红,变心,渐变,聚变
smirk,假笑,月份,城市,海岸
epidemic,流行性的,髭,水平,幸运
haystack,大干草堆,十二分之一,胸脯,死的
stow,剪,意见分歧,连续广播剧,顾及
laundress,洗烫衣物的女工,辐射线,藐视,世界
shrapnel,弹片,炸药,炸弹,飞弹
catalogue,一系列,不乏,半圆,微不足道
pontoon,趸船,方舟,独木舟,货轮
whaler,捕鲸船,非直接的,运输系统,工作人员
magenta,品红,通红,步履维艰,健康
diaphragm,膈,邀请,地图,外孙子
irate,发怒,懊丧,烦恼,赌气
stentorian,极洪亮的,时刻,贡献,投稿
simplify,简化,年轻化,最大化,病变
uncut,未切,有益,家乡,卑劣
tankard,大酒杯,玩,公斤,倒置
nomadic,游牧,放牧,养育,哺养
scald,晒焦,枕,垃圾,它自己
distil,蒸馏,包金,镀锌,镀银
foundry,铸造,锻压,镀,拔丝
tumultuous,吵闹,动武,吵架,顶撞
chubby,圆脸,简化,移居者,鼓声
brigand,违法,处决,开刀,放逐
augury,预兆,表明,证验,意味
flighty,轻浮,耐心,狂暴,尊重
fixture,固定,勉强,定型,无情
hygiene,卫生,幸福,神经过敏,松弛
cinder,熔渣,混淆,连续不断的一段时间,任务
tubular,管的,职务,职位,引起
mermaid,美人鱼,金鱼,海龟,鲎
concerto,协奏曲,戏剧,京剧,歌剧
choleric,激怒,困扰,搅乱,冲撞
lath,给...钉板条,厨房,重型,在…下面
aide,助手,所有者,顾问,学徒
mash,糊状物,无论如何,近代,(棉
separable,使分离的,(儿语)妈妈,追求,虚构
