#word,meaning,option1,option2,option3
重新点燃,rekindle,chafe,labyrinth,promotion
无钱还债,insolvent,spatter,clockwise,sister
肩,shoulder,solder,shudder,moulder
婀娜多姿,curvaceous,pace,sickly look,complete
指责,rebuke,rebut,resume,revoke
作为开场白的,prefatory,memorize,skill,gate
(全体)选民,electorate,infirmary,permute,shapely
绳套,noose,boost,nope,noise
挥霍者,prodigal,prodigy,souvenir,program
多山,mountainous,seek,resign,victim
使困惑,obfuscate,devilish,hometown,trapper
可论证的,demonstrable,verbal,boon,suspender
畅饮,potation,chew,to suck,my goodness
缓刑,reprieve,retrieve,relieve,deprive
怂恿,entice,entire,antics,notice
满足,gratification,to want,supply,easy to
沉思,speculate,peculate,thanksgiving,conceive
堰,barrage,garbage,carnage,narrate
节省,thrifty,thrift,thirty,shifty
三部曲,trilogy,prose,outline,lengthy 
服装,costume,posture,consume,contuse
演讲术,oratory,orator,illusion,ironworks
瞬间,moment,modest,movement,comet
香油,balm,ham,palm,elm
寒冷干燥的强风,mistral,fractional,trot,submission
相符,correspondingly,unrealistic,symmetry,normal
痉挛,convulsion,paralysis,choke,to be in a coma
激怒,provoke,prove,propose,provide
太古,immemorial,memorial,this age,contemporary
纠缠,snarl,snare,snail,soar
单色,solid-colored,natural color,green,milky white
狂热者,fanatic,lunatic,fantastic,frantic
六角形,hexagon,rectangle,ring-shaped,polyhedron
全体人员,personnel,personal,to migrate,broker
公开,overt,ever,avert,invert
行业,craft,tract,raft,crash
结交,consort,comport,contort,console
稀少,sparse,hearse,spare,parse
防御,defense,defence,define,dense
明智,sensibleness,frail,flexibility,firm
心不在焉,distrait,not be fond of certain food,concentrate,thoughtless
小铲,scoop,scoot,stoop,crop
惊骇,aghast,ghost,not be used to certain food,return of the prodigal son
所以,consequently,on account of,is or isn't,cannot stand
监督,supervise,superfine,supervene,oversee
灿烂,effulgent,flirtatious,old-fashioned,gorgeous
初次登台,debut,devout,deduct,debit
鼓舞,invigorate,inviolate,to push,exert 
做作,mannered,manner,to raise,hang
散布,disseminate,to line up,be classified as,array
伦理学,ethics,thick,ethnic,ethical
接界,abut,abort,habit,abet
围攻,beleaguer,attack,attack ,supervise operations
攻不破的,impregnable,siege,rail,jaunt
爱好,gusto,fusty,lust,rust
被海水淹没的,awash,musical,green,eightieth
(蟹或龟等的)甲壳,carapace,cheek,fornicate,scarecrow
显性,dominant,dominance,ruminant,dominate
可信,credible,edible,incredible,crucible
道学先生,prig,prim,pip,trip
加速,precipitate,with a wavy motion ,intensify,consolidate
螺丝钻,auger,reason,degree,deportment
塑胶,plastic,elastic,classic,lactic
不调和的,incongruous,spellbound,postulate,stopwatch
含沙射影,innuendo,clear,seem,to embody
反驳,controvert,dialectical,written polemics,to discuss
喧嚷,fracas,to shout,roar,hoot
袭扰,harry,carry,hurry,hairy
吊着,pendent,to stand upright,hoisting,bury
煎锅,skillet,sixteenth,flout,unaware
辱骂,opprobrious,competition,curse,scold
炫耀,flaunt,flat,taunt,plant
倾向一方,lopsided,link,graph,bps
乱写,scribble,dribble,scramble,slacken
要点,tenor,tenth,sensor,tutor
使变得荒谬可笑,stultify,ermine,preach,slough
严厉批评,scathe,granule,charity,plot
不能根除,irradicable,idiomatic,phial,embitter
给予,accord,afford,actor,chord
证实,confirm,conform,confine,bonfire
粗野,insolent,innocent,indolent,cold
熔岩,lava,lad,naval,larva
经济,economical,economics,economic,kill two birds with one stone
减弱,damp,amp,drip,dash
拼命吃,gormandize,thirst,intoxicated,cry piteously for food
索然无味,vapid,arid,rapid,valid
暂时,interim,interior,intern,intercom
昏迷状态,coma,cola,cork,comb
阻挠,thwart,that,chart,heart
全盛时期,heyday,semester,transition,the Northern Dynasties 
边缘部分,penumbra,razor,bullfight,moderation
肌肉,muscular,vascular,involuntary muscle,epidermis
危险,peril,pedal,evil,petrol
饶舌之人,windbag,assistant,landlocked,even
错误判断,misjudge,peacetime,target,caisson
极乐世界,elysium,specter,alluring woman,soul
最重要的,cardinal,cardiac,marginal,carnal
细心,meticulous,frugal,careless,careless
(蛇等)蜕皮,slough,though,south,rough
监考,invigilate,oversee,for future reference,supervise and urge
无价值的,paltry,pantry,poetry,party
刺激,whet,hat,let,poet
玉米,maize,maid,baize,mate
使迷惑,confound,compound,propitious,compute
蹒跚,hobble,gobble,humble,mobile
令人厌烦的人,bore,ode,fork,cure
不合时机,mistimed,access,knotty,frivolous
音调(音符之高低),pitch,witch,itch,pith
陈腐,hackneyed,not amenable to reason,impartial,democracy
长袍,robe,some,rob,role
易读,legible,flexible,illegible,eligible
释放,liberate,liberty,literate,vibrate
可自由选择的,optional,national,rational,optical
未受抑制,unrestrained,shield,to cheat,to deceive
船尾,stern,astern,star,stet
极光(南北极夜晚所放彩光),aurora,affair,crossroad,carve
粒状,granular,heroism,sweetheart,barbarian
登机,embark,bark,remark,ember
轻罪,misdemeanor,repute,dromedary,optimistic
狩猎旅行,safari,afar,salary,blow
凌乱,disorder,disorderly,threatening,imbalance
无可辩驳,indisputable,speak or act on hearsay evidence,smart,false
倾注,stream,streak,seam,steam
混乱,chaos,charm,choose,crass
厌恶,allergy,gallery,alley,clergy
来回(双向)移动的,reciprocating,chip,rein,pineapple
无目标无计划的,feckless,reckless,fearless,shifty
类似物,analogue,catalogue,analogize,analogy
序言,preface,prefab,prepare,peace
公鸡,rooster,holster,roster,poster
易拉长的,ductile,tactile,docile,futile
迷人,adorable,favorable,admirable,durable
无效果的,inefficacious,skilled,muddled,unaccommodating
使化身,reincarnate,pinnacle,atonal,famish
无间断的,incessant,at every turn,continuously,always
暂时,provisional,real time,half of the day,a while
促进,promote,remote,probate,prompt
柔声地说,murmur,murder,toffee,enlist
集聚成团,conglomerate,parole,ungrateful,yell
松软,limp,lip,zip,nip
使惊骇,appall,criterion,sublet,icicle
(固定断骨的)夹板,splint,print,point,lint
先驱,precursory,grandson ,people,pioneer
(重量等)无法衡量的,imponderable,village,polar,imbibe
羊栏,fold,bold,sole,hold
制止,quell,to restrict,range,impassable
不知悔改,unregenerate,nimble,porcelain,infiltrate
障碍,clog,smog,clot,hog
任命,nominate,abominate,nominal,dominate
踌躇,halting,tune a stringed instrument,anxious,act against one's will
渴望,crave,rave,brave,graze
积习难改,incorrigible,having experienced the hard ship of life,ignore the general interest,childish
(行为放纵的)狂欢会,bacchanal,reverie,general,harass
古老,hoary,hooky,hardy,harry
不透明的,opaque,pique,plaque,pheasant
冬眠,dormant,torment,format,mordant
弹拉,pluck,suck,puck,cluck
不满分子,malcontent,dreadful,trestle,matrimony
自由,license,licence,incense,jolly
反叛者,mutineer,piracy,berk,metallurgy
抑制,inhibition,sanctions,to contain,insurmountable
(贬低人的)短语或形容词,epithet,either,filmy,venture
善于讲故事的人,raconteur,halcyon,sully,fish
暂停前进,halt,act,haze,fault
使拥挤,congest,hub,sheaf,arsenal
辉煌的成就,eclat,famous reputation,to influence,people's expectations
后代,posterity,posterior,prosperity,friendly 
心不在焉,abstracted,sag,to baffle,be attached to one's native land and unwilling to leave it
酒涡,dimple,pimple,nimble,simple
消散,disperse,dispense,diverse,dispose
压倒性的,overwhelming,blow,something,diaphragm
垂直,upright,bright,right,plight
挥霍者,profligate,exuberant,fugitive,procure
坐垫,cushion,cession,fusion,fashion
焊接,solder,holler,holder,seller
门环,knocker,locker,knock,knickers
破裂,rupture,upturn,culture,future
凹陷,depressed,prominent,barefooted,naked
好色,prurient,prudent,base,yellow
挨饿,starve,stable,stave,salve
(妇女用)披肩,shawl,shall,scrawl,saw
语源学,etymology,economics ,botany,geology
拔出,extract,extinct,tract,exact
博学,erudition,to have good eyes,poor,answer the questions without any hitch
不谨慎,indiscretion,tactful,advance gradually and entrench oneself at every step,careful
蹩脚诗人,poetaster,ark,immaterial,outfitter
锣,gong,gang,gold,pond
吝啬,tightfisted,overlook sb's past mistakes,vehement,democracy
谬误,fallacious,garble a statement, etc.,not to be taken as an example,abstract
骗子,trickster,hacker ,hoodlum,a wretched-looking tramp who lives by begging or stealing
拙劣地做,bumble,keg,baffle,listen
长篇演讲,disquisition,cassock,rat,moth
使痛苦,harrow,arrow,carrot,narrow
寂静,silence,silencer,since,science
欺骗手段,deception,exception,inception,reception
煽动性的,seditious,actor,super,hock
变化,transmute,change irregularly,vicious circle,fickle
肥沃的,fertile,febrile,textile,fertilize
无限制的,unreserved,wood,manly,motorcade
无水,anhydrous,beneficent,nuke,sup
阴谋,plot,slot,punt,pilot
折衷主义,eclecticism,dialectical materialism,agnosticism,jurisprudence
召见,summon,summons,sermon,common
剪(羊毛),shear,char,heart,smear
信条,credo,predicate,nourish,standardization
亡命之徒,desperado,desperate,evildoer,clown
支点(阻止东西下滑),purchase,cadaverous,carnal,unattended
繁重,onerous,sonorous,ponderous,nervous
炼金术,alchemy,rush,twaddle,foremost
迅速,expedition,exposition,to arrive late,high efficiency
插入,interpolate,lining,pliers,put
走调,off-key,responsive,ecocide,flee
悄悄地移动,creep,creed,sleep,free
闪烁,shimmer,simmer,stammer,summer
奔跑,scamper,sapper,sharper,scalpel
辩论的场所,forum,form,foul,fore
窒息,asphyxia,asphyxiate,numb,paralysis
饲养员,breeder,groom,woodman,hunter
伸展手脚而卧,sprawl,crawl,scrawl,shawl
并吞,annexation,blackmail,to plagiarize,abduct
一方面的,unidimensional,colorless,solidity,song
引起误解,garbled,adorn,select and edit,to delete
古怪,antic,unimaginable,nondescript,magical mystical
总结,summarize,submarine,best of the best,to produce
造船者,shipwright,tinkle,extent,whine
激励性的,motivational,optimist,other,landlocked
伪装,sham,gram,ham,saw
老迈,superannuated,young,stocky,artificial
黑烟灰,soot,swop,tout,skit
折扣,discount,dismount,many kinds of,ratio
讲道术,homiletics,fascist,strengthen,reiterate
涂掉,obliterate,literate,illiterate,corduroy
指定,specify,pacify,specie,special
胆小,pusillanimous,firm,frail,staunch
寿衣,shroud,proud,sprout,shrewd
长寿,longevity,female,health,heroic
迷信,superstition,confident,confidence,refuse to accept as final
形成,formative,vicious circle,vicissitudes,to develop
书、电影、乐曲等的节录,excerpt,except,exempt,exert
细小问题,specifics,item ,idea,table of contents
扼要表示,schematize,austere,membrane,son
世仇,vendetta,resentment,benefit,not get along well
华丽,finery,fiery,finely,joinery
点画,stipple,laminated,horn,cone
朋党派系,clique,oblique,unique,cliche
臭的,flagrant,fragrant,vagrant,earring
混合肥料,compost,comport,compose,compote
草稿,draft,graft,waft,raft
坚持己见,self-assertion,to convince,confident,belief
肆无忌惮,unprincipled,provoke,faking a modern object as an ancient one,fabricate
谜语,conundrum,Arabic ,Swedish ,Spanish 
可测量的,measurable,notch,toil,leak
嘹亮的喇叭声,fanfare,snoop,vanguard,consecrate
华而不实,tawdry,tarry,bawdy,awry
新奇(的事物),novelty,novel,poverty,lovely
宽宏大量,magnanimous,using strong words,revolutionary,stingy
骑马,equestrian,ride on horseback,to navigate,embark
无气味的,unscented,produce,mishap,immutable
用计谋获取,jockey,pistol,implicate,autopsy
分发,distribute,recruit,to receive,award
算盘,abacus,accelerator ,pager,monitor 
替罪羊,scapegoat,refugee,persons involved or implicated,casualties
正派,decency,divine,abominations,pornography
憔悴,gaunt,vaunt,grunt,taunt
不能渗透,impervious,imperious,untimely,mausoleum
螫刺,sting,stingy,swing,stiff
室内装潢品(地毯,upholstery,upholster,patentee,unnatural
减少,wane,waken,wake,wan
假牙,denture,venture,debenture,censure
深奥,hermetic,heretic,emetic,as easy as blowing off dust - not needing the slightest effort
非同一时期的,noncontemporaneous,hatred,weekly,wait
严寒,perishing,cold,interim,sprint
未预料到,unanticipated,need not,life insurance,suddenly
法庭,judicial,court of law,government branch,Ministry of Public Security
(艺术等的)出处,provenance,seal,omen,it is  clear
煞费苦心,painstaking,idea,to fancy,try different ways
松开,unwind,unkind,wind,unbend
论文,treatise,creative,lament,A Dream of Red Mansions
担保,vouch,pouch,torch,couch
关怀,solicitude,solitude,anxious,pity
大梁,girder,cider,order,gander
心不在焉,absentmindedness,intently,sag,fascinate
心事重重,preoccupied,gentle,console,ashamed
拖债,default,fault,tab,trough
代理人,proctor,witness,bail,assistant director
死,perish,period,parish,peevish
责难,censure,ensure,censer,ensue
黏土,clay,lay,clank,clang
终止,terminate,germinate,termite,terminal
典当商,pawnbroker,monsieur,deception,mosaic
笨蛋,simpleton,idiot,rubbish,good-for-nothing or queer character
(利息等)增大,accrue,accede,accuse,acre
打,spank,speak,shank,punk
超过,surpass,surplus,rule,to curb
病后康复期,convalescence,ludicrous,chlorine,eventful
裁缝,sartorial,arterial,electrician,blacksmith
富裕,affluent,fluent,effluent,affluence
加剧,intensify,intensive,improve,increase
(使事情便利的)设备、工具,facilities,magician,chasten,nose
蔓藤图饰,arabesque,it,personal,handpicked
放牧,graze,rake,glaze,grade
伤痕,scar,tar,cur,stark
受玷污的,tainted,statement,assorted,seasonal
评判的标准,criterion,complement,to guide,predicate
复兴,resurrect,recurrent,improve,relax
菌类,fungi,spore,edible tree fungus,tremella
(威胁性)隐约出现,loom,loop,room,log
(军队的)副官,adjutant,linoleum,water,apply
习惯,inured,clear-headed,not mind,to be enchanted
贪婪地吃,gobble,cobble,double,foible
始终如一,invariable,insatiable,variable,invaluable
突袭,foray,fray,worry,tray
约会,appoint,point,homosexual ,to combine
早产婴儿保育箱,incubator,insulator,incubate,emancipate
迷宫式的,labyrinthine,straight as a ramrod,meager,rules and regulations
以机智胜过,outfox,tight,embellish,chip
狗舍,kennel,runnel,kernel,keel
小枝,twig,twinge,tie,wig
(指工作,devolve,resolve,revolve,evolve
纪念物,remembrance,animal,goods,antique
灾难,disaster,distaste,blessed,scourge
古怪,droll,krill,roll,poll
赋予生命,animate,root,successive,mannered
慎重考虑,deliberate,delineate,liberate,executor
(复数)(人生的)盛衰,vicissitudes,vicious circle,fluctuate,gradual change
止痛药,painkiller,medicine,laxative,aspirin
不整洁的,dowdy,demote,expect,fail
意志消沉,downcast,deviation,emetic,everybody
小鹅,gosling,landholder,redundant,annexe
在商店里偷窃货品,shoplift,scabbard,gloom,disconcert
缩回,retract,restrict,refract,retrace
凶恶的老妇,harridan,overdo,aide,banisters
纵容,pamper,pauper,paper,damper
沙文主义,chauvinism,love of country,socialism,dictatorship
妨碍议事,filibuster,to mix,intertwine,trouble
似气体的,gaseous,nauseous,deprave,concussion
绕,intertwine,intestine,connected by air, sea traffic or service,network
碧绿,turquoise,brown ,dark blue,purple
雇佣文人,hack,tank,aback,hank
薄纱,gossamer,accelerate,wrap,bridesmaid
作嘘声,hiss,hill,miss,Aids
使...灰心,dishearten,skirt,silhouette,vend
护目镜,goggle,giggle,boggle,joggle
心照不宣,tacit,taxi,fact,wait
骑术,equitation,expatiate,descendant,whisk
归纳,induction,conduction,injunction,infection
日冕,aureole,glimmer,hotline ,flash
高脚酒杯,goblet,toilet,noble,gullet
养生法,regimen,regiment,regime,region
郑重敦促,adjure,resentful,dint,juryman
大失败,fiasco,fiance,fresco,disco
拆除,dismantle,upper part of the body,to untie,to wind 
无节奏的,arrhythmic,outlaw,protest,occult
游移不定,vacillate,oscillate,compelled,thirsting or hungering for sth.
口吃,stutter,cutter,shutter,mutter
军刀,saber,pike,a gun salute,bullet
锤炼,temper,keeper,tempt,bumper
代用,ersatz,military ,entirely,abuse
小雕像,statuette,statute,wearisome,teabag
秃鹫,vulture,culture,venture,rupture
仲裁者,intercessor,pillage,comrade,disclose
体弱的人,valetudinarian,dredger,finale,brandish
不爱交际,incommunicative,keep silent,bewail,to excite
过量,plethora,like,hasn't,overage
鞣(革),tan,ton,vat,tax
不合道理,unjustifiable,flit,spin,myself
悲痛,harrowing,mixed feelings of grief and joy,miserable,awfully
赞美,magnify,dignify,signify,jest
(旅行等的)背包,rucksack,prolific,inquiry,ceremonial
轴(常为虚构之线,axis,arid,amid,exist
混乱,muddle,huddle,cuddle,module
家谱学,genealogy,biplane,excitation,video
谨小慎微,punctilious,saving,close,in reality
矩阵,matrix,matron,metric,to line up
浮渣,dross,truss,tress,boss
肿胀,swell,shell,sell,sill
好奇心,curiosity,center,perception,curiosity
导师,mentor,meteor,tenor,sensor
赞美歌,paean,chant,song lyric,catchphrase
纵火,arson,argot,baron,pardon
边缘,verge,avenge,verve,nerve
(指人)反复无常,inconstancy,asphalt,devotion,vox
再起,resurgent,improve,to leave hospital,to heal
相似,resemblance,following,almost, nearly,close to
把...视为神圣,hallow,fallow,harrow,callow
逃避责任,goldbrick,collapse,to handle,cause to develop
未受指导,undirected,quart,noone,procession
承认,confess,confer,contest,congress
使声音降低,muffle,muddle,ruffle,duffle
泛滥,overwhelm,jet,slump,submerge
史前,prehistoric,this age,Middle Ages,dynasty
健康,wholesomeness,peculiarity,pitiful,irregular
轻泻药,laxative,dehydrate,abolish,indent
溢出,overflow,flush,lower,jet
骇人,appalling,extensive,be unpopular,moving
肃静,hush,lush,rush,husky
说废话,drivel,drove,derive,ravel
不可知论的(人类不可知上帝是否存在),agnostic,senator,interplay,euthanasia
即将结束,moribund,cry,flight,tact
圣礼,sacrament,depression,master,dispossess
和睦,rapport,not get along well,closely,linked in countless ways
异族通婚,exogamy,overreach,excess,notary
摘要,abstract,obstruct,attract,distract
井井有条,trim,rim,arid,trio
宗派,sectarian,right-wing,secret society,Gestapo
梗概,outline,online,outlive,routine
原始,primeval,ready made,foreign,standard
(使)升华,sublimate,just like,exultation,solemnity
枢轴,pivot,rivet,pilot,plot
庄严,numinous,sag,threatening,fluffy
折衷,eclectic,to convince,to become reconciled,use force
使苦恼的,irk,nick,dirk,sick
大量,mint,mire,dint,min
喜怒无常,moody,hooky,booby,moor
冗长的演说,screed,screen,spree,sacred
消沉,depress,repress,duress,express
解渴,slake,glaze,lake,flake
迷向,disorientation,trial,sandbag,desiccate
干涉,interference,inquire about,to attack,overthrow
旅行见闻,travelogue,offertory,binary,meditate
(柱石或雕像的)基座,pedestal,sunlight,loaf,disinherit
名字的误用,misnomer,chilblain,deify,engine
狂热行为,zealotry,antenatal,paddle,preach
将外国人,deport,depict,depot,report
起泡,frothy,dysentery characterized by white mucous stool,"bird flu" ,measles
解毒,detoxification,to sweep away,brush,put an end to
易于移动,mobile,immobile,mobilize,noble
告发,prosecute,persecute,prosecutor,to divine
绒毛,down,dome,boon,town
(刀剑)鞘,scabbard,seaboard,posthaste,contralto
(不严重的)疾病,ailment,medical,asthma,tributary
高压电线架,pylon,nylon,plod,colon
形而上学,metaphysics,keen,show no understanding of the times,special
履行义务,discharge,generous,mile,thigh
青石,sapphire,submerged reef ,pegmatite,sand and stones
舰队,armada,the Northern Expeditionary Army,cavalry,crusaders
哀求,implore,improve,explore,import
中途拦截,intercept,interest,intersect,interrupt
无知,ignorance,ignorant,weather-beaten,omnipotent
管道,duct,bust,mulct,dock
细胞组织学,histology,omnipotent,shape,stultify
巡视,perambulate,garrison,encamp,permanent 
使政治化,politicize,snowdrop,turkey,ware
档案室,archive,joggle,unmask,ply
违反,violate,village,vibrate,inviolate
苦工,drudgery,dredger,drudge,labor
窥淫狂者,voyeur,nightdress,prepare,target
短途旅游,excursion,exclusion,expulsion,incursion
探求,quest,duet,request,quit
整形手术,orthopedics,reader,playmate,mayor
瘴气,miasma,electric,gas,butane
不利健康,insalubrity,fire,gourmand,pus
广博,encyclopedic,symmetry,unlimited,touching
侏儒,dwarf,dark,darn,diary
爱好,inclination,misunderstanding,beconme excited,know 
平静,quietude,inquietude,urgent,intranquil
(政治上)不满的,disaffected,equipment,to seize,repression
(食物)很可口的,scrumptious,goal,attorney,teacup
(人或国之间的)友好关系,amity,family,parity,vanity
尊严,dignity,divinity,dignify,digit
永存,perpetuation,steep,corruption,not to be found in the classics - not authoritative
粗绳,hawser,halter,laser,hammer
刻板,starchy,starch,search,anarchy
烦躁,fretful,to take one's anger out on sb ,to be anxious,gloomy
原型,prototype,clerk,bracelet,eczema
连贯,coherent,cohere,adherent,incoherent
完全,utter,butter,gutter,matter
精神,vitality,vitalize,fatality,totality
顶点,apex,rape,age,ape
修辞学,rhetoric,mathematic,statistics,linguistics
坚强不屈,indomitable,be slovenly,wild,weak
法兰绒(一种布),flannel,channel,flange,funnel
初步,rudimentary,school opens,begin construction,to start
傲慢,bumptious,sumptuous,not stint,atmosphere
不能满足,insatiable,invariable,honest,lowly
(使)行为无礼貌,misbehave,registry,min,erotic
辨别,differentiate,to know what's what,to decide,compared to
接近,adjacent,not less than,inequality,act in a way that defeats one's purpose
兽皮,hide,tide,cider,rite
弄皱,crumple,crumble,rumple,couple
亲近,propinquity,tuning,to astonish,keep sb at arm's length
诽谤,slanderous,dispute,defame,written polemics
君主,monarch,march,monarchy,stockholder
大猩猩,gorilla,corolla,grill,grille
结果实,fructify,not do one's best,collapse,fall to enemy occupation
积聚,accumulate,to line up,spurt,be decorated with lanterns and colored banners
不必要的,dispensable,urgent,scratching the surface,great
前卫,vanguard,judgment,pitcher,athlete
常去的地方,haunt,daunt,vaunt,want
同等之人,peer,prep,par,heed
相互关系,correlation,realm,selection,straw
不变,immutable,mutable,immovable,be flexible
假的,phony,faking a modern object as an ancient one,proudly,cause trouble
许配,betroth,berth,broth,to integrate
潜伏,lurk,link,fork,lyre
特别地举止或行为,comport,compost,compare,comfort
毁灭性的,destructive,nugget,feat,pub
冗长,verbose,verse,stark,soft
保释金,bail,bare,gaol,lair
严格控制,regimentation,hurried,law enforcement,grammar
不可告人,ulterior,anterior,interior,exterior
光合作用,photosynthesis,quick results,reaction,fame
海中,marine,mariner,marble,main
不够,scanty,sandy,scant,salty
整洁,spruce,prude,seduce,spice
与...一致,jibe,jib,mime,Bible
虐待,maltreat,cope,treatment,banishment
新郎,groom,gram,loom,roof
统治,governance,dominate exclusively,regent,student's strike
流汗,perspire,respire,excrement,humanity
骑兵队伍,cavalcade,hair,tentacle,affidavit
分离,disjunction,for a long time,leave without saying good-bye,to have a reunion
迷惑,fascinate,there can never be too much deception in war,to hoodwink,to gain by cheating
有角,angular,singular,annular,regular
通敌,collaborate,to betray,equipment,armed rebellion
(鸟或虫)唧唧叫,chirp,chit,churn,chip
给...接种疫苗,vaccinate,rickety,midday,pundit
厌烦,boredom,love and hate,hate ,universal love
蹒跚而行,stumble,jumble,tumble,crumble
首要,primary,primate,urinary,primarily
(女人或小孩的)衬衫,blouse,blonde,loose,house
不摆架子,unassuming,confront,descend,bailiff
碎片,fraction,inaction,faction,friction
慈善,philanthropy,whichever,cruel,what
持久,sustained,to take care,attentive,intermittently
有技巧的,accomplished,near,diaphanous,fluent
不起作用,ineffective,deviation,salient,commander
挡泥板,fender,render,finger,elder
惰性,inert,newt,intent,input
错误,fault,faulty,full,vault
控制,curb,curly,cub,curd
可能,presumable,presumably,approximately,not enough
协定,pact,yacht,pat,tract
除去,eliminate,so that,merely,not only
压榨,squeeze,sneeze,be a speculator ,extort under false pretences
挽歌,elegiac,chime in with sb,a mournful song,interlude
堤岸,embankment,honeycomb,snare,name of a place, Gezhouba Dam on the Changjiang River, in Sichuan
刺伤,stab,stain,star,tab
接连,successively,repeatedly,at any time,lately
潜行于...,prowl,map,noose,cohere
(鸟)栖息,perch,parch,march,pert
歌谣,ballad,ballast,ballot,allay
老于世故,sophisticated,ignorance,grand talents mature slowly,shortsighted
澄清,clarify,clarity,clarion,glorify
抛物线,parabola,parasol,paranoia,parable
悲哀,lugubriousness,miserable,pain,mixed feelings of grief and joy
错误,errant,harmful,not  to be taken as authoritative,abstract
撕裂,tear,earl,wear,tease
玷污,taint,joint,tin,waist
厚木板,plank,clank,plan,shank
