scour	n.擦;除垢剂v.擦掉;擦
snub	adj.制动用的n.冷落v.冷落;严厉斥责
complete	adj.十足的;完成的v.使完美;完成
mongrel	adj.混杂的;杂种的n.杂种;杂种狗
crumb	n.少许;碎屑v.捣碎;碎裂
gird	n.嘲笑v.给...佩;束
variant	adj.变化的;不同的n.变体;异读
wisp	n.小把;纸捻;束;缕
tawdry	adj.俗丽而不值钱的n.俗丽而不值钱的服饰
offing	n.近岸锚泊;离岸距离
cerebral	adj.脑的;翘舌音的
shrapnel	n.零钱;榴霰弹;弹片
specify	v.具体指定;明确地讲
adherent	adj.贴生的;粘着的n.信徒
chubby	adj.圆脸的
dislodge	v.把...逐出;强行去除
espouse	v.娶;信奉
itinerant	adj.流动的;巡回的n.流动散工;巡回者
planetary	adj.流浪的;行星的
disparity	n.不同
accrue	v.获得;产生
flagship	n.旗舰;头号
well	adj.对的;井的adv.好;很n.好;井v.涌出;流出
criticize	v.批评;评论
remit	n.提交;委托权限v.缓解;汇
rooster	n.栖息的鸟;雄禽
resonant	adj.共振的;回声的n.共鸣音
waterproof	adj.不透水的
passable	adj.过得去的;可流通的
boom	n.暴涨;吊杆v.使繁荣;暴涨
orifice	n.孔
cooperate	v.合作
accuse	v.指控
conclave	n.集会;秘密会议
impurity	n.不纯;杂质
forearm	n.前臂v.预先武装
ironic	adj.冷嘲的;用反语的
stack	n.大量;排气管v.洗...作弊;形成堆
usurp	v.篡夺;侵犯
knotty	adj.多节的;有结的
monologue	n.独白;独白体诗
trackless	adj.无轨的;无人迹的
mammoth	adj.巨大的n.猛犸;庞然大物
fang	n.尖牙;牙齿
dust	n.地面;粉v.擦去;沾上灰
overseas	adj.海外的adv.在海外
swirl	n.打旋;纷乱v.打旋;回曲
mash	n.糊状物;迷恋v.压碎;挑逗
noontide	n.正午;最高点
fauna	n.动物群;动物志
flurry	n.混乱;阵风v.慌张;微飘
preclude	v.排除;阻止
upbraid	v.责骂
analyse	v.分析;解析
elixir	n.灵丹
chandelier	n.枝形吊灯
evasive	adj.逃避的
gruel	n.稀粥
insincere	adj.不诚恳的
loin	v.腰部
snore	n.打鼾;鼾声v.鼾睡度过;打鼾
rainfall	n.降雨;雨量
squalor	n.肮脏;卑鄙
melodrama	n.传奇剧;音乐戏剧
sprout	n.后裔;新芽v.长出;发芽
retrograde	adj.倒转的;衰退的adv.向后v.衰退;重述
aircraft	n.飞机
cannibal	adj.嗜血成性的n.食人生番
feint	n.佯攻;假装
trimming	n.责骂;整理
gorilla	n.暴徒;大猩猩
ratify	v.正式批准
outlive	v.比...活得长
pump	n.泵;抽运v.用泵抽吸;操作泵
iniquitous	adj.极不公正的
swim	n.漂浮;眩晕v.浸;漂浮
waft	n.吹拂;一阵v.飘荡;轻吹
certify	v.担保;证明
paraphrase	n.释义;演释曲v.将...释义;释义
solidarity	n.团结工会;团结一致
watchword	n.暗语;口令
enliven	v.使快活;使有生气
consulate	n.领事馆;领事任期
scrawl	n.潦草的笔迹v.涂掉;涂写
tasteless	adj.乏味的;无味的
gash	adj.有见识的;多余的n.划开v.砍伤
banjo	n.班卓琴;铲子
rocket	n.火箭;芝麻菜v.惊飞;迅速上升
tractable	adj.驯服的;易处理的
absolve	v.赦免
hinge	n.铰链;枢纽v.使依靠;依...而定
adverb	n.副词;状语词组
dummy	adj.挂名的;假的n.仿制品;人体模型
crypt	n.地窖
italic	adj.斜体的n.斜体
ornate	adj.装饰的
subject	adj.臣服的;需要...的n.题目;学科v.使臣服;提供
inorganic	adj.无机的;无生物的
presage	n.预感;预示v.预感;预示
brawl	n.哗哗声;争吵v.为...争吵;争吵
hussy	n.轻佻女子;针线盒
phonograph	n.留声机
brew	n.酿造过程;酿造量v.酿造;泡
dividend	n.红利;赠品
craze	n.疯狂;时尚v.使发狂;发狂
homicide	n.杀人;杀人者
gild	v.给...镀金;装饰
tuneful	adj.音乐的
consume	v.吃完;毁灭
informer	n.告密者;通知者
obtuse	adj.迟钝的;钝的
skate	n.冰鞋;溜冰v.滑冰
versatile	adj.易变的;多才多艺的
unassuming	adj.不傲慢的
underworld	n.地狱;下层社会
fussy	adj.瞎忙的;易激怒的
locker	n.锁柜;箱
shire	n.郡;夏尔马
hack	adj.陈腐的;受雇的n.砍痕;劈v.耙;劈
garnish	n.服装;装饰菜v.装备;装饰
journeyman	n.雇佣工;子钟
divulge	v.泄漏;宣布
hulk	n.船体;监狱船v.庞然大物般出现
nutriment	n.营养品
sinuous	adj.弯曲的
croak	n.呱呱叫声v.杀害;死
vandal	adj.野蛮的n.野蛮人
auburn	adj.赤褐色的n.赤褐色
satchel	n.书包
wax	n.耳垢;蜡v.变成;变大
apocryphal	adj.次经的
bedlam	adj.疯人院的n.疯子;混乱
forestall	v.垄断;预先阻止
heifer	n.娘们;小母牛
fillet	n.带子;饰线v.把...切成片;用带缚
foregone	adj.已往的
crouch	n.蹲v.低;蹲
vengeful	adj.报复的
drawl	n.慢吞吞拉长调子说出的话v.慢吞吞地说话
alienate	v.使疏远;离间;转让
cramp	n.绞痛;痉挛v.把...关住;痉挛
malign	adj.恶性的;恶意的v.诽谤
salve	n.解救物;软膏v.缓解;说清
exponent	n.阐述者;例子;代表
bewail	v.抱怨;痛哭
generate	v.产生;生
dorsal	adj.背部的;背的n.背部;舌背音
dank	adj.阴湿的
homespun	adj.家里纺的;朴素的n.土布
recumbent	adj.横卧的;躺着的
mop	n.拭子;拖把v.使用拖把;作怪相
putrid	adj.腐烂的
wasp	n.黄蜂
hustle	n.忙碌;推v.催促;难
infinitive	adj.原形的n.原形
thong	n.皮带
bounteous	adj.慷慨的;丰富的
snout	n.口鼻部;口吻状物
suave	adj.温和的;温文的
artificer	n.发明者;技工
dispose	v.安排;排列
morale	n.道德;士气
optimistic	adj.乐观的
reek	n.臭气散发;蒸发v.熏;沾上
wrongful	adj.不道德的;犯法的
nauseous	adj.使人厌恶的
gradation	n.分等;阶段
venal	adj.腐化的;贪赃的
abhorrent	adj.相抵触的;憎恶的
classify	v.把...分类
gorse	n.荆豆;桧
cursory	adj.草草的
ditty	n.小曲
lasso	n.套索v.拉拢
assuage	v.减轻;解...
flute	n.长笛;长形物
dread	adj.可怕的n.担忧;畏惧v.担忧;怕
expiate	v.避免;抵偿
obsession	n.着迷;着魔
goad	n.刺激;赶牛棒v.刺;刺激
ravage	n.大破坏v.使荒芜;毁灭
brusque	adj.粗鲁的
noisome	adj.恶臭的;有害的
reprieve	n.缓刑;暂时解救v.暂时解救
admonish	v.警告;力劝
shorthand	adj.似速记的;速记法的n.速记;速记法
allotment	n.拨款;分配
legitimate	adj.合法的
rational	adj.理性的n.根据
puberty	n.青春期
trice	n.瞬息v.扯起;用绳子拉
tea	n.茶;茶叶
convivial	adj.酒宴的
craggy	adj.陡峭的;毛糙的
moisten	v.弄湿;变湿
violinist	n.小提琴手
atrocity	n.凶恶;残暴
macaroni	n.花花公子;通心面
parochial	adj.受限制的;狭隘的
curriculum	n.课程
emigrate	v.移居外国
janitor	n.门房
rancour	n.深仇
wince	n.退缩;六角盘v.本能地退缩
outdoors	adv.在户外n.户外
splinter	n.裂片v.使分裂;分裂
experiment	n.实验v.进行实验
react	v.使起反应;影响
script	n.笔迹;书写体v.为...写剧本
repine	v.渴望;苦恼
miscreant	adj.信异教的n.恶棍;异教徒
irascible	adj.发怒的;易怒的
pervade	v.走入;遍布
augury	n.预兆;占卜
pelt	n.快速;投击v.下大雨;剥皮
blackmail	n.敲诈v.敲诈;胁迫
pounce	v.突然袭击;猛扑
torrid	adj.热情的;晒热的
pant	n.喷气;气喘v.悸动;气喘
placard	n.布告;小牌v.公告;张贴;安抚
erotic	adj.好色的;性爱的n.好色之徒;色情诗
concussion	n.猛击;震荡
fireman	n.爆破工;司炉工
flinch	n.弗林奇;退缩v.缩;缩脚
seduction	n.教唆;诱惑物
bonus	n.红利;奖金
screech	n.尖叫;烈酒v.尖叫
examine	v.查讯;检查
prate	n.唠叨v.瞎扯;唠叨
tepid	adj.不热烈的;温热的
buxom	adj.丰满的;有健康美的
fetter	n.脚镣v.为...上脚镣
cupola	n.顶塔;穹顶
pointer	n.指示物;指针
asset	n.所有物;资产
evacuate	v.撤离;撤退
opal	n.蛋白石
sedentary	adj.不迁徙的;坐着的
supplant	v.把...排挤掉;取代
corpulent	adj.肥胖的
excise	n.消费税v.向...索高价;切除
palsy	n.颤动;麻痹v.使麻痹
stingy	adj.吝啬的;窄的
pedant	n.男教师;学究
label	n.标签;称号v.把...称为;使示踪
curry	n.咖喱;咖喱菜肴v.打;梳刷
delta	adj.第四位的;四等的n.三角形物;三角洲
digital	adj.手指的;数字的n.琴键;手指
billiard	adj.台球的n.连撞两球所得的分数
quorum	n.法定人数
urn	n.壶;瓮
graduation	n.毕业;刻度
unpack	v.卸下负荷
disengage	v.使脱离;脱离
idealist	n.唯心主义者
mammon	n.贪欲;物质财富
deviate	adj.偏常的n.离差;偏常者v.使背离;背离
inculcate	v.反复灌输;谆谆教诲
colloquial	adj.口语的n.口语;口语体
mouthpiece	n.吹口;代言人
credit	n.信任;信誉v.把...归于;信任
dastardly	adj.卑怯的
inductive	adj.感应的;引入的
ambiguity	n.含糊不清
bitch	n.母狗;怨言v.抱怨;弄坏
confound	v.混淆;使混乱
itch	n.疥疮;痒v.发痒;渴望
fawn	adj.鹿毛色的n.阿谀;幼鹿v.奉承;生
insular	adj.岛民的;孤立的
obsequies	n.葬礼
trans	adj.跨越的
disk	n.花盘;盘
neuter	adj.无性的;中性的n.无性植物;中性v.抵消;阉割
bestial	adj.兽性的;兽欲的
billow	n.巨浪v.翻腾;鼓起
filament	n.长丝;灯丝
weld	n.焊接;焊接点v.焊接;焊牢
covert	adj.掩盖的;隐蔽的n.覆羽;隐蔽
serpentine	adj.狡猾的;蛇的n.蛇纹石
calibre	n.口径;能力
eyelid	n.睑
laconic	adj.简洁的
handicap	n.让步赛;障碍v.妨碍
palette	n.调色板
jolt	n.猛击;震动v.猛敲;震动
demur	n.反对;抗辩v.逗留;抗辩
highlander	n.高地人
stylish	adj.新式的
windlass	n.绞盘v.用绞盘吊起
adamant	adj.坚强的;坚硬的n.坚硬的物质
diagonal	adj.对角线的;斜的n.对角线;斜行
compiler	n.编译程序;汇编者
lugubrious	adj.悲哀的
twang	n.鼻音;弹拨v.弹拨
box	n.箱;巴掌v.打;斗拳
brigadier	n.军士;陆军准将
crucible	n.熔炉;坩埚
spellbound	adj.入迷的
terse	adj.简要的
eyebrow	n.窗头线;眉
nil	adj.没有的n.无
shortage	n.不足;不足乏额
sneeze	n.喷嚏;抓捕v.抓捕;打喷嚏
troupe	n.剧团;一伙v.巡回演出
useful	adj.有用的
beryl	n.绿柱石;浅蓝
cartilage	n.软骨;软骨部分
gape	n.豁口;张口v.张开;豁开
indigent	adj.贫困的;欠缺的
watt	n.瓦
tingle	n.刺痛;震颤v.产生震颤;发丁零声
spurt	n.喷射流v.喷射;急剧上升
stave	n.棍;梯级v.打穿;快走
cross	adj.交叉的;相互的adv.横跨地n.十字架v.穿过;交叉
earshot	n.听力所及的范围
condolence	n.吊唁
dime	n.一角钱;小钱
accord	n.谅解;谐和v.授予;相符合
goblin	n.小妖精
hilarious	adj.引人发笑的
roan	adj.沙毛的n.红白间色;沙毛牲畜
target	n.靶;目标v.规定...的指标
transcript	n.抄本;文字记录;改编曲
giggle	n.傻笑;一群v.咯咯地笑
baptize	v.为...命名;施浸礼
outlaw	n.歹徒v.将...放逐
nebulous	adj.星云的;云雾状的;含混的
beholden	adj.依赖的
winsome	adj.惹人喜爱的
shingle	n.木瓦;小招牌v.使交搭;锻
thankless	adj.不知感恩的
clink	n.钱;押韵v.啪地打;押韵
evasive	adj.逃避的
hygiene	n.卫生
jib	n.艏三角帆;悬臂v.畏缩不前;逡巡不前
scarecrow	n.稻草人
bastion	n.堡垒;棱堡
fungus	n.海绵肿;真菌
taboo	adj.忌讳的n.忌讳;禁忌v.禁止
word	n.词;话v.通知;讲话
holler	n.号子;叫喊v.喊出;叫喊
lathe	n.莱斯;车床v.用车床加工
overall	adj.总的adv.从头到尾;总的说来
jetty	adj.含煤玉的n.防波堤;突出部v.突出
refugee	n.避难人
shuttle	n.梭v.穿梭般来回移动
twinge	n.剧痛;捏v.捏;感到剧痛
interlude	n.插曲;间奏
kinswoman	n.女性家属
protein	n.蛋白质
quinine	n.奎宁
vibrant	adj.震动的;鲜明的;蓬勃的
estuary	n.港湾;入海口
dilate	v.详述;膨胀
dump	n.倾倒;倾销v.倒掉;倾卸
fortuitous	adj.偶然的;幸运的
gaseous	adj.过热的;气态的
lading	n.船货;装载
advocacy	n.辩护;拥护
abed	adj.卧病在床;在床上adv.卧病在床;在床上
mucous	adj.黏液的
tally	n.符木;帐v.数;符合
vaudeville	n.轻歌舞剧;杂耍
smithy	n.铁匠;铁匠铺
film	n.薄层;胶片v.拍摄;拍摄电影
loiter	v.消磨;闲逛
cohesion	n.团结;黏合
cauldron	n.大锅
shipment	n.装运
swamp	n.沼泽v.淹没;下沉
up	prep.往...的上端;往...的上游
housework	n.家务劳动
refectory	n.食堂
gossamer	adj.薄弱的;蛛丝的n.薄纱;蛛丝
skeptical	adj.怀疑的
emolument	n.报酬;利益
evolve	v.释放;演化
intimidate	v.恫吓
refine	v.净化;提炼
untie	v.解开;释放
cos	n.余弦符号
disown	v.否认...是自己的
disprove	v.证明...不能成立
rut	n.常规;车辙v.动情
mausoleum	n.陵墓
misuse	n.错用;恶行v.错用;虐待
sentient	adj.意识到的
unscathed	adj.没有负伤的
vomit	n.呕吐;喷出v.呕;喷
actuality	n.记录片;真事
analytical	adj.分析的
disclaim	v.放弃;否认
demise	n.传位;死亡v.传;死
gene	n.基因
silhouette	n.轮廓v.画黑色轮廓像
quizzical	adj.探询的;戏弄的
elicit	v.引出;引起
proxy	adj.代理的n.代理权;代理人
crochet	n.钩针编织v.用钩针编织
crackle	n.异彩;噼啪声v.使爆裂;闪烁
definitive	adj.决定性的;限定的
delinquent	adj.失职的;有过失的n.罪犯
facsimile	n.电传真;摹本
initiate	n.新入会的人v.接纳;开始
merge	v.合并;结合
affluent	adj.畅流的;充裕的n.富裕的人;支流
furlough	n.休假;休假证v.解雇;休假
maw	n.胃;咽喉
venial	adj.可饶恕的;可原谅的
reversal	n.撤销;反向
squander	n.浪费v.浪费;浪荡
felicitous	adj.恰当的
handcuff	n.镣铐;手铐v.束缚...的手脚
resist	v.抵抗;抗
debility	n.体弱
origin	n.出身;起端
buttonhole	n.钮孔v.锁
milliner	n.女帽设计者;妇女头饰
nape	n.项;后颈
titan	n.大力士
wile	n.诡计;狡猾v.消磨;引诱
wither	v.使干枯;干枯
decoy	n.假鸟v.引诱;诱骗
nanny	n.保姆
coyote	n.丛林狼;人形精怪
wrangle	n.吵架v.说服;争得
encamp	v.扎营
mallet	n.大头锤;木槌
shatter	v.破坏;削弱
negligible	adj.极小的
magnesia	n.氧化镁
granary	n.谷仓;主要来源
aver	v.断言;证明...属实
underfoot	adv.碍事地;在脚下
brat	n.顽童;围裙
thimble	n.顶针;套筒
downtown	adj.商业区的n.较低地区;商业区
heron	n.鹭
carp	n.牢骚v.找茬儿
jog	n.暗示;慢跑v.触动;轻摇
inhale	n.吸入;吸烟v.吃;吸入
rectify	v.调正;精馏
sociology	n.社会学
sort	n.性质;种类v.拣出;符合
tit	n.打击;按钮
defunct	adj.已死的
tow	n.拖;绳v.拖;拖行
pulley	n.滑轮
rump	n.牛臀肉;臀部
mail	n.邮件;邮政v.邮寄;寄出
skinny	adj.不足的;皮的;皮包骨的
squash	adv.挤压地n.挤压;硬挤v.粉碎;硬放
absorb	v.把...并入;吸收
derrick	n.神偷;钻塔;起重机
octave	n.八度;八度音栓
voter	n.投票人
teens	n.十三至十九数字;十几岁
voracious	adj.贪吃的
cad	n.小市民
federation	n.结成同盟;同盟
pus	n.脓
unbend	v.卸除;变直;变松弛
monsoon	n.季风
sparse	adj.很小的;稀薄的
trumpery	adj.花哨而无价值的n.废话;零星杂物
tighten	v.使变紧;变紧
aspen	adj.颤动的;山杨的n.山杨
scoop	n.匙杓;勺v.挖成;舀
spongy	adj.多孔的;海绵的
alibi	n.借口v.为...辩解;辩解
unload	v.摆脱;倾诉
chirp	n.嘎吱声;啁啾声v.啁啾
snipe	n.狙击;沙锥v.狙击;打鹬
almanac	n.历书;年鉴
dignitary	adj.显贵的n.显贵
habitat	n.生境;住处
regional	adj.地区的;区的
pasty	adj.苍白的;浆糊的n.馅饼
squint	adj.斜的;斜视的n.眯眼;斜视v.眯起;使斜视
navigate	v.驾驶;航行
scrawl	n.潦草的笔迹v.涂掉;涂写
cornet	n.短号;音栓
uphill	adj.艰难的;上升的adv.艰难地;往上坡n.上坡
clamber	n.爬v.爬;攀缘
portent	n.迹象;奇才
stow	v.储藏;剪
backwoods	n.边远蛮荒林区
evoke	v.唤起;使再现
exigency	n.急事;紧急
groundwork	n.垫上运动;基础
sinew	n.肌腱;力量v.给...以力量;使牢固
stepfather	n.继父
buffet	n.打击;抖振;自助餐v.打;打击
scenic	adj.舞台的;戏剧的
arrant	adj.彻底的
dilute	adj.减弱了的;褪了的v.稀释;削弱
nurture	n.养育;营养物v.给...营养物;养育
tripod	n.三脚凳;三脚架
glum	adj.死气沉沉的
goodbye	n.告别
partake	v.参与;吃
potter	n.陶工v.闲混;闲逛
dragoon	n.骑马步兵;食用家鸽v.镇压
blister	n.水疱;疱病v.猛烈抨击;起水疱
mote	n.尘埃;疵点
tornado	n.龙卷风;旋风
agrarian	adj.土地的;土地所有制的n.平均地权论者
demolish	v.拆毁;吃完
harrow	n.耙v.耙;弄伤
inversion	n.倒装;反向
embargo	n.封港令;禁止v.征用
pervert	n.背教者v.歪曲;误用
closet	n.橱;退避处v.把...引进密室会谈
fiftieth	n.第五十
cyclone	n.气旋;旋风器
dawn	n.开端;黎明v.开始;破晓
saliva	n.气泡条;涎;唾液
cube	adj.三次幂的n.立方;鱼藤v.量...的体积
saw	n.锯;锯床v.锯;锯成
syntax	n.句法
frost	n.冰冻;霜v.结霜于;结霜
playwright	n.剧作家
detract	v.减损;转移
truculent	adj.粗暴的;好战的
downpour	n.大量照射;倾盆大雨
locust	n.蝉;蝗虫
abandon	n.放任;狂放v.放弃;离弃
annul	v.废除;使消失
dimple	n.酒窝;涟漪v.使现笑靥;现笑靥
finesse	n.飞牌;手腕;技巧v.用...飞;飞牌
glean	v.查明;拾
incendiary	adj.放火的;能燃烧的n.放火者;燃烧弹
hash	n.改头换面v.把...搞糟;把...切碎
horseshoe	n.马蹄铁v.给...钉掌
liner	n.定期船;衬里
writhe	n.扭动;盘绕v.扭动;扭曲
carrot	n.胡萝卜
regimen	n.情势
slam	n.猛关;满贯v.使劲关;闯
tactical	adj.有策略的;战术的
graceless	adj.不优美的;堕落的
narcotic	adj.催眠的;麻醉的n.麻醉剂
bowl	n.碗;木球v.得...分
adage	n.谚语
overt	adj.公开的;明显的
relevant	adj.相关联的;有关的
memento	n.回忆;纪念物
concentric	n.同心圆
melon	n.瓜;深粉红色
munificent	adj.丰厚的;慷慨的
accent	n.口音;重音;腔调v.着重
peanut	adj.渺小的n.花生;花生米
flog	v.鞭打;驱使
humdrum	adj.平凡的n.乏味的话;平凡
out	adv.出;呸prep.从...里面;从...中出来
escapade	n.脱逃;越轨行为
parsimony	n.极度节俭;俭省
ferment	n.发酵;激动v.酝酿;发酵
functional	adj.官能的;职务上的
coffer	n.金库;箱子
gill	n.菌褶;鳃v.用刺网捕
entangle	v.缠住;弄乱
demagogue	n.民众领袖
combat	n.战斗v.与...战斗;战斗
domicile	n.原籍;住处v.使定居;居住
eastward	adj.向东的adv.向东n.朝东的方向
crater	n.环形山;坑;火山口
iceberg	n.冰山
leak	n.漏;漏洞v.使渗漏;漏
agate	n.玛瑙
construe	v.解释;推断
craftsman	n.工匠
precursor	n.先驱
teller	n.出纳员;计票人
displace	v.取代...的位置
humiliate	v.使蒙耻
harpoon	n.鱼叉v.用鱼叉叉
mitre	n.主教冠;斜接面v.给加冠;斜接
tattoo	n.纹身;归营号v.刺
tram	n.煤车;纬纱v.用煤车运
whack	n.失灵;重击v.击败;砍
resultant	adj.组合的n.合量;结果
autonomy	n.人身自由;自治
opus	n.作品;作品编号
textile	n.纺织品;纺织业
blubber	n.鲸脂;赘肉v.哭诉;哭肿
accountant	n.会计人员
affray	n.闹事v.恐吓
indelicate	adj.不文雅的
fetid	adj.恶臭的
forthright	adj.直率的adv.立即;直率地n.直路
stink	n.恶臭;化学v.发出恶臭;惹人讨厌
cucumber	n.黄瓜;一块钱
platoon	n.排;一队
dishearten	v.使沮丧
paragon	n.杰出典范v.把...作比较;胜过
swirl	n.打旋;纷乱v.打旋;回曲
baton	n.短棍;官杖
ewe	n.母羊
chafe	n.擦;磨损v.擦热;擦伤
retort	n.反驳;反击v.驳回;反驳
duck	n.鸭;野鸭v.躲避;忽地低下
frontal	adj.额的;前面的n.额骨;正面
topography	n.地形;地志
cold	adj.感觉冷的;冷的adv.突然地;完全地n.感冒;冷
prop	n.支柱;道具v.支撑;架
bison	n.野牛
fiat	n.决断;命令
vellum	adj.犊皮纸的n.仿犊皮纸;手稿
ascension	n.上升;耶稣升天
bluster	n.狂吹v.夸口;狂吹
orgy	n.纵欲;狂欢会
auditory	adj.听的
graph	n.图;图像v.绘...的图;描绘
solvent	adj.有溶解力的n.解决办法;溶剂
loophole	n.观察孔;漏洞v.在...上开枪眼
fascinate	v.有吸引力
nomadic	adj.流浪的;游牧的
will	aux.将;能n.决心;意愿
mash	n.糊状物;迷恋v.压碎;挑逗
sortie	n.出击;出击部队v.出击
impel	v.激励;推动
cute	adj.漂亮的
piecemeal	adj.逐个的adv.成碎片地
clod	n.块;泥土
scorpion	n.拟蝎;蝎
tattoo	n.纹身;归营号v.刺
diploma	n.公文;执照
stiffen	v.使变硬;变硬
ticklish	adj.敏感的;怕痒的;棘手的
vaunt	n.夸耀;自吹自擂v.吹嘘
rick	n.草堆;柴垛v.把...堆成垛
smear	n.涂片;污迹v.诽谤;弄脏
woodpecker	n.啄木鸟
bay	adj.枣红色的n.湾;坝v.对...吠叫;大声叫嚷
exactitude	n.严格;正确
lunacy	n.精神错乱;心神丧失
strut	n.高视阔步;支柱v.炫耀;膨胀
waive	v.放弃;推迟考虑
scuttle	n.车颈;箩v.逃避;放弃;凿沉
double	adj.两倍的;双的adv.两倍地;双双地n.酷似的人;两倍v.握紧;代替
literacy	n.识字;熟谙文学
parry	n.挡开;闪避v.挡开;回避
waitress	n.女侍者
concubine	n.妾;姘妇
fume	n.烟v.发出;熏
certitude	n.确信;准确性
dynamo	n.发电机
espionage	n.间谍行为
spout	n.喷口;水柱v.把...当掉;喷出
tedium	n.单调乏味
clog	n.脚坠;木屐v.塞满;阻碍
envelop	v.包围;包住
primer	n.入门书;雷管
luminary	adj.光的n.发光体;发光天体
chamois	n.羚羊皮;岩羚羊
spree	n.狂饮作乐;嬉戏
synthetic	adj.合成的;假想的n.合成物
weasel	n.告密者;鼬v.告密;狡辩
damp	adj.潮湿的;迷乱的n.潮湿;矿井瓦斯v.封;阻尼
trainer	n.教练机;教员
magpie	n.鹊
brew	n.酿造过程;酿造量v.酿造;泡
conserve	n.蜜饯;药物糖果v.保护;使守恒
keynote	n.要旨;主音v.给...定基调;给...定音
garbage	n.废话;垃圾
photo	adj.照片的n.照片v.为...拍照
gazelle	n.瞪羚
gory	adj.血块似的;充满暴力的
holocaust	n.大破坏;大屠杀
lag	n.间歇;落后v.减弱;滞后
beckon	n.点头v.吸引;示意
guy	n.支索;家伙v.嘲笑;乱演
autocrat	n.独裁者
buffoon	n.滑稽的人;丑角
dysentery	n.腹泻;痢疾
rat	n.耗子;鼠v.偷;捕鼠
acumen	n.渐尖头;敏锐;明智
churlish	adj.粗暴的;吝啬的
nothing	pron.没有东西
eradicate	v.根除;连根拔起
suffix	n.后缀;下标v.加...作后缀
textbook	n.教科书
contumely	n.傲慢;侮辱行为
spoonful	n.一匙的量
nostril	n.鼻孔;鼻孔内壁
deride	v.嘲笑
aqueduct	n.导管;沟渠
derogatory	adj.贬低的;贬义的
fatuous	adj.痴呆的;虚幻的;昏庸的
flinch	n.弗林奇;退缩v.缩;缩脚
gymnastics	n.技巧;体操
hectic	adj.潮红的;发红的
subscriber	n.订阅者;签署的
causal	adj.原因的
eerie	adj.怪异的;恐惧的
gripe	n.抱怨;肠绞痛v.惹烦;抱怨
onerous	adj.沉重的;有偿的
fen	n.沼;分
limp	adj.软的;软面的n.跛行v.格律不顺
throttle	n.喉咙;节流阀v.卡;使节流
wold	n.丘陵地带;山丘
bevy	n.一队;一批
fake	adj.假的n.假货;骗子v.伪造;伪装
obloquy	n.丑名;指责
prism	n.棱柱;三棱镜
prig	n.纨绔子弟;扒手
verbatim	adj.一字不差的adv.一字不差地
equatorial	adj.赤道的n.赤道仪
sonata	n.器乐曲;奏鸣曲
toothless	adj.无强制实施手段的
stucco	n.粉饰灰泥;拉毛粉饰v.用拉毛粉饰法粉饰
bust	n.前胸;胸像v.爆裂;破产
glisten	n.闪光v.闪闪发光
pout	n.撅嘴;生气v.撅起;撅嘴
breech	n.炮尾;臀部v.给装上后膛
depreciate	v.贬低;降价
cavil	n.吹毛求疵的意见v.对...挑剔;挑剔
dialectic	n.辩证;辩证逻辑
flighty	adj.轻浮的
capsule	adj.概要的;微小的n.胶囊;小盒;太空舱
constrain	v.强迫;限制
economist	n.管理人;经济学家
