you	pron.你;你这个
something	pron.某;某物
who	pron.谁;他
because	conj.因为
some	pron.很多;一些
then	pron.那时
say	adv.哎呀;大约n.决定权;细哔叽v.讲述;说
ok	adj.表示同意的adv.好n.同意v.批准
take	n.捕猎;拿v.拿;执住
an	det.一
way	n.方法;方面
us	n.美国pron.人们;我们
little	adj.小的;幼小的adv.毫不;难得
make	n.牌子;体质v.构成;做
need	aux.须要n.缺少;需要v.缺少;需要
never	adv.不;从不
too	adv.很;太
love	n.爱;爱情v.爱;恋爱
sure	adj.可靠的;确信的adv.当然;无疑
them	pron.那些;他们
more	adj.更大的;另外的adv.更;再
over	adv.报文完;下prep.高于;在...的上方
our	det.我们的
sorry	adj.难过的;内疚的
where	adv.在哪里;在那里conj.然而;在...处
let	n.出租;租户v.使;允许
thing	n.事;物
am	v.be的第一人称现在时形式
maybe	adv.或许n.可能性
down	prep.往...的下端;沿
man	n.男子;人
very	adv.非常
by	prep.偏于;在...旁边
anything	pron.任何事物
much	adv.常常;十分
any	adv.多少;略pron.若干
life	n.生命;一生
even	adj.均匀的;平的adv.甚至;完全v.使平衡;使平坦
off	prep.离...;偏离...
please	adv.请;行v.乐于;敬请
do	v.做
thank	v.感谢;谢谢
give	v.给予;交给
only	adj.独生的;唯一的adv.不料;只
help	n.帮助;补救办法v.帮助;助
two	n.第二;二
talk	n.讲话;闲话v.讲;谈论
people	n.人;人民v.居住于;使充满
god	n.上帝n.男神;神
still	adj.静止的;平静的adv.还是;还要v.静止;渗出
wait	n.等待;幕间时间v.等待;等
into	prep.朝;进
find	n.发现;发现物v.发现;找出
nothing	pron.没有东西
again	adv.到原处;又
thing	n.事;物
call	n.号声;呼叫v.呼唤;叫
great	adj.大的;久的n.大人物
before	adv.较早;以前prep.在...前面;在...以前conj.不愿...;在...以前
better	adv.多;更好地v.超过;改善good的比较级
ever	adv.总是
night	n.黑夜;夜
than	conj.比;除...
away	adv.走吧;走开
first	adj.第一的;基本的adv.宁可;先
believe	v.认为;想
other	adj.别的;不同的n.对立的事物
feel	n.触;触觉v.触;发觉
everything	pron.每件事;一切
work	n.工作;职业v.经营;工作
fine	adj.快的;美好的adv.很;细小地n.罚金;租费v.使纯;变纯
home	adv.在家;在家乡n.家;家庭v.回家;有家
after	prep.随...之后;在...后面conj.在...以后
last	adj.最低的;最后的adv.上一次;最后v.度过;楦
these	det.这些
day	n.天;昼
keep	n.保持;供养v.保管;保守
doe	n.雌鹿
put	v.放;出发
around	adv.兜着圈子;在周围prep.环绕;在...各处
stop	n.停止;阻塞v.停止;阻塞
guy	n.支索;家伙v.嘲笑;乱演
long	adj.长的;长时间的adv.长久;始终v.渴望;归属
always	adv.永远;总是
listen	v.听;听从
want	n.缺乏;需要v.缺乏;要
guy	n.支索;家伙v.嘲笑;乱演
those	det.那些
big	adj.大的;洪亮的adv.成功地;大量地
lot	n.抽签;签
happen	v.发生;碰巧
thank	v.感谢;谢谢
try	n.尝试v.试;试图
kind	adj.和蔼的;友好的n.类;种类
wrong	adj.不道德的;错误的adv.不适当地;错误地n.错误;坏事v.使丢脸
through	prep.遍及;从...头至尾
talk	n.讲话;闲话v.讲;谈论
new	adj.新的;新鲜的
be	v.表示;是
guess	n.猜测v.猜;想
hi	adv.嘿;喂
care	n.小心;忧虑v.喜欢;关心
bad	adj.坏的;顽皮的
mom	n.妈妈
remember	v.记得;牢记
together	adv.到一起;同时
dad	n.爸爸;老头
leave	n.告别;许可v.丢弃;经过
mother	n.继母;母v.生;产生醋母
place	n.场所;地方v.放置;得名次
understand	v.得知;理解
actually	adv.竟然;如今
hear	v.听;听见
baby	n.婴儿;幼畜v.轻击
nice	adj.好的;好看的
father	n.父;父亲v.生
else	adv.否则;其他
stay	n.逗留;停止v.停止;延迟
their	det.他们的
course	n.进行;行动方向v.追;跑
might	n.大量;力量
mind	n.头脑;智力v.记住;照料
every	det.每一个
enough	adj.足够的adv.够了;很
try	n.尝试v.试;试图
hell	n.地狱;黑暗势力
someone	pron.某人
own	adj.自己的n.属于自己的东西v.承认;有
family	n.户;家
whole	adj.全部的;整个的n.全部;统一体
another	pron.又一个
yourself	pron.你亲自;你自己
idea	n.计划;思想
ask	v.问
must	aux.必须;务必
old	adj....岁的;老的
look	n.察看;看v.看
woman	n.成年女子;女人
hello	adv.哈罗;嘿n.喂的招呼声
which	pron.那个;那些
year	n.年;年度
room	n.房间;一套房间v.占一房间
money	n.财产;货币
tonight	n.今夜
real	adj.逼真的;真的
son	n.儿子;女婿
hope	n.希望v.希望;相信
name	n.名字;外号v.把...叫作;给...取名字
same	adj.同样的;同一的
happy	adj.乐意的;愉快的
pretty	adj.妙的;漂亮的
saw	n.锯;锯床v.锯;锯成
girl	n.女孩子;女仆
sir	n.老兄;先生;爵士
show	n.演出;展览v.陈列;给...看
friend	n.朋友;赞助者
already	adv.马上;已经
say	adv.哎呀;大约n.决定权;细哔叽v.讲述;说
next	adj.紧邻的;居后的adv.接下去;下次
three	n.第三;三
job	n.工作;职业
problem	n.难弄的人;问题
minute	adj.快熟的;微小的n.分
world	n.世界
think	v.想;想像
honey	adj.蜂蜜的;心爱的n.蜂蜜;花蜜v.说亲切话
matter	n.实体;事情v.化脓;要紧
myself	pron.我亲自;我自己
exactly	adv.精确地;正
ah	adv.啊
probably	adv.很可能
happen	v.发生;碰巧
hurt	n.打击;伤v.弄痛;痛
boy	n.男孩;男子
both	adv.在两方面同样地pron.两者
while	conj.虽然;直到v.消磨
dead	adj.不动的;死亡的adv.全然地;直接地
alone	adj.单单;单独的adv.单独地;仅仅
since	adv.从那以后;之前prep.自...以来conj.因为;自...以来
excuse	n.藉口;歉意v.为...辩解;原谅
start	n.惊跳;开始v.出现;惊动
kill	n.击落;杀死v.冻死;杀死
hard	adj.坚硬的;紧的adv.坚硬地;困难地
today	n.今天;现在
car	n.车厢;小汽车
ready	adj.快要...的v.使准备好;准备好
until	prep.向;在...之前conj.在...以前;直到...时
without	adv.外表上;在外面prep.不;无
whatever	pron.不管什么;诸如此类
want	n.缺乏;需要v.缺乏;要
hold	n.拿;船舱v.表现;掌着
yet	adv.还;迄今;尽管
deal	n.待遇;交易v.发;分配
once	adv.一次;一旦conj.一旦...
call	n.号声;呼叫v.呼唤;叫
morning	n.初期;破晓
friend	n.朋友;赞助者
head	n.上端;头v.长头;发源
stuff	n.料子;物品v.填没;饱食
most	adv.极其;最
us	n.美国pron.人们;我们
worry	n.担心;撕咬v.撕咬;担心
second	adj.次要的;第二的adv.第二;以第二位n.秒;片刻v.赞成;支持
part	n.一部分;组成部分v.放弃;分开
live	adj.活的;真的adv.在现场v.过;活
truth	n.实情;事实
school	n.上学;学校v.教育;控制
face	n.表面;脸v.面朝;朝
forget	v.忘;健忘
true	adj.纯正的;真的adv.纯种地;真实地v.装准
business	n.交易;职业
each	adv.对各个pron.各个
cause	n.理由;事业v.使;使产生
soon	adv.不久;早
know	v.记住;确知
few	adj.很少的;有些pron.很少数;少数
tell	v.吩咐;讲
wife	n.妇人;妻子
use	n.用;用途v.发挥;用
chance	adj.偶然的n.机会;机缘v.冒...的险;碰巧
run	n.跑步;赛跑v.跑;逃
move	n.搬家;动v.动;调动
anyone	pron.任何人
person	n.家伙;人
bye	adv.再见n.轮空;余穴
somebody	pron.某人
heart	n.内心;心
such	adj.那么的;这种的
miss	n.失败;逃脱v.没找到;失败
point	n.尖;尖形部件v.显示;指
later	adv.后来;再见late的比较级
meet	n.集合;集会v.接;遇见
anyway	adv.随随便便地
many	adj.许多的pron.许多人
phone	n.受话器;音子
reason	n.理由;理智v.劝喻;讨论
damn	adv.该死n.丝毫;咒骂v.使失败;咒骂
look	n.察看;看v.看
bring	v.促使;出产
case	n.框;箱v.探察
turn	n.翻动;旋动v.翻动;旋动
wish	n.请求;希望v.但愿;祝
tomorrow	n.来日;明天
kid	n.小孩;欺骗v.产;产羔
trust	n.信任;信心v.想;信任
check	n.停止;制服v.核对;击退
change	n.改变;更动v.改变;换去
end	n.端;终止v.结束;胜过
late	adj.迟的;晚的adv.迟;晚
five	n.五
least	adj.最少的adv.最少n.最少量
town	n.城市;镇
work	n.工作;职业v.经营;工作
year	n.年;年度
make	n.牌子;体质v.构成;做
mean	adj.卑鄙的;低劣的n.平均;中间v.意味着;意指
brother	n.兄弟;挚友
play	n.比赛;玩v.开;玩
hate	n.仇恨v.不愿;仇恨
ago	adv.以前
say	adv.哎呀;大约n.决定权;细哔叽v.讲述;说
beautiful	adj.出色的;美的
fact	n.事实;细节
crazy	adj.蠢的;发疯的
party	adj.共有的;政党的n.党;队;聚会
sit	v.骑;坐
open	adj.开着的;空旷的n.旷野;露天v.开;开辟
afraid	adj.恐惧的;遗憾的
between	adv.在中间prep.联接着...;在...之间
important	adj.重要的;自负的
rest	n.长眠;平静v.长眠;休息
fun	adj.古怪的n.嘲笑;娱乐
kid	n.小孩;欺骗v.产;产羔
word	n.词;话v.通知;讲话
watch	n.手表;守卫v.保卫;等待
glad	adj.高兴的;乐意的
everyone	pron.每人
day	n.天;昼
sister	n.姐妹
minute	adj.快熟的;微小的n.分
everybody	pron.每人
couple	adj.两个n.夫妻;一对v.联想;连接
either	adv.也pron.任何一个
feel	n.触;触觉v.触;发觉
daughter	n.女儿;女性后裔
get	v.获得;取得
ask	v.问
under	prep.在...之下
break	n.破裂;破晓v.打破;破坏
promise	n.可能;允诺v.向...保证;允诺
door	n.门;门状物
set	n.集子;一套v.放;落
close	adj.紧的;近的adv.接近地n.结束;终止v.关;关
hand	n.脚;手v.搀扶;交
easy	adj.容易的;舒适的adv.缓慢地;容易地
question	n.难题;问题v.怀疑;问
doctor	n.巫医;医生v.修改;修理
far	adj.较远的;远的adv.远
walk	n.行走路程;走v.走遍;走
need	aux.须要n.缺少;需要v.缺少;需要
trouble	n.烦恼;困难v.麻烦;折磨
mine	n.矿;矿藏pron.我的v.采;开矿
though	adv.可是;尽管conj.可是;即使
time	n.时间;时刻v.调准;为...定时
different	adj.差异的;各别的
kill	n.击落;杀死v.冻死;杀死
hospital	n.兽医院;医院
anybody	pron.任何人
wedding	n.婚礼;结婚
shut	v.关上;合上
able	adj.得以...的
die	n.板牙;模具v.遭受;死
perfect	adj.完好的;完美的v.使精通;使完美
police	n.警察;警察部门v.管理
stand	n.停住;站立v.经受;容忍
come	v.搞;来
hit	n.击;碰撞v.打;碰撞
story	n.情节;小说
wait	n.等待;幕间时间v.等待;等
dinner	n.客饭;宴会
against	prep.对...不利;逆
funny	adj.滑稽的;耍花招的n.滑稽戏;笑话
husband	n.夫;管家v.持有;使有丈夫
almost	adv.几乎
stupid	adj.麻木的;无聊的
pay	n.报偿;付钱v.付;付款
answer	n.答案;反应v.回应;回击
four	n.四;匍匐
office	n.办公室;处
cool	adj.冷静的;凉的n.冷淡;冷静v.变凉;减缓
eye	n.目光;视力v.看;考虑
news	n.消息;新闻
child	n.小孩;婴儿
half	n.半;半场
side	n.边;旁边v.同意;赞助
yours	pron.你的
moment	n.片刻;时机
sleep	n.昏睡;睡眠v.供...睡觉;睡
start	n.惊跳;开始v.出现;惊动
young	adj.年轻人的;幼小的
sound	adj.健康的;牢固的n.声;音v.宣告;发音
lucky	adj.侥幸的;有好运的
pick	n.掏;凿v.掏;凿
sometimes	adv.以前;有时
bed	n.床;卧室v.睡;性交
also	adv.也;而且;同样地
date	n.日期;时期v.过期;注有日期
line	n.纹路;线v.出局;填
plan	n.方法;计划v.计划;设计
hour	n.时间;小时
lose	v.失去;遗失
fire	n.电炉;火v.烧制;发热
free	adj.自由的adv.免费地;松开着v.使摆脱;使自由
hands	n.拥有;控制
serious	adj.认真的;严肃的
shit	adv.呸n.腹泻;屎v.拉;拉屎
behind	adv.在背后;在过去n.后卫;屁股prep.落后于;在...后面
inside	n.里面;内脏prep.在...的肚内;在...里面
high	adj.高的;高地的adv.高;高价的n.高地;高峰
ahead	adv.向前;在将来
week	n.工作周;星期
wonderful	adj.精彩的
fight	n.战斗;争吵v.打;奋斗
cut	n.切;切口v.切;凿
quite	adv.很;完全
number	n.数目;算术v.把...编号;计数
sick	adj.病人的;恶心的v.使厌恶
game	adj.猎物的;跛的n.游戏;运动v.赌掉;赌博
eat	v.吃;咬
nobody	pron.没有人
death	n.灭亡;死
along	prep.沿着;依照
save	prep.除...外v.储蓄;救助
seem	v.感到好像;好像发生
final	adj.决定性的;最后的n.决赛;期终考试
live	adj.活的;真的adv.在现场v.过;活
upset	n.吵架;翻倒v.打乱;弄翻
book	n.卷;书v.预订;预订
seem	v.感到好像;好像发生
sort	n.性质;种类v.拣出;符合
safe	adj.安全的;谨慎的n.保险箱;家用冰箱
front	adj.前面的;正面的n.前面;正面v.对抗;面向
ask	v.问
clear	adj.纯色的;清晰的adv.离开着;完全v.扫清;变晴
figure	n.价格;数字v.计算;出现
hot	adj.辣的;热的
six	n.第六;六
parent	n.父亲;祖先v.做...的父亲
drink	n.喝酒;饮料v.喝
absolute	adj.纯粹的;道地的n.绝对;绝对事物
daddy	n.典范
sweet	adj.甜的;悦耳的n.甜食;甜味
alive	adj.存在的;活着的
sense	n.感官;感觉v.检测;了解
happen	v.发生;碰巧
special	adj.特殊的;异常的n.特刊;专列
bet	n.打赌;赌金v.敢说;打赌
blood	n.血;血统
lie	n.谎言;躺v.说谎;平卧
full	adj.彻底的;满的
meet	n.集合;集会v.接;遇见
dear	adj.可爱的;亲爱的adv.非常;呵n.可爱人;亲爱的
coffee	n.咖啡;咖啡豆
see	v.察看;看
sound	adj.健康的;牢固的n.声;音v.宣告;发音
fault	n.错误;缺点v.产生断层;犯错误
water	n.矿泉水;水v.喷淋;饮水
ten	n.第十;十
welcome	adj.被允许的;受欢迎的n.欢迎;欢迎的话v.欢迎;迎接
buy	n.购买v.获得;买
month	n.月
hour	n.时间;小时
speak	v.讲;说
lady	n.贵妇人;女士
think	v.想;想像
body	n.躯干;肉体
order	n.次序;整齐v.命令;整理
outside	n.外表;外面prep.除了;在...的外面
hang	v.吊死;悬挂
possible	adj.可能的
worse	adv.更坏;更猛烈地bad的比较级
company	n.公司;群
mistake	n.错误;误解v.误解;误认
handle	n.把柄;柄v.操作;触
spend	v.花;用
total	adj.完全的;总的n.总数v.总数达;总计
control	n.管制;指挥v.统制;抑制
marriage	n.结婚;结婚仪式
realize	v.实现;领悟
power	n.力;能力v.促进
president	n.主管人;总统
unless	conj.除非
sex	n.男人;性v.性交
girl	n.女孩子;女仆
send	v.发送;派遣
need	aux.须要n.缺少;需要v.缺少;需要
scar	n.疤;痕v.在...上结疤;结疤
picture	n.画v.绘;映出
talk	n.讲话;闲话v.讲;谈论
ass	n.驴;傻瓜
hundred	n.第一百;一百
complete	adj.十足的;完成的v.使完美;完成
explain	v.讲解;解释
play	n.比赛;玩v.开;玩
certainly	adv.当然;无疑地
sign	n.标志;符号v.签;写下
boy	n.男孩;男子
love	n.爱;爱情v.爱;恋爱
hair	n.毛;头发
choice	adj.上等的;中上级的n.选择;选择时机
anywhere	pron.任何地方
secret	adj.秘密的;能保密的n.奥秘;秘密
future	n.将来;前途
weird	adj.超自然的;奇怪的n.命运;魔力
luck	n.好运;运气v.凑巧碰上;逢凶化吉
turn	n.翻动;旋动v.翻动;旋动
touch	n.触;触觉v.触摸;触摸
kiss	n.轻拂;吻v.轻拂;吻
question	n.难题;问题v.怀疑;问
obvious	adj.挡道的;显然的
wonder	n.惊奇;奇迹v.感到惊讶;感到疑惑
pain	n.痛;痛苦
call	n.号声;呼叫v.呼唤;叫
somewhere	pron.某处
throw	n.冒险;投掷v.发射;投
straight	adj.整齐的;直的adv.立即;直
cold	adj.感觉冷的;冷的adv.突然地;完全地n.感冒;冷
fast	adj.快的adv.快n.禁食;禁食期v.节制饮食;禁食
word	n.词;话v.通知;讲话
food	n.食物;养料
none	pron.没有一个;没有一人
drive	n.驾驶;紧迫v.逼迫;赶
work	n.工作;职业v.经营;工作
marry	v.娶;结婚
light	adj.淡色的;轻的adv.轻装地n.光;光感v.点;照亮
test	n.化验;试验v.化验;考验
drop	n.滴;微量v.滴
city	n.城市;全市居民
dream	n.出神;梦v.做;想
protect	v.保护
twenty	n.第二十;二十
class	n.班级;课
surprise	n.惊奇;突然袭击v.撞见;惊奇
its	det.它的
sweetheart	n.好心人;亲爱的人
forever	adv.老是;永远
poor	adj.贫乏的;贫穷的
look	n.察看;看v.看
mad	adj.发狂似的;疯的
except	prep.除...外conj.除非;除了v.把...除外;反对
gun	n.鸣放;炮v.向...开枪;加大油门
dance	n.跳舞;舞v.舞;舞动
take	n.捕猎;拿v.拿;执住
appreciate	v.重视;涨价;鉴赏
especial	adj.亲近的;特别的
situation	n.情况;位置
besides	adv.此外;而且prep.除...之外
week	n.工作周;星期
pull	n.拉;拉力v.采;拉
himself	pron.他亲自;他自己
act	n.幕;行为v.扮演;演
worth	adj.值钱的n.价值;经济价值prep.具有...价值;拥有...财产
top	adj.顶的;最高的n.顶;盖v.盖;结束
expect	v.等待;预计
rather	adv.宁可;有几分
swear	v.宣;宣誓;咒骂
piece	n.件;片v.接;拼合
busy	adj.忙的v.使忙于;忙碌
law	n.法律;法制
happen	v.发生;碰巧
movie	n.电影;电影业
catch	n.捕获物;抓v.接住;抓住
country	n.地区;国
less	adj.较小的adv.较小地
perhaps	adv.或许
step	n.步;步态v.跨;踩
fall	n.降落;落下v.砍倒;跌倒
watch	n.手表;守卫v.保卫;等待
darling	adj.宠爱的;可爱的n.宠儿;亲爱的
dog	n.公狗;狗v.跟踪;困扰
win	n.胜利;赢得物v.赢得;成功
air	n.空气;天气v.晾;晾
honor	n.名誉;荣誉v.使增光;尊敬
personal	adj.个人的;亲自的
till	prep.及于;在...以前conj.在...以前;直到...为止
admit	v.承认;接受
problem	n.难弄的人;问题
murder	n.谋杀;破坏v.扼杀;谋杀
strong	adj.极大的;强壮的adv.强烈地;强有力地
evil	adj.讨厌的;邪恶的n.坏事;祸害
definite	adj.明确的;限定的
feel	n.触;触觉v.触;发觉
honest	adj.诚实的;真诚的
eye	n.目光;视力v.看;考虑
broke	adj.不名一文的
miss	n.失败;逃脱v.没找到;失败
longer	adj.较长
dollar	n.美元;一元银币
evening	n.傍晚;后期
human	adj.人的;似人类的n.人
start	n.惊跳;开始v.出现;惊动
red	adj.红的;通红的n.红;红球
entire	adj.单一的;全部的
trip	n.绊;旅行v.将...绊倒;旅行
club	n.大头棒;球棒v.缴纳;捐献
suppose	v.猜想;假定
calm	adj.安静的;平静的n.安静;镇静v.使平静;平静下来
imagine	v.猜想;想
fair	adj.公正的adv.公正地;正面地n.美;女人
blame	n.责任;指责v.指责;诅咒
street	n.街;街区
favor	n.得宠;恩惠v.赐与;喜爱
apartment	n.房间;一套房间
court	n.法庭;球场v.招致;求爱
terrible	adj.可怕的;困难的
clean	adj.纯洁的;清洁的adv.干净地;完全地v.剥光;被打扫
learn	v.发现;学
work	n.工作;职业v.经营;工作
relax	v.放宽
million	n.百万;许多
charity	n.慈悲;施舍
accident	n.机遇;意外事情
wake	n.守候;守夜v.唤醒;醒
prove	v.表现;证明
smart	adj.聪明的;漂亮的adv.聪明地;漂亮地n.聪明;剧痛v.引起...剧痛;感到剧痛
message	n.启示;信息v.通报
miss	n.失败;逃脱v.没找到;失败
small	adj.细小的;小的n.狭窄部分;小件物品
interest	n.利益;趣味v.使参与;使感兴趣
table	n.一桌酒菜;桌子v.把...列表
become	v.适合;变成
mouth	n.口;人v.说;做鬼脸
pregnant	adj.充盈的;怀孕的
middle	adj.中部的;中等的n.中部;中等货
ring	n.戒指;金环v.发;鸣
careful	adj.关切的;精确的
shall	aux.将要;一定
dude	n.城里人;人
team	n.队;一组马v.结成一队
ride	n.骑;骑马道v.骑;乘坐
figured	adj.有花纹的;有形状的
wear	n.穿;服装v.穿着;蓄
shoot	n.射击;芽v.发射;开
stick	n.棍;木条v.刺;停留
follow	v.跟随;伴随
angry	adj.发怒的;狂暴的
instead	adv.反而;作为替代
write	v.记述;写
early	adj.早的;早期的adv.从前;早
war	n.斗争;战斗v.击败;斗争
stand	n.停住;站立v.经受;容忍
forgive	v.豁免;容许
jail	n.监狱v.监禁
wear	n.穿;服装v.穿着;蓄
lunch	n.快餐店;午餐v.吃午饭
eight	n.八;第八
hop	n.毒品;忽布v.飞越;跳过
thousand	n.第一千;一千
ridge	n.脊;山脊v.翻...作垄;装脊
music	n.音乐;音乐伴奏
paper	n.文件;纸v.用纸包起;贴糊墙纸
tough	adj.不嫩的;黏的n.粗暴的人
tape	n.彩带;带子v.用狭带装订
state	n.心情;形态v.陈述;确定
count	n.计算;数数v.数;值
college	n.大学;职业学校
boyfriend	n.男性友人;情人
proud	adj.感到自豪的
agree	v.承认;表示同意
birthday	n.出生的日子
bill	n.清单;帐单v.爱抚;接吻
seven	n.第七;七
history	n.过去;历史
share	n.股份;一份v.分开;分享
offer	n.发价;给予v.给予;提出
hurry	n.急忙;渴望v.急派;赶紧
wonder	n.惊奇;奇迹v.感到惊讶;感到疑惑
simple	adj.纯朴的;简单的
decision	n.决定;决议
build	n.体形;构造v.构成;建设
one	n.一;一体
finish	n.结束;抛光v.结束;用完
voice	n.禽鸣声;说话声v.给...整音;说
herself	pron.她亲自;她自己
list	n.表;布条v.列举;听
mess	n.凌乱状态v.把...弄脏;玩弄
deserve	v.应受;应受报答
evidence	n.根据;迹象v.显示;证明
cute	adj.漂亮的
dress	n.衣服;装饰v.布置;穿衣
interest	n.利益;趣味v.使参与;使感兴趣
hotel	n.饭店;公馆
enjoy	v.经历;享有
quiet	adj.安静的;寂静的n.安静;安宁v.确认;使安静
concern	n.公司;关心v.涉及;使挂念
road	n.街道;路
stay	n.逗留;停止v.停止;延迟
short	adj.矮的;短的adv.唐突地;突然地n.短路;要点v.卖空;短路
beat	adj.筋疲力尽的n.跳动v.打;拍打
mention	n.传令嘉奖;提及v.传令嘉奖;提到
clothe	v.覆盖;赋予
finish	n.结束;抛光v.结束;用完
fell	adj.残暴的;剧痛的n.折缝;山v.缝;击倒
neither	adv.也;也不pron.无一个
fix	n.方位;困境v.定居;固定
respect	n.敬意;尊敬v.关于;敬意
prison	n.监狱;牢狱v.监禁
attention	n.考虑;注意
hold	n.拿;船舱v.表现;掌着
call	n.号声;呼叫v.呼唤;叫
near	adj.近的;近似的adv.近;近似地prep.靠近v.靠近
bar	n.条;闩prep.除...外v.关;闩
pass	n.境况;通过v.超过;经过
keep	n.保持;供养v.保管;保守
gift	n.礼物;赠送
dark	adj.黑暗的;深黑n.黑色;黑暗
self	n.本性;私利
owe	v.欠;欠钱
us	n.美国pron.人们;我们
ice	n.冰;冰状物v.使凉;结冰
helping	n.帮助;一份
bitch	n.母狗;怨言v.抱怨;弄坏
normal	adj.平常的;正常的n.师范学校;正常人
aunt	n.阿姨;伯母
lawyer	n.律师
apart	adv.成距离;成零碎
certain	adj.固定的;可靠的
plan	n.方法;计划v.计划;设计
girlfriend	n.女伴;情人
floor	n.层;底v.击败
whether	conj.是...;是否
present	adj.出席的;现在的n.现在;礼物v.表示;提出
earth	n.尘世;地球v.把...接地;用土掩盖
private	adj.私立的;私人的n.平民;士兵
box	n.箱;巴掌v.打;斗拳
cover	n.书壳;掩蔽v.盖;代替
judge	n.法官;鉴定人v.裁决;断定
upstairs	adv.在高空;在楼上n.东家;楼层
sake	n.理由;目的
mommy	n.妈妈
possibly	adv.无论如何;也许
station	n.车站;站v.安置
act	n.幕;行为v.扮演;演
accept	v.承认;接受
blow	n.吹;花v.吹;吹响
strange	adj.陌生的;外地的
plane	n.平面;镘v.飞行;刨
mama	n.老婆;妈妈
yesterday	n.昨日;昔日
quick	adj.聪敏的;快的adv.紧身地;快n.活肉
lately	adv.近来
lovely	adj.心灵美的adv.漂亮地n.美女
security	n.安全;保证
report	n.报道;报告v.报道;说
difference	n.差别;特点
store	n.储存;大量v.储备;装满
bag	n.袋;猎袋v.猎获;收割
ball	n.球;舞会v.交媾;狂欢
single	adj.单程的;单人的n.单曲唱片;一个v.选出
doubt	n.迟疑;怀疑v.怀疑;迟疑
listen	v.听;听从
major	adj.较大的;较重要的n.成年人;重要人物v.主修
walk	n.行走路程;走v.走遍;走
cop	n.抓;顶v.攫;偷
blue	adj.悲伤的;蓝色的n.蓝色;蓝颜料
deep	adj.深的;有...深的adv.强烈地;深深地n.海;海渊
dangerous	adj.引起危险的
sleep	n.昏睡;睡眠v.供...睡觉;睡
record	n.记录;履历v.登记;记录
lord	n.主;君主;领主v.称...为勋爵;指挥
join	n.并;连接v.连接;参加
key	n.答案;方法v.为...调音;钉防
captain	n.船长;领袖v.率领
card	n.卡;卡片v.得;梳理
crime	n.犯罪;罪
willing	adj.愿意的
window	n.窗;窗框
return	n.回;送回v.回报;回
walk	n.行走路程;走v.走遍;走
guilty	adj.有过失的;有罪的
like	adj.相同的;相像的prep.比如;像conj.好像;如同v.喜欢;要
fight	n.战斗;争吵v.打;奋斗
difficult	adj.困难的;难懂的
soul	n.精神;灵魂
joke	n.笑话v.取笑;说笑话
service	n.服务v.检修;为...服务
magic	adj.巫术的;有魔力的n.魔法;魔力
favorite	adj.特别受喜爱的n.受宠的人
uncle	n.伯父;大伯;舅父
public	adj.公开的;公众的n.公众;一群人
bother	n.烦恼;努力v.打扰;迷惑
island	n.岛;岛状物
serious	adj.认真的;严肃的
cell	n.蜂房巢室;小牢房;细胞;电池
lead	n.指引;铅v.牵;致使
know	v.记住;确知
advice	n.报道;劝告
somehow	adv.不知何故
push	n.突出;推v.推;突出
help	n.帮助;补救办法v.帮助;助
kill	n.击落;杀死v.冻死;杀死
usual	adj.通常的
boss	adj.第一流的;领头的n.老板;领袖v.指挥;当头儿
innocent	adj.率真的;清白的n.无罪的人;新手
rule	n.裁决;规则v.控制;统治
cop	n.抓;顶v.攫;偷
learn	v.发现;学
thirty	n.第三十;三十
